step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7858536585365854,0.060591963821239984,6.468780487804875,0.06059196382124005,0.21414634146341474,0.060591963821239984,3.5312195121951233,0.06059196382124004,0.7858536585365854,0.060591963821239984,6.468780487804875,0.06059196382124005,0.21414634146341474,0.060591963821239984,3.5312195121951233,0.06059196382124004,0.293,0.0,0.263,0.0,0.444,1.0
10,0.7835365853658537,0.06028573150391826,7.2523170731707305,0.08656294797387296,0.2164634146341464,0.060285731503918256,3.7476829268292704,0.08656294797387296,0.7835365853658537,0.06028573150391826,7.2523170731707305,0.08656294797387296,0.2164634146341464,0.060285731503918256,3.7476829268292704,0.08656294797387296,0.292,0.0,0.283,0.0,0.425,1.0
11,0.6200243902439024,0.38730122149167956,7.872341463414634,0.3970977729539029,0.3799756097560976,0.3873012214916796,4.127658536585368,0.39709777295390297,0.6200243902439024,0.38730122149167956,7.872341463414634,0.3970977729539029,0.3799756097560976,0.3873012214916796,4.127658536585368,0.39709777295390297,0.301,1.0,0.263,0.0,0.436,0.0
12,0.5239024390243903,0.3818998189879253,8.396243902439025,0.5444094126356833,0.4760975609756098,0.38189981898792535,4.603756097560978,0.5444094126356832,0.5239024390243903,0.3818998189879253,8.396243902439025,0.5444094126356833,0.4760975609756098,0.38189981898792535,4.603756097560978,0.5444094126356832,0.34,0.0,0.24,1.0,0.42,0.0
13,0.748,0.2081215038882954,9.144243902439026,0.5526048876081785,0.2520000000000001,0.20812150388829542,4.8557560975609775,0.5526048876081783,0.748,0.2081215038882954,9.144243902439026,0.5526048876081785,0.2520000000000001,0.20812150388829542,4.8557560975609775,0.5526048876081783,0.291,0.24,0.259,0.0,0.45,0.76
14,0.642341463414634,0.3331917145126348,9.786585365853657,0.6498192216462515,0.35765853658536595,0.3331917145126348,5.213414634146343,0.6498192216462513,0.642341463414634,0.3331917145126348,9.786585365853657,0.6498192216462515,0.35765853658536595,0.3331917145126348,5.213414634146343,0.6498192216462513,0.264,0.377,0.279,0.307,0.457,0.316
15,0.6773414634146342,0.304073630481686,10.463926829268294,0.6421023244024076,0.3226585365853659,0.304073630481686,5.53607317073171,0.6421023244024073,0.6773414634146342,0.304073630481686,10.463926829268294,0.6421023244024076,0.3226585365853659,0.304073630481686,5.53607317073171,0.6421023244024073,0.287,0.228,0.261,0.303,0.452,0.469
16,0.6965121951219512,0.2811918533983667,11.160439024390245,0.6686370467581364,0.30348780487804883,0.2811918533983667,5.839560975609758,0.6686370467581362,0.6965121951219512,0.2811918533983667,11.160439024390245,0.6686370467581364,0.30348780487804883,0.2811918533983667,5.839560975609758,0.6686370467581362,0.287,0.26,0.269,0.177,0.444,0.563
17,0.6827560975609756,0.29602055393531596,11.843195121951219,0.7081975004076062,0.3172439024390245,0.29602055393531596,6.156804878048782,0.708197500407606,0.6827560975609756,0.29602055393531596,11.843195121951219,0.7081975004076062,0.3172439024390245,0.29602055393531596,6.156804878048782,0.708197500407606,0.288,0.278,0.29,0.179,0.422,0.543
18,0.6604634146341464,0.3212508633329217,12.503658536585368,0.7283604349907843,0.33953658536585374,0.3212508633329217,6.4963414634146375,0.7283604349907841,0.6604634146341464,0.3212508633329217,12.503658536585368,0.7283604349907843,0.33953658536585374,0.3212508633329217,6.4963414634146375,0.7283604349907841,0.275,0.308,0.252,0.297,0.473,0.395
19,0.6841707317073171,0.2938517302676992,13.187829268292685,0.761770066454663,0.315829268292683,0.2938517302676992,6.81217073170732,0.7617700664546626,0.6841707317073171,0.2938517302676992,13.187829268292685,0.761770066454663,0.315829268292683,0.2938517302676992,6.81217073170732,0.7617700664546626,0.31,0.263,0.251,0.248,0.439,0.489
20,0.6718292682926829,0.31113766700397016,13.859658536585368,0.8072483516547164,0.32817073170731714,0.31113766700397016,7.140341463414638,0.8072483516547161,0.6718292682926829,0.31113766700397016,13.859658536585368,0.8072483516547164,0.32817073170731714,0.31113766700397016,7.140341463414638,0.8072483516547161,0.273,0.355,0.249,0.2,0.478,0.445
21,0.6727560975609757,0.2998424244107262,14.532414634146344,0.8347807311656881,0.3272439024390245,0.2998424244107262,7.467585365853662,0.8347807311656876,0.6727560975609757,0.2998424244107262,14.532414634146344,0.8347807311656881,0.3272439024390245,0.2998424244107262,7.467585365853662,0.8347807311656876,0.26,0.3,0.254,0.239,0.486,0.461
22,0.6684634146341464,0.30334379907987924,15.200878048780488,0.8455525612573705,0.33153658536585373,0.30334379907987924,7.799121951219515,0.8455525612573702,0.6684634146341464,0.30334379907987924,15.200878048780488,0.8455525612573705,0.33153658536585373,0.30334379907987924,7.799121951219515,0.8455525612573702,0.28,0.218,0.258,0.287,0.462,0.495
23,0.6972439024390243,0.28012747905394497,15.898121951219515,0.8661365635385645,0.3027560975609757,0.28012747905394497,8.10187804878049,0.8661365635385639,0.6972439024390243,0.28012747905394497,15.898121951219515,0.8661365635385645,0.3027560975609757,0.28012747905394497,8.10187804878049,0.8661365635385639,0.279,0.256,0.235,0.23,0.486,0.514
24,0.6940731707317074,0.28166893519544256,16.592195121951224,0.8586085058567526,0.3059268292682928,0.2816689351954425,8.407804878048784,0.8586085058567523,0.6940731707317074,0.28166893519544256,16.592195121951224,0.8586085058567526,0.3059268292682928,0.2816689351954425,8.407804878048784,0.8586085058567523,0.245,0.273,0.228,0.233,0.527,0.494
25,0.6960975609756097,0.2788631633804317,17.288292682926834,0.8586660102002234,0.30390243902439035,0.2788631633804317,8.711707317073175,0.858666010200223,0.6960975609756097,0.2788631633804317,17.288292682926834,0.8586660102002234,0.30390243902439035,0.2788631633804317,8.711707317073175,0.858666010200223,0.254,0.232,0.241,0.272,0.505,0.496
26,0.6932439024390245,0.2844116535889555,17.98153658536586,0.8617898281553087,0.30675609756097566,0.28441165358895554,9.018463414634148,0.8617898281553082,0.6932439024390245,0.2844116535889555,17.98153658536586,0.8617898281553087,0.30675609756097566,0.28441165358895554,9.018463414634148,0.8617898281553082,0.264,0.233,0.225,0.236,0.511,0.531
27,0.688170731707317,0.285664608050565,18.669707317073176,0.8769892781170031,0.31182926829268304,0.285664608050565,9.330292682926833,0.8769892781170029,0.688170731707317,0.285664608050565,18.669707317073176,0.8769892781170031,0.31182926829268304,0.285664608050565,9.330292682926833,0.8769892781170029,0.278,0.299,0.223,0.22,0.499,0.481
28,0.6853414634146341,0.29528034350622473,19.355048780487802,0.8927504809171872,0.3146585365853659,0.29528034350622473,9.644951219512198,0.8927504809171871,0.6853414634146341,0.29528034350622473,19.355048780487802,0.8927504809171872,0.3146585365853659,0.29528034350622473,9.644951219512198,0.8927504809171871,0.302,0.284,0.219,0.234,0.479,0.482
29,0.703219512195122,0.2719460526688435,20.05826829268293,0.8990058886044008,0.29678048780487815,0.2719460526688435,9.941731707317075,0.8990058886044008,0.703219512195122,0.2719460526688435,20.05826829268293,0.8990058886044008,0.29678048780487815,0.2719460526688435,9.941731707317075,0.8990058886044008,0.267,0.277,0.224,0.228,0.509,0.495
