step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9976424046943803,0.09755117562670546,0.9976424046943803,0.09755117562670546,0.002357595305619653,0.09755117562670546,0.002357595305619653,0.09755117562670546,0.9973412927670429,0.10055905566368344,0.9973412927670429,0.10055905566368344,0.0026587072329571585,0.10055905566368344,0.0026587072329571585,0.10055905566368344,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.0021303287297592495,0.10260684425513315,0.9955120759646211,0.13992202172450555,1.0021303287297594,0.10260684425513315,1.004487924035379,0.13992202172450555,0.0011302161994923281,0.10357029156574958,0.9984715089665351,0.14771301023676353,0.9988697838005077,0.10357029156574958,1.0015284910334648,0.14771301023676353,1.0,0.0,0.0,1.0,0.0,0.0
2,0.731900995076799,0.09924065705234186,1.7274130710414202,0.17482103649846273,0.2680990049232011,0.09924065705234186,1.27258692895858,0.17482103649846267,0.7312362062208921,0.10164775796691938,1.7297077151874274,0.18003413631020415,0.2687637937791079,0.1016477579669194,1.2702922848125726,0.18003413631020415,1.0,0.0,0.0,0.0,0.0,1.0
3,0.0020059461019279515,0.10397506006790569,1.729419017143348,0.20467854889536743,0.997994053898072,0.10397506006790569,2.270580982856652,0.20467854889536743,-0.004215351306146887,0.09970712508231185,1.7254923638812805,0.2041174031286732,1.004215351306147,0.09970712508231185,2.2745076361187198,0.2041174031286732,0.0,1.0,1.0,0.0,0.0,0.0
4,0.8959931551445471,0.1019928730274177,2.6254121722878954,0.2269752618083103,0.1040068448554528,0.1019928730274177,2.3745878277121046,0.2269752618083103,0.9008516822780116,0.10307064329907545,2.626344046159292,0.22795794266148478,0.09914831772198851,0.10307064329907545,2.373655953840708,0.22795794266148478,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7318052886448128,0.10177803594228209,3.357217460932708,0.2458582451856073,0.26819471135518713,0.10177803594228209,2.642782539067292,0.2458582451856073,0.7311491581710161,0.09772715622881252,3.357493204330308,0.24939077499282586,0.2688508418289839,0.09772715622881252,2.642506795669692,0.24939077499282586,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7270315259442739,0.10002826694331005,4.084248986876982,0.26240252797837693,0.27296847405572616,0.10002826694331005,2.9157510131230184,0.26240252797837693,0.7267151613406477,0.10016900188121773,4.084208365670955,0.26738284939839946,0.2732848386593524,0.10016900188121773,2.9157916343290444,0.26738284939839946,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7362710786900595,0.09982182687313017,4.820520065567042,0.27841860972045046,0.2637289213099406,0.09982182687313017,3.1794799344329587,0.27841860972045046,0.7310527076577794,0.09893987392389517,4.8152610733287355,0.28203380226392,0.2689472923422207,0.09893987392389515,3.1847389266712653,0.28203380226392,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8573685167241613,0.09820317271623685,5.677888582291202,0.29359127868573187,0.14263148327583872,0.09820317271623685,3.3221114177087974,0.29359127868573187,0.8533527626379112,0.10302434130725026,5.668613835966646,0.2991368269286087,0.14664723736208873,0.10302434130725024,3.3313861640333533,0.29913682692860866,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7797102563955407,0.11975489517233164,6.457598838686743,0.32417276844542214,0.22028974360445924,0.11975489517233164,3.542401161313257,0.32417276844542214,0.7836005955336518,0.1186410645787712,6.452214431500297,0.3148077013297344,0.21639940446634826,0.1186410645787712,3.547785568499702,0.31480770132973435,0.006,0.289,0.001,0.243,0.993,0.468
10,0.6938186425562367,0.3053434967063259,7.151417481242979,0.4566046127119654,0.3061813574437634,0.3053434967063259,3.84858251875702,0.4566046127119654,0.6890062642396767,0.30631571505004496,7.141220695739975,0.4437192202034706,0.31099373576032324,0.30631571505004496,3.858779304260025,0.4437192202034706,0.289,0.268,0.243,0.285,0.468,0.447
11,0.6464025032275221,0.33450266352398617,7.797819984470501,0.58572549187088,0.35359749677247776,0.33450266352398617,4.202180015529498,0.58572549187088,0.6436350213877853,0.3342629739429037,7.784855717127761,0.5906693772346864,0.3563649786122146,0.3342629739429037,4.215144282872239,0.5906693772346863,0.27,0.282,0.285,0.292,0.445,0.426
12,0.6521514151587091,0.3268012342864805,8.449971399629213,0.7061963215151803,0.3478485848412908,0.3268012342864805,4.550028600370789,0.7061963215151803,0.6570076299271099,0.33582288697770557,8.44186334705487,0.7157854093971486,0.34299237007289,0.33582288697770557,4.55813665294513,0.7157854093971484,0.283,0.291,0.294,0.278,0.423,0.431
13,0.6993426656590951,0.30073138911588776,9.149314065288308,0.7770222222779914,0.3006573343409048,0.30073138911588776,4.850685934711693,0.7770222222779914,0.6976251390034073,0.30068876672854405,9.139488486058276,0.7895880063802425,0.3023748609965927,0.30068876672854405,4.860511513941723,0.7895880063802424,0.295,0.264,0.275,0.268,0.43,0.468
