step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.6318336485795137,0.9699281437684604,0.6318336485795137,0.9699281437684604,0.3681663514204863,0.9699281437684604,0.3681663514204863,0.9699281437684604,0.5858813800132832,0.9893820846229969,0.5858813800132832,0.9893820846229969,0.41411861998671684,0.9893820846229969,0.41411861998671684,0.9893820846229969,1.0,1.0,0.0,0.0
1,1.0146986289021123,0.9795730453666703,1.646532277481626,1.372434804857502,-0.014698628902112187,0.9795730453666703,0.3534677225183741,1.372434804857502,-0.028773815750981185,1.0129069962593669,0.5571075642623019,1.4205462116750345,1.0287738157509811,1.0129069962593669,1.442892435737698,1.4205462116750345,1.0,0.0,0.0,1.0
2,-0.006583766103775002,1.0346634237458783,1.639948511377851,1.7212689295421932,1.0065837661037749,1.0346634237458783,1.3600514886221493,1.7212689295421932,0.9797524249822513,0.981623978142058,1.5368599892445531,1.7705287818733186,0.02024757501774867,0.981623978142058,1.4631400107554469,1.7705287818733186,0.0,1.0,1.0,0.0
3,0.20605467804436403,0.9963811436599499,1.8460031894222149,1.9728658727346609,0.793945321955636,0.9963811436599499,2.153996810577785,1.9728658727346609,0.19669158980621285,1.0006733685415838,1.733551579050766,2.035965407525353,0.8033084101937873,1.0006733685415838,2.2664484209492337,2.035965407525353,0.0,0.0,1.0,1.0
4,0.5072354672963322,1.0532844201759544,2.353238656718547,2.2628226483289273,0.4927645327036679,1.0532844201759546,2.646761343281453,2.2628226483289273,0.6161842219577839,1.0706930532051973,2.34973580100855,2.3314232530257333,0.38381577804221606,1.0706930532051973,2.65026419899145,2.3314232530257333,0.666,0.763,0.334,0.237
5,0.5268532279278675,1.0716111767856948,2.8800918846464145,2.5137841717672638,0.4731467720721325,1.0716111767856948,3.1199081153535855,2.5137841717672638,0.6285942083153029,1.063913167449238,2.9783300093238525,2.585077762148364,0.37140579168469706,1.063913167449238,3.021669990676147,2.585077762148364,0.674,0.759,0.326,0.241
6,0.4851082838119255,1.0234912828850737,3.3652001684583404,2.7201060326177213,0.5148917161880745,1.0234912828850737,3.6347998315416596,2.7201060326177213,0.6074490543194934,1.0532221324618949,3.5857790636433466,2.802772843825934,0.39255094568050664,1.0532221324618949,3.4142209363566534,2.802772843825934,0.735,0.76,0.265,0.24
7,0.5142758551667669,1.0609250200106863,3.8794760236251067,2.9463065526861976,0.4857241448332331,1.0609250200106861,4.120523976374893,2.9463065526861976,0.5284762722387659,1.0408706149648446,4.1142553358821115,2.978035907036141,0.47152372776123413,1.0408706149648446,3.8857446641178877,2.978035907036141,0.72,0.761,0.28,0.239
8,0.44275707978547857,1.0713360545174822,4.322233103410586,3.111397368700201,0.5572429202145214,1.0713360545174822,4.677766896589414,3.111397368700201,0.5381339616937861,1.0513100564310727,4.6523892975758985,3.211772669710667,0.4618660383062139,1.0513100564310727,4.3476107024241015,3.211772669710667,0.713,0.777,0.287,0.223
9,0.5110902627030718,1.029835302079709,4.833323366113658,3.2976158516138225,0.48890973729692827,1.029835302079709,5.166676633886343,3.297615851613823,0.5796128638640715,1.0694464032682136,5.23200216143997,3.4461392077293254,0.42038713613592854,1.0694464032682134,4.76799783856003,3.4461392077293254,0.747,0.785,0.253,0.215
