step,mean_reward_agent_0,std_reward_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.45097002478566534,0.4869268280994216,0.4059999999999999,0.23942430954270286,0.43810575813688374,0.514228435226595,0.4059999999999999,0.23942430954270286,0.481,0.485,0.519,0.515
1,0.465790557181494,0.5008168579273782,0.7984,0.39999679998719995,0.4474193887998765,0.4980492650246388,0.7984,0.39999679998719995,0.519,0.515,0.481,0.485
2,0.6491139724932115,0.41663185742091446,1.0326,0.44981911920237444,0.43873390140269974,0.4535266030705464,1.0326,0.44981911920237444,0.882,0.673,0.118,0.327
3,0.6405561035433011,0.4269396820980739,1.2482,0.4866587716254583,0.4798693233427799,0.4386079941759424,1.2482,0.4866587716254583,0.881,0.713,0.119,0.287
4,0.6149661778088551,0.43862943865955856,1.4861999999999997,0.5263929710776921,0.4911669230879981,0.4486520630641746,1.4861999999999997,0.5263929710776921,0.837,0.717,0.163,0.283
5,0.5979267701120844,0.40931248597518477,1.6842000000000001,0.5498275729717453,0.5040971638629557,0.4419619798912954,1.6842000000000001,0.5498275729717453,0.859,0.751,0.141,0.249
6,0.5838504064960138,0.41718053753913464,1.8924,0.5840053424413171,0.507773968841672,0.43514899946503477,1.8924,0.5840053424413171,0.838,0.759,0.162,0.241
7,0.5929928852696378,0.41472921536876317,2.0936,0.6185459077546307,0.5047124985545165,0.44848182204370607,2.0936,0.6185459077546307,0.862,0.764,0.138,0.236
8,0.6048517787996325,0.4168898353976425,2.28,0.6459102104782057,0.5089479600772728,0.42740079160505995,2.28,0.6459102104782057,0.865,0.787,0.135,0.213
9,0.5983717146416383,0.3992062101293522,2.464,0.6681796165702752,0.5267365107363549,0.42828550361660767,2.464,0.6681796165702752,0.872,0.784,0.128,0.216
10,0.5935505652886217,0.39587131327883,2.6287999999999996,0.6985488959264055,0.5267819445607064,0.42363261978364847,2.6287999999999996,0.6985488959264055,0.881,0.811,0.119,0.189
11,0.6088159734269626,0.4126934570966552,2.7782000000000004,0.728151605093335,0.5328717606636307,0.42392319508435516,2.7782000000000004,0.728151605093335,0.894,0.837,0.106,0.163
12,0.6038799020058334,0.4098668668517339,2.9406000000000003,0.7580182319707093,0.5507585230933921,0.40415129679047684,2.9406000000000003,0.7580182319707093,0.888,0.82,0.112,0.18
13,0.5887536561631007,0.398087568322438,3.087,0.762096450588769,0.5560812176867618,0.3945552733946713,3.087,0.762096450588769,0.885,0.851,0.115,0.149
14,0.5915352968016359,0.38520249061154566,3.2138,0.7938321988934437,0.5593439613046342,0.39668321465277007,3.2138,0.7938321988934437,0.909,0.861,0.091,0.139
15,0.5979093305984928,0.39242231691170976,3.3396000000000003,0.8294286226071536,0.569013385105504,0.3871803800476443,3.3396000000000003,0.8294286226071536,0.906,0.867,0.094,0.133
16,0.6084837148048848,0.37252109007850176,3.4461999999999997,0.8504972427938846,0.5421686138390016,0.37801804898375985,3.4461999999999997,0.8504972427938846,0.928,0.881,0.072,0.119
17,0.5815798347145106,0.378388895454216,3.576,0.8708065227132832,0.5402875500950192,0.4015689656262377,3.576,0.8708065227132832,0.915,0.858,0.085,0.142
18,0.5751151092324708,0.3969737209343015,3.6978,0.9033245042618957,0.5668914247959854,0.3934078816692872,3.6978,0.9033245042618957,0.909,0.88,0.091,0.12
19,0.5882965057200149,0.3954119182844808,3.8208,0.921112023588879,0.5681019408670382,0.3772558175731915,3.8208,0.921112023588879,0.902,0.881,0.098,0.119
20,0.5962072418943165,0.3687100159402026,3.9306000000000005,0.9383941815676393,0.565926325465274,0.37031379519818486,3.9306000000000005,0.9383941815676393,0.929,0.876,0.071,0.124
21,0.5842952917268944,0.3708678520609052,4.0245999999999995,0.9683361193304726,0.5615412599821574,0.3792822450490816,4.0245999999999995,0.9683361193304726,0.924,0.91,0.076,0.09
22,0.585634202176773,0.3771392184674578,4.1132,0.9797478042843472,0.590409533321546,0.36633489598728414,4.1132,0.9797478042843472,0.924,0.919,0.076,0.081
23,0.6122760405013299,0.37118559190950534,4.206,1.0095365273233057,0.5806493584561616,0.3641402432580889,4.206,1.0095365273233057,0.931,0.909,0.069,0.091
24,0.5810786736538917,0.3801460741250779,4.3072,1.0237324650512942,0.5445338927686922,0.38908351635738625,4.3072,1.0237324650512942,0.923,0.895,0.077,0.105
25,0.5796427154340932,0.3613746648394333,4.4014,1.040787221289731,0.5864586631222365,0.3666566771982196,4.4014,1.040787221289731,0.925,0.91,0.075,0.09
26,0.5784799181214648,0.3805147318783364,4.4982,1.0633140458020853,0.5928604999898535,0.36414943964462,4.4982,1.0633140458020853,0.915,0.913,0.085,0.087
27,0.6016932409158289,0.36876742464503937,4.583799999999999,1.080526519804118,0.5460175107917221,0.3670507026518116,4.583799999999999,1.080526519804118,0.931,0.913,0.069,0.087
28,0.6086258402285782,0.3625630510357764,4.6606,1.0949555424764967,0.5893130527352475,0.35832078230079545,4.6606,1.0949555424764967,0.946,0.922,0.054,0.078
29,0.5980628236859296,0.36242006795251197,4.744999999999999,1.1012606412652726,0.5878102621385203,0.3694884224450306,4.744999999999999,1.1012606412652726,0.93,0.92,0.07,0.08
30,0.5892988114716422,0.3655337955193637,4.8107999999999995,1.1016548279747151,0.5907490808893663,0.35488477923907097,4.8107999999999995,1.1016548279747151,0.939,0.942,0.061,0.058
31,0.6059334276897561,0.36031579533278846,4.889999999999999,1.1159121829248029,0.6054845432402419,0.3633358806496326,4.889999999999999,1.1159121829248029,0.937,0.927,0.063,0.073
32,0.5997604029398178,0.36803163494240804,4.968599999999999,1.1323312412894024,0.5796262670842441,0.380785672397894,4.968599999999999,1.1323312412894024,0.945,0.912,0.055,0.088
33,0.5986269029131299,0.3715821328208762,5.0496,1.150521551297497,0.587362900192235,0.3551718425056564,5.0496,1.150521551297497,0.935,0.926,0.065,0.074
34,0.5818424171152001,0.36296592862893673,5.136,1.1787043734541747,0.5748575773298196,0.36410222366697126,5.136,1.1787043734541747,0.933,0.911,0.067,0.089
35,0.5793684076089574,0.37300538744998835,5.219,1.195725302901966,0.6000064838853256,0.3603159803487251,5.219,1.195725302901966,0.928,0.927,0.072,0.073
