step,mean_reward_agent_0,std_reward_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.4261041142994203,1.0944579983306573,0.39759999999999995,0.2468891249123784,0.4727803434400937,1.0781290631480687,0.39759999999999995,0.2468891249123784,0.512,0.5,0.488,0.5
1,0.4410721414402022,1.058841613685111,0.8,0.4,0.4041402943376608,1.0525847088048148,0.8,0.4,0.488,0.5,0.512,0.5
2,0.5760278210317931,1.029828856371131,1.1265999999999998,0.46408236337960523,0.49441870462815884,1.0754457656273941,1.1265999999999998,0.46408236337960523,0.694,0.599,0.306,0.401
3,0.5004649876001909,1.0492763629429005,1.4543999999999997,0.5395559655865182,0.40677408185340685,1.046307293148476,1.4543999999999997,0.5395559655865182,0.686,0.621,0.314,0.379
4,0.5561008174481494,1.074242383628431,1.7758,0.6058501134769226,0.5176992783329082,1.0400197069372712,1.7758,0.6058501134769226,0.7,0.647,0.3,0.353
5,0.5387322436672966,1.0763371372102943,2.0646,0.6946847054599662,0.4977259751776711,1.0647761428030307,2.0646,0.6946847054599662,0.722,0.67,0.278,0.33
6,0.5206357022529889,1.0476960282706222,2.352,0.7799589732800053,0.4451889212094632,1.0361623870423153,2.352,0.7799589732800053,0.73,0.679,0.27,0.321
7,0.5103626010055152,1.0456104314077141,2.6408,0.8796904910251105,0.4977696527028678,1.0622885333551033,2.6408,0.8796904910251105,0.725,0.695,0.275,0.305
8,0.5124394829743031,1.0519813216431249,2.912,0.97874204977614,0.5572531453339605,1.069630373032001,2.912,0.97874204977614,0.717,0.719,0.283,0.281
9,0.5473042151252513,1.0663948126115792,3.1613999999999995,1.0768797704479363,0.476125782830489,1.0336851128749733,3.1613999999999995,1.0768797704479363,0.774,0.729,0.226,0.271
10,0.5741181635689557,1.059160969283627,3.4034,1.164864129415959,0.46770343911872203,1.0490812200635051,3.4034,1.164864129415959,0.782,0.736,0.218,0.264
11,0.57047097613729,1.0802194782063033,3.6608,1.2604694998293293,0.571811828880727,1.0561666361705782,3.6608,1.2604694998293293,0.792,0.711,0.208,0.289
12,0.5633312682947103,1.0402660691576155,3.9046,1.3777005625316407,0.5197433786494291,1.0242721746878327,3.9046,1.3777005625316407,0.793,0.734,0.207,0.266
13,0.5378853633599878,1.0216307324483203,4.134,1.4841441978460177,0.5167265592487136,1.0193640797280585,4.134,1.4841441978460177,0.814,0.729,0.186,0.271
14,0.5895430388682488,1.0630653716507494,4.3586,1.5992267006275247,0.527595514037762,1.0549385047420632,4.3586,1.5992267006275247,0.816,0.763,0.184,0.237
15,0.6127072459553754,1.054846575508437,4.5722,1.7002079755135835,0.5494650620310768,1.0690086365180476,4.5722,1.7002079755135835,0.828,0.78,0.172,0.22
16,0.5655600802181577,1.0508577314277991,4.7936,1.80052187990038,0.541068398785,1.0851658491594085,4.7936,1.80052187990038,0.815,0.768,0.185,0.232
17,0.5570392055570554,1.0096817785463468,4.994,1.9003904861896141,0.5369694699620933,1.0597722434408097,4.994,1.9003904861896141,0.825,0.805,0.175,0.195
18,0.5402658337882562,1.0594150104627755,5.187,1.996204147876664,0.5545733142821598,1.0467564055409435,5.187,1.996204147876664,0.842,0.811,0.158,0.189
19,0.5551897074981489,1.0134616101706657,5.382199999999999,2.083065807889899,0.5464250203022859,1.0271818983768917,5.382199999999999,2.083065807889899,0.84,0.8,0.16,0.2
20,0.6112754225066909,0.995522058401433,5.5656,2.1559444890812927,0.4717076730416593,1.023731223437737,5.5656,2.1559444890812927,0.847,0.818,0.153,0.182
21,0.6318097385796407,1.0767252590583465,5.758,2.2374619549838153,0.555083346723492,1.0198363153831853,5.758,2.2374619549838153,0.842,0.8,0.158,0.2
22,0.6211025219711235,1.0618115456219321,5.934999999999998,2.3338498237890106,0.5314587461937074,1.0772663434548928,5.934999999999998,2.3338498237890106,0.86,0.821,0.14,0.179
23,0.5918907818230216,0.9940507848671651,6.113199999999999,2.430075258093871,0.5098577349991216,1.027041847416008,6.113199999999999,2.430075258093871,0.845,0.83,0.155,0.17
24,0.5788787908145469,1.0372970439279143,6.287999999999999,2.518542435616282,0.5600209068162487,1.0763738914243226,6.287999999999999,2.518542435616282,0.855,0.827,0.145,0.173
25,0.6027597846414818,1.034686484617063,6.467999999999998,2.611470084071421,0.5273645955786218,1.0630470618873877,6.467999999999998,2.611470084071421,0.85,0.814,0.15,0.186
26,0.5366946112132279,1.0530316653988676,6.631799999999999,2.6924168993675544,0.5612157790134481,1.0365967212965728,6.631799999999999,2.6924168993675544,0.872,0.835,0.128,0.165
27,0.561608992488929,1.0625851859907023,6.783799999999999,2.7709668998383927,0.6054473618344555,1.029595972238132,6.783799999999999,2.7709668998383927,0.865,0.859,0.135,0.141
28,0.6027056261190152,1.0450708573851424,6.9437999999999995,2.8503335874946276,0.4825644738548763,1.0296886765742639,6.9437999999999995,2.8503335874946276,0.861,0.839,0.139,0.161
29,0.5890326694866737,1.062071104712464,7.096599999999999,2.935327654623925,0.5775510375693873,1.0552956933604152,7.096599999999999,2.935327654623925,0.876,0.852,0.124,0.148
30,0.5504190118927457,1.0117005529643832,7.252799999999999,3.0036797698822677,0.5932088080319318,1.0801811174109452,7.252799999999999,3.0036797698822677,0.858,0.859,0.142,0.141
31,0.6328525154059117,1.0186138820406274,7.3965999999999985,3.079134365369591,0.5704214240675085,1.0313351132154074,7.3965999999999985,3.079134365369591,0.882,0.865,0.118,0.135
