step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.5999999999999998,2.220446049250313e-16,0.5999999999999998,2.220446049250313e-16,0.4000000000000001,5.551115123125783e-17,0.4000000000000001,5.551115123125783e-17,0.5999999999999998,2.220446049250313e-16,0.5999999999999998,2.220446049250313e-16,0.4000000000000001,5.551115123125783e-17,0.4000000000000001,5.551115123125783e-17,1.0,1.0,0.0,0.0
1,1.0,0.0,1.6000000000000003,2.220446049250313e-16,0.0,0.0,0.4000000000000001,5.551115123125783e-17,0.0,0.0,0.5999999999999998,2.220446049250313e-16,1.0,0.0,1.3999999999999997,2.220446049250313e-16,1.0,0.0,0.0,1.0
2,0.0,0.0,1.6000000000000003,2.220446049250313e-16,1.0,0.0,1.3999999999999997,2.220446049250313e-16,1.0,0.0,1.6000000000000003,2.220446049250313e-16,0.0,0.0,1.3999999999999997,2.220446049250313e-16,0.0,1.0,1.0,0.0
3,0.20000000000000004,2.7755575615628914e-17,1.8000000000000005,4.440892098500626e-16,0.8000000000000002,1.1102230246251565e-16,2.1999999999999997,4.440892098500626e-16,0.20000000000000004,2.7755575615628914e-17,1.8000000000000005,4.440892098500626e-16,0.8000000000000002,1.1102230246251565e-16,2.1999999999999997,4.440892098500626e-16,0.0,0.0,1.0,1.0
4,0.7107999999999999,0.17900659205738764,2.5107999999999993,0.1790065920573876,0.2892,0.17900659205738767,2.4892000000000007,0.1790065920573876,0.4337999999999999,0.2685098880860815,2.2337999999999996,0.26850988808608145,0.5662,0.2685098880860815,2.766200000000001,0.2685098880860815,1.0,0.723,0.0,0.277
5,0.714,0.18056577748842667,3.2247999999999992,0.24204330191104229,0.286,0.18056577748842664,2.7752000000000008,0.24204330191104229,0.42899999999999994,0.2708486662326399,2.6627999999999994,0.36306495286656354,0.571,0.2708486662326399,3.3372000000000006,0.36306495286656354,1.0,0.715,0.0,0.285
6,0.7083999999999999,0.17779043843806674,3.9332000000000003,0.28202439610785446,0.2916,0.17779043843806677,3.0667999999999997,0.2820243961078544,0.4373999999999999,0.2666856576571001,3.1002,0.42303659416178174,0.5626000000000001,0.2666856576571001,3.8998,0.42303659416178174,1.0,0.729,0.0,0.271
7,0.7087999999999999,0.17799595501021928,4.642,0.31034819155264937,0.29120000000000007,0.17799595501021925,3.3579999999999997,0.31034819155264937,0.43679999999999997,0.2669939325153289,3.5370000000000004,0.46552228732897427,0.5632000000000001,0.2669939325153289,4.463,0.46552228732897427,1.0,0.728,0.0,0.272
8,0.5511999999999999,0.2973525853259056,5.1932,0.5478994068257418,0.4488000000000001,0.2973525853259056,3.806799999999999,0.5478994068257419,0.5291999999999998,0.30031210431815764,4.066200000000001,0.6129743550916303,0.47080000000000005,0.30031210431815764,4.9338,0.6129743550916305,0.783,0.761,0.217,0.239
9,0.2388,0.32139471059742103,5.432,0.46752112251747513,0.7612000000000001,0.321394710597421,4.568,0.46752112251747513,0.7078,0.35824455334310384,4.774,0.64165722936783,0.29220000000000007,0.35824455334310384,5.226,0.64165722936783,0.294,0.763,0.706,0.237
