step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.5471684646435637,0.9184639095674225,0.5471684646435637,0.9184639095674225,0.4528315353564361,0.9184639095674225,0.4528315353564361,0.9184639095674225,0.5942450907825132,0.9916237762922255,0.5942450907825132,0.9916237762922255,0.40575490921748686,0.9916237762922255,0.40575490921748686,0.9916237762922255,1.0,1.0,0.0,0.0
1,1.0435912478190608,0.979399308016575,1.590759712462625,1.334754594977637,-0.043591247819060965,0.9793993080165749,0.40924028753737524,1.334754594977637,-0.012169373862395782,1.0142745591764486,0.5820757169201174,1.42455288573601,1.0121693738623958,1.0142745591764486,1.4179242830798826,1.42455288573601,1.0,0.0,0.0,1.0
2,-0.0034349068790463485,1.0532356640647536,1.5873248055835785,1.6881035091054706,1.0034349068790465,1.0532356640647536,1.4126751944164215,1.6881035091054704,1.0027581807631725,0.987235387499649,1.5848338976832896,1.7021273487459465,-0.002758180763172554,0.987235387499649,1.4151661023167104,1.7021273487459465,0.0,1.0,1.0,0.0
3,0.24597726127463349,0.9700493249310896,1.833302066858212,1.9621739428360563,0.7540227387253665,0.9700493249310896,2.166697933141788,1.9621739428360563,0.17166274077264893,0.9772362220192933,1.7564966384559388,2.0024036361389257,0.828337259227351,0.9772362220192933,2.243503361544061,2.002403636138926,0.0,0.0,1.0,1.0
4,0.5061772933670732,1.0677414570168913,2.339479360225285,2.1888764447067866,0.4938227066329268,1.0677414570168913,2.660520639774715,2.1888764447067866,0.5054381288331427,1.0337805529450717,2.2619347672890813,2.2466114733125613,0.49456187116685735,1.0337805529450717,2.7380652327109187,2.2466114733125613,0.754,0.768,0.246,0.232
5,0.5217329233791992,1.0452045242677577,2.8612122836044844,2.412086617614551,0.47826707662080076,1.0452045242677577,3.138787716395516,2.412086617614551,0.501114477500627,1.0093268564455764,2.7630492447897086,2.528010448041512,0.4988855224993731,1.0093268564455764,3.2369507552102914,2.528010448041512,0.764,0.82,0.236,0.18
6,0.535490278039856,1.0220598770878282,3.3967025616443403,2.573575486676808,0.46450972196014384,1.0220598770878282,3.6032974383556597,2.573575486676808,0.582352428948317,1.0145862367662348,3.345401673738025,2.6807387041374966,0.41764757105168304,1.0145862367662348,3.654598326261975,2.6807387041374966,0.753,0.834,0.247,0.166
7,0.5877346080227438,1.0348739780738252,3.984437169667084,2.7582569711282487,0.41226539197725615,1.0348739780738252,4.015562830332916,2.7582569711282487,0.5850319055510395,1.0512703718653247,3.9304335792890646,2.8869334069111305,0.41496809444896054,1.0512703718653247,4.069566420710935,2.8869334069111305,0.778,0.847,0.222,0.153
8,0.4550870896496152,1.0389576315024298,4.439524259316699,3.0022012368720286,0.5449129103503847,1.0389576315024298,4.5604757406833,3.0022012368720286,0.5670774755207506,1.008081830823666,4.497511054809815,3.0743015822044075,0.4329225244792495,1.008081830823666,4.502488945190184,3.0743015822044075,0.76,0.845,0.24,0.155
9,0.47543839587282616,1.0172105352724663,4.914962655189525,3.213639100963513,0.5245616041271738,1.0172105352724663,5.085037344810475,3.213639100963513,0.6207231001948433,0.9911614670709594,5.118234155004658,3.329890345607849,0.3792768998051566,0.9911614670709594,4.881765844995342,3.329890345607849,0.77,0.862,0.23,0.138
10,0.490434976627653,1.0298750293485404,5.405397631817179,3.360772346480911,0.509565023372347,1.0298750293485406,5.594602368182821,3.360772346480911,0.6130712179032906,1.0418616598402424,5.731305372907949,3.49136309576383,0.38692878209670956,1.0418616598402424,5.268694627092051,3.4913630957638304,0.77,0.869,0.23,0.131
11,0.5270165191287897,1.0134273298969712,5.932414150945967,3.5333975606638472,0.4729834808712103,1.0134273298969712,6.067585849054032,3.5333975606638472,0.6197666315003483,1.044895375054356,6.351072004408297,3.733601519222992,0.3802333684996517,1.044895375054356,5.648927995591703,3.733601519222992,0.796,0.873,0.204,0.127
12,0.5742275997008949,1.0315588639397901,6.506641750646863,3.688393144414659,0.425772400299105,1.0315588639397901,6.493358249353137,3.688393144414659,0.6052664560374212,1.042793884698901,6.956338460445719,3.8690742851273368,0.39473354396257876,1.0427938846989013,6.043661539554281,3.8690742851273368,0.81,0.89,0.19,0.11
13,0.45249705044693855,1.0168951749998763,6.959138801093802,3.827420163168869,0.5475029495530614,1.0168951749998763,7.040861198906199,3.827420163168869,0.6463061391689958,1.0327465613020699,7.602644599614714,4.088920937611703,0.3536938608310041,1.0327465613020699,6.397355400385286,4.088920937611703,0.773,0.899,0.227,0.101
14,0.507825103730763,1.017467992476326,7.466963904824565,3.9966136779537544,0.49217489626923705,1.017467992476326,7.533036095175436,3.996613677953755,0.5987936858777874,1.0264312812404945,8.201438285492502,4.261804858150196,0.4012063141222127,1.0264312812404945,6.798561714507498,4.261804858150196,0.803,0.897,0.197,0.103
15,0.5237545298440885,1.0144985338470434,7.990718434668654,4.125740673135278,0.47624547015591134,1.0144985338470434,8.009281565331346,4.125740673135278,0.6791939121799279,0.9926197656876554,8.880632197672428,4.339674457399129,0.3208060878200721,0.9926197656876555,7.11936780232757,4.33967445739913,0.797,0.898,0.203,0.102
16,0.5372369047718117,1.0684851602026724,8.527955339440465,4.322908750770012,0.46276309522818826,1.0684851602026724,8.472044660559535,4.322908750770012,0.6120304398037956,1.0382098267752315,9.492662637476228,4.4855665436389005,0.3879695601962044,1.0382098267752315,7.507337362523774,4.4855665436389005,0.789,0.899,0.211,0.101
17,0.5414592171169847,1.037929509190947,9.06941455655745,4.4860103913122975,0.45854078288301525,1.037929509190947,8.93058544344255,4.486010391312298,0.6466313640496071,1.01984414109819,10.139294001525831,4.641243893698638,0.353368635950393,1.01984414109819,7.860705998474168,4.641243893698638,0.805,0.909,0.195,0.091
18,0.4775480104013294,1.0594854014410788,9.546962566958781,4.635774967538602,0.5224519895986706,1.0594854014410788,9.453037433041219,4.635774967538602,0.6442155836155278,0.9995569896263251,10.783509585141362,4.771295155512427,0.35578441638447234,0.9995569896263251,8.216490414858638,4.771295155512428,0.808,0.911,0.192,0.089
19,0.4225514781868557,1.0387958941430264,9.969514045145635,4.764657827720393,0.5774485218131442,1.0387958941430264,10.030485954854365,4.764657827720393,0.6655283474275306,1.03378594024335,11.44903793256889,4.8446029497698095,0.33447165257246936,1.03378594024335,8.550962067431108,4.844602949769809,0.814,0.889,0.186,0.111
20,0.5506345423829159,1.0428621161068574,10.520148587528551,4.899992902040797,0.4493654576170841,1.0428621161068574,10.479851412471449,4.899992902040797,0.6338522094495056,1.0220605287600941,12.082890142018398,4.975704707189845,0.3661477905504944,1.0220605287600941,8.917109857981602,4.975704707189845,0.829,0.9,0.171,0.1
21,0.5562156074476766,1.0252407164085233,11.076364194976227,4.999286495158711,0.44378439255232344,1.0252407164085233,10.923635805023773,4.999286495158711,0.5956690674029239,1.0265389203472972,12.67855920942132,5.031343334145741,0.404330932597076,1.0265389203472972,9.321440790578679,5.031343334145741,0.814,0.914,0.186,0.086
22,0.5761109788267738,1.0223297313268793,11.652475173803003,5.060409489795831,0.4238890211732263,1.0223297313268793,11.347524826196997,5.060409489795831,0.5945534306940256,1.0139520330827363,13.273112640115345,5.182646000262076,0.40544656930597434,1.0139520330827363,9.726887359884655,5.182646000262076,0.837,0.902,0.163,0.098
23,0.5081268569134972,1.0406427237298084,12.160602030716499,5.1677271047107345,0.49187314308650276,1.0406427237298084,11.839397969283501,5.1677271047107345,0.6195372158393782,1.0644543922635852,13.892649855954726,5.329021084297421,0.38046278416062185,1.0644543922635852,10.107350144045274,5.329021084297421,0.825,0.908,0.175,0.092
24,0.533860500787417,1.0409872691226507,12.694462531503916,5.268930832291108,0.466139499212583,1.0409872691226507,12.305537468496084,5.268930832291108,0.6149867819105076,0.9865525876349864,14.50763663786523,5.42441917714562,0.38501321808949235,0.9865525876349864,10.492363362134768,5.424419177145619,0.846,0.916,0.154,0.084
25,0.48238182374391136,1.0517690466675684,13.176844355247827,5.394919387890717,0.5176181762560886,1.0517690466675687,12.823155644752173,5.394919387890717,0.5536880966474323,1.035167387882349,15.061324734512663,5.5388115820315615,0.4463119033525677,1.035167387882349,10.938675265487337,5.5388115820315615,0.838,0.936,0.162,0.064
26,0.5436270158718292,1.0075396481487446,13.720471371119656,5.494001066865573,0.45637298412817084,1.0075396481487446,13.279528628880344,5.494001066865573,0.6308669187961318,1.0092863266593013,15.692191653308797,5.649110589319521,0.3691330812038681,1.0092863266593013,11.307808346691203,5.649110589319521,0.846,0.913,0.154,0.087
27,0.5043031479518867,1.0095924945128707,14.224774519071543,5.593728645671518,0.4956968520481133,1.0095924945128707,13.775225480928457,5.593728645671518,0.5860580781848737,1.0178201326169785,16.27824973149367,5.7158166450341685,0.4139419218151263,1.0178201326169785,11.72175026850633,5.7158166450341685,0.84,0.928,0.16,0.072
28,0.5441667640205393,0.9858032987800361,14.768941283092083,5.675190688608414,0.4558332359794607,0.9858032987800361,14.231058716907919,5.675190688608414,0.6356741736222014,1.013361513196488,16.913923905115873,5.815346597387823,0.36432582637779876,1.0133615131964877,12.08607609488413,5.815346597387824,0.849,0.925,0.151,0.075
29,0.5225314640279213,1.0476787401467442,15.291472747120002,5.816395895395991,0.4774685359720788,1.0476787401467442,14.708527252879996,5.816395895395991,0.5849449339719744,1.0442976862570559,17.498868839087844,5.886854372735518,0.4150550660280255,1.0442976862570559,12.501131160912156,5.8868543727355185,0.836,0.934,0.164,0.066
30,0.5714806236441359,1.0110156264755794,15.862953370764139,5.9238761694552995,0.4285193763558641,1.0110156264755794,15.137046629235861,5.9238761694552995,0.6362137279535894,1.0227491881174677,18.135082567041433,6.013860943108138,0.36378627204641056,1.0227491881174677,12.864917432958565,6.013860943108137,0.863,0.919,0.137,0.081
31,0.5072900834245518,1.0552525163821098,16.37024345418869,6.068229314246007,0.49270991657544805,1.0552525163821098,15.62975654581131,6.068229314246007,0.6136444637262602,1.052375477443549,18.748727030767697,6.165539434938724,0.3863555362737398,1.052375477443549,13.251272969232305,6.165539434938724,0.868,0.943,0.132,0.057
32,0.5455637844526903,1.0322211592660124,16.91580723864138,6.147605227141671,0.45443621554730984,1.0322211592660124,16.08419276135862,6.147605227141671,0.6490772109028842,1.0418612370658082,19.397804241670578,6.271779782495428,0.35092278909711583,1.0418612370658082,13.60219575832942,6.271779782495428,0.868,0.939,0.132,0.061
33,0.5253857971929002,0.9932575165325572,17.44119303583428,6.1829838444341405,0.47461420280709976,0.9932575165325572,16.55880696416572,6.18298384443414,0.6476606021488842,0.9789977833472311,20.045464843819463,6.346371178622697,0.3523393978511158,0.9789977833472311,13.954535156180537,6.3463711786226975,0.854,0.929,0.146,0.071
34,0.5380709109160464,0.9895148292388244,17.979263946750326,6.267129395855798,0.4619290890839536,0.9895148292388244,17.020736053249674,6.267129395855797,0.608032798683171,1.0352562616322407,20.653497642502632,6.446174418265626,0.391967201316829,1.0352562616322407,14.346502357497366,6.446174418265627,0.868,0.929,0.132,0.071
35,0.5566152087483308,0.9872351366910503,18.53587915549866,6.3994628133428995,0.4433847912516692,0.9872351366910505,17.46412084450134,6.3994628133428995,0.6383016908004328,1.0224266758601803,21.291799333303068,6.55718714502305,0.36169830919956736,1.0224266758601803,14.708200666696934,6.55718714502305,0.877,0.94,0.123,0.06
36,0.5681768896272438,1.0677734401003551,19.104056045125905,6.509956770502454,0.4318231103727562,1.0677734401003551,17.895943954874095,6.509956770502454,0.5983561997064591,1.015667591729897,21.89015553300953,6.6196078822233,0.40164380029354085,1.015667591729897,15.109844466990474,6.619607882223301,0.879,0.947,0.121,0.053
37,0.5154703914636515,1.0568361153777563,19.619526436589553,6.643400515227742,0.4845296085363485,1.0568361153777563,18.380473563410447,6.643400515227742,0.5959436659377445,1.025674593770881,22.486099198947272,6.669420162267569,0.4040563340622554,1.025674593770881,15.51390080105273,6.669420162267569,0.877,0.95,0.123,0.05
38,0.5509211077204925,1.012357805667076,20.170447544310047,6.724882436224642,0.44907889227950754,1.012357805667076,18.829552455689953,6.724882436224641,0.6122839621643036,1.006765624614863,23.098383161111574,6.75768361639671,0.38771603783569636,1.006765624614863,15.901616838888426,6.757683616396709,0.89,0.935,0.11,0.065
39,0.5665869630466763,1.0327026876120144,20.73703450735672,6.813384061710203,0.4334130369533236,1.0327026876120144,19.26296549264328,6.813384061710202,0.5854884120505337,1.0870997331880448,23.683871573162108,6.906853903326366,0.4145115879494663,1.0870997331880448,16.316128426837892,6.906853903326366,0.894,0.944,0.106,0.056
40,0.518523362179214,1.044255043336728,21.255557869535938,6.896983484665598,0.481476637820786,1.044255043336728,19.744442130464062,6.896983484665598,0.6117538224500169,1.0502457278219908,24.29562539561212,7.02051529738654,0.38824617754998314,1.0502457278219908,16.704374604387873,7.02051529738654,0.884,0.942,0.116,0.058
41,0.5737572844044665,1.0166787825384855,21.829315153940406,6.900897411483111,0.4262427155955335,1.0166787825384855,20.1706848460596,6.900897411483112,0.6157250211984969,0.9732478369309183,24.911350416810624,7.082208720361612,0.384274978801503,0.9732478369309182,17.088649583189376,7.082208720361612,0.9,0.945,0.1,0.055
42,0.5728570891475157,0.9967420771435842,22.402172243087918,7.040129883357619,0.4271429108524843,0.9967420771435842,20.597827756912082,7.040129883357619,0.6042550135801749,1.0234088249177868,25.5156054303908,7.190235267447725,0.3957449864198253,1.0234088249177868,17.4843945696092,7.190235267447725,0.898,0.948,0.102,0.052
43,0.5549899886404078,1.0471705782040528,22.957162231728326,7.124864087712815,0.44501001135959223,1.047170578204053,21.042837768271674,7.124864087712815,0.5949772698569297,1.0105610227206396,26.110582700247726,7.259877543356173,0.4050227301430704,1.0105610227206396,17.889417299752274,7.259877543356173,0.901,0.95,0.099,0.05
44,0.5717993060211565,1.0129796170780045,23.528961537749485,7.255872127446579,0.4282006939788436,1.0129796170780045,21.471038462250515,7.255872127446579,0.5731254939907353,0.9882314389462945,26.683708194238466,7.2967675739379185,0.4268745060092647,0.9882314389462945,18.316291805761534,7.296767573937918,0.908,0.946,0.092,0.054
45,0.5604209531955212,0.9846390250899484,24.089382490945006,7.361807436112945,0.4395790468044788,0.9846390250899484,21.910617509054994,7.361807436112945,0.6100008046953653,0.9908345967004707,27.293708998933827,7.369229254047322,0.3899991953046348,0.9908345967004706,18.706291001066173,7.369229254047322,0.913,0.952,0.087,0.048
46,0.5217161857646188,1.0092235700634156,24.611098676709624,7.436076909056386,0.47828381423538135,1.0092235700634156,22.388901323290373,7.436076909056386,0.5687641112876342,0.9685926610115163,27.862473110221462,7.475507809183595,0.43123588871236584,0.9685926610115163,19.137526889778538,7.475507809183596,0.909,0.951,0.091,0.049
47,0.5456133943686473,1.023965749339818,25.156712071078267,7.504975909804943,0.4543866056313527,1.023965749339818,22.843287928921733,7.504975909804943,0.6155262273385388,1.073574073324006,28.47799933756,7.600630485264494,0.38447377266146116,1.073574073324006,19.522000662439996,7.600630485264494,0.902,0.953,0.098,0.047
48,0.5343907417556764,1.0022369578226236,25.691102812833947,7.577027028126789,0.46560925824432364,1.0022369578226236,23.308897187166053,7.577027028126789,0.5735451643831784,0.9969881800093116,29.05154450194318,7.672209233206705,0.4264548356168215,0.9969881800093116,19.94845549805682,7.672209233206705,0.912,0.962,0.088,0.038
49,0.5179499330824199,0.979004455972845,26.209052745916367,7.675584400880263,0.48205006691758007,0.979004455972845,23.790947254083633,7.675584400880263,0.6237713209760823,1.0031464814123312,29.675315822919263,7.682064174520362,0.3762286790239176,1.0031464814123312,20.32468417708074,7.682064174520362,0.902,0.963,0.098,0.037
50,0.578379572856248,0.9731571816003247,26.787432318772616,7.754606825035986,0.4216204271437521,0.9731571816003247,24.212567681227384,7.754606825035986,0.583430647387027,1.0225957829396943,30.25874647030629,7.7321971155990274,0.416569352612973,1.0225957829396943,20.741253529693708,7.7321971155990274,0.9,0.958,0.1,0.042
