step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.44587378368476244,0.39865165300852096,0.44587378368476244,0.39865165300852096,0.5541262163152376,0.3986516530085209,0.5541262163152376,0.3986516530085209,0.4618072925793988,0.4011361416151427,0.4618072925793988,0.4011361416151427,0.5381927074206012,0.40113614161514266,0.5381927074206012,0.40113614161514266,0.496,0.511,0.504,0.489
1,0.45595338287655846,0.4017404024026373,0.9018271665613211,0.17652374578658914,0.5440466171234414,0.4017404024026373,1.0981728334386789,0.17652374578658914,0.43850165260066526,0.3997874074273925,0.900308945180064,0.16838362096397083,0.5614983473993348,0.3997874074273925,1.099691054819936,0.16838362096397083,0.504,0.489,0.496,0.511
2,0.5987401244746157,0.10638515586530614,1.5005672910359367,0.20471765603912379,0.40125987552538434,0.10638515586530614,1.4994327089640633,0.20471765603912379,0.5993344386519137,0.10057622937283825,1.4996433838319778,0.19744150193628482,0.40066556134808623,0.10057622937283825,1.5003566161680224,0.19744150193628482,0.998,0.999,0.002,0.001
3,0.4770265521131291,0.29883728608655036,1.9775938431490658,0.4032780367123521,0.5229734478868708,0.2988372860865504,2.022406156850934,0.403278036712352,0.4574857658444491,0.2838559516233777,1.957129149676427,0.3870919762563982,0.5425142341555509,0.2838559516233777,2.042870850323573,0.3870919762563982,0.635,0.621,0.365,0.379
4,0.46123036408189566,0.3597451384054371,2.438824207230961,0.40900450965876783,0.5387696359181043,0.3597451384054371,2.561175792769039,0.40900450965876783,0.4878496972270413,0.35763466820766765,2.4449788469034686,0.4033964109726418,0.5121503027729586,0.35763466820766765,2.5550211530965314,0.4033964109726418,0.583,0.597,0.417,0.403
5,0.5418893304192242,0.286853304847211,2.9807135376501854,0.34198443224403763,0.45811066958077584,0.286853304847211,3.0192864623498146,0.34198443224403763,0.5442912252166742,0.28739090785409577,2.9892700721201426,0.32814167544280354,0.4557087747833258,0.28739090785409577,3.0107299278798574,0.3281416754428035,0.803,0.802,0.197,0.198
6,0.549271168017259,0.28089104401862414,3.5299847056674443,0.4113246452930293,0.4507288319827411,0.2808910440186241,3.4700152943325557,0.4113246452930293,0.5446032633982689,0.276903427189518,3.533873335518411,0.4180685923923047,0.45539673660173097,0.276903427189518,3.466126664481589,0.4180685923923047,0.809,0.798,0.191,0.202
7,0.5506507713084605,0.29378429416945206,4.080635476975905,0.47455873019273126,0.4493492286915394,0.293784294169452,3.919364523024095,0.47455873019273126,0.5326426939106946,0.30053951051242256,4.066516029429106,0.47338083720510116,0.4673573060893053,0.30053951051242256,3.933483970570894,0.47338083720510116,0.794,0.785,0.206,0.215
8,0.515645866392678,0.3100534196229897,4.596281343368583,0.5041547044798946,0.48435413360732205,0.3100534196229897,4.403718656631417,0.5041547044798946,0.5371667576640129,0.30590743496350253,4.60368278709312,0.4844080844979099,0.462833242335987,0.30590743496350253,4.39631721290688,0.48440808449790995,0.734,0.752,0.266,0.248
9,0.5428773108003198,0.30528368592409044,5.139158654168903,0.5115538428701426,0.4571226891996802,0.30528368592409044,4.860841345831097,0.5115538428701425,0.550200652426118,0.30723281641790157,5.153883439519237,0.5085229429516801,0.44979934757388185,0.30723281641790157,4.846116560480763,0.50852294295168,0.791,0.793,0.209,0.207
