step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9931379376358331,0.9709762316212109,0.9931379376358331,0.9709762316212109,0.006862062364166881,0.9709762316212109,0.006862062364166881,0.9709762316212109,0.9777734350740969,0.9594958586753188,0.9777734350740969,0.9594958586753188,0.022226564925903122,0.9594958586753188,0.022226564925903122,0.9594958586753188,1.0,1.0,0.0,0.0
1,0.031416777178117125,1.088961351108541,1.0245547148139504,1.4668768893136521,0.9685832228218829,1.088961351108541,0.9754452851860497,1.4668768893136521,0.02570524346943195,1.018249519952614,1.0034786785435288,1.36949884029713,0.9742947565305681,1.018249519952614,0.9965213214564711,1.36949884029713,1.0,0.0,0.0,1.0
2,0.02111375769301803,0.9828353293405914,1.0456684725069683,1.7942814222575136,0.978886242306982,0.9828353293405914,1.954331527493032,1.7942814222575136,-0.014144950431554238,0.9798456800622137,0.9893337281119745,1.6833133350189367,1.0141449504315543,0.9798456800622138,2.010666271888025,1.6833133350189367,0.0,1.0,1.0,0.0
3,1.0121766783352457,0.9945749361664508,2.057845150842214,2.030424453348514,-0.012176678335245763,0.9945749361664508,1.942154849157786,2.030424453348514,0.9714462689082349,0.9624445154861981,1.9607799970202096,1.9260237825566324,0.028553731091765046,0.9624445154861981,2.0392200029797904,1.9260237825566324,0.0,0.0,1.0,1.0
4,0.5864218088282039,1.1437423493082683,2.6442669596704182,2.324346394126177,0.4135781911717961,1.1437423493082683,2.3557330403295818,2.324346394126177,0.4975187606637669,1.1094416745660514,2.4582987576839765,2.211709699715729,0.5024812393362331,1.1094416745660514,2.5417012423160235,2.211709699715729,0.508,0.487,0.492,0.513
5,0.48360133354743845,1.1045524318923636,3.127868293217856,2.5866413641095347,0.5163986664525615,1.1045524318923636,2.872131706782144,2.5866413641095347,0.5533029208320686,1.0910555907549937,3.011601678516045,2.505715653591229,0.4466970791679314,1.0910555907549937,2.988398321483955,2.505715653591229,0.467,0.489,0.533,0.511
6,0.4982917288130967,1.1428951973824033,3.6261600220309527,2.8636302127332303,0.5017082711869032,1.1428951973824033,3.3738399779690473,2.8636302127332303,0.517235664861358,1.1197746399496715,3.528837343377403,2.7832328452101183,0.48276433513864214,1.1197746399496715,3.471162656622597,2.7832328452101183,0.467,0.483,0.533,0.517
7,0.5354378184819175,1.1241089534304887,4.1615978405128695,3.1035568290076516,0.46456218151808243,1.1241089534304887,3.8384021594871296,3.1035568290076516,0.5462670217524995,1.0906909674196377,4.075104365129902,3.011351824087479,0.4537329782475005,1.0906909674196377,3.9248956348700976,3.011351824087479,0.487,0.488,0.513,0.512
8,0.5802364291200057,1.0764294450574965,4.741834269632877,3.3356364938118426,0.4197635708799943,1.0764294450574965,4.258165730367123,3.335636493811842,0.602036396916009,1.1188286530298914,4.677140762045912,3.255114486321937,0.3979636030839911,1.1188286530298914,4.3228592379540896,3.255114486321937,0.49,0.508,0.51,0.492
9,0.5865557217591061,1.1571720802827088,5.328389991391982,3.5878929314243413,0.4134442782408939,1.1571720802827088,4.671610008608018,3.5878929314243413,0.6532210009769586,1.0836478702867076,5.330361763022869,3.4510459427445532,0.3467789990230416,1.0836478702867076,4.669638236977131,3.4510459427445532,0.496,0.509,0.504,0.491
10,0.5578092651521538,1.1400409881097917,5.886199256544136,3.7655379154426183,0.4421907348478462,1.1400409881097917,5.113800743455864,3.7655379154426183,0.5446897854934648,1.093783882522961,5.875051548516334,3.670048519185337,0.4553102145065352,1.093783882522961,5.124948451483666,3.6700485191853374,0.514,0.496,0.486,0.504
11,0.5612938807668754,1.1157919591934802,6.447493137311012,3.960698422037034,0.43870611923312447,1.1157919591934802,5.552506862688988,3.960698422037034,0.6006310590225342,1.0936525487449622,6.475682607538869,3.8524687212549678,0.3993689409774657,1.0936525487449622,5.524317392461131,3.852468721254968,0.515,0.479,0.485,0.521
12,0.599208896231098,1.0884844476056936,7.046702033542109,4.142655359261374,0.4007911037689021,1.0884844476056936,5.953297966457891,4.142655359261374,0.6352678149168289,1.1401216212396532,7.110950422455698,4.068976850587988,0.3647321850831711,1.1401216212396532,5.889049577544302,4.068976850587988,0.465,0.472,0.535,0.528
13,0.6534706478552504,1.073465163935813,7.70017268139736,4.285802241330293,0.34652935214474945,1.073465163935813,6.29982731860264,4.285802241330293,0.597814726718613,1.1842186289206909,7.708765149174311,4.300734707030148,0.40218527328138703,1.1842186289206909,6.291234850825689,4.300734707030147,0.485,0.495,0.515,0.505
14,0.6221758363247752,1.1254545513169019,8.322348517722135,4.469962011698484,0.37782416367522476,1.1254545513169019,6.677651482277865,4.469962011698484,0.6682386738262098,1.0971741044960919,8.37700382300052,4.462541656925619,0.33176132617379006,1.0971741044960919,6.622996176999479,4.462541656925619,0.511,0.464,0.489,0.536
15,0.6787809540553046,1.1358387700218766,9.001129471777439,4.6203793068494265,0.3212190459446954,1.1358387700218768,6.99887052822256,4.620379306849426,0.6855875162163602,1.1240573149866429,9.06259133921688,4.585780048258515,0.3144124837836397,1.1240573149866429,6.937408660783119,4.585780048258515,0.482,0.49,0.518,0.51
16,0.6442571690613567,1.0976250781414452,9.645386640838797,4.7683163698808855,0.35574283093864334,1.0976250781414452,7.3546133591612035,4.7683163698808855,0.6398855094828659,1.0869773965952108,9.702476848699748,4.692757779650817,0.36011449051713396,1.0869773965952108,7.297523151300252,4.692757779650817,0.494,0.497,0.506,0.503
17,0.6891130822588127,1.099533077312052,10.334499723097608,4.9025797561011135,0.3108869177411872,1.099533077312052,7.6655002769023906,4.9025797561011135,0.7068013220840462,1.1199436701774357,10.409278170783793,4.880798500095139,0.29319867791595366,1.1199436701774355,7.590721829216207,4.880798500095138,0.498,0.485,0.502,0.515
18,0.6966599848291909,1.1100604208950415,11.031159707926799,5.11612040518481,0.3033400151708091,1.1100604208950415,7.9688402920732,5.11612040518481,0.6777699277289837,1.112894051703515,11.087048098512776,5.0552145080032895,0.3222300722710162,1.112894051703515,7.912951901487223,5.0552145080032895,0.483,0.493,0.517,0.507
19,0.6150152068593309,1.1062352712740169,11.64617491478613,5.292206399226196,0.38498479314066913,1.1062352712740169,8.35382508521387,5.292206399226196,0.6235942204637742,1.09556612425895,11.71064231897655,5.248079449190656,0.3764057795362257,1.09556612425895,8.289357681023448,5.248079449190656,0.488,0.486,0.512,0.514
20,0.7164476671492732,1.1132429112122255,12.362622581935405,5.416884672937016,0.2835523328507268,1.1132429112122255,8.637377418064595,5.416884672937016,0.6524121743501914,1.1185359969721709,12.363054493326743,5.433608156300891,0.3475878256498085,1.1185359969721709,8.636945506673257,5.433608156300891,0.488,0.494,0.512,0.506
