step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.977114751753769,0.984798020501428,0.977114751753769,0.984798020501428,0.02288524824623092,0.984798020501428,0.02288524824623092,0.984798020501428,1.062818425978155,0.9904040966802847,1.062818425978155,0.9904040966802847,-0.0628184259781552,0.9904040966802847,-0.0628184259781552,0.9904040966802847,1.0,1.0,0.0,0.0
1,-0.002599226043232327,1.0371229205132657,0.9745155257105368,1.4126432596503524,1.0025992260432324,1.037122920513266,1.025484474289463,1.4126432596503524,-0.0010150631809934011,0.9447790798815553,1.0618033627971617,1.3977512890051398,1.0010150631809933,0.9447790798815553,0.9381966372028381,1.3977512890051398,1.0,0.0,0.0,1.0
2,-0.03659218035660416,0.9808494180930533,0.9379233453539326,1.6989344802075133,1.036592180356604,0.9808494180930533,2.0620766546460674,1.6989344802075133,-0.003323161944608799,0.9819935430256425,1.0584802008525531,1.713095144474399,1.0033231619446088,0.9819935430256423,1.9415197991474469,1.713095144474399,0.0,1.0,1.0,0.0
3,1.0118639364808233,0.9829917450605204,1.949787281834756,1.9261879863268088,-0.01186393648082326,0.9829917450605204,2.050212718165244,1.9261879863268088,1.0451107003633506,0.9709072549650382,2.1035909012159038,2.0057026340068123,-0.04511070036335052,0.9709072549650382,1.8964090987840965,2.0057026340068123,0.0,0.0,1.0,1.0
4,0.5026639256022469,1.0819026074673324,2.452451207437003,2.2450864635557064,0.4973360743977531,1.0819026074673324,2.547548792562998,2.2450864635557064,0.5651683101605911,1.1056635907872294,2.668759211376495,2.292171363342669,0.4348316898394089,1.1056635907872294,2.331240788623505,2.292171363342669,0.482,0.504,0.518,0.496
5,0.547996850366989,1.0632562214673853,3.000448057803992,2.48077800769863,0.452003149633011,1.0632562214673855,2.999551942196008,2.48077800769863,0.5369823130613589,1.1293784792858688,3.2057415244378533,2.632798297093297,0.4630176869386411,1.1293784792858688,2.7942584755621467,2.632798297093297,0.493,0.505,0.507,0.495
6,0.5790324258030951,1.0932265482383432,3.579480483607087,2.7464594334055055,0.42096757419690506,1.0932265482383432,3.420519516392913,2.7464594334055055,0.557225182751727,1.1532023961529796,3.7629667071895803,2.9357844101931305,0.44277481724827294,1.1532023961529796,3.2370332928104197,2.935784410193131,0.511,0.501,0.489,0.499
7,0.5829985973125623,1.1571490147928312,4.162479080919649,3.0265171866317138,0.4170014026874377,1.1571490147928312,3.8375209190803505,3.0265171866317138,0.5458949514859888,1.0996672105648881,4.308861658675569,3.181201797011547,0.45410504851401134,1.0996672105648881,3.6911383413244305,3.1812017970115467,0.499,0.491,0.501,0.509
8,0.5683273733675892,1.1041227495069472,4.730806454287238,3.2082778258406397,0.4316726266324108,1.1041227495069472,4.269193545712762,3.2082778258406397,0.6557313616830206,1.0726308326359593,4.96459302035859,3.40063072332179,0.3442686383169794,1.0726308326359593,4.03540697964141,3.40063072332179,0.473,0.493,0.527,0.507
9,0.6524686008802512,1.1222055544640754,5.383275055167489,3.40113388383297,0.3475313991197489,1.1222055544640754,4.6167249448325105,3.40113388383297,0.6309117223011775,1.1235527055336307,5.5955047426597675,3.635443648823035,0.36908827769882246,1.1235527055336307,4.4044952573402325,3.635443648823035,0.466,0.488,0.534,0.512
10,0.5781905505166107,1.1253355307620596,5.9614656056841,3.6685869097693016,0.42180944948338917,1.1253355307620596,5.038534394315899,3.6685869097693016,0.6115981142352077,1.129413009701137,6.207102856894975,3.845025577881808,0.3884018857647922,1.129413009701137,4.792897143105025,3.8450255778818083,0.507,0.483,0.493,0.517
11,0.6739968490596612,1.117556148028088,6.635462454743761,3.859844546766434,0.3260031509403389,1.117556148028088,5.364537545256239,3.859844546766434,0.7363132920330313,1.050408530278983,6.943416148928007,3.982052124900543,0.2636867079669688,1.050408530278983,5.056583851071993,3.982052124900543,0.493,0.49,0.507,0.51
12,0.656689647219346,1.1146096324758439,7.292152101963107,4.027519494151299,0.3433103527806541,1.1146096324758439,5.707847898036893,4.027519494151299,0.6743548105660251,1.052596850782784,7.617770959494032,4.156693761585151,0.3256451894339749,1.052596850782784,5.382229040505968,4.156693761585151,0.46,0.482,0.54,0.518
13,0.7283770402341309,1.111328689048499,8.020529142197239,4.20765760248646,0.27162295976586914,1.111328689048499,5.979470857802762,4.20765760248646,0.6561575954504301,1.091505470474215,8.273928554944462,4.325067266029532,0.3438424045495699,1.091505470474215,5.7260714450555374,4.325067266029532,0.477,0.471,0.523,0.529
14,0.6830953451734904,1.0624675936044456,8.70362448737073,4.398963466976002,0.31690465482650954,1.0624675936044456,6.296375512629271,4.398963466976002,0.7394954289604425,1.0720924410790562,9.013423983904904,4.511415975694189,0.2605045710395576,1.0720924410790562,5.986576016095096,4.511415975694189,0.476,0.487,0.524,0.513
15,0.7254428239148258,1.0706482119647824,9.429067311285555,4.584105393656725,0.2745571760851742,1.0706482119647824,6.5709326887144455,4.584105393656725,0.6398526194425805,1.0972383538646,9.653276603347484,4.688325944469148,0.36014738055741935,1.0972383538646,6.346723396652514,4.688325944469148,0.478,0.479,0.522,0.521
16,0.7210756276773493,1.111280861612325,10.150142938962905,4.754070956650923,0.27892437232265066,1.111280861612325,6.849857061037096,4.754070956650923,0.7059917752707653,1.1027999151488448,10.35926837861825,4.931296776031297,0.2940082247292347,1.1027999151488448,6.64073162138175,4.931296776031297,0.476,0.487,0.524,0.513
17,0.7171536096008283,1.0764482023045083,10.867296548563733,4.924291667689679,0.28284639039917164,1.0764482023045083,7.132703451436267,4.924291667689679,0.6958195110402046,1.1439395969926962,11.055087889658454,5.120197450505333,0.3041804889597955,1.1439395969926962,6.944912110341545,5.120197450505333,0.473,0.483,0.527,0.517
18,0.7387714979418462,1.093277531290091,11.606068046505577,5.124709571893654,0.26122850205815396,1.0932775312900913,7.3939319534944214,5.124709571893654,0.7709214182852085,1.126987251874898,11.826009307943663,5.270938467595395,0.22907858171479137,1.126987251874898,7.173990692056337,5.270938467595395,0.482,0.489,0.518,0.511
19,0.7210025194129878,1.0894484804253193,12.327070565918566,5.293787968562131,0.2789974805870121,1.0894484804253193,7.672929434081434,5.293787968562131,0.7115816004870894,1.111145120415665,12.537590908430753,5.458229919258107,0.2884183995129106,1.111145120415665,7.462409091569247,5.458229919258107,0.481,0.477,0.519,0.523
20,0.7326674517225752,1.0899116652820509,13.059738017641141,5.452355915523018,0.26733254827742486,1.0899116652820509,7.94026198235886,5.452355915523019,0.7603488397356974,1.1183866590153693,13.29793974816645,5.597827035227745,0.23965116026430247,1.1183866590153693,7.702060251833551,5.597827035227745,0.484,0.479,0.516,0.521
21,0.7430137739920004,1.0759816150741526,13.802751791633142,5.610661730056275,0.2569862260079996,1.0759816150741526,8.197248208366858,5.610661730056275,0.7290750195300026,1.1039348670139075,14.027014767696452,5.774562031003027,0.2709249804699974,1.1039348670139075,7.9729852323035475,5.774562031003028,0.481,0.495,0.519,0.505
22,0.7210108341837093,1.0670249532339562,14.52376262581685,5.776707151906601,0.2789891658162907,1.0670249532339562,8.476237374183151,5.776707151906601,0.7363766238099992,1.0833209043188534,14.76339139150645,5.931740672412578,0.2636233761900007,1.0833209043188534,8.23660860849355,5.931740672412578,0.474,0.48,0.526,0.52
23,0.8343871571347168,1.0758235742887265,15.358149782951568,5.926254120205191,0.16561284286528324,1.0758235742887265,8.641850217048432,5.92625412020519,0.8206590149835911,1.074621176229172,15.584050406490043,6.123332605688926,0.17934098501640897,1.074621176229172,8.415949593509957,6.123332605688926,0.475,0.467,0.525,0.533
