step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.5,0.5,2.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.5,0.5,0.477,0.497,0.523,0.503
5,0.5,0.5,3.0,1.0,0.5,0.5,3.0,1.0,0.5,0.5,3.0,1.0,0.5,0.5,3.0,1.0,0.497,0.477,0.503,0.523
6,0.757,0.42889509206797877,3.757,1.2922658395237412,0.243,0.42889509206797877,3.243,1.2922658395237412,0.757,0.42889509206797877,3.757,1.2922658395237412,0.243,0.42889509206797877,3.243,1.2922658395237412,0.472,0.471,0.528,0.529
7,0.757,0.42889509206797877,4.514,1.6455406406406377,0.243,0.42889509206797877,3.486,1.6455406406406377,0.757,0.42889509206797877,4.514,1.6455406406406377,0.243,0.42889509206797877,3.486,1.6455406406406377,0.471,0.472,0.529,0.528
8,0.885,0.31902194281898544,5.399,1.8405974573491075,0.115,0.31902194281898544,3.601,1.8405974573491075,0.885,0.31902194281898544,5.399,1.8405974573491075,0.115,0.31902194281898544,3.601,1.8405974573491075,0.462,0.467,0.538,0.533
9,0.885,0.31902194281898544,6.284,2.066723009984647,0.115,0.31902194281898544,3.716,2.066723009984647,0.885,0.31902194281898544,6.284,2.066723009984647,0.115,0.31902194281898544,3.716,2.066723009984647,0.467,0.462,0.533,0.538
10,0.953,0.21163884331568247,7.237,2.1722870436477772,0.047,0.21163884331568247,3.763,2.1722870436477772,0.953,0.21163884331568247,7.237,2.1722870436477772,0.047,0.21163884331568247,3.763,2.1722870436477772,0.47,0.465,0.53,0.535
11,0.953,0.21163884331568247,8.19,2.2925749715112915,0.047,0.21163884331568247,3.81,2.2925749715112915,0.953,0.21163884331568247,8.19,2.2925749715112915,0.047,0.21163884331568247,3.81,2.2925749715112915,0.465,0.47,0.535,0.53
12,0.975,0.15612494995995996,9.165,2.3642705005984403,0.025,0.15612494995995996,3.835,2.3642705005984403,0.975,0.15612494995995996,9.165,2.3642705005984403,0.025,0.15612494995995996,3.835,2.3642705005984403,0.471,0.468,0.529,0.532
13,0.975,0.15612494995995996,10.14,2.4438494225299556,0.025,0.15612494995995996,3.86,2.4438494225299556,0.975,0.15612494995995996,10.14,2.4438494225299556,0.025,0.15612494995995996,3.86,2.4438494225299556,0.468,0.471,0.532,0.529
14,0.988,0.10888526071052962,11.128,2.4858833440047023,0.012,0.10888526071052962,3.872,2.4858833440047023,0.988,0.10888526071052962,11.128,2.4858833440047023,0.012,0.10888526071052962,3.872,2.4858833440047023,0.473,0.469,0.527,0.531
