step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9975804494274985,1.0010035617414,0.9975804494274985,1.0010035617414,0.002419550572501496,1.0010035617414,0.002419550572501496,1.0010035617414,1.031634475609456,1.0171408906464356,1.031634475609456,1.0171408906464356,-0.03163447560945576,1.0171408906464356,-0.03163447560945576,1.0171408906464356,1.0,1.0,0.0,0.0
1,0.007062612428497218,0.994588398678713,1.0046430618559956,1.3595453666541835,0.9929373875715027,0.994588398678713,0.9953569381440043,1.3595453666541835,-0.031182319823449888,0.9880070618155458,1.0004521557860058,1.40333424286363,1.03118231982345,0.9880070618155458,0.999547844213994,1.40333424286363,1.0,0.0,0.0,1.0
2,0.09506066754219421,1.0207070102588864,1.0997037293981897,1.6874394837895692,0.9049393324578059,1.0207070102588864,1.9002962706018103,1.6874394837895692,0.03533696182860099,0.9961010745344399,1.0357891176146068,1.7568399206851295,0.964663038171399,0.9961010745344399,1.9642108823853932,1.7568399206851295,0.0,1.0,1.0,0.0
3,1.0230475701825956,1.0074612700421268,2.1227512995807856,1.97818843184178,-0.023047570182595657,1.007461270042127,1.8772487004192144,1.97818843184178,0.9859773476787314,0.9785006037221466,2.0217664652933385,2.024853523705791,0.014022652321268626,0.9785006037221466,1.978233534706662,2.024853523705791,0.0,0.0,1.0,1.0
4,0.539672103907505,1.0475987872294847,2.6624234034882908,2.2332066113305706,0.46032789609249514,1.0475987872294847,2.3375765965117097,2.2332066113305706,0.4897886479986349,1.071355082358526,2.511555113291973,2.297368235591856,0.5102113520013651,1.071355082358526,2.4884448867080273,2.297368235591856,0.476,0.532,0.524,0.468
5,0.567672185059039,1.1094500881601457,3.2300955885473295,2.533501203247287,0.43232781494096095,1.1094500881601457,2.7699044114526705,2.533501203247287,0.5633561479878006,1.1205921428397543,3.0749112612797735,2.572212588017353,0.4366438520121993,1.1205921428397543,2.925088738720226,2.572212588017353,0.467,0.501,0.533,0.499
6,0.5810507002283422,1.1024305010042759,3.8111462887756717,2.737796025108628,0.41894929977165785,1.1024305010042759,3.1888537112243283,2.737796025108628,0.5815507794478353,1.1379573982437197,3.656462040727609,2.8554164268061126,0.41844922055216466,1.1379573982437194,3.343537959272391,2.8554164268061126,0.471,0.513,0.529,0.487
7,0.5587140786665508,1.1450341638465837,4.3698603674422225,3.026456682744756,0.4412859213334492,1.1450341638465837,3.6301396325577775,3.026456682744756,0.5812788600399269,1.0999099646817727,4.237740900767536,3.126218390403714,0.418721139960073,1.0999099646817727,3.762259099232464,3.126218390403714,0.494,0.499,0.506,0.501
8,0.6432911975081396,1.1337404734607255,5.013151564950363,3.2350519675687517,0.35670880249186043,1.1337404734607255,3.986848435049638,3.235051967568752,0.6422585151561673,1.0389410030039923,4.879999415923703,3.355607107969879,0.3577414848438327,1.0389410030039923,4.120000584076297,3.355607107969879,0.485,0.48,0.515,0.52
9,0.6010630369709588,1.1489624338904911,5.614214601921321,3.4867243418755516,0.3989369630290413,1.1489624338904911,4.385785398078679,3.4867243418755516,0.6174782239448555,1.1010920663078898,5.497477639868559,3.565298777516009,0.3825217760551445,1.1010920663078898,4.502522360131441,3.565298777516009,0.481,0.493,0.519,0.507
