step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9990837121853922,0.09888844983791477,0.9990837121853922,0.09888844983791477,0.0009162878146078221,0.09888844983791477,0.0009162878146078221,0.09888844983791477,0.9903628834209228,0.1000669749164052,0.9903628834209228,0.1000669749164052,0.009637116579077279,0.1000669749164052,0.009637116579077279,0.1000669749164052,1.0,1.0,0.0,0.0,0.0,0.0
1,0.23812498950526745,0.10143410507007261,1.2372087016906599,0.14216199611201777,0.7618750104947326,0.10143410507007261,0.7627912983093403,0.14216199611201777,0.2289119682922246,0.09808584487484853,1.219274851713147,0.1399354152892604,0.7710880317077754,0.09808584487484853,0.7807251482868527,0.1399354152892604,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.0020983690944888123,0.0983733919247411,1.2351103325961708,0.17350816214985582,1.002098369094489,0.0983733919247411,1.7648896674038292,0.17350816214985584,-0.0004490127277224183,0.09773180737005786,1.218825838985425,0.17202277498512775,1.0004490127277224,0.09773180737005786,1.781174161014575,0.17202277498512775,1.0,0.0,0.0,0.0,0.0,1.0
3,0.227327103204472,0.09972107446586125,1.462437435800643,0.2017799652283993,0.772672896795528,0.09972107446586125,2.5375625641993573,0.20177996522839933,0.22465368587401183,0.10258562759573879,1.4434795248594368,0.19999273807468426,0.7753463141259882,0.10258562759573879,2.5565204751405637,0.19999273807468426,0.0,1.0,1.0,0.0,0.0,0.0
4,0.3900763795174315,0.10084769534589536,1.8525138153180742,0.22861515656953463,0.6099236204825684,0.10084769534589534,3.147486184681926,0.22861515656953463,0.38768076367936577,0.09680562888930355,1.8311602885388025,0.22161714063159454,0.6123192363206342,0.09680562888930357,3.1688397114611977,0.22161714063159454,0.0,0.0,1.0,1.0,0.0,0.0
5,0.2341781978648623,0.09702859234612739,2.0866920131829367,0.2458353092417156,0.7658218021351376,0.09702859234612739,3.913307986817063,0.24583530924171562,0.22998793628718078,0.1010266793049033,2.061148224825983,0.24163950172873336,0.770012063712819,0.1010266793049033,3.9388517751740166,0.24163950172873336,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.006522566810057852,0.10066730341468057,2.080169446372879,0.2648734309945621,1.006522566810058,0.10066730341468057,4.919830553627122,0.2648734309945622,0.0025771259421924477,0.09995690985552594,2.063725350768175,0.2611204880400693,0.9974228740578076,0.09995690985552594,4.936274649231824,0.2611204880400693,0.0,1.0,0.0,0.0,1.0,0.0
7,0.22709868214839227,0.10197196768198519,2.307268128521271,0.28316211950665093,0.7729013178516078,0.10197196768198519,5.6927318714787285,0.283162119506651,0.23050286112496718,0.10027195676087533,2.294228211893143,0.27731549897662156,0.7694971388750328,0.10027195676087533,5.7057717881068575,0.27731549897662156,0.0,0.0,0.0,1.0,1.0,0.0
8,0.9986815810583463,0.09791341608397108,3.305949709579617,0.3006838322663481,0.0013184189416537329,0.09791341608397108,5.694050290420382,0.30068383226634815,1.0027223336170874,0.10055821210124935,3.29695054551023,0.2948389541514271,-0.0027223336170873174,0.10055821210124935,5.70304945448977,0.2948389541514271,0.0,0.0,0.0,0.0,1.0,1.0
9,0.4259993313739874,0.4436590817608373,3.7319490409536047,0.539361779952485,0.5740006686260126,0.4436590817608373,6.268050959046395,0.5393617799524851,0.42600346543664297,0.4494043456320134,3.7229540109468733,0.535340933623109,0.5739965345633571,0.4494043456320134,6.277045989053128,0.535340933623109,0.332,0.488,0.301,0.017,0.367,0.495
10,0.3609752873939766,0.3861255910935833,4.092924328347581,0.693098571646285,0.6390247126060234,0.3861255910935833,6.907075671652419,0.693098571646285,0.3641367752993991,0.3862808941924176,4.087090786246272,0.683765337367018,0.6358632247006009,0.3862808941924176,6.9129092137537285,0.683765337367018,0.402,0.333,0.279,0.299,0.319,0.368
11,0.3685129652517093,0.3844211393113973,4.461437293599291,0.8313879024252261,0.6314870347482906,0.3844211393113973,7.538562706400709,0.8313879024252261,0.36752746832199384,0.390057613478374,4.454618254568266,0.8288024704026709,0.6324725316780061,0.390057613478374,7.545381745431734,0.8288024704026709,0.371,0.385,0.267,0.303,0.362,0.312
12,0.3678119718527556,0.3890229818482605,4.829249265452047,0.9335761407537825,0.6321880281472443,0.3890229818482605,8.170750734547955,0.9335761407537825,0.3601549785551075,0.38895030398955266,4.814773233123374,0.9392963719071712,0.6398450214448926,0.38895030398955266,8.185226766876626,0.939296371907171,0.357,0.363,0.282,0.279,0.361,0.358
13,0.37609036818527275,0.3895053686436648,5.205339633637319,1.024337332494752,0.6239096318147273,0.3895053686436648,8.794660366362681,1.024337332494752,0.3750357013427481,0.38606182586706317,5.189808934466122,1.0192096800966886,0.6249642986572519,0.3860618258670632,8.810191065533878,1.0192096800966886,0.36,0.353,0.283,0.298,0.357,0.349
14,0.3880270497085046,0.4024563810440394,5.593366683345823,1.125790144050037,0.6119729502914955,0.4024563810440393,9.406633316654178,1.1257901440500373,0.3945708493296986,0.39798149658529003,5.584379783795821,1.1120308840086406,0.6054291506703013,0.3979814965852901,9.41562021620418,1.1120308840086406,0.385,0.354,0.267,0.279,0.348,0.367
15,0.3891557235611285,0.39409375392893387,5.982522406906952,1.229559781400167,0.6108442764388715,0.39409375392893387,10.017477593093048,1.2295597814001673,0.38559923385309075,0.39750053451602013,5.969979017648911,1.2248091064701758,0.6144007661469093,0.39750053451602013,10.030020982351088,1.224809106470176,0.365,0.374,0.294,0.271,0.341,0.355
16,0.3932040012816391,0.39396946093208557,6.375726408188592,1.3145089242074537,0.6067959987183608,0.39396946093208557,10.62427359181141,1.3145089242074537,0.3995529150402739,0.40186338873669125,6.369531932689185,1.3109579380838141,0.6004470849597262,0.40186338873669125,10.630468067310815,1.3109579380838141,0.345,0.378,0.259,0.295,0.396,0.327
17,0.3869042255177075,0.3960918121123971,6.762630633706299,1.3964783568553103,0.6130957744822927,0.3960918121123971,11.237369366293702,1.3964783568553105,0.3823286061336787,0.39864868881058724,6.751860538822863,1.4006088500301686,0.6176713938663213,0.39864868881058724,11.248139461177136,1.4006088500301686,0.336,0.347,0.293,0.259,0.371,0.394
18,0.3868142784994233,0.4025796383050751,7.1494449122057215,1.479633237114952,0.6131857215005767,0.4025796383050751,11.850555087794277,1.4796332371149523,0.38588149335119104,0.4063214226847628,7.137742032174055,1.4857146917092814,0.614118506648809,0.40632142268476273,11.862257967825947,1.4857146917092814,0.367,0.344,0.228,0.287,0.405,0.369
19,0.4008683853549975,0.41174642293666996,7.550313297560718,1.5766756411991336,0.5991316146450024,0.41174642293666996,12.44968670243928,1.5766756411991334,0.4010330168431797,0.41291653818748963,7.538775049017235,1.5787774574566107,0.5989669831568202,0.41291653818748963,12.461224950982768,1.5787774574566107,0.384,0.371,0.269,0.225,0.347,0.404
20,0.40792579600938494,0.4024075502158717,7.958239093570104,1.6697493149332143,0.5920742039906151,0.4024075502158717,13.041760906429896,1.6697493149332143,0.39830938877816446,0.4067471226549013,7.937084437795398,1.669570546776132,0.6016906112218355,0.4067471226549013,13.062915562204601,1.669570546776132,0.37,0.378,0.27,0.264,0.36,0.358
21,0.4007413438924885,0.40766579596504054,8.358980437462593,1.7851099132491213,0.5992586561075115,0.40766579596504054,13.641019562537407,1.7851099132491213,0.4030680012308858,0.3995008921562076,8.340152439026284,1.7757081002761308,0.5969319987691142,0.3995008921562076,13.659847560973716,1.775708100276131,0.353,0.375,0.28,0.256,0.367,0.369
22,0.40273772753240344,0.40193019826546755,8.761718164994996,1.8707367909386885,0.5972622724675967,0.40193019826546755,14.238281835005004,1.8707367909386887,0.40327157880478637,0.40517142886174123,8.743424017831071,1.8672395174730285,0.5967284211952135,0.40517142886174123,14.256575982168927,1.8672395174730285,0.376,0.361,0.287,0.271,0.337,0.368
23,0.42021271360975315,0.410702361431321,9.181930878604748,1.9627509448269937,0.5797872863902469,0.410702361431321,14.81806912139525,1.962750944826994,0.41497201338826856,0.41307399090139335,9.158396031219342,1.9547344559086675,0.5850279866117315,0.41307399090139335,14.841603968780658,1.9547344559086677,0.384,0.388,0.253,0.265,0.363,0.347
24,0.4430541330900282,0.4206175580789166,9.624985011694779,2.066435161655256,0.5569458669099717,0.42061755807891654,15.375014988305221,2.0664351616552556,0.44116397855677564,0.4177566243712403,9.599560009776114,2.047953546068247,0.5588360214432243,0.4177566243712403,15.400439990223884,2.047953546068247,0.376,0.388,0.239,0.249,0.385,0.363
25,0.43569940035611904,0.4294028537817281,10.060684412050897,2.1569484996796886,0.564300599643881,0.4294028537817281,15.939315587949103,2.1569484996796886,0.43173134065093716,0.4254515118223643,10.03129135042705,2.1415644909187628,0.5682686593490629,0.4254515118223643,15.96870864957295,2.141564490918763,0.379,0.4,0.246,0.215,0.375,0.385
26,0.4360291185455372,0.4237178056990555,10.496713530596432,2.258123702883318,0.5639708814544627,0.4237178056990554,16.503286469403566,2.258123702883318,0.43339345384397826,0.42563400457226,10.46468480427103,2.2452011798169735,0.5666065461560218,0.42563400457226,16.535315195728966,2.2452011798169735,0.386,0.383,0.222,0.224,0.392,0.393
27,0.4470203008988094,0.42739501571140875,10.943733831495242,2.3671963348834844,0.5529796991011906,0.4273950157114088,17.056266168504756,2.3671963348834844,0.4449261261985149,0.4266129430813515,10.909610930469546,2.356364809422777,0.5550738738014852,0.4266129430813515,17.090389069530456,2.356364809422777,0.394,0.391,0.234,0.204,0.372,0.405
28,0.4607127009476181,0.4251526554340664,11.40444653244286,2.471425238398303,0.5392872990523818,0.4251526554340664,17.595553467557135,2.471425238398303,0.45581659037733124,0.4195203530849465,11.365427520846877,2.468926102537054,0.5441834096226688,0.41952035308494645,17.634572479153125,2.468926102537054,0.342,0.405,0.262,0.225,0.396,0.37
29,0.44269014262377676,0.42158939817491936,11.847136675066638,2.582003146135343,0.5573098573762233,0.42158939817491936,18.15286332493336,2.582003146135343,0.43361732892833404,0.43109484582081203,11.79904484977521,2.5854455613379,0.5663826710716658,0.43109484582081203,18.20095515022479,2.5854455613379,0.399,0.363,0.237,0.227,0.364,0.41
30,0.43064518655767153,0.4329921870063435,12.277781861624309,2.68861623684455,0.5693548134423283,0.4329921870063435,18.72221813837569,2.6886162368445494,0.4323274363429243,0.42539924786473304,12.231372286118134,2.6850808209226726,0.5676725636570756,0.4253992478647331,18.768627713881862,2.6850808209226726,0.369,0.418,0.223,0.209,0.408,0.373
31,0.46298453649975896,0.43242055471943364,12.74076639812407,2.7916643455368924,0.5370154635002411,0.43242055471943364,19.25923360187593,2.7916643455368924,0.4649202963929415,0.43815914342796797,12.696292582511076,2.791792549657224,0.5350797036070585,0.43815914342796797,19.30370741748892,2.791792549657224,0.38,0.393,0.239,0.192,0.381,0.415
32,0.46822877904834104,0.4355243711116018,13.20899517717241,2.906276901499716,0.531771220951659,0.4355243711116018,19.791004822827592,2.906276901499716,0.47067474774355067,0.43068206245515284,13.166967330254629,2.9064869044822035,0.5293252522564494,0.43068206245515284,19.833032669745375,2.9064869044822035,0.399,0.395,0.219,0.204,0.382,0.401
33,0.4950421832550963,0.43864161989695866,13.704037360427506,3.0482995677034785,0.5049578167449038,0.43864161989695866,20.29596263957249,3.0482995677034785,0.493847442315411,0.43833414883684674,13.660814772570038,3.048964706950304,0.5061525576845891,0.43833414883684674,20.33918522742996,3.048964706950304,0.407,0.415,0.234,0.192,0.359,0.393
34,0.48007011378131315,0.43285693550029775,14.18410747420882,3.1508694441439116,0.5199298862186869,0.4328569355002977,20.815892525791185,3.1508694441439116,0.48405411237601614,0.4315860897105112,14.144868884946055,3.1473333706995326,0.515945887623984,0.4315860897105112,20.855131115053947,3.1473333706995326,0.381,0.416,0.232,0.203,0.387,0.381
