step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9898802173521413,0.9871777369665059,0.9898802173521413,0.9871777369665059,0.010119782647858707,0.9871777369665059,0.010119782647858707,0.9871777369665059,1.0030966185968024,0.9599240662491224,1.0030966185968024,0.9599240662491224,-0.0030966185968025767,0.9599240662491224,-0.0030966185968025767,0.9599240662491224,1.0,1.0,0.0,0.0,0.0,0.0
1,0.21227118118321742,0.9904693062437178,1.2021513985353585,1.437002777319174,0.7877288188167826,0.9904693062437178,0.7978486014646413,1.437002777319174,0.23360137802275732,0.9651513982657061,1.23669799661956,1.4165061447238658,0.7663986219772426,0.9651513982657061,0.7633020033804402,1.4165061447238658,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.025160146959581978,0.9955450131705339,1.176991251575777,1.707127919056863,1.0251601469595821,0.9955450131705339,1.8230087484242232,1.707127919056863,0.026661053257588066,1.0044532809756659,1.2633590498771483,1.7460914859763552,0.9733389467424118,1.0044532809756659,1.7366409501228524,1.7460914859763552,1.0,0.0,0.0,0.0,0.0,1.0
3,0.27616971997897294,0.994754184514174,1.4531609715547498,1.9606621594163784,0.7238302800210272,0.994754184514174,2.546839028445251,1.9606621594163784,0.20890180047090345,0.9892542754403505,1.4722608503480514,1.9855542371867523,0.7910981995290965,0.9892542754403505,2.5277391496519486,1.9855542371867523,0.0,1.0,1.0,0.0,0.0,0.0
4,0.3051139017658921,1.021132272797387,1.7582748733206417,2.2291707278167574,0.694886098234108,1.0211322727973873,3.2417251266793583,2.2291707278167574,0.4161658588125767,0.9910488880585009,1.8884267091606284,2.201615674497041,0.5838341411874233,0.9910488880585009,3.111573290839372,2.201615674497041,0.0,0.0,1.0,1.0,0.0,0.0
5,0.2670087509304629,1.00318167242092,2.0252836242511045,2.514518018855424,0.7329912490695372,1.00318167242092,3.974716375748896,2.514518018855424,0.22521488623437455,1.0199994219874733,2.1136415953950025,2.4365842039511736,0.7747851137656254,1.0199994219874733,3.8863584046049975,2.4365842039511736,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.02109020182859087,1.0351603634230933,2.0041934224225137,2.7424826417422086,1.0210902018285908,1.0351603634230933,4.995806577577486,2.7424826417422086,-0.05661478001702601,0.9979839764283477,2.0570268153779767,2.59953779959061,1.056614780017026,0.9979839764283478,4.942973184622023,2.59953779959061,0.0,1.0,0.0,0.0,1.0,0.0
7,0.22586266858791018,1.0148789200845796,2.230056091010424,2.9288438788326836,0.77413733141209,1.0148789200845796,5.7699439089895765,2.9288438788326836,0.29301860284067177,1.0222633236702314,2.3500454182186488,2.792284637061028,0.7069813971593283,1.0222633236702314,5.649954581781351,2.7922846370610284,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0494469822608106,0.9871533413345152,3.2795030732712345,3.1030662363755015,-0.04944698226081046,0.9871533413345152,5.720496926728766,3.1030662363755015,0.9961773378396079,0.9882939304434476,3.346222756058257,3.004211184726731,0.003822662160392065,0.9882939304434476,5.653777243941744,3.004211184726731,0.0,0.0,0.0,0.0,1.0,1.0
9,0.3711373635558892,1.0700075049606332,3.6506404368271235,3.3132679652736243,0.6288626364441107,1.0700075049606332,6.349359563172877,3.3132679652736243,0.4108668368384247,1.0868199108839938,3.757089592896681,3.2009315906382034,0.5891331631615754,1.0868199108839938,6.242910407103319,3.2009315906382034,0.365,0.319,0.264,0.299,0.371,0.382
10,0.40481723702053224,1.026700070828777,4.055457673847656,3.4896638700075404,0.5951827629794677,1.026700070828777,6.944542326152344,3.4896638700075404,0.3933020589059692,1.100236844474562,4.15039165180265,3.383315187033155,0.6066979410940307,1.100236844474562,6.849608348197349,3.383315187033155,0.34,0.334,0.257,0.302,0.403,0.364
11,0.4572838891204963,1.096219644811733,4.512741562968153,3.658985758504057,0.5427161108795038,1.096219644811733,7.487258437031847,3.658985758504057,0.4166476608351058,1.0643181424319998,4.567039312637756,3.5468945319997487,0.5833523391648942,1.0643181424319998,7.432960687362244,3.5468945319997487,0.328,0.351,0.269,0.3,0.403,0.349
12,0.4498477265655423,1.0663502983507804,4.962589289533693,3.808382361019871,0.5501522734344577,1.0663502983507804,8.037410710466306,3.808382361019871,0.38425313647654363,1.0197980162915594,4.951292449114299,3.732418946613937,0.6157468635234563,1.0197980162915594,8.0487075508857,3.732418946613937,0.36,0.33,0.252,0.3,0.388,0.37
13,0.3988944829324324,1.0805280421147887,5.361483772466126,3.946619560157723,0.6011055170675677,1.0805280421147887,8.638516227533874,3.9466195601577234,0.48151814188414643,1.0864354470930973,5.432810590998446,3.911093846579094,0.5184818581158536,1.0864354470930973,8.567189409001552,3.9110938465790936,0.345,0.34,0.278,0.276,0.377,0.384
14,0.4202199573422796,1.0862512212317772,5.781703729808407,4.11919738019976,0.5797800426577204,1.0862512212317772,9.218296270191592,4.11919738019976,0.4483641956224238,1.0665402093611271,5.8811747866208695,4.1091804840973705,0.5516358043775763,1.0665402093611271,9.118825213379129,4.1091804840973705,0.332,0.368,0.275,0.282,0.393,0.35
15,0.3978329295925512,1.1080640329823424,6.1795366594009575,4.2344686094499755,0.6021670704074488,1.1080640329823421,9.820463340599042,4.2344686094499755,0.37226502433079756,1.0847190749235125,6.253439810951668,4.328805327350058,0.6277349756692026,1.0847190749235125,9.746560189048331,4.328805327350058,0.344,0.349,0.258,0.306,0.398,0.345
16,0.43919965915028003,1.0758753595204908,6.618736318551238,4.363345020762181,0.56080034084972,1.075875359520491,10.381263681448763,4.363345020762181,0.5080727192669463,1.0670372521693727,6.761512530218614,4.499482845911353,0.49192728073305375,1.0670372521693727,10.238487469781386,4.499482845911353,0.357,0.334,0.263,0.297,0.38,0.369
