step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0440712123440594,0.9998830502702039,1.0440712123440594,0.9998830502702039,-0.044071212344059245,0.9998830502702039,-0.044071212344059245,0.9998830502702039,0.9683084064876494,0.9726492905267339,0.9683084064876494,0.9726492905267339,0.03169159351235069,0.9726492905267338,0.03169159351235069,0.9726492905267338,1.0,1.0,0.0,0.0,0.0,0.0
1,0.2837574276870775,1.0176460974889454,1.3278286400311368,1.4587732476071198,0.7162425723129224,1.0176460974889454,0.6721713599688632,1.4587732476071198,0.21643328509514514,1.0072183671182828,1.1847416915827944,1.4192502025485105,0.7835667149048549,1.0072183671182828,0.8152583084172055,1.4192502025485105,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.020059056857422895,0.9926620881175596,1.307769583173714,1.7976802616147836,1.020059056857423,0.9926620881175595,1.692230416826286,1.7976802616147836,0.016975178120587023,1.006027094016726,1.2017168697033818,1.7937767679586278,0.983024821879413,1.0060270940167257,1.7982831302966182,1.7937767679586278,1.0,0.0,0.0,0.0,0.0,1.0
3,0.14969933767859886,1.0019108007632438,1.4574689208523128,2.0258077529604073,0.8503006623214011,1.0019108007632438,2.5425310791476874,2.0258077529604073,0.1897309964084039,0.9984586475829091,1.3914478661117855,2.0584021352305877,0.8102690035915961,0.998458647582909,2.6085521338882143,2.0584021352305877,0.0,1.0,1.0,0.0,0.0,0.0
4,0.40057770105854074,1.0087906638554893,1.8580466219108533,2.2792980553499027,0.5994222989414593,1.0087906638554893,3.1419533780891467,2.2792980553499027,0.36984096904069097,0.9882584592383274,1.7612888351524765,2.2697591518358706,0.630159030959309,0.9882584592383274,3.238711164847524,2.2697591518358706,0.0,0.0,1.0,1.0,0.0,0.0
5,0.2777242495203312,1.009298305170011,2.135770871431185,2.5303907546197744,0.7222757504796686,1.009298305170011,3.864229128568815,2.5303907546197744,0.21738763878712003,0.9638414813533595,1.9786764739395966,2.486539191912507,0.7826123612128799,0.9638414813533595,4.021323526060404,2.486539191912507,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.019474317124134596,1.0130005476297685,2.1162965543070498,2.741298906249314,1.0194743171241345,1.0130005476297685,4.88370344569295,2.741298906249314,-0.004532310399034656,0.9846325031296702,1.9741441635405617,2.719656784588231,1.0045323103990345,0.9846325031296702,5.025855836459439,2.719656784588231,0.0,1.0,0.0,0.0,1.0,0.0
7,0.2416173868424343,0.9870294792358748,2.3579139411494845,2.913745827124049,0.7583826131575657,0.9870294792358748,5.6420860588505155,2.913745827124049,0.2119477752399613,1.0281430330911097,2.1860919387805233,2.8833890267556326,0.7880522247600387,1.0281430330911097,5.813908061219477,2.8833890267556326,0.0,0.0,0.0,1.0,1.0,0.0
8,0.9513235212771576,1.0311777000499616,3.3092374624266423,3.0837542943308875,0.04867647872284239,1.0311777000499616,5.690762537573357,3.0837542943308875,1.0021671752505288,1.0084527203829685,3.1882591140310526,3.0362073722410323,-0.002167175250528846,1.0084527203829685,5.8117408859689474,3.0362073722410323,0.0,0.0,0.0,0.0,1.0,1.0
9,0.3609420716385579,1.08071379392136,3.6701795340651997,3.2633917868601614,0.6390579283614423,1.08071379392136,6.329820465934799,3.2633917868601614,0.358618194997405,1.112656089051065,3.5468773090284573,3.2088095106902035,0.641381805002595,1.112656089051065,6.453122690971543,3.2088095106902035,0.37,0.36,0.272,0.271,0.358,0.369
10,0.49844607923948026,1.069292946906935,4.16862561330468,3.4741607842304756,0.5015539207605197,1.069292946906935,6.83137438669532,3.4741607842304756,0.41451730167663503,1.0696959497447625,3.9613946107050917,3.3423440288028106,0.585482698323365,1.0696959497447625,7.038605389294908,3.342344028802811,0.396,0.368,0.247,0.276,0.357,0.356
11,0.4720323091514782,1.0297352201615035,4.6406579224561595,3.700885004804242,0.5279676908485217,1.0297352201615035,7.359342077543841,3.7008850048042414,0.4305723118051505,1.0749647004121967,4.3919669225102425,3.4858538700969506,0.5694276881948496,1.074964700412197,7.6080330774897575,3.4858538700969506,0.361,0.32,0.265,0.288,0.374,0.392
12,0.47909739673544244,1.0982034138734014,5.119755319191602,3.8497837764930583,0.5209026032645576,1.0982034138734014,7.880244680808398,3.8497837764930583,0.4880205452625595,1.0489122525927739,4.879987467772802,3.62973921797006,0.5119794547374406,1.0489122525927739,8.120012532227198,3.62973921797006,0.373,0.35,0.255,0.287,0.372,0.363
13,0.49109598588242076,1.0968039297086583,5.610851305074022,4.066007399165929,0.5089040141175792,1.0968039297086583,8.389148694925979,4.066007399165929,0.4560488326577983,1.1049863920128111,5.3360363004306,3.8379239412095743,0.5439511673422016,1.1049863920128111,8.6639636995694,3.837923941209574,0.39,0.358,0.246,0.277,0.364,0.365
14,0.525390236430622,1.1123860654722875,6.136241541504644,4.207542115829429,0.47460976356937806,1.1123860654722875,8.863758458495356,4.207542115829429,0.4806495724158052,1.0509096287715074,5.816685872846405,4.021724903852383,0.5193504275841948,1.0509096287715074,9.183314127153594,4.021724903852383,0.398,0.357,0.248,0.261,0.354,0.382
15,0.43822323542200015,1.0452324959643646,6.574464776926644,4.298588116649067,0.561776764578,1.0452324959643646,9.425535223073357,4.298588116649067,0.5184523699738868,1.0760867174004343,6.3351382428202925,4.165029099182502,0.48154763002611317,1.0760867174004343,9.664861757179708,4.165029099182502,0.398,0.37,0.23,0.265,0.372,0.365
16,0.4988794382624028,1.0972075037022255,7.073344215189047,4.463912098724176,0.5011205617375972,1.0972075037022255,9.926655784810952,4.463912098724176,0.547526667207261,1.0931126950707488,6.882664910027554,4.339880583963279,0.45247333279273905,1.0931126950707488,10.117335089972446,4.339880583963279,0.4,0.364,0.245,0.266,0.355,0.37
17,0.49662795456265085,1.085109404563754,7.569972169751698,4.668399973350176,0.5033720454373491,1.085109404563754,10.430027830248303,4.668399973350176,0.5813281924444571,1.0695130256088905,7.46399310247201,4.538882748900885,0.41867180755554284,1.0695130256088905,10.53600689752799,4.538882748900885,0.396,0.379,0.219,0.251,0.385,0.37
