step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9802849022815332,0.9863287684201978,0.9802849022815332,0.9863287684201978,0.01971509771846685,0.9863287684201978,0.01971509771846685,0.9863287684201978,1.0144118545420253,0.9485971396698908,1.0144118545420253,0.9485971396698908,-0.014411854542025286,0.9485971396698908,-0.014411854542025286,0.9485971396698908,1.0,1.0,0.0,0.0,0.0,0.0
1,0.2309279727334532,1.0334594895833809,1.2112128750149864,1.3891041411769514,0.7690720272665468,1.0334594895833809,0.7887871249850137,1.3891041411769514,0.23020253938980995,0.985678304577362,1.2446143939318353,1.3549528348131936,0.76979746061019,0.985678304577362,0.7553856060681647,1.3549528348131934,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.02223593637889546,0.9759939706919878,1.1889769386360909,1.68938425270588,1.0222359363788955,0.9759939706919878,1.8110230613639091,1.6893842527058802,0.01280885601320778,1.0016143351488698,1.2574232499450428,1.7288735026237692,0.9871911439867922,1.0016143351488698,1.7425767500549572,1.7288735026237692,1.0,0.0,0.0,0.0,0.0,1.0
3,0.19209937269741206,0.9836340982026579,1.381076311333503,1.926077470442529,0.8079006273025879,0.983634098202658,2.6189236886664973,1.926077470442529,0.2657181160930518,0.9838586796234441,1.523141366038095,2.023742334167752,0.7342818839069483,0.9838586796234441,2.476858633961905,2.023742334167752,0.0,1.0,1.0,0.0,0.0,0.0
4,0.3323023629866756,0.9980273462397142,1.7133786743201787,2.1751285815463595,0.6676976370133243,0.9980273462397142,3.2866213256798216,2.1751285815463595,0.3741187929842251,1.002670309007969,1.89726015902232,2.2456702137641154,0.6258812070157749,1.002670309007969,3.1027398409776796,2.245670213764116,0.0,0.0,1.0,1.0,0.0,0.0
5,0.17911054614786912,1.0114353953899766,1.8924892204680477,2.421608327562038,0.8208894538521309,1.0114353953899766,4.107510779531952,2.421608327562038,0.21033541912656703,1.0148786843064084,2.1075955781488864,2.5133276500344426,0.7896645808734329,1.0148786843064084,3.892404421851113,2.5133276500344426,0.0,0.0,1.0,0.0,0.0,1.0
6,0.07888308862429258,1.0451810779193438,1.9713723090923403,2.6463790593539334,0.9211169113757073,1.0451810779193436,5.028627690907659,2.6463790593539334,-0.01814022378679183,0.9941128150391088,2.089455354362095,2.73900193290786,1.0181402237867918,0.9941128150391089,4.910544645637905,2.73900193290786,0.0,1.0,0.0,0.0,1.0,0.0
7,0.26976845843835934,0.9709920179017006,2.2411407675307,2.8136107355086866,0.7302315415616406,0.9709920179017006,5.7588592324693,2.8136107355086866,0.2442806867919817,1.0183295509675603,2.3337360411540766,2.9194977212672426,0.7557193132080183,1.0183295509675603,5.6662639588459225,2.9194977212672426,0.0,0.0,0.0,1.0,1.0,0.0
8,0.9861710430050187,0.9968125840530028,3.227311810535718,2.995627868830103,0.013828956994981333,0.9968125840530028,5.772688189464282,2.995627868830103,0.9783205678638549,1.0124375991694419,3.3120566090179318,3.0490705816316592,0.021679432136145087,1.0124375991694419,5.687943390982068,3.0490705816316592,0.0,0.0,0.0,0.0,1.0,1.0
9,0.4035040948873206,1.0659965860349396,3.630815905423039,3.163970556159526,0.5964959051126794,1.0659965860349396,6.369184094576961,3.163970556159526,0.4761787987044571,1.1003080327293788,3.788235407722389,3.2382845228984825,0.5238212012955429,1.1003080327293788,6.2117645922776115,3.2382845228984825,0.356,0.38,0.239,0.259,0.405,0.361
10,0.5999003415601314,1.0857183391587357,4.23071624698317,3.347196023980863,0.40009965843986856,1.0857183391587357,6.76928375301683,3.347196023980863,0.5832398258176811,1.067128128239851,4.37147523354007,3.43172405885678,0.41676017418231887,1.067128128239851,6.62852476645993,3.43172405885678,0.374,0.384,0.241,0.227,0.385,0.389
11,0.5919780473666717,1.0708123144067487,4.822694294349842,3.5838105315953044,0.4080219526333283,1.0708123144067485,7.177305705650158,3.5838105315953044,0.651287426654011,1.0929569953775582,5.022762660194081,3.6119264214780182,0.3487125733459891,1.0929569953775582,6.977237339805919,3.6119264214780182,0.382,0.365,0.233,0.252,0.385,0.383
12,0.6450491059354014,1.1214850859916756,5.467743400285243,3.755410375254805,0.3549508940645986,1.1214850859916756,7.5322565997147555,3.755410375254805,0.6747165434324855,1.1371605384993793,5.697479203626566,3.8402857343056183,0.32528345656751445,1.1371605384993793,7.302520796373434,3.8402857343056187,0.385,0.397,0.222,0.231,0.393,0.372
13,0.7431174651589884,1.074947405900185,6.210860865444232,3.9962437185636017,0.25688253484101153,1.074947405900185,7.789139134555768,3.9962437185636017,0.6564012202754832,1.0842175239721106,6.35388042390205,4.0962740690614945,0.34359877972451675,1.0842175239721106,7.64611957609795,4.0962740690614945,0.376,0.392,0.217,0.214,0.407,0.394
14,0.7064383586708953,1.0893152730531237,6.917299224115127,4.230363986880494,0.29356164132910467,1.0893152730531237,8.082700775884872,4.230363986880494,0.7052470469433076,1.067242562306695,7.0591274708453575,4.303258222756671,0.29475295305669236,1.067242562306695,7.940872529154643,4.303258222756672,0.396,0.379,0.193,0.216,0.411,0.405
15,0.6706427678765213,1.0766628785845749,7.587941991991649,4.4380299519859525,0.3293572321234786,1.0766628785845747,8.412058008008351,4.4380299519859525,0.784305254149403,1.0693856599761518,7.84343272499476,4.505552811126418,0.21569474585059692,1.0693856599761518,8.15656727500524,4.505552811126418,0.396,0.39,0.213,0.191,0.391,0.419
16,0.8153351832054104,1.067017578931728,8.40327717519706,4.701536261915789,0.18466481679458954,1.067017578931728,8.596722824802942,4.701536261915789,0.7198427784608009,1.0596379491778316,8.56327550345556,4.7330175306240605,0.28015722153919914,1.0596379491778316,8.436724496544441,4.7330175306240605,0.405,0.386,0.191,0.197,0.404,0.417
17,0.7607861520978725,1.0828001426510536,9.164063327294931,4.9455938089856435,0.2392138479021276,1.0828001426510536,8.835936672705067,4.9455938089856435,0.8646335505808515,1.0606500294294683,9.427909054036412,4.995653814880902,0.13536644941914855,1.0606500294294683,8.572090945963588,4.995653814880902,0.4,0.393,0.182,0.191,0.418,0.416
18,0.8254788384439545,1.0572473679986085,9.989542165738888,5.185507004526719,0.17452116155604555,1.0572473679986085,9.010457834261114,5.185507004526719,0.7795231123150406,1.047809722900124,10.207432166351452,5.204678021724087,0.22047688768495943,1.047809722900124,8.792567833648548,5.204678021724087,0.409,0.382,0.167,0.189,0.424,0.429
19,0.8508317843001508,1.0433086578857385,10.840373950039037,5.373536584910444,0.1491682156998491,1.0433086578857387,9.159626049960963,5.373536584910444,0.8735572308378047,1.0820117684283925,11.080989397189258,5.4544358257631815,0.12644276916219538,1.0820117684283925,8.919010602810742,5.4544358257631815,0.4,0.402,0.172,0.183,0.428,0.415
20,0.8036275468758813,1.0435757866135562,11.644001496914917,5.552192613656588,0.19637245312411866,1.0435757866135562,9.355998503085084,5.552192613656588,0.8493236767515747,1.0656417244348992,11.930313073940834,5.696433170796172,0.15067632324842525,1.0656417244348992,9.069686926059166,5.696433170796172,0.406,0.402,0.158,0.172,0.436,0.426
21,0.8620484053630745,1.0507182521300669,12.506049902277994,5.770587684552904,0.1379515946369255,1.0507182521300669,9.493950097722006,5.770587684552904,0.8401075627917027,1.0391254316636696,12.770420636732535,5.880621401781868,0.15989243720829716,1.0391254316636696,9.229579363267465,5.880621401781868,0.406,0.4,0.163,0.163,0.431,0.437
22,0.8457641570325332,1.0968419188748757,13.351814059310525,6.024625919389972,0.15423584296746684,1.0968419188748757,9.648185940689475,6.024625919389972,0.8296985541748243,1.0528812789358082,13.60011919090736,6.057207207868058,0.17030144582517565,1.0528812789358082,9.39988080909264,6.057207207868058,0.402,0.397,0.151,0.165,0.447,0.438
23,0.8266844312235604,1.0646755625335718,14.178498490534086,6.22001642630802,0.17331556877643964,1.0646755625335718,9.821501509465914,6.22001642630802,0.830012268158988,1.007339910525975,14.430131459066347,6.267103453324573,0.16998773184101196,1.0073399105259748,9.569868540933653,6.267103453324573,0.414,0.406,0.149,0.154,0.437,0.44
24,0.8799943884413446,0.998067162171322,15.05849287897543,6.429078826320651,0.12000561155865543,0.998067162171322,9.94150712102457,6.429078826320651,0.8757808584608544,1.0248253715311737,15.305912317527204,6.494067637202906,0.12421914153914557,1.0248253715311737,9.694087682472796,6.494067637202906,0.416,0.419,0.147,0.15,0.437,0.431
25,0.8613173934487325,1.0238780220143264,15.919810272424163,6.6161903428140345,0.13868260655126757,1.0238780220143266,10.080189727575839,6.6161903428140345,0.9091435006073204,0.9959775344240189,16.215055818134523,6.670762799513136,0.0908564993926795,0.9959775344240189,9.784944181865479,6.670762799513136,0.415,0.409,0.148,0.152,0.437,0.439
26,0.8526265435531295,1.0419413284976768,16.772436815977294,6.772198350188751,0.14737345644687053,1.0419413284976768,10.227563184022706,6.772198350188751,0.8939666584510594,1.030396420078764,17.109022476585583,6.873001245704822,0.10603334154894054,1.030396420078764,9.890977523414419,6.873001245704822,0.413,0.417,0.149,0.144,0.438,0.439
27,0.9215442562761602,1.029515719412521,17.693981072253454,7.013309075135202,0.07845574372383979,1.029515719412521,10.306018927746546,7.0133090751352025,0.9145513686165451,1.0403316474618813,18.02357384520213,7.0902022797124635,0.08544863138345493,1.0403316474618813,9.97642615479787,7.090202279712464,0.414,0.411,0.144,0.141,0.442,0.448
28,0.887256590441456,1.0246435971329617,18.581237662694907,7.175227238432492,0.11274340955854407,1.0246435971329617,10.418762337305091,7.175227238432493,0.890847676094657,1.0572137476891055,18.914421521296784,7.235465626559075,0.10915232390534291,1.0572137476891055,10.085578478703216,7.235465626559075,0.409,0.418,0.141,0.141,0.45,0.441
29,0.9459882217836983,1.0454773438412748,19.527225884478604,7.37542032341526,0.054011778216301605,1.0454773438412748,10.472774115521391,7.375420323415261,0.8999747327585922,1.028116222861452,19.814396254055378,7.411120120342283,0.10002526724140776,1.028116222861452,10.185603745944624,7.411120120342283,0.414,0.418,0.137,0.135,0.449,0.447
30,0.8614856992007053,1.040549595225031,20.388711583679314,7.610173333133016,0.13851430079929486,1.0405495952250312,10.611288416320686,7.610173333133016,0.9130952020256341,1.0165675812172545,20.72749145608101,7.546281014392972,0.08690479797436591,1.0165675812172545,10.27250854391899,7.546281014392972,0.415,0.416,0.14,0.137,0.445,0.447
31,0.9079427408057469,1.0270568590484652,21.29665432448506,7.814255264009466,0.09205725919425302,1.0270568590484652,10.70334567551494,7.814255264009466,0.989976197823116,1.038765058783994,21.71746765390413,7.766871904254961,0.010023802176884051,1.038765058783994,10.282532346095874,7.766871904254961,0.419,0.415,0.127,0.134,0.454,0.451
32,0.9628118822814175,1.075592077971359,22.259466206766476,8.064892858237235,0.03718811771858257,1.075592077971359,10.740533793233524,8.064892858237235,0.8892547686909903,1.04845797431332,22.60672242259512,7.998125365795258,0.11074523130900964,1.04845797431332,10.393277577404882,7.998125365795257,0.418,0.421,0.138,0.131,0.444,0.448
33,0.8926971989116873,1.0387148883580892,23.152163405678163,8.239221560963097,0.10730280108831272,1.0387148883580892,10.847836594321835,8.239221560963099,0.8762112407275156,1.0556624500353213,23.482933663322633,8.217893066828987,0.12378875927248438,1.0556624500353213,10.517066336677368,8.217893066828987,0.419,0.422,0.131,0.133,0.45,0.445
34,0.9408835413579381,1.0283101674841704,24.093046947036104,8.44470585237079,0.059116458642061984,1.0283101674841704,10.906953052963898,8.44470585237079,0.8842753050488514,1.0786578061132917,24.367208968371482,8.469699513805148,0.11572469495114854,1.0786578061132917,10.632791031628516,8.46969951380515,0.422,0.415,0.131,0.138,0.447,0.447
35,0.8517961969431153,1.0178989049393787,24.94484314397922,8.658980541322096,0.14820380305688474,1.0178989049393787,11.055156856020782,8.658980541322096,0.9108215057546785,1.029328519728894,25.278030474126165,8.651554976348082,0.08917849424532147,1.029328519728894,10.721969525873835,8.651554976348082,0.422,0.414,0.13,0.136,0.448,0.45
36,0.9196657118700292,1.0033325695020052,25.864508855849245,8.81154578709982,0.08033428812997076,1.0033325695020054,11.135491144150754,8.81154578709982,0.9491879409288164,1.0315435489548663,26.22721841505498,8.833767081940916,0.05081205907118365,1.0315435489548663,10.772781584945022,8.833767081940914,0.42,0.426,0.132,0.133,0.448,0.441
37,0.9047774613458089,1.0221162879415555,26.769286317195057,8.992970157733208,0.09522253865419106,1.0221162879415555,11.230713682804945,8.992970157733208,0.9386809406415894,1.0339347946254216,27.165899355696567,9.008456177602389,0.06131905935841063,1.0339347946254216,10.834100644303431,9.00845617760239,0.419,0.417,0.134,0.131,0.447,0.452
38,0.8926827192093935,0.9992432467816088,27.661969036404447,9.186792079294207,0.10731728079060654,0.9992432467816088,11.338030963595553,9.186792079294207,0.8935736082845636,1.0459050683227098,28.059472963981133,9.180249072404767,0.10642639171543644,1.0459050683227098,10.940527036018867,9.180249072404767,0.422,0.415,0.13,0.135,0.448,0.45
39,0.9429251169445331,1.0460487615072087,28.604894153348983,9.408881351931916,0.05707488305546683,1.0460487615072087,11.395105846651019,9.408881351931916,0.8946897579584066,1.0544206939771992,28.95416272193954,9.374368186106908,0.1053102420415934,1.0544206939771992,11.045837278060462,9.37436818610691,0.421,0.423,0.129,0.128,0.45,0.449
40,0.9251473057522143,1.0417662616158303,29.530041459101195,9.658597333039,0.0748526942477858,1.04176626161583,11.469958540898805,9.658597333039,0.9042824200937266,1.074293178219149,29.858445142033265,9.559543576572551,0.09571757990627339,1.074293178219149,11.141554857966733,9.559543576572551,0.424,0.425,0.126,0.124,0.45,0.451
