step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.036878262562921,1.000301620453521,1.036878262562921,1.000301620453521,-0.036878262562921024,1.000301620453521,-0.036878262562921024,1.000301620453521,1.027914852575534,0.9822434267487391,1.027914852575534,0.9822434267487391,-0.02791485257553416,0.9822434267487391,-0.02791485257553416,0.9822434267487391,1.0,1.0,0.0,0.0,0.0,0.0
1,0.2609167461936587,1.0292042628465217,1.2977950087565795,1.417073955790145,0.7390832538063413,1.0292042628465217,0.7022049912434202,1.417073955790145,0.24185684853351563,0.9779680072770333,1.26977170110905,1.420362954492572,0.7581431514664844,0.9779680072770333,0.7302282988909502,1.420362954492572,1.0,0.0,0.0,1.0,0.0,0.0
2,0.043383606839970425,1.0137189539407734,1.3411786155965502,1.76349733025834,0.9566163931600296,1.0137189539407734,1.6588213844034498,1.76349733025834,-0.0015839565295187156,0.9950941373887714,1.2681877445795313,1.7020535321426167,1.0015839565295186,0.9950941373887714,1.7318122554204687,1.7020535321426167,1.0,0.0,0.0,0.0,0.0,1.0
3,0.24389367838674383,0.9843931442563312,1.585072293983294,2.040351670989827,0.7561063216132561,0.9843931442563312,2.414927706016706,2.040351670989827,0.2279379348209323,0.987870073985136,1.4961256794004634,1.9649052317601308,0.7720620651790676,0.987870073985136,2.5038743205995364,1.9649052317601308,0.0,1.0,1.0,0.0,0.0,0.0
4,0.39725146908394676,0.9607616344503167,1.9823237630672406,2.256042073728846,0.6027485309160533,0.9607616344503167,3.0176762369327594,2.256042073728846,0.3782778609770048,1.0080786720065535,1.8744035403774684,2.2081430013134566,0.6217221390229952,1.0080786720065535,3.125596459622532,2.2081430013134566,0.0,0.0,1.0,1.0,0.0,0.0
5,0.18414321047240179,1.0432860481500403,2.1664669735396425,2.4696518021438107,0.8158567895275982,1.0432860481500406,3.8335330264603575,2.469651802143811,0.25994200141532225,0.9841383383373076,2.134345541792791,2.3960639137516933,0.7400579985846778,0.9841383383373075,3.8656544582072097,2.3960639137516933,0.0,0.0,1.0,0.0,0.0,1.0
6,0.017460434725338283,0.9670968644140363,2.1839274082649807,2.6844932473459875,0.9825395652746618,0.9670968644140364,4.816072591735019,2.6844932473459875,-0.006934331740260726,0.972835205794808,2.12741121005253,2.560835736602195,1.0069343317402608,0.972835205794808,4.872588789947471,2.560835736602195,0.0,1.0,0.0,0.0,1.0,0.0
7,0.2043577231100233,0.9992603958545513,2.3882851313750044,2.8089124018748577,0.7956422768899768,0.9992603958545514,5.611714868624996,2.8089124018748577,0.1952214678326685,0.9849957631962549,2.3226326778851982,2.751590831395084,0.8047785321673314,0.9849957631962549,5.677367322114802,2.751590831395084,0.0,0.0,0.0,1.0,1.0,0.0
8,0.9965680868523982,1.0075424500973251,3.3848532182274025,3.005225000905154,0.003431913147601687,1.0075424500973251,5.615146781772597,3.005225000905154,0.9529035799201988,0.9971582798804628,3.2755362578053973,2.9108119649515514,0.04709642007980125,0.9971582798804628,5.724463742194603,2.9108119649515514,0.0,0.0,0.0,0.0,1.0,1.0
9,0.39018195675924594,1.0890817192872833,3.7750351749866486,3.195485398655448,0.6098180432407541,1.0890817192872833,6.224964825013353,3.195485398655448,0.38261271843282524,1.1157658662834558,3.6581489762382224,3.0518142956001446,0.6173872815671748,1.1157658662834558,6.341851023761778,3.0518142956001446,0.383,0.367,0.263,0.262,0.354,0.371
