step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9981256022852871,0.0968137778984163,0.9981256022852871,0.0968137778984163,0.001874397714712976,0.09681377789841632,0.001874397714712976,0.09681377789841632,1.0070344427166238,0.10122522273626398,1.0070344427166238,0.10122522273626398,-0.007034442716623731,0.10122522273626398,-0.007034442716623731,0.10122522273626398,1.0,1.0,0.0,0.0,0.0,0.0
1,0.23257026922414606,0.09509606342578295,1.2306958715094332,0.13560590077176257,0.767429730775854,0.09509606342578295,0.7693041284905668,0.13560590077176257,0.22890689306126702,0.0993620601057763,1.2359413357778908,0.14487697619796588,0.7710931069387329,0.0993620601057763,0.7640586642221092,0.14487697619796588,1.0,0.0,0.0,1.0,0.0,0.0
2,0.003495261787510317,0.10385883626236647,1.2341911332969435,0.17429072848785684,0.9965047382124896,0.10385883626236647,1.7658088667030565,0.17429072848785684,0.0014867334812779741,0.09651320491851992,1.2374280692591688,0.17402522407903429,0.9985132665187221,0.09651320491851992,1.7625719307408312,0.17402522407903429,1.0,0.0,0.0,0.0,0.0,1.0
3,0.22736253722681707,0.09938562725697843,1.4615536705237602,0.20057903894325976,0.772637462773183,0.09938562725697843,2.53844632947624,0.20057903894325976,0.2301846630667947,0.09949785867650529,1.4676127323259633,0.20448346619750463,0.7698153369332054,0.09949785867650529,2.5323872676740367,0.2044834661975046,0.0,1.0,1.0,0.0,0.0,0.0
4,0.3866482859700541,0.1002119427530226,1.8482019564938146,0.2209378169434903,0.6133517140299459,0.1002119427530226,3.1517980435061856,0.2209378169434903,0.38623142250635156,0.09909388274230958,1.8538441548323148,0.22418540614411003,0.6137685774936484,0.0990938827423096,3.146155845167685,0.22418540614411003,0.0,0.0,1.0,1.0,0.0,0.0
5,0.23308577878557496,0.09966427967700102,2.0812877352793895,0.24821853306775118,0.766914221214425,0.09966427967700102,3.9187122647206105,0.24821853306775118,0.2273002282825896,0.09830989914022624,2.0811443831149044,0.24522472242201937,0.7726997717174103,0.09830989914022624,3.918855616885095,0.24522472242201934,0.0,0.0,1.0,0.0,0.0,1.0
6,0.0010958260114808578,0.10301909939402014,2.0823835612908708,0.26615800094273195,0.9989041739885192,0.10301909939402015,4.917616438709129,0.26615800094273195,0.004820418847685961,0.09971052518932604,2.085964801962591,0.26241684099819207,0.9951795811523141,0.09971052518932604,4.914035198037409,0.262416840998192,0.0,1.0,0.0,0.0,1.0,0.0
7,0.22721077378614915,0.10000381585090536,2.3095943350770196,0.28511975739788814,0.7727892262138508,0.10000381585090537,5.690405664922981,0.2851197573978882,0.22792780177211888,0.10119632787517102,2.3138926037347094,0.2835646423396562,0.7720721982278811,0.10119632787517102,5.68610739626529,0.2835646423396562,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0019224500679647,0.0986732872200084,3.3115167851449843,0.3011796166518574,-0.001922450067964847,0.0986732872200084,5.688483214855015,0.3011796166518574,1.0013863594485388,0.1022303410392156,3.3152789631832484,0.30058097204448325,-0.0013863594485387743,0.1022303410392156,5.684721036816753,0.30058097204448325,0.0,0.0,0.0,0.0,1.0,1.0
9,0.505535757472307,0.5083526569129031,3.8170525426172914,0.5913835433553625,0.49446424252769305,0.5083526569129031,6.182947457382708,0.5913835433553625,0.5077416659180072,0.5076923334249483,3.8230206291012556,0.5917673605009179,0.4922583340819929,0.5076923334249483,6.176979370898745,0.5917673605009179,0.505,0.511,0.011,0.015,0.484,0.474
