step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9960809613928198,0.09536256764929285,0.9960809613928198,0.09536256764929285,0.003919038607180263,0.09536256764929285,0.003919038607180263,0.09536256764929285,0.9981473915155245,0.09830130471960966,0.9981473915155245,0.09830130471960966,0.0018526084844755562,0.09830130471960966,0.0018526084844755562,0.09830130471960966,1.0,1.0,0.0,0.0
1,0.0014506168758132,0.09665265851890177,0.997531578268633,0.13700929111231855,0.9985493831241867,0.09665265851890177,1.002468421731367,0.13700929111231855,-0.0008307083709496916,0.09594766547711547,0.9973166831445748,0.1367484381846044,1.0008307083709496,0.09594766547711547,1.0026833168554254,0.1367484381846044,1.0,0.0,0.0,1.0
2,-0.0068385536208416045,0.1008862207493281,0.9906930246477913,0.16772858647788588,1.0068385536208415,0.1008862207493281,2.009306975352209,0.16772858647788588,-0.00262830288343258,0.09621187834515046,0.9946883802611421,0.16896359445940562,1.0026283028834326,0.09621187834515048,2.005311619738858,0.16896359445940562,0.0,1.0,1.0,0.0
3,0.5029062781068522,0.10184310584815123,1.4935993027546433,0.1966200266674197,0.49709372189314793,0.10184310584815125,2.5064006972453563,0.1966200266674197,0.4994914946977049,0.09743771797944892,1.494179874958847,0.19392772542171036,0.5005085053022951,0.09743771797944892,2.505820125041153,0.19392772542171038,0.0,0.0,1.0,1.0
4,0.5902306440249959,0.5054073181244969,2.0838299467796397,0.5328910889428018,0.4097693559750039,0.5054073181244968,2.9161700532203603,0.5328910889428018,0.5843097582539944,0.5038739692197715,2.0784896332128415,0.5497501958823868,0.41569024174600566,0.5038739692197715,2.9215103667871585,0.5497501958823868,0.59,0.991,0.41,0.009
5,0.4372933729707255,0.46628472299781876,2.521123319750365,0.8460918440486154,0.5627066270292747,0.46628472299781876,3.478876680249635,0.8460918440486153,0.444220962479504,0.470060942469051,2.5227105956923452,0.8581712868345205,0.5557790375204961,0.470060942469051,3.4772894043076548,0.8581712868345204,0.631,0.59,0.369,0.41
6,0.4355979820904753,0.47322278904627024,2.9567213018408403,1.0351808993864564,0.5644020179095247,0.47322278904627024,4.04327869815916,1.0351808993864564,0.438913154733875,0.47402040767967973,2.96162375042622,1.040009222650397,0.561086845266125,0.47402040767967973,4.03837624957378,1.040009222650397,0.623,0.627,0.377,0.373
7,0.4636818983325888,0.4777929959428883,3.4204032001734292,1.209463440657006,0.5363181016674111,0.4777929959428883,4.579596799826572,1.209463440657006,0.46294866563542464,0.48141593746692046,3.424572416061645,1.2103798461751551,0.5370513343645754,0.48141593746692046,4.575427583938356,1.2103798461751551,0.659,0.613,0.341,0.387
8,0.4748234007796856,0.4847691286058693,3.895226600953115,1.3644164742501317,0.5251765992203146,0.4847691286058693,5.104773399046884,1.3644164742501315,0.47671606515788073,0.47572920422753223,3.901288481219526,1.3579271561593187,0.5232839348421192,0.47572920422753223,5.098711518780474,1.357927156159319,0.667,0.646,0.333,0.354
9,0.4851006795048194,0.4878835046216654,4.380327280457934,1.5296190137659282,0.5148993204951806,0.4878835046216654,5.619672719542066,1.5296190137659282,0.48159030957230237,0.4840806305091914,4.382878790791828,1.518705178610982,0.5184096904276976,0.4840806305091914,5.617121209208172,1.518705178610982,0.663,0.655,0.337,0.345
