step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9781039992369376,1.017076188170812,0.9781039992369376,1.017076188170812,0.021896000763062466,1.017076188170812,0.021896000763062466,1.017076188170812,0.9530452400887891,1.0464510848554416,0.9530452400887891,1.0464510848554416,0.0469547599112109,1.0464510848554416,0.0469547599112109,1.0464510848554416,1.0,1.0,0.0,0.0
1,0.04449407161279899,1.0018850369917274,1.0225980708497364,1.4151062208365999,0.955505928387201,1.0018850369917274,0.9774019291502634,1.4151062208365999,0.02698325245213326,0.9909114446830156,0.9800284925409224,1.430894970715884,0.9730167475478668,0.9909114446830156,1.0199715074590776,1.430894970715884,1.0,0.0,0.0,1.0
2,-0.030438505754391564,0.9835637580221129,0.992159565095345,1.7611504712806867,1.0304385057543917,0.9835637580221129,2.007840434904655,1.7611504712806867,-0.025243029050370815,1.0208523612551756,0.9547854634905515,1.7350091785577328,1.0252430290503707,1.0208523612551756,2.0452145365094485,1.7350091785577328,0.0,1.0,1.0,0.0
3,0.4861413192306543,1.0100417871103013,1.4783008843259993,2.0446108478254255,0.5138586807693457,1.0100417871103013,2.5216991156740014,2.0446108478254255,0.4443270829738723,0.9993939256870994,1.3991125464644238,2.0321122440629074,0.5556729170261276,0.9993939256870994,2.6008874535355764,2.0321122440629074,0.0,0.0,1.0,1.0
4,0.42530399235975147,1.0452675790056432,1.9036048766857507,2.32900448063864,0.5746960076402485,1.0452675790056432,3.0963951233142497,2.32900448063864,0.3995005147080517,1.1103975641204324,1.7986130611724758,2.3426543629803094,0.6004994852919483,1.1103975641204324,3.2013869388275245,2.3426543629803094,0.578,0.604,0.422,0.396
5,0.474208502622807,1.0830227596221111,2.3778133793085576,2.5729135121984377,0.525791497377193,1.0830227596221111,3.6221866206914424,2.5729135121984377,0.40965967674594855,1.0941107975209077,2.208272737918424,2.5885146250032034,0.5903403232540515,1.0941107975209077,3.791727262081576,2.5885146250032034,0.596,0.601,0.404,0.399
6,0.4636911996181642,1.1092139150624607,2.841504578926722,2.871057204244982,0.5363088003818357,1.1092139150624607,4.158495421073278,2.871057204244982,0.5026183830168159,1.0746159763140404,2.71089112093524,2.8636571719938453,0.4973816169831841,1.0746159763140404,4.28910887906476,2.8636571719938457,0.558,0.63,0.442,0.37
7,0.5511114218211489,1.1308375282712417,3.392616000747871,3.147233737850802,0.44888857817885114,1.1308375282712417,4.607383999252129,3.1472337378508017,0.5702002422242333,1.086222874443817,3.2810913631594736,3.0786866171890086,0.42979975777576657,1.086222874443817,4.718908636840526,3.0786866171890086,0.624,0.641,0.376,0.359
8,0.5315293052115007,1.076404880603727,3.9241453059593714,3.3642265053921543,0.46847069478849923,1.076404880603727,5.075854694040628,3.3642265053921543,0.4987132712540849,1.101138667012554,3.779804634413558,3.246021045945869,0.5012867287459152,1.101138667012554,5.2201953655864415,3.246021045945869,0.618,0.656,0.382,0.344
9,0.574958727297226,1.0973314009917647,4.4991040332565975,3.6026259225634014,0.425041272702774,1.0973314009917647,5.5008959667434025,3.6026259225634014,0.5697849878004599,1.0851191409223278,4.349589622214018,3.453593455716594,0.43021501219954017,1.0851191409223278,5.650410377785982,3.453593455716594,0.629,0.673,0.371,0.327
