step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,0.5,0.0,1.5,0.0,0.5,0.0,2.5,0.0,0.5,0.0,1.5,0.0,0.5,0.0,2.5,0.0,0.0,0.0,1.0,1.0
4,0.597,0.4905007645253982,2.097,0.4905007645253982,0.403,0.4905007645253982,2.903,0.4905007645253982,0.597,0.4905007645253982,2.097,0.4905007645253982,0.403,0.4905007645253982,2.903,0.4905007645253982,0.597,1.0,0.403,0.0
5,0.456,0.4648268494826865,2.553,0.8343806085953819,0.544,0.46482684948268643,3.447,0.8343806085953819,0.456,0.4648268494826865,2.553,0.8343806085953819,0.544,0.46482684948268643,3.447,0.8343806085953819,0.667,0.597,0.333,0.403
6,0.493,0.47953206357865164,3.046,0.9876153097233761,0.507,0.47953206357865164,3.954,0.9876153097233761,0.493,0.47953206357865164,3.046,0.9876153097233761,0.507,0.47953206357865164,3.954,0.9876153097233761,0.637,0.736,0.363,0.264
7,0.5035,0.4787877922420329,3.5495,1.1446832531316251,0.4965,0.4787877922420329,4.4505,1.1446832531316251,0.5035,0.4787877922420329,3.5495,1.1446832531316251,0.4965,0.4787877922420329,4.4505,1.1446832531316251,0.662,0.717,0.338,0.283
8,0.371,0.43915714727190763,3.9205,1.159064169923305,0.629,0.43915714727190763,5.0795,1.159064169923305,0.371,0.43915714727190763,3.9205,1.159064169923305,0.629,0.43915714727190763,5.0795,1.159064169923305,0.676,0.452,0.324,0.548
9,0.567,0.48271212953477777,4.4875,1.3244220437609757,0.433,0.48271212953477766,5.5125,1.3244220437609757,0.567,0.48271212953477777,4.4875,1.3244220437609757,0.433,0.48271212953477766,5.5125,1.3244220437609757,0.683,0.809,0.317,0.191
10,0.601,0.4757089446289611,5.0885,1.459937584282287,0.399,0.4757089446289611,5.9115,1.459937584282287,0.601,0.4757089446289611,5.0885,1.459937584282287,0.399,0.4757089446289611,5.9115,1.459937584282287,0.691,0.829,0.309,0.171
11,0.606,0.477246267664819,5.6945,1.594183098016034,0.394,0.477246267664819,6.3055,1.594183098016034,0.606,0.477246267664819,5.6945,1.594183098016034,0.394,0.477246267664819,6.3055,1.594183098016034,0.705,0.835,0.295,0.165
12,0.6435,0.46920970791321015,6.338,1.7246031427548774,0.3565,0.46920970791321015,6.662,1.7246031427548774,0.6435,0.46920970791321015,6.338,1.7246031427548774,0.3565,0.46920970791321015,6.662,1.7246031427548774,0.759,0.829,0.241,0.171
13,0.662,0.46341773811540704,7.0,1.835755975068582,0.338,0.4634177381154071,7.0,1.835755975068582,0.662,0.46341773811540704,7.0,1.835755975068582,0.338,0.4634177381154071,7.0,1.835755975068582,0.774,0.834,0.226,0.166
