step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.001912544471231,0.10149198406056469,1.001912544471231,0.10149198406056469,-0.001912544471230829,0.10149198406056469,-0.001912544471230829,0.10149198406056469,1.0008693020934347,0.10256920787415817,1.0008693020934347,0.10256920787415817,-0.0008693020934346382,0.10256920787415817,-0.0008693020934346382,0.10256920787415817,1.0,1.0,0.0,0.0
1,0.00013107492036586765,0.09858795584449925,1.0020436193915967,0.141339353110675,0.9998689250796342,0.09858795584449925,0.9979563806084034,0.14133935311067503,-0.001216348512507263,0.09908339055522265,0.9996529535809274,0.14279738434854555,1.0012163485125072,0.09908339055522265,1.0003470464190727,0.14279738434854558,1.0,0.0,0.0,1.0
2,-0.00011597673358984161,0.10297092587782643,1.0019276426580068,0.174520390126806,1.0001159767335899,0.10297092587782643,1.998072357341993,0.174520390126806,0.004620983696492708,0.10077990067705137,1.00427393727742,0.17448381790703207,0.9953790163035072,0.10077990067705137,1.9957260627225801,0.17448381790703207,0.0,1.0,1.0,0.0
3,0.49837273142601973,0.10339920729705836,1.5003003740840268,0.2024389682010477,0.5016272685739802,0.10339920729705836,2.499699625915974,0.2024389682010477,0.49662863812632246,0.10223562899552342,1.5009025754037426,0.1977590990307404,0.5033713618736775,0.10223562899552342,2.4990974245962576,0.1977590990307404,0.0,0.0,1.0,1.0
4,0.5669170327075355,0.5014074038231456,2.067217406791562,0.5394547985249992,0.43308296729246454,0.5014074038231456,2.932782593208438,0.5394547985249992,0.5700119230460015,0.50093333503691,2.0709144984497443,0.5316488688760298,0.4299880769539986,0.5009333350369101,2.9290855015502557,0.5316488688760298,0.997,0.568,0.003,0.432
5,0.42726764375936105,0.471625947582522,2.494485050550923,0.859238125364968,0.572732356240639,0.471625947582522,3.505514949449077,0.859238125364968,0.4261861772685736,0.47108880668478503,2.4971006757183174,0.8567867905720684,0.5738138227314264,0.47108880668478503,3.502899324281682,0.8567867905720684,0.568,0.641,0.432,0.359
6,0.46269934467380086,0.4727304944987276,2.957184395224724,1.0447956811027599,0.5373006553261992,0.4727304944987276,4.042815604775276,1.0447956811027599,0.4697541351910876,0.4738567773623221,2.966854810909405,1.0305382622726762,0.5302458648089124,0.4738567773623221,4.033145189090595,1.0305382622726762,0.639,0.625,0.361,0.375
7,0.4549308231828959,0.47592132317377,3.41211521840762,1.2135795913595353,0.5450691768171041,0.47592132317377,4.58788478159238,1.2135795913595353,0.4516617898040906,0.48124908986692805,3.4185166007134957,1.1987353597248578,0.5483382101959093,0.48124908986692805,4.581483399286504,1.1987353597248578,0.608,0.657,0.392,0.343
8,0.46997080177469197,0.4831776103658057,3.882086020182312,1.373424664085741,0.530029198225308,0.4831776103658057,5.117913979817687,1.3734246640857413,0.46943259774157575,0.4787821779941861,3.887949198455072,1.3496675445529436,0.5305674022584241,0.4787821779941861,5.112050801544928,1.3496675445529436,0.65,0.643,0.35,0.357
9,0.48274539031952385,0.4791624306389097,4.364831410501835,1.5118316442816224,0.5172546096804762,0.4791624306389096,5.635168589498165,1.5118316442816224,0.4819816460819171,0.4800007565620858,4.369930844536989,1.4946496114154009,0.518018353918083,0.4800007565620858,5.630069155463011,1.4946496114154009,0.63,0.685,0.37,0.315
