step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0001347678568147,0.0949335927022483,1.0001347678568147,0.0949335927022483,-0.0001347678568147681,0.0949335927022483,-0.0001347678568147681,0.0949335927022483,1.001345482011831,0.0998227230113527,1.001345482011831,0.0998227230113527,-0.0013454820118311388,0.09982272301135268,-0.0013454820118311388,0.09982272301135268,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0011014063156788414,0.10081240595673975,1.0012361741724936,0.1372295172059227,0.9988985936843212,0.10081240595673976,0.9987638258275064,0.1372295172059227,-0.0055151653195944055,0.10133890037761467,0.9958303166922367,0.14234605420320573,1.0055151653195944,0.10133890037761467,1.0041696833077633,0.14234605420320573,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7316483396709574,0.10050866623029775,1.7328845138434508,0.17285169833388614,0.2683516603290426,0.10050866623029775,1.2671154861565488,0.17285169833388614,0.7322151364087744,0.09936001779465055,1.7280454531010112,0.17483772330874556,0.2677848635912255,0.09936001779465055,1.2719545468989888,0.17483772330874556,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.00014949429707088614,0.09382017711731663,1.73273501954638,0.19682106719976747,1.0001494942970708,0.09382017711731663,2.26726498045362,0.1968210671997675,-0.005288682236801682,0.09984746813095348,1.7227567708642095,0.20213290873073034,1.0052886822368017,0.09984746813095348,2.2772432291357902,0.20213290873073034,0.0,1.0,1.0,0.0,0.0,0.0
4,0.903844704813222,0.0966513338196458,2.636579724359602,0.21624492680134833,0.09615529518677812,0.0966513338196458,2.363420275640398,0.21624492680134835,0.9000674179632363,0.10408111818775294,2.622824188827446,0.22443300352946663,0.09993258203676368,0.10408111818775295,2.377175811172554,0.22443300352946663,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7333728976352395,0.09946035444768254,3.3699526219948415,0.2411676831652315,0.26662710236476056,0.09946035444768254,2.6300473780051585,0.2411676831652315,0.7295375698613619,0.09907258674992592,3.3523617586888075,0.24188085459984632,0.2704624301386382,0.09907258674992592,2.6476382413111925,0.24188085459984632,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7356395922675938,0.0979290363275372,4.105592214262435,0.26191032384370716,0.26436040773240616,0.0979290363275372,2.8944077857375645,0.26191032384370716,0.7362215243893818,0.10203114298729815,4.088583283078189,0.25825533284885843,0.26377847561061823,0.10203114298729815,2.911416716921811,0.2582553328488585,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7358126757873397,0.10086151307013061,4.841404890049775,0.28355936263458725,0.26418732421266045,0.10086151307013061,3.158595109950225,0.2835593626345872,0.7315367570067489,0.09943306700251403,4.820120040084938,0.27382064796693883,0.2684632429932512,0.09943306700251403,3.179879959915062,0.27382064796693883,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8553344074307363,0.09610206002098728,5.696739297480511,0.2991717006769025,0.1446655925692637,0.09610206002098728,3.3032607025194882,0.29917170067690246,0.8536623464677148,0.10129032842841747,5.673782386552652,0.28448669364415324,0.14633765353228517,0.10129032842841747,3.326217613447347,0.28448669364415324,0.0,0.0,0.0,0.0,1.0,1.0
9,0.6881717308637281,0.3135989238085238,6.384911028344239,0.4352140201015884,0.3118282691362719,0.3135989238085237,3.615088971655761,0.4352140201015884,0.6885880256841689,0.3200319137382656,6.362370412236822,0.430354883070062,0.3114119743158311,0.3200319137382656,3.637629587763178,0.43035488307006203,0.303,0.299,0.294,0.258,0.403,0.443
10,0.6659926368366611,0.330748827562908,7.0509036651809005,0.5457673901257435,0.33400736316333896,0.3307488275629081,3.9490963348191,0.5457673901257435,0.6630664513441248,0.3257633693250842,7.025436863580946,0.5485866932114392,0.3369335486558753,0.32576336932508415,3.9745631364190537,0.5485866932114393,0.303,0.3,0.278,0.28,0.419,0.42
11,0.6810128260924678,0.3085396344849793,7.731916491273368,0.6246306133871109,0.31898717390753223,0.3085396344849793,4.268083508726631,0.6246306133871109,0.6832506485103618,0.3193787738380937,7.708687512091308,0.6280831060436167,0.3167493514896382,0.3193787738380937,4.291312487908692,0.6280831060436168,0.302,0.3,0.265,0.253,0.433,0.447
12,0.6656761528877249,0.32596356719380204,8.397592644161094,0.7238621978292862,0.3343238471122753,0.32596356719380204,4.602407355838906,0.7238621978292862,0.6702263087366377,0.32072940633000385,8.378913820827947,0.7149938252294369,0.3297736912633624,0.32072940633000385,4.621086179172054,0.714993825229437,0.303,0.315,0.269,0.241,0.428,0.444
13,0.6737479177210821,0.32735543683680285,9.071340561882174,0.80315044895914,0.3262520822789179,0.32735543683680285,4.928659438117824,0.80315044895914,0.6774757495319237,0.3293266891216427,9.05638957035987,0.7891780473319552,0.32252425046807637,0.3293266891216427,4.94361042964013,0.7891780473319551,0.311,0.326,0.261,0.272,0.428,0.402
