step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9974216338470288,0.10502191137426413,0.9974216338470288,0.10502191137426413,0.002578366152971368,0.10502191137426413,0.002578366152971368,0.10502191137426413,0.9993131560509982,0.10119369134518139,0.9993131560509982,0.10119369134518139,0.0006868439490017179,0.10119369134518139,0.0006868439490017179,0.10119369134518139,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0010321893712015905,0.09587511812696085,0.9984538232182303,0.1418381854804007,0.9989678106287984,0.09587511812696085,1.0015461767817697,0.1418381854804007,0.0010084722313988372,0.09774658428000112,1.000321628282397,0.13983622132391957,0.9989915277686012,0.09774658428000112,0.9996783717176029,0.13983622132391957,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7359352785081987,0.09707192700546331,1.734389101726429,0.16796557712214108,0.26406472149180127,0.09707192700546331,1.265610898273571,0.1679655771221411,0.7310170003664088,0.0991586815679894,1.731338628648806,0.17530542911396446,0.2689829996335911,0.09915868156798942,1.2686613713511943,0.17530542911396446,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.001229446503800821,0.0998339730118327,1.7331596552226283,0.19381286319596047,1.001229446503801,0.09983397301183268,2.266840344777372,0.19381286319596044,-0.00916397736030728,0.10353403866874554,1.7221746512884988,0.2047729072786346,1.0091639773603074,0.10353403866874554,2.277825348711501,0.2047729072786346,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9023971181662684,0.09917508201766803,2.6355567733888967,0.22100329510370334,0.0976028818337316,0.09917508201766803,2.3644432266111033,0.22100329510370334,0.9005759131203118,0.1017020517962337,2.6227505644088107,0.22868080885636344,0.09942408687968823,0.1017020517962337,2.3772494355911893,0.22868080885636344,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7314584468975746,0.09728753303025281,3.367015220286471,0.24225100250094297,0.26854155310242556,0.09728753303025282,2.632984779713529,0.24225100250094295,0.7324433188602766,0.09582460698670825,3.355193883269087,0.24935456636487327,0.26755668113972353,0.09582460698670825,2.644806116730913,0.24935456636487327,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7340849786986441,0.10364731450142702,4.101100198985115,0.25787703112477395,0.26591502130135575,0.10364731450142702,2.8988998010148843,0.25787703112477395,0.7360835762810318,0.09774960054885588,4.091277459550119,0.2650782452488692,0.2639164237189682,0.09774960054885588,2.9087225404498813,0.2650782452488692,0.0,1.0,0.0,0.0,1.0,0.0
7,0.734688407893093,0.1040730990041728,4.835788606878208,0.2789520592367967,0.26531159210690697,0.1040730990041728,3.164211393121792,0.2789520592367967,0.7333662781896755,0.09977379551927011,4.824643737739795,0.2844757633111214,0.2666337218103246,0.09977379551927011,3.175356262260206,0.2844757633111214,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8516281312135532,0.10088243774837871,5.687416738091761,0.296503610940164,0.14837186878644684,0.10088243774837871,3.3125832619082383,0.2965036109401639,0.8529424361733942,0.09670836308271936,5.677586173913188,0.2998400838946623,0.1470575638266058,0.09670836308271936,3.3224138260868115,0.2998400838946623,0.0,0.0,0.0,0.0,1.0,1.0
9,0.78919758259807,0.12085865303912025,6.476614320689833,0.31716513827855586,0.2108024174019299,0.12085865303912025,3.5233856793101683,0.31716513827855586,0.7874194767619068,0.1215755647711977,6.465005650675095,0.328085258860428,0.21258052323809312,0.1215755647711977,3.5349943493249047,0.328085258860428,0.296,0.006,0.265,0.001,0.439,0.993
10,0.6770126009039859,0.3169280672610505,7.153626921593817,0.47522740454524864,0.3229873990960142,0.3169280672610505,3.8463730784061827,0.4752274045452486,0.6778794970723593,0.3238094525634197,7.142885147747455,0.471902125312845,0.3221205029276408,0.3238094525634197,3.8571148522525456,0.471902125312845,0.294,0.296,0.292,0.265,0.414,0.439
11,0.6594197653339029,0.3327814273125603,7.813046686927721,0.602502130775532,0.340580234666097,0.33278142731256033,4.186953313072279,0.602502130775532,0.652579528664273,0.3328199531236563,7.795464676411727,0.5974606335225613,0.34742047133572684,0.3328199531236563,4.2045353235882725,0.5974606335225613,0.297,0.293,0.273,0.291,0.43,0.416
12,0.660229015675095,0.3249360012545204,8.473275702602816,0.7041580429937039,0.33977098432490493,0.3249360012545204,4.526724297397184,0.7041580429937039,0.6712671234892685,0.32839387814213405,8.466731799900998,0.7057722621397508,0.32873287651073146,0.32839387814213405,4.5332682000990046,0.7057722621397508,0.276,0.302,0.277,0.268,0.447,0.43
13,0.6756536271317966,0.3162469296012463,9.148929329734612,0.7804252705846861,0.32434637286820345,0.3162469296012463,4.851070670265388,0.7804252705846861,0.6773611810147347,0.31992507929608216,9.144092980915731,0.7873975114656038,0.32263881898526525,0.31992507929608216,4.855907019084269,0.7873975114656039,0.28,0.28,0.279,0.274,0.441,0.446
14,0.6686117426417446,0.31481585584237587,9.817541072376356,0.8444179052116234,0.3313882573582554,0.31481585584237587,5.182458927623644,0.8444179052116234,0.6715781246436141,0.31678247141940513,9.815671105559344,0.8555402560298969,0.32842187535638584,0.31678247141940513,5.184328894440655,0.8555402560298969,0.262,0.287,0.277,0.278,0.461,0.435
15,0.6712292283458284,0.3182258147676236,10.488770300722186,0.8878242571072755,0.32877077165417157,0.3182258147676236,5.511229699277815,0.8878242571072755,0.6683713171802597,0.32065281270402585,10.484042422739604,0.9003232954552365,0.33162868281974034,0.32065281270402585,5.515957577260396,0.9003232954552365,0.297,0.254,0.259,0.278,0.444,0.468
16,0.6810873804206705,0.32197476079859816,11.169857681142856,0.9382051841751265,0.3189126195793293,0.32197476079859816,5.830142318857145,0.9382051841751265,0.6722026935309499,0.31874172173391907,11.156245116270554,0.958038810074129,0.3277973064690501,0.31874172173391907,5.843754883729445,0.9580388100741292,0.267,0.29,0.268,0.256,0.465,0.454
17,0.6793350687017267,0.32088735007029745,11.849192749844581,0.9908993932651072,0.3206649312982732,0.32088735007029745,6.150807250155418,0.9908993932651072,0.6746671025441928,0.3207286131430945,11.830912218814749,1.0083986774003049,0.3253328974558071,0.32072861314309453,6.169087781185254,1.0083986774003049,0.3,0.265,0.253,0.259,0.447,0.476
18,0.6785616435071326,0.30944936827506464,12.527754393351715,1.0281662681505397,0.32143835649286745,0.30944936827506464,6.472245606648285,1.0281662681505397,0.6820233449869796,0.31252692599373727,12.512935563801726,1.0440356647308513,0.3179766550130203,0.31252692599373727,6.487064436198272,1.0440356647308513,0.293,0.286,0.267,0.246,0.44,0.468
19,0.6735335538124091,0.327111036062344,13.201287947164124,1.0532721312385118,0.32646644618759085,0.32711103606234404,6.798712052835875,1.0532721312385118,0.6739982223723608,0.33002058978529464,13.18693378617409,1.0784194408602952,0.32600177762763916,0.33002058978529464,6.813066213825913,1.0784194408602952,0.274,0.288,0.285,0.255,0.441,0.457
20,0.6840240128204376,0.31232421767929597,13.885311959984563,1.0894976712365698,0.31597598717956243,0.31232421767929597,7.114688040015439,1.0894976712365698,0.6876872592907355,0.30152243286720704,13.874621045464824,1.1032186099025902,0.3123127407092645,0.30152243286720704,7.125378954535177,1.1032186099025902,0.284,0.274,0.264,0.265,0.452,0.461
21,0.6795489012056939,0.31588542715171475,14.564860861190256,1.1185662928103293,0.32045109879430606,0.31588542715171475,7.4351391388097445,1.1185662928103293,0.6803001732153036,0.3166471458388696,14.554921218680127,1.1285257348173392,0.3196998267846965,0.3166471458388696,7.445078781319873,1.1285257348173392,0.27,0.273,0.284,0.245,0.446,0.482
22,0.6788930718890811,0.3068841260354669,15.243753933079336,1.1457462970447505,0.3211069281109189,0.3068841260354669,7.756246066920664,1.1457462970447505,0.6763027901824018,0.3073509728044189,15.23122400886253,1.1524328859054191,0.3236972098175981,0.30735097280441886,7.7687759911374705,1.1524328859054191,0.265,0.249,0.256,0.267,0.479,0.484
23,0.7042471228651159,0.28986354253665164,15.948001055944452,1.1638220910011774,0.29575287713488396,0.28986354253665164,8.051998944055548,1.1638220910011774,0.7052450890081547,0.2869442039108878,15.936469097870685,1.1734265087020124,0.29475491099184525,0.2869442039108878,8.063530902129315,1.1734265087020121,0.288,0.251,0.226,0.23,0.486,0.519
24,0.6983476983289044,0.29538493801858295,16.646348754273358,1.1793034370213764,0.3016523016710956,0.29538493801858295,8.353651245726642,1.1793034370213762,0.7002665150783903,0.2886335538366589,16.636735612949074,1.186619981960264,0.2997334849216097,0.2886335538366589,8.363264387050927,1.186619981960264,0.252,0.272,0.24,0.205,0.508,0.523
25,0.7017181362848305,0.30071867362329546,17.348066890558183,1.195810338187968,0.2982818637151696,0.30071867362329546,8.651933109441812,1.195810338187968,0.7027474316283158,0.3012252060421369,17.339483044577392,1.2064202326350737,0.29725256837168434,0.3012252060421369,8.66051695542261,1.2064202326350737,0.281,0.24,0.24,0.221,0.479,0.539
26,0.7017248967822113,0.29041380187464716,18.0497917873404,1.2099134683798527,0.29827510321778866,0.2904138018746472,8.950208212659602,1.2099134683798527,0.7061305846799251,0.2882489509687502,18.045613629257314,1.2114322262051576,0.2938694153200748,0.2882489509687502,8.954386370742684,1.2114322262051573,0.262,0.263,0.243,0.216,0.495,0.521
27,0.7118959997094803,0.29040692883291275,18.76168778704988,1.2266796400751554,0.2881040002905198,0.29040692883291275,9.23831221295012,1.2266796400751556,0.7107719243992007,0.2830205917081634,18.756385553656518,1.229159246049006,0.28922807560079933,0.2830205917081634,9.243614446343482,1.2291592460490057,0.26,0.254,0.271,0.219,0.469,0.527
28,0.6959549259154331,0.3018243405478466,19.457642712965313,1.2626578136449276,0.304045074084567,0.3018243405478466,9.542357287034687,1.2626578136449276,0.6946798247802564,0.30185668279002714,19.45106537843677,1.2633104915422633,0.3053201752197437,0.30185668279002714,9.548934621563228,1.263310491542263,0.281,0.251,0.261,0.246,0.458,0.503
29,0.6878362931348654,0.30438127726752096,20.145479006100178,1.269669108772561,0.3121637068651346,0.30438127726752096,9.854520993899824,1.2696691087725611,0.7017503632305908,0.3023252375029696,20.152815741667364,1.2721488309530835,0.29824963676940924,0.30232523750296963,9.847184258332637,1.2721488309530833,0.276,0.255,0.253,0.237,0.471,0.508
30,0.7118751565359316,0.28527699870402456,20.85735416263611,1.284642156600498,0.2881248434640684,0.28527699870402456,10.142645837363892,1.2846421566004982,0.7101985467730964,0.28927155383353914,20.863014288440457,1.2964613702535555,0.2898014532269036,0.2892715538335392,10.136985711559541,1.2964613702535552,0.266,0.244,0.248,0.235,0.486,0.521
31,0.708491424959678,0.2910337834882045,21.56584558759579,1.3097578555060467,0.2915085750403221,0.2910337834882045,10.434154412404213,1.309757855506047,0.7103585873371484,0.28899879758003516,21.573372875777604,1.3182142192984159,0.2896414126628516,0.28899879758003516,10.426627124222392,1.3182142192984156,0.264,0.238,0.242,0.229,0.494,0.533
32,0.7079845306189843,0.27921991063650614,22.273830118214775,1.3222267568037203,0.2920154693810158,0.2792199106365062,10.726169881785228,1.3222267568037203,0.7083703965891036,0.2771113955126245,22.281743272366707,1.3336743196486214,0.2916296034108963,0.2771113955126244,10.71825672763329,1.3336743196486212,0.269,0.246,0.244,0.215,0.487,0.539
33,0.7211907407239929,0.27370289532859293,22.995020858938762,1.338383106736623,0.27880925927600714,0.27370289532859293,11.004979141061234,1.3383831067366232,0.7234300489908319,0.2703190191131671,23.005173321357542,1.3519096674685753,0.2765699510091682,0.2703190191131671,10.994826678642458,1.351909667468575,0.26,0.25,0.215,0.207,0.525,0.543
34,0.7056445914176774,0.27837347028772325,23.700665450356443,1.3564432225181329,0.2943554085823226,0.27837347028772325,11.299334549643559,1.356443222518133,0.7083852535744561,0.2810314659113368,23.713558574932,1.3627047519358753,0.291614746425544,0.2810314659113368,11.286441425068002,1.362704751935875,0.266,0.242,0.242,0.198,0.492,0.56
35,0.7034947715442358,0.2912855699762059,24.404160221900675,1.3830694273620705,0.2965052284557643,0.2912855699762059,11.595839778099323,1.3830694273620705,0.7052110322991961,0.2925606616572436,24.418769607231194,1.3925457814108082,0.29478896770080387,0.29256066165724365,11.581230392768804,1.392545781410808,0.273,0.249,0.23,0.217,0.497,0.534
36,0.708904897432715,0.281983790046474,25.113065119333392,1.39856096821515,0.29109510256728505,0.28198379004647406,11.886934880666608,1.3985609682151503,0.7133702568740926,0.28972225641877675,25.132139864105287,1.4183943845666451,0.2866297431259073,0.28972225641877675,11.867860135894713,1.418394384566645,0.275,0.247,0.23,0.195,0.495,0.558
37,0.7130131061508617,0.27412236267865603,25.826078225484256,1.4242819074421644,0.2869868938491383,0.27412236267865603,12.173921774515746,1.4242819074421647,0.7193648568786781,0.27474238240346166,25.851504720983964,1.433244167207086,0.280635143121322,0.27474238240346166,12.148495279016036,1.433244167207086,0.268,0.255,0.219,0.2,0.513,0.545
38,0.7232999428638102,0.2715811533805007,26.549378168348067,1.4413870702136307,0.2767000571361897,0.2715811533805007,12.450621831651937,1.4413870702136307,0.7174619158501803,0.277445988268253,26.56896663683415,1.4453677757608474,0.2825380841498196,0.277445988268253,12.431033363165854,1.4453677757608474,0.275,0.253,0.226,0.193,0.499,0.554
