step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7821951219512195,0.0600668871672894,6.465121951219509,0.06006688716728945,0.21780487804878057,0.0600668871672894,3.534878048780489,0.06006688716728946,0.7821951219512195,0.0600668871672894,6.465121951219509,0.06006688716728945,0.21780487804878057,0.0600668871672894,3.534878048780489,0.06006688716728946,0.295,0.0,0.291,0.0,0.414,1.0
10,0.6624878048780488,0.3159471149053488,7.127609756097559,0.340954477868504,0.3375121951219513,0.3159471149053488,3.8723902439024407,0.34095447786850397,0.6624878048780488,0.3159471149053488,7.127609756097559,0.340954477868504,0.3375121951219513,0.3159471149053488,3.8723902439024407,0.34095447786850397,0.262,0.295,0.291,0.291,0.447,0.414
11,0.6772682926829268,0.29949012391864716,7.804878048780487,0.49484192489776563,0.3227317073170732,0.29949012391864716,4.195121951219514,0.4948419248977655,0.6772682926829268,0.29949012391864716,7.804878048780487,0.49484192489776563,0.3227317073170732,0.29949012391864716,4.195121951219514,0.4948419248977655,0.311,0.262,0.259,0.291,0.43,0.447
12,0.655609756097561,0.3138974169060231,8.46048780487805,0.5897627549100738,0.3443902439024391,0.3138974169060231,4.539512195121953,0.5897627549100736,0.655609756097561,0.3138974169060231,8.46048780487805,0.5897627549100738,0.3443902439024391,0.3138974169060231,4.539512195121953,0.5897627549100736,0.305,0.311,0.285,0.259,0.41,0.43
13,0.6520487804878049,0.3249850076622536,9.112536585365856,0.6739219050356305,0.3479512195121952,0.3249850076622535,4.887463414634149,0.6739219050356302,0.6520487804878049,0.3249850076622536,9.112536585365856,0.6739219050356305,0.3479512195121952,0.3249850076622535,4.887463414634149,0.6739219050356302,0.315,0.305,0.285,0.285,0.4,0.41
14,0.6617073170731708,0.30955159371760826,9.774243902439027,0.737231369118363,0.33829268292682935,0.30955159371760826,5.225756097560978,0.7372313691183626,0.6617073170731708,0.30955159371760826,9.774243902439027,0.737231369118363,0.33829268292682935,0.30955159371760826,5.225756097560978,0.7372313691183626,0.286,0.314,0.254,0.283,0.46,0.403
15,0.6604390243902439,0.31491565776419644,10.43468292682927,0.8034356313988752,0.3395609756097562,0.3149156577641965,5.565317073170734,0.8034356313988749,0.6604390243902439,0.31491565776419644,10.43468292682927,0.8034356313988752,0.3395609756097562,0.3149156577641965,5.565317073170734,0.8034356313988749,0.292,0.287,0.278,0.25,0.43,0.463
16,0.6591951219512195,0.30637900869036644,11.093878048780487,0.8471206784062484,0.34080487804878057,0.30637900869036644,5.906121951219514,0.8471206784062482,0.6591951219512195,0.30637900869036644,11.093878048780487,0.8471206784062484,0.34080487804878057,0.30637900869036644,5.906121951219514,0.8471206784062482,0.252,0.292,0.3,0.273,0.448,0.435
17,0.680780487804878,0.29490039657897893,11.774658536585369,0.8842840528581318,0.319219512195122,0.29490039657897893,6.225341463414637,0.8842840528581314,0.680780487804878,0.29490039657897893,11.774658536585369,0.8842840528581318,0.319219512195122,0.29490039657897893,6.225341463414637,0.8842840528581314,0.28,0.248,0.266,0.282,0.454,0.47
18,0.6808536585365853,0.2912891355675707,12.455512195121951,0.9154087854599843,0.31914634146341475,0.29128913556757063,6.5444878048780515,0.9154087854599838,0.6808536585365853,0.2912891355675707,12.455512195121951,0.9154087854599843,0.31914634146341475,0.29128913556757063,6.5444878048780515,0.9154087854599838,0.267,0.267,0.256,0.25,0.477,0.483
19,0.6831219512195122,0.2918116462425855,13.138634146341465,0.956174133319983,0.3168780487804879,0.2918116462425855,6.86136585365854,0.9561741333199826,0.6831219512195122,0.2918116462425855,13.138634146341465,0.956174133319983,0.3168780487804879,0.2918116462425855,6.86136585365854,0.9561741333199826,0.278,0.257,0.263,0.246,0.459,0.497
20,0.6836341463414634,0.2862817893941684,13.82226829268293,0.9731091829060285,0.3163658536585367,0.2862817893941683,7.1777317073170765,0.973109182906028,0.6836341463414634,0.2862817893941684,13.82226829268293,0.9731091829060285,0.3163658536585367,0.2862817893941683,7.1777317073170765,0.973109182906028,0.31,0.263,0.242,0.245,0.448,0.492
21,0.664609756097561,0.310114061455512,14.48687804878049,1.0097562613408613,0.3353902439024391,0.310114061455512,7.513121951219515,1.0097562613408606,0.664609756097561,0.310114061455512,14.48687804878049,1.0097562613408613,0.3353902439024391,0.310114061455512,7.513121951219515,1.0097562613408606,0.286,0.297,0.259,0.228,0.455,0.475
22,0.6895365853658536,0.2959186575292011,15.176414634146344,1.0264296513976459,0.31046341463414645,0.2959186575292011,7.823585365853662,1.0264296513976452,0.6895365853658536,0.2959186575292011,15.176414634146344,1.0264296513976459,0.31046341463414645,0.2959186575292011,7.823585365853662,1.0264296513976452,0.278,0.269,0.27,0.235,0.452,0.496
23,0.6795365853658536,0.2942192190187042,15.855951219512196,1.0416602213086337,0.32046341463414635,0.2942192190187042,8.144048780487807,1.041660221308633,0.6795365853658536,0.2942192190187042,15.855951219512196,1.0416602213086337,0.32046341463414635,0.2942192190187042,8.144048780487807,1.041660221308633,0.282,0.265,0.244,0.244,0.474,0.491
24,0.6923902439024391,0.28154567847159745,16.548341463414637,1.0698601030486092,0.307609756097561,0.28154567847159745,8.451658536585368,1.0698601030486088,0.6923902439024391,0.28154567847159745,16.548341463414637,1.0698601030486092,0.307609756097561,0.28154567847159745,8.451658536585368,1.0698601030486088,0.283,0.269,0.216,0.212,0.501,0.519
25,0.7185609756097562,0.26112427837467056,17.266902439024395,1.0927911942768906,0.28143902439024393,0.26112427837467056,8.733097560975613,1.09279119427689,0.7185609756097562,0.26112427837467056,17.266902439024395,1.0927911942768906,0.28143902439024393,0.26112427837467056,8.733097560975613,1.09279119427689,0.271,0.267,0.229,0.194,0.5,0.539
26,0.6950731707317074,0.2815018741953431,17.961975609756095,1.1121455163841307,0.30492682926829273,0.2815018741953431,9.038024390243905,1.11214551638413,0.6950731707317074,0.2815018741953431,17.961975609756095,1.1121455163841307,0.30492682926829273,0.2815018741953431,9.038024390243905,1.11214551638413,0.273,0.26,0.265,0.193,0.462,0.547
27,0.7043414634146341,0.2715710084150014,18.66631707317073,1.1241297087180842,0.29565853658536595,0.2715710084150014,9.33368292682927,1.1241297087180835,0.7043414634146341,0.2715710084150014,18.66631707317073,1.1241297087180842,0.29565853658536595,0.2715710084150014,9.33368292682927,1.1241297087180835,0.289,0.251,0.243,0.232,0.468,0.517
28,0.6969756097560976,0.2799169418749105,19.36329268292683,1.1351582097723483,0.30302439024390254,0.2799169418749105,9.636707317073173,1.1351582097723474,0.6969756097560976,0.2799169418749105,19.36329268292683,1.1351582097723483,0.30302439024390254,0.2799169418749105,9.636707317073173,1.1351582097723474,0.256,0.27,0.241,0.216,0.503,0.514
29,0.698219512195122,0.2741705038826863,20.061512195121956,1.152433608452882,0.30178048780487815,0.2741705038826863,9.93848780487805,1.1524336084528812,0.698219512195122,0.2741705038826863,20.061512195121956,1.152433608452882,0.30178048780487815,0.2741705038826863,9.93848780487805,1.1524336084528812,0.279,0.242,0.236,0.22,0.485,0.538
