step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9970656669731255,0.10148894639609995,0.9970656669731255,0.10148894639609995,0.002934333026874457,0.10148894639609995,0.002934333026874457,0.10148894639609995,1.0034077067735314,0.09958507028826574,1.0034077067735314,0.09958507028826574,-0.0034077067735314693,0.09958507028826574,-0.0034077067735314693,0.09958507028826574,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.0015684574403849174,0.09896775226071261,0.9954972095327407,0.14226101568772825,1.001568457440385,0.09896775226071261,1.0045027904672594,0.14226101568772825,-0.0012034090761178977,0.09990587935453399,1.0022042976974135,0.1407749954656858,1.001203409076118,0.09990587935453399,0.9977957023025865,0.1407749954656858,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7293974668634524,0.09544992095608607,1.724894676396193,0.16844399993762926,0.2706025331365476,0.09544992095608607,1.275105323603807,0.16844399993762926,0.732314782944865,0.10053729667468575,1.7345190806422786,0.17437033175511785,0.26768521705513504,0.10053729667468575,1.2654809193577214,0.17437033175511782,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.0008732343425793594,0.1007503833751297,1.7240214420536135,0.19675424626623875,1.0008732343425795,0.10075038337512972,2.275978557946386,0.19675424626623875,-0.0022239535874929075,0.09878964884787714,1.7322951270547857,0.1993247462732893,1.0022239535874928,0.09878964884787714,2.2677048729452145,0.1993247462732893,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9026915783422342,0.09964211934081393,2.626713020395848,0.22491692785158923,0.09730842165776574,0.09964211934081393,2.3732869796041522,0.22491692785158926,0.8979225423221776,0.09910349427082404,2.630217669376963,0.22141190300381494,0.10207745767782242,0.09910349427082404,2.369782330623037,0.2214119030038149,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7367106580132986,0.10086065802936203,3.3634236784091467,0.24876516231698245,0.26328934198670145,0.10086065802936203,2.6365763215908533,0.24876516231698248,0.7306470338983634,0.10039513724569846,3.3608647032753267,0.23669593273166076,0.2693529661016366,0.10039513724569846,2.6391352967246733,0.23669593273166073,0.0,0.0,1.0,0.0,0.0,1.0
6,0.732299526572247,0.09686387561653344,4.095723204981394,0.26922251768529304,0.2677004734277531,0.09686387561653344,2.904276795018607,0.26922251768529304,0.7331303729973743,0.10240181654854612,4.093995076272701,0.25785104078315074,0.2668696270026257,0.10240181654854612,2.9060049237272993,0.25785104078315074,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7333413157144162,0.1020558371193377,4.82906452069581,0.28816857050979733,0.2666586842855838,0.1020558371193377,3.17093547930419,0.28816857050979733,0.7304355595309455,0.09619960200558289,4.824430635803647,0.28020943811891064,0.26956444046905437,0.09619960200558288,3.1755693641963534,0.28020943811891064,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8544683960139959,0.1024877248269938,5.683532916709805,0.30743619194429045,0.1455316039860041,0.1024877248269938,3.316467083290194,0.30743619194429045,0.854745686422225,0.10019244913787378,5.679176322225871,0.29445792519432634,0.145254313577775,0.10019244913787378,3.3208236777741287,0.29445792519432634,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7858273958259955,0.11993143833396547,6.469360312535802,0.33853405558013405,0.2141726041740045,0.11993143833396547,3.5306396874641988,0.3385340555801341,0.779880782561249,0.12205553540926095,6.45905710478712,0.31823802413291263,0.220119217438751,0.12205553540926095,3.540942895212879,0.3182380241329127,0.285,0.004,0.29,0.002,0.425,0.994
10,0.709244542776579,0.28736788627266574,7.17860485531238,0.4448190954433173,0.29075545722342105,0.28736788627266574,3.82139514468762,0.4448190954433173,0.707698224785155,0.28701865769940343,7.1667553295722755,0.4346719855819876,0.29230177521484507,0.28701865769940343,3.8332446704277245,0.4346719855819877,0.286,0.316,0.295,0.121,0.419,0.563
11,0.6683273626231174,0.3375342946421382,7.846932217935497,0.5561125446820334,0.3316726373768825,0.3375342946421382,4.153067782064503,0.5561125446820334,0.6656134476381621,0.34203814916785574,7.832368777210438,0.5475895006007416,0.3343865523618379,0.34203814916785574,4.167631222789562,0.5475895006007416,0.271,0.406,0.291,0.247,0.438,0.347
12,0.6272326551489643,0.3574208972485803,8.474164873084462,0.6496287582852729,0.3727673448510357,0.3574208972485802,4.525835126915538,0.6496287582852729,0.6302605646465578,0.35807060693075926,8.462629341856994,0.6505643458796462,0.3697394353534421,0.35807060693075926,4.537370658143005,0.6505643458796462,0.295,0.306,0.283,0.409,0.422,0.285
13,0.6782868091266009,0.32311482516461687,9.152451682211064,0.7212535837618439,0.32171319087339906,0.3231148251646169,4.847548317788938,0.7212535837618439,0.6795693282825657,0.3233606227128548,9.142198670139562,0.7110528685269993,0.3204306717174342,0.3233606227128548,4.857801329860438,0.7110528685269993,0.309,0.268,0.247,0.301,0.444,0.431
14,0.655125022211292,0.32836549704721874,9.807576704422356,0.7743368664089412,0.34487497778870807,0.32836549704721874,5.192423295577645,0.7743368664089412,0.6643575130425174,0.3349234117902586,9.806556183182078,0.7619184862018925,0.33564248695748256,0.3349234117902586,5.19344381681792,0.7619184862018925,0.29,0.269,0.286,0.273,0.424,0.458
15,0.6936115893139697,0.3072186908546216,10.501188293736327,0.8019385455308454,0.3063884106860303,0.3072186908546216,5.498811706263676,0.8019385455308454,0.6898853660711719,0.30650696410697753,10.496441549253252,0.7845531250660311,0.3101146339288281,0.30650696410697753,5.50355845074675,0.784553125066031,0.271,0.247,0.255,0.245,0.474,0.508
