step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9854013064058169,1.0290419100192851,0.9854013064058169,1.0290419100192851,0.014598693594183042,1.0290419100192851,0.014598693594183042,1.0290419100192851,1.0404385001571774,0.9986130289318503,1.0404385001571774,0.9986130289318503,-0.040438500157177586,0.9986130289318503,-0.040438500157177586,0.9986130289318503,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.02518390320655949,0.9880969213732917,0.9602174031992574,1.4275736745230378,1.0251839032065595,0.9880969213732917,1.0397825968007426,1.4275736745230378,-0.018881938498505654,1.0195938765960662,1.021556561658672,1.4268277427406384,1.0188819384985057,1.0195938765960662,0.9784434383413282,1.4268277427406384,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7021452523264022,1.0112875981054479,1.6623626555256596,1.7176745395491528,0.29785474767359765,1.0112875981054479,1.3376373444743404,1.7176745395491526,0.7521744324208732,0.9748217734463329,1.7737309940795454,1.7226604279200524,0.24782556757912683,0.9748217734463329,1.226269005920455,1.7226604279200524,1.0,0.0,0.0,0.0,0.0,1.0
3,0.03205769843425891,1.002157814416754,1.694420353959919,1.9759506749947495,0.9679423015657411,1.002157814416754,2.3055796460400817,1.9759506749947497,-0.012519223078209346,1.0055996003505874,1.7612117710013357,2.0403859154283914,1.0125192230782094,1.0055996003505874,2.238788228998664,2.0403859154283914,0.0,1.0,1.0,0.0,0.0,0.0
4,0.8963930323697441,1.0423951296678273,2.5908133863296627,2.2131101589662743,0.1036069676302559,1.042395129667827,2.4091866136703373,2.2131101589662743,0.8921533994630647,1.0051871441818618,2.6533651704644003,2.331477183202318,0.1078466005369353,1.0051871441818618,2.3466348295356,2.331477183202318,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7615713663920873,0.9698088721516355,3.3523847527217505,2.3841310919715037,0.23842863360791267,0.9698088721516355,2.6476152472782495,2.3841310919715037,0.7015958991267784,0.9800457481348438,3.354961069591179,2.5508692120065417,0.2984041008732216,0.9800457481348438,2.645038930408821,2.5508692120065417,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7531308978165508,1.000758286465566,4.105515650538301,2.614805143928118,0.24686910218344915,1.000758286465566,2.894484349461699,2.614805143928118,0.7328112061510029,0.9778371557417199,4.087772275742181,2.6739937604652417,0.2671887938489971,0.9778371557417199,2.9122277242578183,2.6739937604652417,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7400032530528077,0.9927245164689174,4.845518903591109,2.74412611727594,0.2599967469471924,0.9927245164689174,3.154481096408891,2.74412611727594,0.7263969622265535,0.9680641908841406,4.814169237968736,2.9052171063253893,0.2736030377734465,0.9680641908841406,3.185830762031265,2.9052171063253893,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8676209430935623,0.9978136970720815,5.713139846684671,2.907281856001399,0.1323790569064377,0.9978136970720815,3.286860153315329,2.9072818560013993,0.8504845429028278,0.9977076267304412,5.664653780871563,3.132329474238687,0.1495154570971722,0.9977076267304412,3.335346219128437,3.1323294742386865,0.0,0.0,0.0,0.0,1.0,1.0
9,0.6977346522992475,1.0316182161907965,6.410874498983918,3.055164990776278,0.3022653477007525,1.0316182161907965,3.5891255010160816,3.055164990776278,0.686354032869194,1.0028019313631285,6.3510078137407575,3.250784259929862,0.31364596713080595,1.0028019313631285,3.648992186259243,3.250784259929862,0.296,0.292,0.29,0.25,0.414,0.458
10,0.6124418806106974,1.0687682858112535,7.023316379594616,3.2268150519088596,0.3875581193893027,1.0687682858112533,3.9766836204053844,3.226815051908859,0.6431107583682877,1.048217703026562,6.994118572109044,3.454058676130616,0.3568892416317123,1.048217703026562,4.005881427890956,3.454058676130616,0.328,0.297,0.268,0.279,0.404,0.424
11,0.7244184624487736,1.0138509869168673,7.74773484204339,3.276102097791794,0.27558153755122633,1.0138509869168673,4.252265157956611,3.276102097791794,0.6258255318079692,1.0612924291289356,7.619944103917014,3.5780297373774523,0.3741744681920309,1.0612924291289356,4.380055896082986,3.5780297373774523,0.298,0.305,0.292,0.271,0.41,0.424
12,0.7437918075423773,1.0548276866159454,8.491526649585767,3.442526266780378,0.2562081924576228,1.0548276866159454,4.508473350414233,3.4425262667803778,0.6412245372968443,1.0556601982693583,8.261168641213859,3.7356814494875925,0.35877546270315575,1.0556601982693583,4.738831358786142,3.7356814494875925,0.264,0.311,0.295,0.247,0.441,0.442
13,0.6926781908429492,1.0416517725577652,9.184204840428716,3.601023856418182,0.30732180915705076,1.0416517725577652,4.815795159571285,3.601023856418182,0.6553872022276541,1.0559773312722958,8.916555843441511,3.8611588539740715,0.3446127977723458,1.0559773312722958,5.083444156558487,3.8611588539740715,0.295,0.305,0.293,0.265,0.412,0.43
14,0.7307351667827543,1.0235144591983008,9.914940007211472,3.723821940349635,0.2692648332172458,1.0235144591983008,5.085059992788531,3.723821940349635,0.7056509670919713,1.056405473261351,9.622206810533484,4.015954775857603,0.29434903290802866,1.056405473261351,5.377793189466516,4.015954775857603,0.29,0.281,0.279,0.265,0.431,0.454
15,0.6839741098934535,1.0586535590913273,10.598914117104924,3.836130601382311,0.31602589010654647,1.0586535590913273,5.401085882895077,3.836130601382311,0.7301779218285972,1.0176440791675074,10.352384732362081,4.168920723286189,0.26982207817140286,1.0176440791675074,5.64761526763792,4.168920723286189,0.304,0.292,0.274,0.275,0.422,0.433
16,0.6987207199268608,1.0546898209471265,11.297634837031785,3.962431406108698,0.30127928007313914,1.0546898209471265,5.702365162968215,3.962431406108698,0.6650092320433292,1.03188372207689,11.017393964405407,4.368232083134513,0.33499076795667077,1.03188372207689,5.98260603559459,4.368232083134513,0.281,0.308,0.298,0.254,0.421,0.438
17,0.7087119938834021,1.0654737076383995,12.006346830915186,4.130260730399113,0.29128800611659794,1.0654737076383995,5.993653169084813,4.130260730399113,0.691578492758177,1.0788253180601306,11.708972457163584,4.524089261075106,0.3084215072418231,1.0788253180601306,6.291027542836413,4.524089261075106,0.301,0.301,0.298,0.265,0.401,0.434
18,0.7780299492685591,1.0889826698980154,12.784376780183745,4.278852530734472,0.2219700507314409,1.0889826698980152,6.215623219816255,4.278852530734472,0.7324423482863981,1.0421899297960022,12.441414805449986,4.627127413823322,0.26755765171360196,1.0421899297960022,6.558585194550014,4.627127413823322,0.285,0.294,0.28,0.275,0.435,0.431
