step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7829268292682927,0.06019006185001495,6.465853658536583,0.060190061850015006,0.2170731707317074,0.060190061850014964,3.534146341463416,0.06019006185001501,0.7829268292682927,0.06019006185001495,6.465853658536583,0.060190061850015006,0.2170731707317074,0.060190061850014964,3.534146341463416,0.06019006185001501,0.0,0.297,0.0,0.283,1.0,0.42
10,0.6669756097560976,0.31157358480902003,7.1328292682926815,0.33493327667094347,0.3330243902439025,0.31157358480902003,3.867170731707319,0.33493327667094347,0.6669756097560976,0.31157358480902003,7.1328292682926815,0.33493327667094347,0.3330243902439025,0.31157358480902003,3.867170731707319,0.33493327667094347,0.297,0.305,0.283,0.293,0.42,0.402
11,0.6715365853658536,0.30870660600337807,7.8043658536585365,0.4735757375320869,0.3284634146341464,0.30870660600337807,4.195634146341464,0.4735757375320868,0.6715365853658536,0.30870660600337807,7.8043658536585365,0.4735757375320869,0.3284634146341464,0.30870660600337807,4.195634146341464,0.4735757375320868,0.305,0.315,0.293,0.267,0.402,0.418
12,0.6574878048780488,0.3140220468773564,8.461853658536583,0.5794497297368325,0.3425121951219513,0.3140220468773564,4.538146341463416,0.5794497297368323,0.6574878048780488,0.3140220468773564,8.461853658536583,0.5794497297368325,0.3425121951219513,0.3140220468773564,4.538146341463416,0.5794497297368323,0.315,0.308,0.267,0.258,0.418,0.434
13,0.6576341463414636,0.31428192707298885,9.119487804878048,0.67456236457438,0.34236585365853667,0.31428192707298885,4.880512195121954,0.6745623645743797,0.6576341463414636,0.31428192707298885,9.119487804878048,0.67456236457438,0.34236585365853667,0.31428192707298885,4.880512195121954,0.6745623645743797,0.308,0.309,0.258,0.275,0.434,0.416
14,0.667560975609756,0.30951123411794146,9.787048780487805,0.7461846794512135,0.332439024390244,0.30951123411794146,5.212951219512197,0.746184679451213,0.667560975609756,0.30951123411794146,9.787048780487805,0.7461846794512135,0.332439024390244,0.30951123411794146,5.212951219512197,0.746184679451213,0.308,0.287,0.273,0.28,0.419,0.433
15,0.6691707317073171,0.3054802871379153,10.456219512195123,0.7994011645549008,0.330829268292683,0.3054802871379153,5.54378048780488,0.7994011645549004,0.6691707317073171,0.3054802871379153,10.456219512195123,0.7994011645549008,0.330829268292683,0.3054802871379153,5.54378048780488,0.7994011645549004,0.285,0.286,0.277,0.262,0.438,0.452
16,0.6731463414634146,0.309433478044829,11.129365853658538,0.8447569281738975,0.32685365853658543,0.309433478044829,5.870634146341467,0.8447569281738971,0.6731463414634146,0.309433478044829,11.129365853658538,0.8447569281738975,0.32685365853658543,0.309433478044829,5.870634146341467,0.8447569281738971,0.285,0.293,0.256,0.263,0.459,0.444
17,0.6771951219512196,0.2999363158659732,11.806560975609754,0.8800661915374381,0.32280487804878055,0.2999363158659732,6.193439024390246,0.8800661915374375,0.6771951219512196,0.2999363158659732,11.806560975609754,0.8800661915374381,0.32280487804878055,0.2999363158659732,6.193439024390246,0.8800661915374375,0.29,0.273,0.252,0.238,0.458,0.489
18,0.6897073170731708,0.2855062360560427,12.49626829268293,0.9058835354359548,0.3102926829268293,0.2855062360560427,6.503731707317075,0.9058835354359542,0.6897073170731708,0.2855062360560427,12.49626829268293,0.9058835354359548,0.3102926829268293,0.2855062360560427,6.503731707317075,0.9058835354359542,0.266,0.305,0.222,0.249,0.512,0.446
19,0.6857073170731708,0.2966549621488226,13.181975609756101,0.9325970974769798,0.3142926829268293,0.29665496214882253,6.818024390243905,0.9325970974769792,0.6857073170731708,0.2966549621488226,13.181975609756101,0.9325970974769798,0.3142926829268293,0.29665496214882253,6.818024390243905,0.9325970974769792,0.301,0.267,0.232,0.271,0.467,0.462
20,0.6957317073170732,0.2797417171543749,13.87770731707317,0.9495838983533252,0.30426829268292693,0.2797417171543749,7.122292682926832,0.9495838983533246,0.6957317073170732,0.2797417171543749,13.87770731707317,0.9495838983533252,0.30426829268292693,0.2797417171543749,7.122292682926832,0.9495838983533246,0.263,0.265,0.257,0.249,0.48,0.486
21,0.692170731707317,0.28702598095263143,14.56987804878049,0.9714826654675761,0.30782926829268303,0.2870259809526314,7.4301219512195145,0.9714826654675753,0.692170731707317,0.28702598095263143,14.56987804878049,0.9714826654675761,0.30782926829268303,0.2870259809526314,7.4301219512195145,0.9714826654675753,0.253,0.262,0.237,0.256,0.51,0.482
22,0.6957073170731708,0.28343879666952054,15.265585365853662,1.0185947205047234,0.3042926829268293,0.28343879666952054,7.7344146341463444,1.0185947205047228,0.6957073170731708,0.28343879666952054,15.265585365853662,1.0185947205047234,0.3042926829268293,0.28343879666952054,7.7344146341463444,1.0185947205047228,0.242,0.292,0.237,0.269,0.521,0.439
23,0.6868780487804877,0.28804222953662667,15.952463414634147,1.035251480079953,0.3131219512195123,0.28804222953662667,8.047536585365856,1.0352514800799524,0.6868780487804877,0.28804222953662667,15.952463414634147,1.035251480079953,0.3131219512195123,0.28804222953662667,8.047536585365856,1.0352514800799524,0.27,0.3,0.243,0.246,0.487,0.454
24,0.699121951219512,0.28265451992204493,16.651585365853666,1.059928772875472,0.3008780487804879,0.28265451992204493,8.348414634146344,1.0599287728754712,0.699121951219512,0.28265451992204493,16.651585365853666,1.059928772875472,0.3008780487804879,0.28265451992204493,8.348414634146344,1.0599287728754712,0.283,0.28,0.218,0.245,0.499,0.475
25,0.6787560975609757,0.2911686017925686,17.330341463414637,1.0703227353850857,0.3212439024390245,0.2911686017925686,8.669658536585368,1.070322735385085,0.6787560975609757,0.2911686017925686,17.330341463414637,1.0703227353850857,0.3212439024390245,0.2911686017925686,8.669658536585368,1.070322735385085,0.259,0.283,0.227,0.26,0.514,0.457
26,0.6902439024390244,0.2895071608660871,18.02058536585366,1.0922700831583547,0.3097560975609757,0.2895071608660871,8.979414634146345,1.0922700831583543,0.6902439024390244,0.2895071608660871,18.02058536585366,1.0922700831583547,0.3097560975609757,0.2895071608660871,8.979414634146345,1.0922700831583543,0.271,0.294,0.237,0.255,0.492,0.451
27,0.6867560975609756,0.2887400587635888,18.707341463414636,1.1050662088745768,0.3132439024390245,0.2887400587635888,9.292658536585368,1.105066208874576,0.6867560975609756,0.2887400587635888,18.707341463414636,1.1050662088745768,0.3132439024390245,0.2887400587635888,9.292658536585368,1.105066208874576,0.281,0.29,0.223,0.245,0.496,0.465
28,0.6893658536585366,0.29225405977520014,19.396707317073176,1.1303994690143337,0.31063414634146347,0.29225405977520014,9.603292682926831,1.1303994690143329,0.6893658536585366,0.29225405977520014,19.396707317073176,1.1303994690143337,0.31063414634146347,0.29225405977520014,9.603292682926831,1.1303994690143329,0.277,0.281,0.226,0.254,0.497,0.465
29,0.7077073170731708,0.27559652892930675,20.10441463414634,1.1600237025517433,0.29229268292682936,0.27559652892930675,9.89558536585366,1.1600237025517426,0.7077073170731708,0.27559652892930675,20.10441463414634,1.1600237025517433,0.29229268292682936,0.27559652892930675,9.89558536585366,1.1600237025517426,0.271,0.265,0.228,0.247,0.501,0.488
