step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9975813160796788,0.09475973290678597,0.9975813160796788,0.09475973290678597,0.0024186839203212424,0.09475973290678597,0.0024186839203212424,0.09475973290678597,1.0014431816292721,0.10198924425900985,1.0014431816292721,0.10198924425900985,-0.0014431816292721637,0.10198924425900985,-0.0014431816292721637,0.10198924425900985,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.00018454996006701176,0.10453812245782668,0.9973967661196117,0.13975925204551734,1.000184549960067,0.10453812245782668,1.002603233880388,0.13975925204551734,-0.0031585724827657784,0.10207775877997048,0.9982846091465064,0.14011614058668015,1.0031585724827659,0.10207775877997048,1.0017153908534935,0.14011614058668015,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7267526817217006,0.10136576048610021,1.7241494478413124,0.17026002989379552,0.2732473182782993,0.1013657604861002,1.2758505521586876,0.17026002989379552,0.727723307196575,0.10148628768120686,1.7260079163430813,0.17155242563775971,0.27227669280342515,0.10148628768120686,1.2739920836569187,0.17155242563775971,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.0015103282885596462,0.09817126768667198,1.7226391195527526,0.20006521393692683,1.0015103282885596,0.09817126768667198,2.2773608804472474,0.20006521393692683,-0.0047086008230603485,0.09949288684401118,1.7212993155200211,0.2044057072588848,1.0047086008230603,0.09949288684401117,2.278700684479979,0.2044057072588848,0.0,1.0,1.0,0.0,0.0,0.0
4,0.901438438486935,0.09963939086407742,2.6240775580396876,0.21845346130866508,0.09856156151306496,0.0996393908640774,2.375922441960312,0.21845346130866508,0.8994610764147649,0.10070778891455173,2.6207603919347857,0.23109514174183562,0.1005389235852351,0.10070778891455173,2.3792396080652143,0.2310951417418356,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7303065886252118,0.09941485496676604,3.3543841466649,0.24004331327813433,0.2696934113747883,0.09941485496676604,2.6456158533351,0.24004331327813433,0.7336613952636817,0.1009357265433243,3.3544217871984676,0.251453213756293,0.2663386047363183,0.1009357265433243,2.6455782128015324,0.251453213756293,0.0,0.0,1.0,0.0,0.0,1.0
6,0.729762738374372,0.10015314870510444,4.084146885039272,0.25958688985681894,0.270237261625628,0.10015314870510444,2.9158531149607283,0.2595868898568189,0.7329284609580506,0.10220078776960255,4.087350248156518,0.2723529356100496,0.26707153904194936,0.10220078776960255,2.9126497518434817,0.2723529356100496,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7312839314276601,0.09501698993141766,4.815430816466931,0.2773539116936533,0.26871606857233976,0.09501698993141766,3.184569183533068,0.2773539116936533,0.731611642477833,0.09739003840328458,4.818961890634351,0.2857378553064248,0.268388357522167,0.09739003840328458,3.1810381093656486,0.28573785530642476,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8552955814563474,0.09987998555887305,5.670726397923279,0.29582756633539237,0.14470441854365243,0.09987998555887305,3.3292736020767206,0.29582756633539237,0.8509886279952996,0.10042905692213017,5.669950518629651,0.3058507495607304,0.1490113720047004,0.10042905692213017,3.3300494813703496,0.3058507495607304,0.0,0.0,0.0,0.0,1.0,1.0
9,0.8484062199403344,0.10325094456401804,6.5191326178636135,0.31379761952672564,0.15159378005966562,0.10325094456401804,3.4808673821363865,0.31379761952672564,0.8536301925599011,0.10384419803239243,6.523580711189552,0.3196173968883164,0.14636980744009886,0.10384419803239243,3.476419288810448,0.3196173968883164,0.013,0.014,0.001,0.002,0.986,0.984
10,0.8458554225875343,0.0986386977300624,7.364988040451148,0.3307029161131569,0.15414457741246557,0.0986386977300624,3.635011959548852,0.33070291611315683,0.8473150813541857,0.10114747885671592,7.370895792543737,0.33928236297296804,0.15268491864581443,0.10114747885671592,3.6291042074562623,0.33928236297296804,0.014,0.013,0.002,0.001,0.984,0.986
11,0.8522929288077121,0.10197826771913256,8.21728096925886,0.3509209313631012,0.14770707119228785,0.10197826771913256,3.7827190307411396,0.35092093136310115,0.8546881159323172,0.0974506877588292,8.225583908476056,0.35522787889295365,0.14531188406768292,0.0974506877588292,3.7744160915239453,0.3552278788929537,0.008,0.008,0.0,0.0,0.992,0.992
12,0.856763645476779,0.10106442552342158,9.074044614735639,0.3627287226375813,0.14323635452322112,0.10106442552342158,3.9259553852643605,0.3627287226375813,0.8520131470838599,0.10020627989980306,9.077597055559917,0.3722602868051057,0.14798685291614008,0.10020627989980306,3.922402944440085,0.3722602868051057,0.008,0.008,0.0,0.0,0.992,0.992
13,0.8522451322988186,0.10345540994509288,9.926289747034458,0.3799810687942126,0.14775486770118137,0.10345540994509288,4.073710252965542,0.3799810687942126,0.8506791522196869,0.10209287177964325,9.9282762077796,0.3835699575282424,0.14932084778031315,0.10209287177964325,4.071723792220399,0.3835699575282424,0.004,0.005,0.0,0.0,0.996,0.995
14,0.8561076750261529,0.09957563124928795,10.78239742206061,0.39682213369070907,0.14389232497384702,0.09957563124928795,4.217602577939389,0.39682213369070907,0.8466231266291747,0.09783535037492658,10.774899334408776,0.40136414856278446,0.1533768733708252,0.09783535037492658,4.225100665591224,0.4013641485627845,0.005,0.004,0.0,0.0,0.995,0.996
15,0.8534730109047874,0.10346023147017007,11.6358704329654,0.4126923987718363,0.1465269890952126,0.10346023147017006,4.364129567034602,0.41269239877183633,0.8479255368082668,0.10130620416973837,11.622824871217043,0.42061799321438287,0.15207446319173326,0.10130620416973837,4.377175128782958,0.42061799321438287,0.004,0.005,0.0,0.0,0.996,0.995
16,0.848477642172408,0.10468576378098382,12.484348075137804,0.4274308398987907,0.15152235782759205,0.10468576378098382,4.515651924862193,0.4274308398987907,0.8481263544610029,0.10029798979574828,12.470951225678046,0.4294475816416149,0.15187364553899696,0.10029798979574828,4.5290487743219545,0.4294475816416149,0.005,0.004,0.0,0.0,0.995,0.996
17,0.8524028937171049,0.10008670290705836,13.336750968854911,0.4416529714329294,0.1475971062828951,0.10008670290705836,4.66324903114509,0.4416529714329294,0.8544777429033312,0.10626312916334217,13.32542896858138,0.44209461717985504,0.14552225709666886,0.10626312916334217,4.6745710314186235,0.442094617179855,0.004,0.005,0.0,0.0,0.996,0.995
