step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,0.7317073170731709,2.220446049250313e-16,1.7317073170731705,2.220446049250313e-16,0.26829268292682934,5.551115123125783e-17,1.2682926829268293,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,0.0,1.7317073170731705,2.220446049250313e-16,1.0,0.0,2.26829268292683,4.440892098500626e-16,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.9024390243902439,0.0,2.6341463414634143,4.440892098500626e-16,0.0975609756097561,2.7755575615628914e-17,2.3658536585365866,8.881784197001252e-16,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.7317073170731709,2.220446049250313e-16,3.3658536585365866,8.881784197001252e-16,0.26829268292682934,5.551115123125783e-17,2.6341463414634143,8.881784197001252e-16,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.7317073170731709,2.220446049250313e-16,4.097560975609754,1.7763568394002505e-15,0.26829268292682934,5.551115123125783e-17,2.902439024390245,4.440892098500626e-16,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.7317073170731709,2.220446049250313e-16,4.829268292682927,0.0,0.26829268292682934,5.551115123125783e-17,3.170731707317074,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.8536585365853658,0.0,5.6829268292682915,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.3170731707317094,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
9,0.8536585365853658,0.0,6.536585365853658,0.0,0.14634146341463422,5.551115123125783e-17,3.4634146341463437,8.881784197001252e-16,0.8536585365853658,0.0,6.536585365853658,0.0,0.14634146341463422,5.551115123125783e-17,3.4634146341463437,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
10,0.8536585365853658,0.0,7.390243902439023,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.6097560975609757,1.3322676295501878e-15,0.8536585365853658,0.0,7.390243902439023,8.881784197001252e-16,0.14634146341463422,5.551115123125783e-17,3.6097560975609757,1.3322676295501878e-15,0.0,0.0,0.0,0.0,1.0,1.0
11,0.8536585365853658,0.0,8.243902439024392,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,3.7560975609756113,0.0,0.8536585365853658,0.0,8.243902439024392,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,3.7560975609756113,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,0.8536585365853658,0.0,9.097560975609754,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,3.902439024390247,1.3322676295501878e-15,0.8536585365853658,0.0,9.097560975609754,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,3.902439024390247,1.3322676295501878e-15,0.0,0.0,0.0,0.0,1.0,1.0
13,0.8536585365853658,0.0,9.951219512195118,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,4.048780487804878,1.7763568394002505e-15,0.8536585365853658,0.0,9.951219512195118,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,4.048780487804878,1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.0,1.0
14,0.8536585365853658,0.0,10.804878048780491,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,4.195121951219513,8.881784197001252e-16,0.8536585365853658,0.0,10.804878048780491,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,4.195121951219513,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
15,0.8536585365853658,0.0,11.658536585365853,0.0,0.14634146341463422,5.551115123125783e-17,4.341463414634148,0.0,0.8536585365853658,0.0,11.658536585365853,0.0,0.14634146341463422,5.551115123125783e-17,4.341463414634148,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,0.8536585365853658,0.0,12.512195121951217,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,4.4878048780487845,1.7763568394002505e-15,0.8536585365853658,0.0,12.512195121951217,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,4.4878048780487845,1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.0,1.0
17,0.8536585365853658,0.0,13.365853658536587,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,4.634146341463419,1.7763568394002505e-15,0.8536585365853658,0.0,13.365853658536587,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,4.634146341463419,1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.0,1.0
18,0.8536585365853658,0.0,14.21951219512195,0.0,0.14634146341463422,5.551115123125783e-17,4.78048780487805,8.881784197001252e-16,0.8536585365853658,0.0,14.21951219512195,0.0,0.14634146341463422,5.551115123125783e-17,4.78048780487805,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
19,0.8536585365853658,0.0,15.073170731707313,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,4.926829268292687,1.7763568394002505e-15,0.8536585365853658,0.0,15.073170731707313,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,4.926829268292687,1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.0,1.0
20,0.8536585365853658,0.0,15.926829268292684,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,5.073170731707321,8.881784197001252e-16,0.8536585365853658,0.0,15.926829268292684,1.7763568394002505e-15,0.14634146341463422,5.551115123125783e-17,5.073170731707321,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
21,0.8536585365853658,0.0,16.780487804878053,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.219512195121951,2.6645352591003757e-15,0.8536585365853658,0.0,16.780487804878053,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.219512195121951,2.6645352591003757e-15,0.0,0.0,0.0,0.0,1.0,1.0
22,0.8536585365853658,0.0,17.634146341463413,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.365853658536589,8.881784197001252e-16,0.8536585365853658,0.0,17.634146341463413,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.365853658536589,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
23,0.8536585365853658,0.0,18.487804878048788,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.512195121951223,0.0,0.8536585365853658,0.0,18.487804878048788,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.512195121951223,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,0.8536585365853658,0.0,19.341463414634156,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.658536585365856,8.881784197001252e-16,0.8536585365853658,0.0,19.341463414634156,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.658536585365856,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
25,0.8536585365853658,0.0,20.19512195121951,1.0658141036401503e-14,0.14634146341463422,5.551115123125783e-17,5.804878048780492,8.881784197001252e-16,0.8536585365853658,0.0,20.19512195121951,1.0658141036401503e-14,0.14634146341463422,5.551115123125783e-17,5.804878048780492,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
26,0.8536585365853658,0.0,21.048780487804883,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.951219512195125,8.881784197001252e-16,0.8536585365853658,0.0,21.048780487804883,3.552713678800501e-15,0.14634146341463422,5.551115123125783e-17,5.951219512195125,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
27,0.8536585365853658,0.0,21.90243902439026,7.105427357601002e-15,0.14634146341463422,5.551115123125783e-17,6.097560975609758,1.7763568394002505e-15,0.8536585365853658,0.0,21.90243902439026,7.105427357601002e-15,0.14634146341463422,5.551115123125783e-17,6.097560975609758,1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.0,1.0
28,0.8536585365853658,0.0,22.756097560975622,0.0,0.14634146341463422,5.551115123125783e-17,6.243902439024395,8.881784197001252e-16,0.8536585365853658,0.0,22.756097560975622,0.0,0.14634146341463422,5.551115123125783e-17,6.243902439024395,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.0,1.0
29,0.8536585365853658,0.0,23.60975609756099,0.0,0.14634146341463422,5.551115123125783e-17,6.3902439024390265,1.7763568394002505e-15,0.8536585365853658,0.0,23.60975609756099,0.0,0.14634146341463422,5.551115123125783e-17,6.3902439024390265,1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.0,1.0
