step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0042621612397167,0.10174968364489759,1.0042621612397167,0.10174968364489759,-0.004262161239716669,0.10174968364489759,-0.004262161239716669,0.10174968364489759,0.998425962174736,0.10091888730540409,0.998425962174736,0.10091888730540409,0.0015740378252640022,0.10091888730540409,0.0015740378252640022,0.10091888730540409,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0038906870209769436,0.09793687404229952,1.0081528482606936,0.13937545455567146,0.996109312979023,0.09793687404229952,0.9918471517393064,0.13937545455567146,-0.0029147511369174094,0.0972956480282038,0.9955112110378186,0.1402443809589794,1.0029147511369174,0.09729564802820381,1.0044887889621814,0.1402443809589794,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7303103072401117,0.09954046614484587,1.7384631555008052,0.1681842461176918,0.2696896927598883,0.09954046614484587,1.2615368444991948,0.1681842461176918,0.7318763576967954,0.09784843129863013,1.727387568734614,0.17462569719576534,0.2681236423032046,0.09784843129863013,1.272612431265386,0.17462569719576534,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.0029934777050571013,0.09946384579119093,1.7354696777957483,0.19561891229290373,1.002993477705057,0.09946384579119093,2.264530322204252,0.19561891229290373,-0.0018232088629636285,0.09949598988374506,1.7255643598716506,0.19814464990221306,1.0018232088629637,0.09949598988374506,2.2744356401283494,0.19814464990221306,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9053093967242757,0.10732572545277265,2.640779074520024,0.22013920251355076,0.09469060327572432,0.10732572545277265,2.359220925479976,0.2201392025135508,0.9030069518298842,0.09787196188174556,2.628571311701535,0.21937181406965595,0.09699304817011574,0.09787196188174555,2.371428688298465,0.21937181406965595,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7367362214982872,0.09952094405524642,3.377515296018311,0.24095810017351887,0.26326377850171273,0.09952094405524642,2.622484703981689,0.2409581001735189,0.7336364503465465,0.0983792363865586,3.362207762048081,0.24049350061768035,0.2663635496534536,0.0983792363865586,2.637792237951919,0.24049350061768038,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7299970531954891,0.1024875849142339,4.1075123492138,0.26195362028619296,0.2700029468045109,0.1024875849142339,2.8924876507862,0.26195362028619296,0.731987673020508,0.09860317963043662,4.094195435068589,0.26056164448926367,0.268012326979492,0.09860317963043662,2.905804564931411,0.26056164448926367,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7339999370263384,0.09909220725187831,4.841512286240139,0.28116832919331214,0.2660000629736617,0.09909220725187831,3.1584877137598615,0.28116832919331214,0.72399811775723,0.10465471147744443,4.818193552825819,0.2793630249490408,0.27600188224276995,0.10465471147744444,3.1818064471741807,0.2793630249490408,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8583529922198386,0.09938794365906035,5.699865278459976,0.30208737601600255,0.14164700778016137,0.09938794365906035,3.3001347215400227,0.3020873760160026,0.85816216101109,0.09902793412512419,5.676355713836909,0.29757597784884654,0.14183783898891,0.09902793412512419,3.323644286163091,0.29757597784884654,0.0,0.0,0.0,0.0,1.0,1.0
9,0.8520950942991351,0.10060481206929199,6.551960372759112,0.3188244289601543,0.1479049057008649,0.10060481206929199,3.4480396272408878,0.31882442896015434,0.850381027473603,0.10244786729750997,6.526736741310513,0.3103792317855189,0.149618972526397,0.10244786729750997,3.473263258689488,0.31037923178551896,0.009,0.007,0.002,0.0,0.989,0.993
