step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9994592814512087,0.09953580062408066,0.9994592814512087,0.09953580062408066,0.0005407185487913296,0.09953580062408066,0.0005407185487913296,0.09953580062408066,1.0011605937173915,0.09903161349004658,1.0011605937173915,0.09903161349004658,-0.0011605937173915558,0.09903161349004658,-0.0011605937173915558,0.09903161349004658,1.0,1.0,0.0,0.0,0.0,0.0
1,0.0016470169283932705,0.10145139487043725,1.001106298379602,0.14470161906323015,0.9983529830716068,0.10145139487043724,0.9988937016203981,0.14470161906323017,-0.0004793828563178921,0.10062230065759811,1.0006812108610736,0.13994967104873496,1.0004793828563179,0.10062230065759811,0.9993187891389262,0.13994967104873496,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7325130201200717,0.10055066782946487,1.7336193184996738,0.17477106340988607,0.2674869798799283,0.10055066782946487,1.2663806815003262,0.1747710634098861,0.7328592692602799,0.09796588428254573,1.7335404801213536,0.16750698539772782,0.26714073073972017,0.09796588428254573,1.2664595198786464,0.16750698539772782,1.0,0.0,0.0,0.0,0.0,1.0
3,-0.0003403716052337509,0.10004259835679903,1.73327894689444,0.20278818969267065,1.0003403716052337,0.10004259835679903,2.26672105310556,0.20278818969267065,0.0018578842204218207,0.09838249727384211,1.7353983643417754,0.18921882059533163,0.9981421157795781,0.09838249727384211,2.264601635658225,0.1892188205953316,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9013579742752154,0.09723294125851546,2.634636921169655,0.22538324798957693,0.09864202572478453,0.09723294125851546,2.365363078830345,0.22538324798957693,0.9089156527646615,0.09996039956054563,2.6443140171064368,0.2146703232175016,0.09108434723533856,0.09996039956054563,2.3556859828935632,0.2146703232175016,0.0,0.0,1.0,1.0,0.0,0.0
5,0.734462497110604,0.1036521733915664,3.3690994182802596,0.246243028984539,0.2655375028893961,0.10365217339156643,2.6309005817197404,0.24624302898453898,0.733284433074961,0.09859127872424661,3.377598450181398,0.23594616658376,0.26671556692503895,0.09859127872424661,2.622401549818602,0.23594616658376,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7290927513882712,0.09896069944578226,4.09819216966853,0.2669160144842313,0.2709072486117287,0.09896069944578226,2.9018078303314696,0.2669160144842313,0.7334679214361945,0.0955209738992602,4.111066371617592,0.25465144864544764,0.26653207856380556,0.0955209738992602,2.8889336283824076,0.2546514486454477,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7314149360772787,0.10336754946891387,4.82960710574581,0.28567007888439855,0.26858506392272136,0.10336754946891387,3.1703928942541912,0.28567007888439855,0.7360435489174278,0.10283546724222364,4.84710992053502,0.2722850819806807,0.2639564510825722,0.10283546724222364,3.1528900794649797,0.2722850819806807,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8556453813602461,0.10427553263510032,5.685252487106055,0.3034170991186247,0.14435461863975385,0.10427553263510032,3.3147475128939443,0.3034170991186247,0.8513573649464257,0.10153392386898302,5.698467285481446,0.2949617138166652,0.14864263505357425,0.10153392386898302,3.301532714518554,0.2949617138166652,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7791426249220534,0.12396032167316808,6.464395112028109,0.32769490156106945,0.22085737507794662,0.12396032167316808,3.5356048879718913,0.32769490156106945,0.7863706747857894,0.11691876236615716,6.484837960267235,0.31538142785294015,0.2136293252142107,0.11691876236615716,3.515162039732765,0.3153814278529401,0.007,0.309,0.0,0.295,0.993,0.396
10,0.6986630473296689,0.302178889116472,7.163058159357777,0.454986702479096,0.30133695267033106,0.302178889116472,3.836941840642222,0.45498670247909595,0.7005841714768455,0.3002871720995781,7.1854221317440805,0.429853819911907,0.2994158285231544,0.3002871720995781,3.8145778682559195,0.429853819911907,0.316,0.295,0.139,0.282,0.545,0.423
11,0.6658442725907401,0.34421250688715704,7.828902431948518,0.5447013480926074,0.33415572740926,0.3442125068871571,4.171097568051482,0.5447013480926074,0.663730239644992,0.34098958250541395,7.8491523713890725,0.5294423216220951,0.33626976035500805,0.34098958250541395,4.1508476286109275,0.5294423216220951,0.384,0.291,0.273,0.28,0.343,0.429
12,0.6358599803804846,0.3566201931646108,8.464762412329003,0.652101290274435,0.3641400196195153,0.3566201931646108,4.535237587670998,0.652101290274435,0.6343525977610436,0.36235132933118974,8.483504969150115,0.6364788139911508,0.3656474022389565,0.36235132933118974,4.5164950308498835,0.6364788139911508,0.311,0.316,0.379,0.229,0.31,0.455
13,0.658624398157184,0.32238801164525427,9.123386810486187,0.7021398664634472,0.34137560184281596,0.32238801164525427,4.876613189513813,0.7021398664634471,0.6723978652458247,0.3276373459263017,9.155902834395942,0.6820142246588403,0.3276021347541752,0.3276373459263017,4.844097165604059,0.6820142246588403,0.296,0.28,0.261,0.279,0.443,0.441
14,0.6641370621607111,0.3327566907218626,9.787523872646897,0.7530840243036309,0.3358629378392889,0.3327566907218626,5.212476127353102,0.7530840243036308,0.6684183838267392,0.3268197155709433,9.824321218222682,0.7178274778302473,0.3315816161732607,0.3268197155709433,5.17567878177732,0.7178274778302473,0.267,0.28,0.27,0.277,0.463,0.443
15,0.6733640992223747,0.3185428897991366,10.460887971869273,0.7838841119435329,0.3266359007776253,0.3185428897991366,5.539112028130727,0.7838841119435328,0.6765436182733547,0.319649575727449,10.500864836496035,0.7460071554792144,0.3234563817266453,0.319649575727449,5.499135163503965,0.7460071554792143,0.275,0.308,0.233,0.255,0.492,0.437
16,0.6784512081028097,0.3203790831754226,11.139339179972081,0.8170830361416253,0.32154879189719043,0.3203790831754226,5.860660820027918,0.8170830361416251,0.6815176222354992,0.3167598038593131,11.182382458731531,0.7719945736748053,0.31848237776450083,0.3167598038593131,5.817617541268466,0.7719945736748052,0.249,0.319,0.258,0.245,0.493,0.436
17,0.6912557048627449,0.3049878016531297,11.830594884834827,0.8454259939807328,0.308744295137255,0.30498780165312966,6.169405115165173,0.8454259939807327,0.6929080754953165,0.30636353888856405,11.875290534226849,0.8038372295955569,0.3070919245046835,0.30636353888856405,6.124709465773148,0.8038372295955568,0.304,0.283,0.214,0.24,0.482,0.477
18,0.665039825545241,0.3345123937157844,12.495634710380068,0.8770750064096222,0.334960174454759,0.3345123937157844,6.5043652896199315,0.8770750064096222,0.6557525541518828,0.3339488995767821,12.531043088378734,0.841078040731085,0.3442474458481172,0.3339488995767821,6.468956911621267,0.8410780407310849,0.286,0.332,0.234,0.239,0.48,0.429
19,0.6787286357975202,0.3132948366776659,13.174363346177588,0.9138940403245206,0.32127136420247987,0.3132948366776659,6.825636653822412,0.9138940403245205,0.674596734315973,0.3093604467985051,13.205639822694705,0.8792988416128992,0.325403265684027,0.3093604467985051,6.794360177305293,0.8792988416128991,0.306,0.279,0.222,0.255,0.472,0.466
20,0.689404523597756,0.3126894785806421,13.863767869775344,0.9478398670013203,0.310595476402244,0.3126894785806421,7.1362321302246565,0.9478398670013202,0.6958759195176676,0.31270825276519526,13.901515742212373,0.9157088380700953,0.30412408048233236,0.31270825276519526,7.098484257787626,0.9157088380700953,0.273,0.287,0.247,0.257,0.48,0.456
