step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0068212065695534,0.9999299647097515,1.0068212065695534,0.9999299647097515,-0.0068212065695533895,0.9999299647097515,-0.0068212065695533895,0.9999299647097515,1.0806477595519222,0.9826927451925825,1.0806477595519222,0.9826927451925825,-0.0806477595519222,0.9826927451925825,-0.0806477595519222,0.9826927451925825,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.004408842210868875,0.9910885658669508,1.0024123643586846,1.3728175714694482,1.0044088422108688,0.9910885658669508,0.9975876356413155,1.3728175714694482,0.03786713570908663,1.0486926865378687,1.118514895261009,1.4491759661370474,0.9621328642909134,1.0486926865378687,0.8814851047389911,1.4491759661370474,1.0,0.0,0.0,1.0,0.0,0.0
2,0.7052664022517743,1.0215981868279704,1.7076787666104587,1.675183832577906,0.29473359774822583,1.0215981868279704,1.2923212333895415,1.675183832577906,0.7829054822014623,1.0015174777092037,1.9014203774624712,1.7522956809129537,0.21709451779853764,1.0015174777092037,1.0985796225375288,1.7522956809129537,1.0,0.0,0.0,0.0,0.0,1.0
3,0.022142056987604124,0.9836015659276726,1.7298208235980628,1.9506397657949275,0.9778579430123959,0.9836015659276726,2.2701791764019372,1.9506397657949275,-0.006507938132855067,0.9882664142553722,1.8949124393296162,2.003697220574848,1.006507938132855,0.9882664142553722,2.105087560670384,2.003697220574848,0.0,1.0,1.0,0.0,0.0,0.0
4,0.8763690521228389,0.9686628184579982,2.6061898757209017,2.212666014479076,0.12363094787716124,0.9686628184579982,2.3938101242790983,2.212666014479076,0.893086570356734,1.0068289362635494,2.7879990096863496,2.217519137872628,0.10691342964326603,1.0068289362635494,2.2120009903136504,2.217519137872628,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7025579820183857,0.9994400921390779,3.3087478577392875,2.401938277195765,0.2974420179816143,0.9994400921390779,2.6912521422607125,2.401938277195765,0.7458860242952923,0.9870665626743194,3.533885033981642,2.4207181407292144,0.2541139757047078,0.9870665626743195,2.466114966018358,2.4207181407292144,0.0,0.0,1.0,0.0,0.0,1.0
6,0.6910363393460232,0.9883400026668921,3.9997841970853107,2.623862563790185,0.30896366065397696,0.9883400026668923,3.0002158029146897,2.623862563790185,0.7581121119788551,0.9883209072526725,4.291997145960497,2.6268256789685624,0.24188788802114494,0.9883209072526725,2.7080028540395022,2.626825678968562,0.0,1.0,0.0,0.0,1.0,0.0
7,0.776691897792213,0.9812260318388653,4.7764760948775224,2.775851832749362,0.22330810220778705,0.9812260318388653,3.2235239051224767,2.775851832749362,0.7126774584944353,0.9806445982934553,5.004674604454933,2.845826760857799,0.28732254150556463,0.9806445982934553,2.995325395545067,2.8458267608577987,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8124933994177493,1.0270109670795746,5.588969494295273,2.94681360519144,0.18750660058225077,1.0270109670795744,3.411030505704727,2.94681360519144,0.9215417107221592,1.0079353404107747,5.926216315177092,3.034792548446738,0.07845828927784071,1.0079353404107747,3.073783684822908,3.034792548446738,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7124545518875227,1.052378180382157,6.301424046182796,3.1248753298357106,0.2875454481124773,1.052378180382157,3.6985759538172043,3.12487532983571,0.7124659052891551,1.056224854245978,6.638682220466247,3.2574410664685067,0.2875340947108449,1.0562248542459782,3.3613177795337528,3.2574410664685067,0.303,0.318,0.268,0.265,0.429,0.417
10,0.649726488133444,1.0286631585374701,6.9511505343162385,3.2447171080235617,0.35027351186655603,1.0286631585374701,4.0488494656837615,3.2447171080235617,0.6591784979308518,1.0312463787481445,7.297860718397099,3.4061256680201804,0.3408215020691482,1.0312463787481445,3.702139281602901,3.4061256680201804,0.299,0.323,0.282,0.305,0.419,0.372
11,0.6955691038365251,1.0416393824517647,7.6467196381527645,3.4591770654540457,0.30443089616347474,1.0416393824517647,4.3532803618472355,3.4591770654540452,0.6713738152177711,1.0367286259654642,7.96923453361487,3.5495789655715995,0.32862618478222894,1.0367286259654642,4.03076546638513,3.5495789655715995,0.288,0.277,0.289,0.295,0.423,0.428
12,0.709399533705743,1.0042738421287156,8.356119171858507,3.6382799364693743,0.29060046629425706,1.0042738421287156,4.643880828141493,3.6382799364693743,0.7086116253731525,1.035407631955962,8.677846158988023,3.716405256508656,0.2913883746268475,1.035407631955962,4.3221538410119775,3.716405256508656,0.285,0.336,0.272,0.263,0.443,0.401
13,0.66847036306482,1.0758195532346315,9.02458953492333,3.767845337208424,0.3315296369351799,1.0758195532346317,4.975410465076673,3.767845337208424,0.6779084725390248,1.0469062333003487,9.355754631527049,3.904590660349103,0.32209152746097536,1.0469062333003487,4.644245368472953,3.904590660349103,0.306,0.309,0.291,0.275,0.403,0.416
14,0.6981998984261285,1.008853541553299,9.722789433349455,3.88010121687648,0.3018001015738715,1.008853541553299,5.277210566650544,3.88010121687648,0.7001474467739528,1.0646553254713342,10.055902078301,4.031841211092314,0.2998525532260472,1.0646553254713342,4.944097921699,4.031841211092315,0.316,0.3,0.258,0.278,0.426,0.422
15,0.6662518492827686,1.0659548640756642,10.389041282632224,4.034541419483517,0.3337481507172314,1.0659548640756642,5.610958717367776,4.034541419483517,0.686984955513277,1.058850668692264,10.742887033814277,4.122461383510139,0.313015044486723,1.058850668692264,5.257112966185723,4.12246138351014,0.308,0.297,0.281,0.284,0.411,0.419
16,0.676341247112487,1.0039241627736455,11.065382529744712,4.175797061635046,0.3236587528875129,1.0039241627736455,5.934617470255288,4.175797061635046,0.7087151006768219,1.0026951897889327,11.451602134491099,4.218673203056694,0.2912848993231782,1.0026951897889327,5.5483978655089015,4.218673203056694,0.282,0.293,0.299,0.276,0.419,0.431
17,0.7123562644542836,1.0303459142839364,11.777738794198994,4.352803850378956,0.2876437355457165,1.0303459142839364,6.222261205801005,4.352803850378956,0.6985941884429895,1.0399880412058924,12.150196322934088,4.451235643920623,0.3014058115570105,1.0399880412058924,5.849803677065912,4.451235643920623,0.278,0.281,0.305,0.268,0.417,0.451
18,0.7299443348148109,1.0773187629693708,12.507683129013808,4.46929307717993,0.27005566518518903,1.0773187629693708,6.492316870986194,4.46929307717993,0.6854940346574672,1.0441185230342986,12.835690357591554,4.628380276518588,0.3145059653425329,1.0441185230342986,6.164309642408445,4.628380276518588,0.293,0.297,0.275,0.267,0.432,0.436
19,0.6864993801624919,1.0324115668392062,13.194182509176299,4.619348097587293,0.3135006198375082,1.0324115668392062,6.805817490823702,4.619348097587293,0.6547794649561972,1.0576681722872316,13.490469822547752,4.7595898449437914,0.3452205350438028,1.0576681722872314,6.5095301774522465,4.7595898449437914,0.298,0.298,0.29,0.277,0.412,0.425
20,0.6624683349349382,1.0385033787769145,13.856650844111234,4.770532970769485,0.33753166506506194,1.0385033787769142,7.143349155888764,4.770532970769485,0.7251936649858638,1.0335435303026606,14.215663487533615,4.852164212710722,0.27480633501413615,1.0335435303026606,6.784336512466384,4.852164212710722,0.297,0.294,0.276,0.259,0.427,0.447
21,0.7084000016110834,1.0419878124862354,14.56505084572232,4.884187971423796,0.29159999838891654,1.0419878124862354,7.434949154277682,4.884187971423796,0.7208613754481124,1.0073642387676487,14.936524862981729,4.945202912071802,0.27913862455188776,1.0073642387676487,7.063475137018271,4.945202912071802,0.291,0.295,0.285,0.282,0.424,0.423
22,0.7317362703208112,1.0576948593373805,15.29678711604313,4.981686777492182,0.26826372967918866,1.0576948593373805,7.703212883956868,4.981686777492181,0.7466987752849424,0.9853872469554749,15.683223638266671,5.075700325502425,0.25330122471505756,0.9853872469554749,7.316776361733329,5.075700325502425,0.263,0.291,0.29,0.271,0.447,0.438
23,0.6891948258115446,1.043977508249473,15.985981941854677,5.127318367785475,0.31080517418845555,1.043977508249473,8.014018058145325,5.127318367785474,0.787599782363449,1.0281295454429762,16.470823420630122,5.194822398559988,0.21240021763655106,1.0281295454429762,7.52917657936988,5.194822398559989,0.275,0.281,0.276,0.276,0.449,0.443
24,0.7452023705587151,1.0619375228513794,16.731184312413394,5.2855516749990095,0.2547976294412849,1.0619375228513794,8.26881568758661,5.2855516749990095,0.712273761448351,1.0219970405314587,17.18309718207847,5.312001520825424,0.2877262385516489,1.021997040531459,7.816902817921529,5.312001520825424,0.281,0.315,0.269,0.28,0.45,0.405
25,0.7632595703928996,1.04077703056846,17.494443882806287,5.380104692108789,0.23674042960710034,1.04077703056846,8.50555611719371,5.380104692108788,0.7092514158639072,1.0389948134711393,17.89234859794238,5.380926574613912,0.29074858413609284,1.0389948134711393,8.107651402057622,5.380926574613912,0.295,0.314,0.268,0.253,0.437,0.433
26,0.7087379538468609,1.0624557295355996,18.20318183665315,5.492249168093946,0.29126204615313905,1.0624557295355996,8.79681816334685,5.492249168093946,0.7257498378529053,1.0146044714129165,18.618098435795282,5.483779772186915,0.2742501621470947,1.0146044714129165,8.381901564204716,5.4837797721869155,0.312,0.302,0.259,0.273,0.429,0.425
27,0.7220870612953304,1.0462501989911228,18.92526889794848,5.611127651481011,0.27791293870466965,1.0462501989911226,9.07473110205152,5.611127651481009,0.7590050912512968,1.0501569251570613,19.37710352704658,5.570483084427881,0.24099490874870313,1.0501569251570613,8.62289647295342,5.570483084427881,0.293,0.294,0.256,0.286,0.451,0.42
28,0.7070421886154109,1.0285773514545307,19.632311086563895,5.680159262609142,0.29295781138458915,1.0285773514545307,9.367688913436108,5.680159262609142,0.711168383918659,1.0548981980007741,20.08827191096524,5.6520401933061555,0.28883161608134106,1.0548981980007743,8.911728089034762,5.6520401933061555,0.3,0.29,0.263,0.247,0.437,0.463
29,0.7227456833851374,1.0782253752516249,20.355056769949027,5.792396846671773,0.27725431661486266,1.0782253752516249,9.64494323005097,5.792396846671773,0.6912496361747992,1.086894166209779,20.77952154714004,5.787079390198839,0.3087503638252008,1.086894166209779,9.220478452859961,5.787079390198839,0.296,0.298,0.287,0.262,0.417,0.44
30,0.7047743433924202,1.0168852528214711,21.05983111334145,5.892141118767784,0.2952256566075798,1.0168852528214711,9.940168886658551,5.892141118767784,0.7164864043597954,1.0411584362012374,21.496007951499838,5.871906433174611,0.28351359564020456,1.0411584362012374,9.503992048500166,5.871906433174611,0.292,0.299,0.275,0.279,0.433,0.422
31,0.6234876183815996,0.9930517843232103,21.68331873172305,6.004339920990375,0.37651238161840034,0.9930517843232103,10.316681268276952,6.004339920990375,0.6714890121486234,1.0461668553125927,22.167496963648457,5.947014798028616,0.32851098785137645,1.0461668553125927,9.832503036351543,5.947014798028616,0.284,0.288,0.28,0.303,0.436,0.409
32,0.7252535709285345,1.0131248078876793,22.408572302651585,6.096928441747467,0.2747464290714655,1.0131248078876793,10.591427697348415,6.096928441747466,0.7112588036688569,1.0673594125461612,22.878755767317315,6.087160561964452,0.2887411963311431,1.0673594125461612,10.121244232682686,6.087160561964453,0.278,0.316,0.278,0.262,0.444,0.422
33,0.7260071272729974,1.0050498191780293,23.13457942992458,6.208863977820906,0.2739928727270025,1.0050498191780293,10.865420570075418,6.208863977820905,0.7026946329732041,1.038187200254444,23.581450400290517,6.200731095202337,0.29730536702679583,1.038187200254444,10.41854959970948,6.200731095202338,0.305,0.296,0.254,0.278,0.441,0.426
34,0.6952955296833934,1.05355963795369,23.829874959607977,6.284688752334758,0.30470447031660647,1.05355963795369,11.170125040392024,6.284688752334759,0.7109292180508392,1.043209577527809,24.292379618341357,6.331806091329,0.28907078194916086,1.043209577527809,10.707620381658643,6.331806091329001,0.301,0.31,0.261,0.289,0.438,0.401
35,0.7021825124000047,1.0080259137943515,24.53205747200798,6.41103732028503,0.29781748759999527,1.0080259137943515,11.467942527992019,6.41103732028503,0.7453659267967564,1.0585841125936297,25.037745545138115,6.368174209567667,0.25463407320324366,1.0585841125936297,10.962254454861887,6.368174209567667,0.326,0.297,0.242,0.264,0.432,0.439
36,0.7287066009835392,1.0723899660477092,25.26076407299152,6.484471307211776,0.2712933990164607,1.0723899660477092,11.739235927008481,6.484471307211775,0.7677451313547418,1.0924025823552241,25.805490676492855,6.4110425676995675,0.23225486864525835,1.0924025823552241,11.194509323507143,6.4110425676995675,0.294,0.298,0.277,0.275,0.429,0.427
37,0.7186484625392688,1.0080135340863956,25.979412535530788,6.5943558642030995,0.2813515374607311,1.0080135340863956,12.020587464469212,6.5943558642030995,0.799281897356763,1.0544703487003535,26.604772573849615,6.4891147683362655,0.20071810264323703,1.0544703487003535,11.395227426150381,6.489114768336266,0.302,0.261,0.287,0.262,0.411,0.477
38,0.736293529848657,1.0067384505107762,26.715706065379443,6.704005877718836,0.263706470151343,1.0067384505107764,12.284293934620555,6.704005877718836,0.7791691015003672,1.0065414964775175,27.383941675349984,6.554943759198037,0.22083089849963272,1.0065414964775175,11.616058324650014,6.554943759198037,0.29,0.3,0.272,0.263,0.438,0.437
39,0.7263463498589686,1.0217012985732745,27.442052415238415,6.805090393675967,0.2736536501410313,1.0217012985732743,12.557947584761587,6.805090393675966,0.7594673794534182,1.005324745105961,28.1434090548034,6.655589524252401,0.24053262054658164,1.005324745105961,11.856590945196597,6.655589524252401,0.284,0.291,0.261,0.25,0.455,0.459
40,0.7644045502987414,1.0223342223166754,28.206456965537157,6.938914969148152,0.23559544970125854,1.0223342223166754,12.793543034462845,6.938914969148152,0.7254760275319556,1.0318336985774426,28.86888508233536,6.7485298589634555,0.2745239724680442,1.0318336985774426,12.13111491766464,6.7485298589634555,0.291,0.307,0.273,0.242,0.436,0.451
41,0.7479049239306367,1.044085562144162,28.954361889467794,6.993897097187277,0.2520950760693634,1.044085562144162,13.04563811053221,6.993897097187277,0.7599653430939296,0.9981258054584417,29.628850425429288,6.836830599966848,0.24003465690607034,0.9981258054584417,12.37114957457071,6.836830599966848,0.286,0.283,0.283,0.248,0.431,0.469
42,0.7134511543448898,1.0414526201581766,29.667813043812682,7.03144337922231,0.2865488456551101,1.0414526201581766,13.332186956187318,7.03144337922231,0.7543346848548383,1.0341692553836732,30.383185110284128,6.854225766216072,0.24566531514516174,1.0341692553836732,12.616814889715872,6.854225766216072,0.292,0.301,0.292,0.269,0.416,0.43
43,0.7495656475278896,1.0042138060012704,30.41737869134057,7.156476499449142,0.2504343524721104,1.0042138060012702,13.582621308659428,7.156476499449142,0.7926724646973341,1.038175481417217,31.175857574981464,7.008006634442974,0.20732753530266582,1.038175481417217,12.824142425018538,7.008006634442974,0.273,0.291,0.279,0.254,0.448,0.455
44,0.7264257177648826,1.0444855359892924,31.143804409105453,7.181988797268707,0.2735742822351173,1.0444855359892924,13.856195590894545,7.181988797268706,0.7211097784402685,1.0197818850841978,31.89696735342173,7.096218540259793,0.2788902215597316,1.0197818850841978,13.103032646578269,7.096218540259794,0.268,0.289,0.263,0.264,0.469,0.447
45,0.7388809464234228,1.0240476670392762,31.882685355528878,7.290297737006477,0.2611190535765772,1.0240476670392762,14.117314644471124,7.290297737006476,0.7149777021258501,1.0349279597604375,32.61194505554758,7.205667545542085,0.28502229787414984,1.0349279597604375,13.388054944452419,7.205667545542085,0.268,0.284,0.276,0.267,0.456,0.449
46,0.7675482924687119,1.0629410380423805,32.65023364799759,7.362789351863145,0.23245170753128813,1.0629410380423805,14.34976635200241,7.362789351863145,0.7032319205949727,1.0568025646858974,33.31517697614255,7.295888530381642,0.2967680794050273,1.0568025646858974,13.684823023857447,7.295888530381642,0.279,0.29,0.254,0.246,0.467,0.464
47,0.6886635462538729,1.0411785545884662,33.33889719425146,7.43240680690856,0.3113364537461271,1.041178554588466,14.661102805748538,7.432406806908559,0.7189410108973501,1.0405018056287263,34.034117987039906,7.3938191667215385,0.28105898910264987,1.0405018056287263,13.965882012960098,7.393819166721539,0.288,0.283,0.257,0.255,0.455,0.462
48,0.7344716065655199,1.0242854745849446,34.073368800816986,7.533684040048966,0.26552839343448015,1.0242854745849446,14.926631199183019,7.533684040048966,0.7781382635348032,1.028111763517936,34.812256250574706,7.440121736489207,0.22186173646519686,1.028111763517936,14.187743749425291,7.440121736489207,0.299,0.267,0.252,0.254,0.449,0.479
49,0.7741408569178397,0.9992565030788397,34.847509657734825,7.607420168329095,0.22585914308216024,0.9992565030788397,15.15249034226518,7.607420168329095,0.795292566965898,0.9921465308285937,35.607548817540604,7.53047324907194,0.20470743303410194,0.9921465308285937,14.392451182459395,7.53047324907194,0.295,0.287,0.262,0.272,0.443,0.441
50,0.7620242706532233,1.018825427834329,35.609533928388046,7.694150570624338,0.23797572934677672,1.018825427834329,15.390466071611954,7.694150570624338,0.7132403802020237,1.0418958462046441,36.320789197742634,7.6428950725057465,0.28675961979797626,1.0418958462046441,14.679210802257373,7.6428950725057465,0.286,0.289,0.273,0.263,0.441,0.448
51,0.7698844692912044,1.054887001947027,36.379418397679245,7.710747812443932,0.23011553070879573,1.054887001947027,15.620581602320751,7.710747812443932,0.7230559201972255,1.0025966371854032,37.04384511793985,7.768708040471602,0.27694407980277447,1.0025966371854032,14.956154882060146,7.768708040471602,0.29,0.274,0.261,0.272,0.449,0.454
