step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0203694938080903,0.9839498971423086,1.0203694938080903,0.9839498971423086,-0.020369493808090177,0.9839498971423086,-0.020369493808090177,0.9839498971423086,1.0067445801159638,0.9705633202221257,1.0067445801159638,0.9705633202221257,-0.006744580115963838,0.9705633202221257,-0.006744580115963838,0.9705633202221257,1.0,1.0,0.0,0.0,0.0,0.0
1,-0.008729971040088217,1.0220436991204047,1.011639522768002,1.4126935971361587,1.0087299710400883,1.0220436991204047,0.988360477231998,1.4126935971361587,0.047760182052698476,0.9891914194455516,1.0545047621686623,1.3385568052935823,0.9522398179473016,0.9891914194455516,0.9454952378313377,1.3385568052935823,1.0,0.0,0.0,1.0,0.0,0.0
2,0.6801214507190939,0.991851255942799,1.6917609734870958,1.7417968888616728,0.31987854928090614,0.991851255942799,1.3082390265129042,1.7417968888616728,0.756738902079484,1.0061529835899554,1.8112436642481462,1.6852497927529557,0.2432610979205161,1.0061529835899554,1.1887563357518538,1.6852497927529557,1.0,0.0,0.0,0.0,0.0,1.0
3,0.005771162983805574,0.9977296803398066,1.6975321364709013,1.9546416071692863,0.9942288370161944,0.9977296803398066,2.302467863529099,1.9546416071692863,0.01967020544861689,1.0387599290259517,1.8309138696967633,1.9695830476265856,0.9803297945513831,1.0387599290259517,2.169086130303237,1.9695830476265856,0.0,1.0,1.0,0.0,0.0,0.0
4,0.9334240371568692,1.0361438923363233,2.6309561736277707,2.2012971501160834,0.06657596284313082,1.0361438923363233,2.3690438263722293,2.2012971501160834,0.889344241394729,1.0065789612253113,2.7202581110914927,2.2199394243407404,0.11065575860527099,1.0065789612253113,2.2797418889085077,2.2199394243407404,0.0,0.0,1.0,1.0,0.0,0.0
5,0.7550466713706391,1.0250894315839982,3.3860028449984094,2.410639893819369,0.24495332862936095,1.0250894315839982,2.6139971550015906,2.410639893819369,0.7802376194061449,1.0038853434467037,3.500495730497637,2.4646382395039765,0.21976238059385506,1.0038853434467037,2.499504269502363,2.4646382395039765,0.0,0.0,1.0,0.0,0.0,1.0
6,0.7340887945020158,1.011555631267544,4.120091639500426,2.6546798934275997,0.265911205497984,1.011555631267544,2.8799083604995745,2.6546798934275997,0.756185524556884,1.0179631711086838,4.256681255054521,2.6729664835027513,0.24381447544311596,1.0179631711086838,2.743318744945479,2.6729664835027513,0.0,1.0,0.0,0.0,1.0,0.0
7,0.7849241915968584,1.0329917004250284,4.905015831097284,2.837343996066859,0.21507580840314164,1.0329917004250284,3.094984168902716,2.8373439960668594,0.7572083413609771,1.0324378511791108,5.013889596415498,2.8867830225960436,0.242791658639023,1.0324378511791108,2.986110403584502,2.8867830225960436,0.0,0.0,0.0,1.0,1.0,0.0
8,0.8355372354790301,1.0119261450286876,5.7405530665763145,2.9914904009634045,0.16446276452096986,1.0119261450286876,3.259446933423686,2.9914904009634045,0.8089380512429065,1.042579191235487,5.822827647658405,3.0536042915723765,0.19106194875709334,1.042579191235487,3.1771723523415947,3.0536042915723765,0.0,0.0,0.0,0.0,1.0,1.0
9,0.7083515297559692,1.0525101862526525,6.448904596332282,3.134473249723261,0.29164847024403096,1.0525101862526525,3.5510954036677167,3.134473249723261,0.685002509081193,1.0667148708824579,6.507830156739598,3.2549384501996403,0.314997490918807,1.066714870882458,3.4921698432604025,3.2549384501996403,0.276,0.285,0.283,0.281,0.441,0.434
10,0.6989877211437124,1.0270486831983805,7.1478923174759945,3.3070666679072094,0.3010122788562876,1.0270486831983805,3.852107682524004,3.3070666679072094,0.6489714701998496,1.0110442849538956,7.156801626939447,3.463460109073553,0.3510285298001504,1.0110442849538959,3.8431983730605523,3.463460109073553,0.281,0.279,0.276,0.268,0.443,0.453
11,0.6599615049840669,1.0227022111199344,7.8078538224600615,3.4673941663639307,0.3400384950159331,1.0227022111199344,4.1921461775399385,3.4673941663639307,0.666518747733425,1.0926908983021235,7.823320374672872,3.6554372568212936,0.333481252266575,1.0926908983021235,4.176679625327128,3.6554372568212936,0.309,0.269,0.263,0.291,0.428,0.44
12,0.711604267319774,1.0537736594154306,8.519458089779837,3.6609742481010294,0.28839573268022606,1.0537736594154306,4.480541910220163,3.6609742481010294,0.6682977484279531,1.0446790784060513,8.491618123100825,3.797311778790716,0.33170225157204686,1.0446790784060513,4.5083818768991755,3.7973117787907165,0.303,0.302,0.275,0.262,0.422,0.436
13,0.75758195542367,1.02987684906654,9.277040045203506,3.843074894116353,0.2424180445763299,1.0298768490665402,4.722959954796494,3.843074894116353,0.6901291442361106,1.0190437010657767,9.181747267336938,3.887604891040787,0.3098708557638894,1.0190437010657767,4.818252732663065,3.887604891040787,0.278,0.29,0.271,0.26,0.451,0.45
14,0.7359631696158183,1.0000680967206368,10.013003214819324,3.9575853352771837,0.2640368303841815,1.0000680967206368,4.986996785180675,3.9575853352771833,0.7981607224927725,1.0244110062305694,9.979907989829709,4.000481518523787,0.20183927750722747,1.0244110062305694,5.020092010170292,4.000481518523787,0.288,0.278,0.279,0.274,0.433,0.448
15,0.748591945106178,1.0544766426780219,10.761595159925502,4.091743586052546,0.25140805489382206,1.0544766426780219,5.238404840074498,4.091743586052546,0.7139043681327949,1.080920316509312,10.693812357962502,4.136018852302903,0.28609563186720505,1.080920316509312,5.3061876420374965,4.136018852302902,0.304,0.289,0.276,0.276,0.42,0.435
16,0.7577167647787965,1.063527821916143,11.519311924704299,4.271938479896853,0.2422832352212036,1.063527821916143,5.4806880752957,4.271938479896853,0.7425733848259413,1.0113422597803852,11.436385742788445,4.266989827461479,0.2574266151740587,1.0113422597803852,5.5636142572115554,4.266989827461479,0.299,0.303,0.281,0.263,0.42,0.434
17,0.6842531476920138,1.0859598892282776,12.203565072396316,4.438903316677568,0.31574685230798616,1.0859598892282776,5.796434927603688,4.438903316677568,0.697070739295877,1.0133220136911354,12.133456482084323,4.42160457508745,0.3029292607041229,1.0133220136911354,5.866543517915678,4.42160457508745,0.314,0.304,0.265,0.28,0.421,0.416
18,0.7176952047406658,1.0390043929322264,12.921260277136978,4.5295350029296575,0.28230479525933405,1.0390043929322264,6.0787397228630216,4.5295350029296575,0.7292055224441333,1.0365519066971156,12.862662004528454,4.541019005204802,0.2707944775558667,1.0365519066971156,6.137337995471546,4.541019005204802,0.308,0.298,0.258,0.276,0.434,0.426
19,0.6874997034626078,1.01179606853934,13.608759980599586,4.669787544866943,0.31250029653739214,1.0117960685393401,6.391240019400413,4.669787544866943,0.6863946256209432,1.0886059495791187,13.549056630149396,4.734463635629555,0.3136053743790568,1.0886059495791187,6.450943369850602,4.734463635629555,0.308,0.297,0.278,0.275,0.414,0.428
20,0.7112142848081408,1.0882862199123038,14.319974265407728,4.886530036321729,0.28878571519185925,1.0882862199123038,6.680025734592273,4.886530036321729,0.6572250278935614,1.0725051300474584,14.206281658042961,4.834131336127401,0.34277497210643854,1.0725051300474584,6.793718341957039,4.834131336127401,0.319,0.296,0.282,0.275,0.399,0.429
21,0.7240110180495506,1.030229809258208,15.043985283457278,4.9881137831257805,0.27598898195044946,1.030229809258208,6.956014716542723,4.9881137831257805,0.7122787227156162,1.055090089630597,14.918560380758576,4.903134195212246,0.28772127728438374,1.055090089630597,7.081439619241424,4.903134195212246,0.314,0.308,0.257,0.281,0.429,0.411
22,0.6931529896642197,1.0951329072715406,15.737138273121499,5.114212283561528,0.30684701033578027,1.0951329072715406,7.262861726878502,5.114212283561528,0.7686669090222688,1.0530973169297142,15.687227289780843,5.029019292231144,0.2313330909777312,1.0530973169297142,7.312772710219154,5.029019292231144,0.312,0.317,0.26,0.28,0.428,0.403
23,0.7772793436235754,1.0343441567911298,16.51441761674507,5.224327250839758,0.22272065637642452,1.0343441567911298,7.485582383254926,5.224327250839758,0.7179767292602626,1.0182292239527166,16.405204019041108,5.090875488251007,0.28202327073973743,1.0182292239527164,7.594795980958892,5.090875488251007,0.282,0.322,0.266,0.257,0.452,0.421
24,0.7537797316313124,1.0433680685405664,17.268197348376386,5.3376149104511175,0.2462202683686877,1.0433680685405664,7.731802651623614,5.3376149104511175,0.7244379696233173,1.0556390528344557,17.129641988664428,5.1613148954440335,0.2755620303766827,1.0556390528344557,7.870358011335575,5.1613148954440335,0.313,0.311,0.262,0.265,0.425,0.424
25,0.7191139089927908,0.9995814475007291,17.987311257369175,5.410478187126562,0.2808860910072092,0.9995814475007291,8.012688742630823,5.410478187126562,0.7300249093805596,1.0472775782927226,17.859666898044985,5.216020617327355,0.26997509061944036,1.0472775782927224,8.140333101955015,5.216020617327355,0.302,0.31,0.269,0.278,0.429,0.412
26,0.7909620736077101,1.0162791007531484,18.778273330976887,5.4863647679769745,0.20903792639228994,1.0162791007531484,8.221726669023113,5.4863647679769745,0.8282133170927971,1.0434165625918534,18.68788021513778,5.319687813732973,0.17178668290720298,1.0434165625918537,8.312119784862217,5.319687813732973,0.311,0.318,0.268,0.276,0.421,0.406
27,0.7756624105270358,1.0643349550444192,19.55393574150392,5.664247553216592,0.2243375894729644,1.0643349550444192,8.446064258496078,5.664247553216592,0.7739731900760515,1.0506113792941754,19.46185340521383,5.390915020137574,0.22602680992394858,1.0506113792941754,8.538146594786168,5.390915020137574,0.282,0.302,0.272,0.266,0.446,0.432
28,0.7746506128180333,1.0230341934876215,20.328586354321956,5.753363744892478,0.2253493871819667,1.0230341934876215,8.671413645678046,5.753363744892478,0.7214637637353454,1.0472945988418494,20.18331716894918,5.503998899673935,0.27853623626465457,1.0472945988418494,8.816682831050821,5.503998899673935,0.289,0.306,0.278,0.26,0.433,0.434
29,0.751566709337695,1.0210174851281038,21.08015306365965,5.8198257365769726,0.24843329066230496,1.0210174851281038,8.919846936340349,5.8198257365769726,0.7560105320127343,1.0225006726067893,20.93932770096191,5.603285110075995,0.24398946798726565,1.0225006726067893,9.060672299038087,5.603285110075995,0.294,0.291,0.259,0.279,0.447,0.43
30,0.6990476298666622,1.0432383172345057,21.779200693526313,5.891658666162469,0.30095237013333775,1.0432383172345057,9.220799306473687,5.891658666162469,0.758249411201816,1.076467692179997,21.69757711216373,5.721363706961376,0.24175058879818398,1.076467692179997,9.302422887836272,5.721363706961375,0.311,0.3,0.263,0.269,0.426,0.431
31,0.7917650189000429,1.0474768317197403,22.570965712426354,6.0228239689391465,0.20823498109995708,1.0474768317197403,9.429034287573645,6.0228239689391465,0.7401730231648319,1.0572048251579127,22.437750135328564,5.7967991186305,0.25982697683516826,1.0572048251579127,9.56224986467144,5.7967991186305,0.31,0.297,0.273,0.256,0.417,0.447
32,0.800608606628618,1.0330998653441081,23.37157431905497,6.0644992280220515,0.19939139337138198,1.033099865344108,9.628425680945027,6.0644992280220515,0.7389890666295302,1.0719420777305684,23.176739201958092,5.890710879004898,0.2610109333704697,1.0719420777305684,9.82326079804191,5.890710879004898,0.308,0.3,0.262,0.263,0.43,0.437
33,0.7188419073514172,1.0424375553948655,24.090416226406393,6.118931001979672,0.2811580926485827,1.0424375553948655,9.90958377359361,6.118931001979672,0.7378699800993229,1.000281905979884,23.914609182057415,5.993812745166144,0.2621300199006772,1.000281905979884,10.085390817942585,5.993812745166144,0.294,0.294,0.268,0.263,0.438,0.443
34,0.7797827576385108,1.03335050257856,24.8701989840449,6.236748962177119,0.22021724236148918,1.03335050257856,10.129801015955097,6.236748962177119,0.7219648505729324,1.0487303440072107,24.636574032630346,6.067885133809525,0.27803514942706753,1.0487303440072107,10.363425967369652,6.067885133809525,0.315,0.286,0.253,0.263,0.432,0.451
35,0.8322538593296703,1.0183578982023886,25.702452843374573,6.371226550791776,0.16774614067032956,1.0183578982023886,10.297547156625427,6.371226550791774,0.7382678669194536,1.0231950731344963,25.3748418995498,6.164733389577024,0.26173213308054644,1.0231950731344963,10.6251581004502,6.164733389577025,0.298,0.29,0.258,0.269,0.444,0.441
36,0.7903912195138757,1.0284940023274225,26.492844062888448,6.448458038923187,0.20960878048612425,1.0284940023274225,10.50715593711155,6.448458038923187,0.6949110853348767,1.0694280159563967,26.06975298488468,6.297991340530973,0.30508891466512317,1.0694280159563967,10.930247015115325,6.297991340530973,0.315,0.315,0.251,0.275,0.434,0.41
37,0.751551218061536,1.030194790878522,27.244395280949988,6.5127161359836725,0.2484487819384639,1.030194790878522,10.755604719050014,6.5127161359836725,0.6738966655291614,1.0348642729885957,26.743649650413836,6.393965363959048,0.32610333447083856,1.0348642729885957,11.256350349586162,6.393965363959049,0.322,0.31,0.258,0.281,0.42,0.409
38,0.8005821315282928,1.0501310978282545,28.044977412478275,6.601353846687453,0.19941786847170698,1.0501310978282545,10.955022587521723,6.601353846687453,0.736903672402797,1.0256901151637805,27.480553322816636,6.53279262321544,0.2630963275972031,1.0256901151637805,11.519446677183366,6.53279262321544,0.308,0.322,0.265,0.264,0.427,0.414
39,0.7524149921967821,0.9948872429975089,28.79739240467506,6.722385948802587,0.24758500780321788,0.9948872429975089,11.202607595324942,6.722385948802587,0.7573226627817826,1.0393030246347892,28.237875985598418,6.6089716902158635,0.24267733721821746,1.0393030246347892,11.762124014401582,6.6089716902158635,0.306,0.307,0.254,0.263,0.44,0.43
40,0.7343889713399518,1.0320114765802821,29.531781376015008,6.803387563078122,0.2656110286600482,1.032011476580282,11.46821862398499,6.803387563078122,0.759156845078348,1.0137831737781915,28.997032830676766,6.674917639511463,0.24084315492165198,1.0137831737781915,12.002967169323234,6.674917639511463,0.302,0.311,0.256,0.262,0.442,0.427
41,0.7722356319090659,1.0089724743341928,30.304017007924077,6.908506232830155,0.2277643680909341,1.0089724743341928,11.695982992075923,6.908506232830155,0.7350762055981931,1.001735948430847,29.732109036274956,6.713803053633274,0.26492379440180697,1.001735948430847,12.26789096372504,6.713803053633274,0.294,0.308,0.26,0.274,0.446,0.418
42,0.7539450755246323,1.007947639178816,31.057962083448707,7.006098030018798,0.24605492447536767,1.007947639178816,11.94203791655129,7.006098030018798,0.7325258835179173,1.0163094408060922,30.464634919792875,6.866888659110483,0.2674741164820828,1.0163094408060922,12.535365080207125,6.866888659110483,0.283,0.312,0.253,0.262,0.464,0.426
43,0.6753097866419892,1.0227368903825127,31.7332718700907,7.110905773734905,0.3246902133580109,1.0227368903825127,12.266728129909302,7.110905773734905,0.7984605855234361,1.0079415844915536,31.26309550531631,6.964637137685487,0.20153941447656387,1.0079415844915534,12.736904494683689,6.964637137685488,0.296,0.319,0.262,0.261,0.442,0.42
44,0.7655413859249639,1.0272698197093735,32.498813256015666,7.206880671224838,0.234458614075036,1.0272698197093735,12.501186743984338,7.206880671224838,0.7032974849504041,1.0143348703781023,31.966392990266716,7.128807927177468,0.29670251504959594,1.0143348703781023,13.033607009733284,7.128807927177468,0.297,0.309,0.252,0.277,0.451,0.414
45,0.748118838475606,1.029959973465011,33.24693209449127,7.312444602434676,0.25188116152439394,1.029959973465011,12.75306790550873,7.312444602434676,0.7320844132552238,1.0082843661319605,32.698477403521935,7.1610449555939875,0.26791558674477617,1.0082843661319605,13.30152259647806,7.1610449555939875,0.298,0.312,0.245,0.27,0.457,0.418
46,0.7305422483991241,1.0513792724639657,33.977474342890396,7.351079096480486,0.26945775160087587,1.0513792724639657,13.022525657109608,7.351079096480486,0.7842431742405872,0.9865335940249544,33.48272057776253,7.2791050186701005,0.21575682575941285,0.9865335940249544,13.517279422237474,7.2791050186701005,0.305,0.316,0.246,0.272,0.449,0.412
