step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.627843120834467,0.9893928781193507,0.627843120834467,0.9893928781193507,0.3721568791655329,0.9893928781193507,0.3721568791655329,0.9893928781193507,0.5449555369804718,0.9788861496257303,0.5449555369804718,0.9788861496257303,0.4550444630195282,0.9788861496257303,0.4550444630195282,0.9788861496257303,1.0,1.0,0.0,0.0
1,0.985513786314415,0.9944693892277986,1.613356907148882,1.4055763633234215,0.01448621368558496,0.9944693892277986,0.3866430928511179,1.4055763633234215,-0.06137301496078871,1.0233438918466018,0.4835825220196831,1.439691726479969,1.0613730149607887,1.0233438918466018,1.516417477980317,1.439691726479969,1.0,0.0,0.0,1.0
2,-0.05467010710885363,1.0444271108807177,1.5586868000400285,1.7597409509328803,1.0546701071088538,1.0444271108807177,1.4413131999599713,1.7597409509328803,0.9841728708129435,0.9989573172810559,1.4677553928326266,1.7856233487551867,0.01582712918705661,0.9989573172810559,1.5322446071673734,1.7856233487551867,0.0,1.0,1.0,0.0
3,0.288916550344328,0.9986646440824859,1.8476033503843565,2.04998528348688,0.7110834496556719,0.9986646440824859,2.1523966496156435,2.04998528348688,0.19045252867104334,1.011691141894767,1.6582079215036698,2.054054494319838,0.8095474713289565,1.011691141894767,2.3417920784963298,2.054054494319838,0.0,0.0,1.0,1.0
4,0.5472490398479161,1.076474997018199,2.3948523902322725,2.2739049928172346,0.45275096015208394,1.076474997018199,2.605147609767727,2.2739049928172346,0.460044199574708,1.0628224827962636,2.118252121078378,2.294377194589496,0.539955800425292,1.0628224827962633,2.881747878921622,2.294377194589496,0.682,0.671,0.318,0.329
5,0.5610353236980175,1.0546295724070605,2.9558877139302906,2.5086367530038025,0.43896467630198255,1.0546295724070605,3.0441122860697094,2.5086367530038025,0.500624363363251,1.0655570803822512,2.6188764844416292,2.5445328240259433,0.49937563663674894,1.0655570803822512,3.3811235155583708,2.5445328240259433,0.693,0.671,0.307,0.329
6,0.5022979114799953,1.0427119300742294,3.4581856254102856,2.7245806989123613,0.49770208852000475,1.0427119300742294,3.541814374589714,2.7245806989123613,0.5085763122631402,1.076073786120459,3.1274527967047687,2.751801185031523,0.49142368773685985,1.076073786120459,3.8725472032952313,2.751801185031523,0.703,0.707,0.297,0.293
7,0.4782233518547745,1.0759444651153147,3.93640897726506,2.9806251284351584,0.5217766481452255,1.0759444651153147,4.06359102273494,2.9806251284351584,0.5386775993636418,1.0724407714668602,3.666130396068411,2.9505989292063273,0.46132240063635827,1.0724407714668602,4.333869603931589,2.9505989292063273,0.702,0.72,0.298,0.28
8,0.49082333999231637,1.0867871922791132,4.427232317257376,3.2635446221055298,0.5091766600076836,1.086787192279113,4.572767682742623,3.2635446221055298,0.46550552440542414,1.0663575638719243,4.131635920473834,3.178025158483426,0.5344944755945757,1.0663575638719243,4.868364079526166,3.178025158483426,0.714,0.728,0.286,0.272
9,0.542998333695784,1.0523687281189016,4.97023065095316,3.4520210110717438,0.45700166630421607,1.0523687281189016,5.029769349046839,3.4520210110717438,0.46995946129236665,1.0345893858270887,4.601595381766201,3.3745651333983617,0.5300405387076333,1.0345893858270887,5.398404618233799,3.374565133398362,0.73,0.73,0.27,0.27
10,0.534516339711676,1.0441244903299334,5.504746990664836,3.6086949149362724,0.46548366028832394,1.0441244903299334,5.495253009335164,3.608694914936273,0.5369727782901956,1.070928512814342,5.138568160056397,3.606746442176736,0.46302722170980437,1.070928512814342,5.861431839943603,3.6067464421767363,0.731,0.723,0.269,0.277
11,0.5755637141384113,1.0717804405870304,6.080310704803248,3.817921122930141,0.42443628586158855,1.0717804405870304,5.919689295196752,3.817921122930141,0.4908760135705209,1.0775433981421036,5.6294441736269185,3.7707955193817466,0.509123986429479,1.0775433981421036,6.370555826373082,3.7707955193817466,0.752,0.73,0.248,0.27
12,0.6089398207814017,1.0314640159239183,6.68925052558465,4.01468706269356,0.39106017921859826,1.0314640159239183,6.310749474415351,4.01468706269356,0.5158484820840479,1.075642820411771,6.145292655710966,3.9625445087876003,0.484151517915952,1.075642820411771,6.854707344289034,3.9625445087876003,0.756,0.759,0.244,0.241
13,0.5333236260210384,1.0892715258773105,7.222574151605688,4.228156429023928,0.46667637397896156,1.0892715258773102,6.777425848394312,4.228156429023928,0.5071699334402223,1.0744122135784062,6.652462589151189,4.124239414003382,0.4928300665597778,1.074412213578406,7.347537410848812,4.124239414003382,0.759,0.784,0.241,0.216
14,0.5456058297449563,1.0459922003432003,7.768179981350644,4.352954143523183,0.45439417025504364,1.0459922003432003,7.231820018649356,4.352954143523183,0.6254928289501984,1.058729849913057,7.277955418101387,4.3043019558398745,0.3745071710498016,1.058729849913057,7.722044581898613,4.304301955839875,0.755,0.789,0.245,0.211
15,0.5273403765051513,1.0396928858523995,8.295520357855796,4.519076570038519,0.4726596234948487,1.0396928858523995,7.7044796421442046,4.519076570038519,0.5781062089266259,1.0288291855509435,7.856061627028013,4.444758229310461,0.42189379107337416,1.0288291855509435,8.143938372971988,4.444758229310461,0.793,0.791,0.207,0.209
16,0.5400157607552707,1.055821339872981,8.835536118611065,4.721426786738597,0.45998423924472936,1.055821339872981,8.164463881388935,4.721426786738597,0.5626295613083407,1.0661723723973322,8.418691188336354,4.629942228245867,0.43737043869165926,1.0661723723973322,8.581308811663646,4.629942228245867,0.794,0.798,0.206,0.202
17,0.5227192203128201,1.0295760227389201,9.358255338923886,4.890672119624968,0.4772807796871798,1.0295760227389201,8.641744661076114,4.890672119624968,0.5791935274894735,1.00002926162439,8.997884715825828,4.8232552100426895,0.42080647251052655,1.00002926162439,9.002115284174172,4.8232552100426895,0.795,0.803,0.205,0.197
18,0.4960927963417135,1.0652223837426469,9.8543481352656,5.071544270738541,0.5039072036582865,1.0652223837426467,9.1456518647344,5.071544270738541,0.4729524041716969,1.0662927111246578,9.470837119997524,4.972234277767791,0.5270475958283031,1.0662927111246576,9.529162880002476,4.972234277767791,0.779,0.796,0.221,0.204
19,0.5229883724283737,1.0609095291566606,10.377336507693974,5.216808135939686,0.47701162757162624,1.0609095291566606,9.622663492306026,5.216808135939686,0.5815050568518306,1.0293881711186872,10.052342176849354,5.132493794314313,0.4184949431481694,1.0293881711186872,9.947657823150646,5.132493794314313,0.799,0.802,0.201,0.198
20,0.5303475024563076,1.0386584024772847,10.907684010150282,5.380399315288871,0.4696524975436924,1.0386584024772847,10.092315989849718,5.380399315288872,0.5251545477673838,1.0303007165120452,10.577496724616738,5.321278949160221,0.47484545223261626,1.0303007165120452,10.422503275383262,5.321278949160221,0.802,0.8,0.198,0.2
21,0.5678652295020576,1.0306984280887492,11.475549239652338,5.534088145008486,0.4321347704979423,1.0306984280887492,10.524450760347662,5.534088145008486,0.49916784393576724,1.0397852490768171,11.076664568552504,5.464094238632086,0.5008321560642328,1.0397852490768171,10.923335431447496,5.464094238632086,0.789,0.811,0.211,0.189
22,0.5404718120992318,1.0418732786915001,12.01602105175157,5.705520091446881,0.4595281879007681,1.0418732786915001,10.98397894824843,5.705520091446881,0.6229817016716511,1.0643230054797002,11.699646270224155,5.565995228248815,0.37701829832834893,1.0643230054797002,11.300353729775843,5.565995228248815,0.828,0.837,0.172,0.163
23,0.5462209722305148,1.0518115334272546,12.562242023982085,5.858529316100064,0.4537790277694852,1.0518115334272546,11.437757976017915,5.858529316100064,0.5794955021543717,1.029128100249686,12.279141772378527,5.728384983025989,0.42050449784562843,1.029128100249686,11.720858227621473,5.728384983025989,0.819,0.833,0.181,0.167
24,0.5825714699375756,1.0340702379547895,13.14481349391966,5.953494741441091,0.4174285300624245,1.0340702379547895,11.85518650608034,5.953494741441091,0.5593862160366719,1.019271148466319,12.838527988415201,5.872476729631043,0.440613783963328,1.019271148466319,12.161472011584799,5.872476729631043,0.84,0.841,0.16,0.159
25,0.5678784520371851,1.0327803725928308,13.712691945956845,6.130179551042446,0.432121547962815,1.0327803725928308,12.287308054043155,6.130179551042446,0.5221304403328203,1.0187638478196501,13.36065842874802,5.995947090035761,0.47786955966717964,1.0187638478196501,12.63934157125198,5.995947090035761,0.846,0.842,0.154,0.158
