step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.6015624536085802,0.09925873773030926,0.6015624536085802,0.09925873773030926,0.3984375463914198,0.09925873773030926,0.3984375463914198,0.09925873773030926,0.6000096382697498,0.09398128580127971,0.6000096382697498,0.09398128580127971,0.39999036173025,0.09398128580127971,0.39999036173025,0.09398128580127971,1.0,1.0,0.0,0.0
1,0.9990813949909241,0.10053567557656534,1.6006438485995043,0.14550138263451984,0.0009186050090758058,0.10053567557656536,0.39935615140049563,0.14550138263451984,-0.0023933697364851886,0.09898900319859569,0.5976162685332648,0.13766541714770697,1.002393369736485,0.09898900319859567,1.4023837314667353,0.13766541714770697,1.0,0.0,0.0,1.0
2,0.0021239182299233627,0.09864920764590428,1.6027677668294278,0.17222557595146148,0.9978760817700766,0.09864920764590428,1.3972322331705722,0.17222557595146148,1.0007819133656244,0.09682864963312522,1.598398181898889,0.16663813031871286,-0.0007819133656244112,0.09682864963312522,1.401601818101111,0.16663813031871286,0.0,1.0,1.0,0.0
3,0.20186938470175084,0.10019490934222178,1.8046371515311785,0.1968195471040985,0.7981306152982491,0.10019490934222179,2.1953628484688217,0.1968195471040985,0.19804731306762766,0.09662654633277994,1.7964454949665167,0.193858133663798,0.8019526869323723,0.09662654633277992,2.203554505033483,0.193858133663798,0.0,0.0,1.0,1.0
4,0.6017524487414072,0.10049800437383494,2.406389600272586,0.2205186666758744,0.3982475512585928,0.10049800437383494,2.593610399727414,0.2205186666758744,0.5968529092408449,0.09788707910939846,2.393298404207361,0.2138972918515936,0.40314709075915517,0.09788707910939846,2.606701595792639,0.21389729185159362,1.0,1.0,0.0,0.0
5,0.5997730589637815,0.10163727932307545,3.0061626592363675,0.24170229409413674,0.4002269410362184,0.10163727932307545,2.9938373407636325,0.24170229409413674,0.6006057139468785,0.10346795902366324,2.9939041181542407,0.23895632325496788,0.3993942860531215,0.10346795902366324,3.0060958818457597,0.23895632325496788,1.0,1.0,0.0,0.0
6,0.6035711830222371,0.11033136603315793,3.6097338422586045,0.26735574325336137,0.39642881697776283,0.11033136603315793,3.3902661577413955,0.2673557432533614,0.5958680191515607,0.1275446961886084,3.5897721373058014,0.27222083135051156,0.4041319808484392,0.1275446961886084,3.4102278626941986,0.27222083135051156,1.0,0.986,0.0,0.014
7,0.6874259222628816,0.2112428379284375,4.297159764521486,0.3333868773417417,0.3125740777371185,0.2112428379284375,3.702840235478514,0.3333868773417417,0.46299930943852585,0.276344542555033,4.052771446744327,0.38035189678622794,0.5370006905614741,0.276344542555033,3.9472285532556732,0.38035189678622794,0.988,0.765,0.012,0.235
8,0.6768930259210536,0.40339389322408375,4.97405279044254,0.3847643497172392,0.32310697407894645,0.40339389322408375,4.025947209557461,0.3847643497172392,0.37201891451525343,0.4239974787444323,4.42479036125958,0.39175893470665135,0.6279810854847467,0.4239974787444323,4.57520963874042,0.39175893470665135,0.785,0.477,0.215,0.523
9,0.37072969255891286,0.41789722417030417,5.3447824830014525,0.3938769828719054,0.6292703074410873,0.41789722417030417,4.6552175169985475,0.3938769828719054,0.6831204942727392,0.3909573551496493,5.107910855532319,0.3573543494713704,0.3168795057272607,0.3909573551496493,4.892089144467681,0.3573543494713704,0.484,0.805,0.516,0.195
