step,mean_reward_agent_0,std_reward_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.41788524465832994,0.4823883923907165,0.392,0.2454709758810601,0.4618466193492902,0.49575009438194545,0.392,0.2454709758810601,0.472,0.52,0.528,0.48
1,0.4756564866164341,0.5179481255962332,0.7808,0.39953893427299425,0.4278757429248157,0.489114913040944,0.7808,0.39953893427299425,0.528,0.48,0.472,0.52
2,0.6863857704420516,0.3970620025760123,0.9792,0.4376840869851221,0.4811516267024369,0.4223622641599573,0.9792,0.4376840869851221,0.916,0.716,0.084,0.284
3,0.6419339363128832,0.42583212056869046,1.21,0.46765371804359684,0.4854231016299374,0.4631901415936452,1.21,0.46765371804359684,0.868,0.694,0.132,0.306
4,0.6134440601710512,0.4347056564224607,1.4284000000000001,0.5054042342521479,0.462002202414532,0.44446684077304927,1.4284000000000001,0.5054042342521479,0.846,0.726,0.154,0.274
5,0.6064869374590138,0.410698818292162,1.5972,0.5380633419960889,0.5106451518903505,0.4155882305386778,1.5972,0.5380633419960889,0.872,0.788,0.128,0.212
6,0.6019984230458769,0.4336557832341302,1.806,0.5887308383293676,0.4975196642040364,0.4390959521029934,1.806,0.5887308383293676,0.86,0.744,0.14,0.256
7,0.6141499992545286,0.41073187270726963,1.9975999999999998,0.6230202564925157,0.5102691959569553,0.4409309325940026,1.9975999999999998,0.6230202564925157,0.856,0.79,0.144,0.21
8,0.6085880558070661,0.41719439603705705,2.1976,0.6584787316231254,0.48780558333219537,0.4254221251995156,2.1976,0.6584787316231254,0.878,0.746,0.122,0.254
9,0.5872232742214348,0.39585725740714744,2.3468,0.6730005646357216,0.5544350938385331,0.400413163383749,2.3468,0.6730005646357216,0.88,0.85,0.12,0.15
10,0.6098517321961276,0.41472768481742384,2.5196000000000005,0.7118538052156497,0.5222935946063321,0.40772809869498183,2.5196000000000005,0.7118538052156497,0.864,0.808,0.136,0.192
11,0.6161326004548036,0.39434548928261304,2.6656000000000004,0.7298332960341012,0.4899526751121058,0.40521784434044733,2.6656000000000004,0.7298332960341012,0.916,0.822,0.084,0.178
12,0.5721816713841843,0.378674987518657,2.8128,0.7491836623952768,0.5429637442996875,0.378950109222547,2.8128,0.7491836623952768,0.874,0.846,0.126,0.154
13,0.6218630712751055,0.3782989559258993,2.9608000000000003,0.7692485684094575,0.4956373848272324,0.39256156757230903,2.9608000000000003,0.7692485684094575,0.902,0.814,0.098,0.186
14,0.5999488607556288,0.4143260182073797,3.1016,0.7981462522620776,0.5709029735934007,0.3992956376025436,3.1016,0.7981462522620776,0.876,0.868,0.124,0.132
15,0.5796053178753034,0.3822406039546727,3.2144,0.8045574187091931,0.581623548237317,0.39032189425674507,3.2144,0.8045574187091931,0.91,0.886,0.09,0.114
16,0.6188720128251375,0.3981404296085335,3.3392,0.8248050436315238,0.5622052197290106,0.40559090582614,3.3392,0.8248050436315238,0.91,0.858,0.09,0.142
17,0.6156355921057692,0.3529586154944119,3.4556000000000004,0.8343791943714799,0.5585733079826042,0.36149525728605303,3.4556000000000004,0.8343791943714799,0.932,0.866,0.068,0.134
18,0.617199050557742,0.3771446594103958,3.5784000000000002,0.8727963336311626,0.5700194487432194,0.3948826153623112,3.5784000000000002,0.8727963336311626,0.906,0.868,0.094,0.132
