step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.5996141940217146,0.09710646835167207,0.5996141940217146,0.09710646835167207,0.4003858059782855,0.09710646835167207,0.4003858059782855,0.09710646835167207,0.5978248850737604,0.09716939856190059,0.5978248850737604,0.09716939856190059,0.40217511492623953,0.0971693985619006,0.40217511492623953,0.0971693985619006,1.0,1.0,0.0,0.0
1,1.0012712120534089,0.10244983293876486,1.6008854060751232,0.1405917707648294,-0.0012712120534088055,0.10244983293876486,0.3991145939248767,0.14059177076482937,-0.0027143811039849284,0.09883110993932853,0.5951105039697755,0.13878292546791893,1.0027143811039851,0.09883110993932853,1.4048894960302245,0.13878292546791893,1.0,0.0,0.0,1.0
2,0.0004045230831522382,0.10175090518641357,1.6012899291582756,0.16921099880817056,0.9995954769168478,0.10175090518641357,1.3987100708417244,0.16921099880817056,1.0004576032714065,0.10056123733710985,1.595568107241182,0.16773266728896177,-0.00045760327140659696,0.10056123733710985,1.404431892758818,0.1677326672889618,0.0,1.0,1.0,0.0
3,0.19945339603810663,0.09753390674916494,1.800743325196382,0.20001631143390255,0.8005466039618935,0.09753390674916496,2.199256674803618,0.20001631143390255,0.19719966143504045,0.09928804330428902,1.7927677686762227,0.19337941339946305,0.8028003385649597,0.09928804330428902,2.2072322313237773,0.19337941339946307,0.0,0.0,1.0,1.0
4,0.6016504294934186,0.09945462315061734,2.4023937546898004,0.22641828178209858,0.3983495705065814,0.09945462315061734,2.5976062453101996,0.22641828178209858,0.6010601567014537,0.0981592359733461,2.393827925377676,0.21694863183197843,0.39893984329854626,0.0981592359733461,2.606172074622324,0.21694863183197843,1.0,1.0,0.0,0.0
5,0.6029449173487964,0.09790630468665255,3.0053386720385973,0.24830860332753907,0.3970550826512036,0.09790630468665255,2.9946613279614027,0.24830860332753907,0.5992433072083178,0.10066947515973003,2.993071232585994,0.2379256574385825,0.4007566927916822,0.10066947515973003,3.006928767414006,0.2379256574385825,1.0,1.0,0.0,0.0
6,0.5983180858795054,0.12648511641881194,3.603656757918103,0.27164883749279894,0.40168191412049464,0.12648511641881194,3.396343242081897,0.27164883749279894,0.5938369191811641,0.12109685587550903,3.586908151767158,0.2716556532377593,0.40616308081883584,0.12109685587550904,3.4130918482328414,0.2716556532377593,0.989,0.988,0.011,0.012
7,0.5250862202402621,0.34031952036808266,4.128742978158365,0.4307294982570676,0.4749137797597379,0.34031952036808266,3.8712570218416356,0.4307294982570676,0.5368131332695926,0.33899700011141226,4.12372128503675,0.42824129190419535,0.4631868667304074,0.33899700011141226,3.876278714963249,0.42824129190419535,0.725,0.738,0.275,0.262
8,0.4810662344900734,0.34280788298543136,4.609809212648438,0.4922471302894842,0.5189337655099266,0.34280788298543136,4.390190787351562,0.49224713028948425,0.4726415585654191,0.34092737304662235,4.59636284360217,0.4884232163120525,0.5273584414345809,0.34092737304662235,4.40363715639783,0.4884232163120525,0.611,0.605,0.389,0.395
9,0.5500392184208628,0.32884491232533714,5.1598484310693005,0.4034977847608673,0.4499607815791372,0.32884491232533714,4.8401515689306995,0.4034977847608673,0.5455507957670502,0.3234592106001463,5.1419136393692195,0.3963729504742197,0.45444920423294993,0.3234592106001463,4.8580863606307805,0.3963729504742197,0.781,0.775,0.219,0.225
10,0.5750001010910731,0.26639695000438185,5.734848532160374,0.3690882333050074,0.4249998989089269,0.26639695000438185,5.265151467839626,0.3690882333050074,0.5742010106649261,0.26912005607683415,5.716114650034147,0.38431972569088446,0.4257989893350739,0.26912005607683415,5.283885349965854,0.38431972569088446,0.88,0.88,0.12,0.12
11,0.5699812596209578,0.24363421679314148,6.304829791781332,0.4369894588998777,0.43001874037904225,0.24363421679314148,5.695170208218668,0.4369894588998778,0.5617796049288698,0.2457509140840515,6.277894254963017,0.4515303495952396,0.43822039507113014,0.2457509140840515,5.722105745036984,0.45153034959523963,0.87,0.863,0.13,0.137
12,0.5518206036138447,0.29981453937232755,6.856650395395177,0.5011661656252001,0.44817939638615517,0.2998145393723276,6.143349604604824,0.5011661656252001,0.5473565932918318,0.2977611453824475,6.825250848254847,0.5061963473863952,0.45264340670816816,0.2977611453824475,6.174749151745153,0.5061963473863952,0.805,0.8,0.195,0.2
13,0.5401042914709901,0.31859245871237907,7.396754686866166,0.5356096924895335,0.45989570852901,0.31859245871237907,6.603245313133834,0.5356096924895335,0.5610320499969885,0.3129902298480978,7.386282898251836,0.542167422187003,0.4389679500030115,0.3129902298480978,6.613717101748163,0.542167422187003,0.776,0.795,0.224,0.205
14,0.5660214129590276,0.29014962453860577,7.962776099825194,0.5503385194110106,0.43397858704097236,0.29014962453860577,7.037223900174806,0.5503385194110106,0.5485167039140433,0.2948854722032919,7.93479960216588,0.5463530469485518,0.45148329608595666,0.2948854722032919,7.06520039783412,0.5463530469485518,0.828,0.814,0.172,0.186
15,0.552246346062984,0.28122485173551187,8.515022445888178,0.5399967704966617,0.447753653937016,0.28122485173551187,7.484977554111823,0.5399967704966617,0.5597953514379264,0.2785854981717293,8.494594953603807,0.5280637449927263,0.44020464856207364,0.27858549817172923,7.505405046396194,0.5280637449927263,0.838,0.842,0.162,0.158
16,0.5581228157922823,0.2871418317241741,9.07314526168046,0.523208415969824,0.4418771842077176,0.28714183172417407,7.92685473831954,0.5232084159698241,0.5636600544261878,0.2860949269741272,9.058255008029995,0.518357754569293,0.43633994557381206,0.2860949269741272,7.941744991970006,0.5183577545692929,0.839,0.849,0.161,0.151
17,0.5761462027264865,0.2719650507566413,9.649291464406947,0.5393640708058967,0.4238537972735134,0.2719650507566413,8.350708535593053,0.5393640708058967,0.5658549035631736,0.2755471119438724,9.624109911593168,0.5320099002999464,0.4341450964368264,0.2755471119438724,8.375890088406832,0.5320099002999464,0.862,0.847,0.138,0.153
18,0.5695111086584914,0.2636939265827577,10.218802573065437,0.569760892864217,0.43048889134150864,0.2636939265827577,8.781197426934563,0.5697608928642172,0.5729098269868111,0.2583619262753179,10.197019738579979,0.5741778231363596,0.4270901730131888,0.2583619262753179,8.802980261420021,0.5741778231363597,0.866,0.872,0.134,0.128
19,0.5662689627445452,0.27885750346193117,10.785071535809983,0.5978294522345453,0.4337310372554548,0.27885750346193117,9.214928464190018,0.5978294522345453,0.5545699662866264,0.28002927709663056,10.751589704866605,0.6090123630206948,0.44543003371337375,0.28002927709663056,9.248410295133393,0.6090123630206948,0.847,0.837,0.153,0.163
20,0.5651508853032859,0.2840218508974011,11.35022242111327,0.6146654925856007,0.43484911469671406,0.2840218508974011,9.64977757888673,0.6146654925856008,0.5540212768206193,0.28840803909491575,11.305610981687224,0.6262212958918506,0.4459787231793807,0.28840803909491575,9.694389018312775,0.6262212958918506,0.838,0.836,0.162,0.164
21,0.5686317883606469,0.28441832080617613,11.918854209473917,0.6439176059627536,0.43136821163935324,0.28441832080617613,10.081145790526083,0.6439176059627536,0.5593066794709218,0.2791715230345153,11.864917661158145,0.6348844475986545,0.44069332052907817,0.2791715230345153,10.135082338841855,0.6348844475986544,0.851,0.848,0.149,0.152
22,0.5680651870703071,0.25350793754841405,12.486919396544224,0.6486097339896852,0.431934812929693,0.253507937548414,10.513080603455776,0.6486097339896854,0.5785924365568255,0.24407213222348384,12.44351009771497,0.6359523245125411,0.4214075634431745,0.24407213222348384,10.55648990228503,0.635952324512541,0.875,0.883,0.125,0.117
