step,mean_reward_agent_0,std_reward_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.48670194825039526,1.081070106762931,0.40159999999999996,0.24314078226410313,0.42191424279209844,1.1112103339146937,0.40159999999999996,0.24314078226410313,0.488,0.5,0.512,0.5
1,0.424642625869199,1.0968337044173653,0.7984,0.39999679998719995,0.4971922836643978,1.0738171961097047,0.7984,0.39999679998719995,0.512,0.5,0.488,0.5
2,0.4573473172945226,1.0423196329244555,1.09,0.4578864488058147,0.46528962201089313,1.0833296404746224,1.09,0.4578864488058147,0.679,0.687,0.321,0.313
3,0.5272945747480219,1.0477229771478276,1.3894,0.5314956631996163,0.5539266655298247,1.0588682631667166,1.3894,0.5314956631996163,0.686,0.687,0.314,0.313
4,0.5160476992118663,1.0856037911962637,1.667,0.6207986791223061,0.5093381074162624,1.0781558920112382,1.667,0.6207986791223061,0.71,0.714,0.29,0.286
5,0.5347251118120029,1.0654492472530377,1.96,0.7267461730205396,0.5719478222294954,1.078336760156938,1.96,0.7267461730205396,0.708,0.701,0.292,0.299
6,0.5539236207214612,1.0562920940307774,2.2432,0.8370267379241837,0.5348220275763831,1.0556602302585727,2.2432,0.8370267379241837,0.723,0.709,0.277,0.291
7,0.5790647503441883,1.032686585113195,2.4924,0.952566134187018,0.5825866613543764,1.0722756598904872,2.4924,0.952566134187018,0.76,0.766,0.24,0.234
8,0.5453020537435366,1.0399351362246376,2.7414,1.0719543087277554,0.5558144287849126,1.0818198191808355,2.7414,1.0719543087277554,0.758,0.763,0.242,0.237
9,0.5121162935806095,1.0180704262190736,2.9856,1.1804205352331008,0.4973670597225462,1.0839077015799634,2.9856,1.1804205352331008,0.769,0.752,0.231,0.248
10,0.5329900654626067,1.0337632789408255,3.2115999999999993,1.2884818353395595,0.5384547063329848,1.0460326523687502,3.2115999999999993,1.2884818353395595,0.786,0.776,0.214,0.224
