step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.514,0.4998039615689336,2.514,0.4998039615689335,0.486,0.4998039615689336,2.486,0.4998039615689335,0.514,0.4998039615689336,2.514,0.4998039615689335,0.486,0.4998039615689336,2.486,0.4998039615689335,0.504,0.512,0.496,0.488
5,0.485,0.4997749493522059,2.999,0.7286967819333361,0.515,0.4997749493522059,3.001,0.7286967819333361,0.485,0.4997749493522059,2.999,0.7286967819333361,0.515,0.4997749493522059,3.001,0.7286967819333361,0.501,0.514,0.499,0.486
6,0.482,0.4996758949559204,3.481,0.8738644059578121,0.518,0.4996758949559204,3.519,0.8738644059578121,0.482,0.4996758949559204,3.481,0.8738644059578121,0.518,0.4996758949559204,3.519,0.8738644059578121,0.502,0.494,0.498,0.506
7,0.481,0.49963886958482323,3.962,1.0210563157828267,0.519,0.49963886958482323,4.038,1.0210563157828267,0.481,0.49963886958482323,3.962,1.0210563157828267,0.519,0.49963886958482323,4.038,1.0210563157828267,0.482,0.535,0.518,0.465
8,0.486,0.4998039615689336,4.448,1.171877126664737,0.514,0.4998039615689336,4.552,1.171877126664737,0.486,0.4998039615689336,4.448,1.171877126664737,0.514,0.4998039615689336,4.552,1.171877126664737,0.476,0.508,0.524,0.492
9,0.5,0.5,4.948,1.2725156187646578,0.5,0.5,5.052,1.2725156187646578,0.5,0.5,4.948,1.2725156187646578,0.5,0.5,5.052,1.2725156187646578,0.53,0.51,0.47,0.49
10,0.47,0.4990991885387111,5.418,1.3737816420377729,0.53,0.4990991885387111,5.582,1.3737816420377729,0.47,0.4990991885387111,5.418,1.3737816420377729,0.53,0.4990991885387111,5.582,1.3737816420377729,0.495,0.499,0.505,0.501
11,0.5,0.5,5.918,1.4728462241524063,0.5,0.5,6.082,1.4728462241524063,0.5,0.5,5.918,1.4728462241524063,0.5,0.5,6.082,1.4728462241524063,0.487,0.487,0.513,0.513
12,0.503,0.4999909999189985,6.421,1.5626128759228883,0.497,0.4999909999189985,6.579,1.5626128759228883,0.503,0.4999909999189985,6.421,1.5626128759228883,0.497,0.4999909999189985,6.579,1.5626128759228883,0.502,0.491,0.498,0.509
13,0.511,0.4998789853554558,6.932,1.638101339966487,0.489,0.4998789853554558,7.068,1.638101339966487,0.511,0.4998789853554558,6.932,1.638101339966487,0.489,0.4998789853554558,7.068,1.638101339966487,0.49,0.501,0.51,0.499
