step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.491,0.4999189934379369,2.491,0.499918993437937,0.509,0.4999189934379369,2.509,0.499918993437937,0.491,0.4999189934379369,2.491,0.499918993437937,0.509,0.4999189934379369,2.509,0.499918993437937,0.52,0.483,0.48,0.517
5,0.457,0.4981475684975286,2.948,0.7424930976110148,0.543,0.4981475684975286,3.052,0.7424930976110148,0.457,0.4981475684975286,2.948,0.7424930976110148,0.543,0.4981475684975286,3.052,0.7424930976110148,0.485,0.52,0.515,0.48
6,0.481,0.49963886958482323,3.429,0.9343227493751824,0.519,0.49963886958482323,3.571,0.9343227493751824,0.481,0.49963886958482323,3.429,0.9343227493751824,0.519,0.49963886958482323,3.571,0.9343227493751824,0.524,0.499,0.476,0.501
7,0.504,0.4999839997439918,3.933,1.0670103092285472,0.496,0.4999839997439918,4.067,1.0670103092285472,0.504,0.4999839997439918,3.933,1.0670103092285472,0.496,0.4999839997439918,4.067,1.0670103092285472,0.498,0.532,0.502,0.468
8,0.455,0.49797088268291345,4.388,1.2237058470073598,0.545,0.49797088268291345,4.612,1.2237058470073598,0.455,0.49797088268291345,4.388,1.2237058470073598,0.545,0.49797088268291345,4.612,1.2237058470073598,0.512,0.527,0.488,0.473
9,0.505,0.4999749993749687,4.893,1.3673152526027053,0.495,0.4999749993749687,5.107,1.3673152526027053,0.505,0.4999749993749687,4.893,1.3673152526027053,0.495,0.4999749993749687,5.107,1.3673152526027053,0.476,0.507,0.524,0.493
10,0.547,0.49778609864077167,5.44,1.4725488107359974,0.453,0.49778609864077156,5.56,1.4725488107359974,0.547,0.49778609864077167,5.44,1.4725488107359974,0.453,0.49778609864077156,5.56,1.4725488107359974,0.508,0.481,0.492,0.519
11,0.55,0.49749371855331004,5.99,1.5626579920123276,0.45,0.4974937185533101,6.01,1.5626579920123276,0.55,0.49749371855331004,5.99,1.5626579920123276,0.45,0.4974937185533101,6.01,1.5626579920123276,0.499,0.501,0.501,0.499
12,0.526,0.49932354240512244,6.516,1.6744384133195223,0.474,0.49932354240512244,6.484,1.6744384133195223,0.526,0.49932354240512244,6.516,1.6744384133195223,0.474,0.49932354240512244,6.484,1.6744384133195223,0.517,0.499,0.483,0.501
13,0.537,0.49862912068991716,7.053,1.7664062386665191,0.463,0.49862912068991716,6.947,1.7664062386665191,0.537,0.49862912068991716,7.053,1.7664062386665191,0.463,0.49862912068991716,6.947,1.7664062386665191,0.506,0.511,0.494,0.489
