step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.994784260940947,0.10360875832969746,0.994784260940947,0.10360875832969746,0.00521573905905308,0.10360875832969746,0.00521573905905308,0.10360875832969746,1.004153212263922,0.10237307870647781,1.004153212263922,0.10237307870647781,-0.004153212263922003,0.10237307870647781,-0.004153212263922003,0.10237307870647781,1.0,1.0,0.0,0.0
1,0.002314395948537481,0.09832909543093936,0.9970986568894845,0.14512246932665437,0.9976856040514624,0.09832909543093936,1.0029013431105156,0.14512246932665437,-0.001612829437055542,0.0983644011847674,1.0025403828268666,0.14447589402764943,1.0016128294370557,0.0983644011847674,0.9974596171731336,0.14447589402764943,1.0,0.0,0.0,1.0
2,-0.0023324914154217217,0.09832081809641688,0.9947661654740627,0.17882137593202815,1.0023324914154217,0.09832081809641688,2.0052338345259373,0.17882137593202815,-0.0027439277354008246,0.09500447656803154,0.9997964550914656,0.17191546589690437,1.0027439277354009,0.09500447656803154,2.0002035449085342,0.17191546589690437,0.0,1.0,1.0,0.0
3,1.002650670550327,0.09813821253223114,1.9974168360243898,0.2036272318653947,-0.0026506705503271735,0.09813821253223114,2.0025831639756104,0.20362723186539464,0.9984526129992537,0.10102311386459745,1.9982490680907192,0.19938850945562409,0.001547387000746378,0.10102311386459745,2.0017509319092808,0.19938850945562409,0.0,0.0,1.0,1.0
4,0.49618612803243,0.5098657693591275,2.49360296405682,0.5505007564802971,0.5038138719675699,0.5098657693591275,2.50639703594318,0.5505007564802971,0.4955894601908451,0.5107781056509059,2.4938385282815645,0.5511202466156337,0.5044105398091548,0.5107781056509059,2.5061614717184355,0.5511202466156337,0.528,0.525,0.472,0.475
5,0.4460550581046497,0.5115908044675043,2.93965802216147,0.8138159972151876,0.5539449418953504,0.5115908044675043,3.06034197783853,0.8138159972151876,0.44323256459450694,0.5030198792348389,2.9370710928760713,0.8061100782573339,0.5567674354054932,0.5030198792348389,3.062928907123929,0.806110078257334,0.482,0.488,0.518,0.512
6,0.4608035857037455,0.5043300089084006,3.400461607865215,0.9552349105139798,0.5391964142962545,0.5043300089084006,3.599538392134785,0.9552349105139798,0.4631712170079107,0.5109662818352428,3.4002423098839816,0.940827217140979,0.5368287829920892,0.5109662818352428,3.5997576901160184,0.940827217140979,0.497,0.5,0.503,0.5
7,0.4683624484972046,0.5124105670761107,3.8688240563624197,1.1001808116182228,0.5316375515027953,0.5124105670761107,4.13117594363758,1.1001808116182228,0.46581832986106264,0.510513319223817,3.8660606397450445,1.0858736591146787,0.5341816701389374,0.510513319223817,4.1339393602549555,1.0858736591146785,0.506,0.504,0.494,0.496
8,0.5150483434712587,0.5089180946500197,4.383872399833678,1.2028374874945622,0.48495165652874134,0.5089180946500197,4.616127600166322,1.202837487494562,0.519778447728627,0.5054337610111135,4.385839087473672,1.1839400593870628,0.480221552271373,0.5054337610111135,4.614160912526328,1.1839400593870626,0.5,0.506,0.5,0.494
9,0.5256639963121097,0.507084364682086,4.909536396145788,1.3147172101423104,0.4743360036878904,0.507084364682086,5.090463603854212,1.3147172101423104,0.521342294649697,0.5115702077867963,4.907181382123368,1.2929403672060602,0.47865770535030316,0.5115702077867963,5.092818617876632,1.2929403672060602,0.495,0.506,0.505,0.494
