step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.486,0.4998039615689336,2.486,0.4998039615689335,0.514,0.4998039615689336,2.514,0.4998039615689335,0.486,0.4998039615689336,2.486,0.4998039615689335,0.514,0.4998039615689336,2.514,0.4998039615689335,0.48,0.542,0.52,0.458
5,0.432,0.4953544185732071,2.918,0.7150356634462368,0.568,0.49535441857320706,3.082,0.7150356634462368,0.432,0.4953544185732071,2.918,0.7150356634462368,0.568,0.49535441857320706,3.082,0.7150356634462368,0.508,0.458,0.492,0.542
6,0.474,0.49932354240512244,3.392,0.8627490944648971,0.526,0.49932354240512244,3.608,0.8627490944648971,0.474,0.49932354240512244,3.392,0.8627490944648971,0.526,0.49932354240512244,3.608,0.8627490944648971,0.49,0.496,0.51,0.504
7,0.477,0.4994707198625361,3.869,0.9611654384131798,0.523,0.4994707198625361,4.131,0.9611654384131797,0.477,0.4994707198625361,3.869,0.9611654384131798,0.523,0.4994707198625361,4.131,0.9611654384131797,0.488,0.487,0.512,0.513
8,0.465,0.4987734956871706,4.334,1.0892401020895255,0.535,0.49877349568717055,4.666,1.0892401020895255,0.465,0.4987734956871706,4.334,1.0892401020895255,0.535,0.49877349568717055,4.666,1.0892401020895255,0.514,0.497,0.486,0.503
9,0.499,0.499998999999,4.833,1.175206790313943,0.501,0.499998999999,5.167,1.175206790313943,0.499,0.499998999999,4.833,1.175206790313943,0.501,0.499998999999,5.167,1.175206790313943,0.529,0.514,0.471,0.486
10,0.497,0.4999909999189985,5.33,1.2629726837901127,0.503,0.4999909999189985,5.67,1.2629726837901127,0.497,0.4999909999189985,5.33,1.2629726837901127,0.503,0.4999909999189985,5.67,1.2629726837901127,0.499,0.512,0.501,0.488
11,0.518,0.4996758949559204,5.848,1.3910053917940075,0.482,0.4996758949559204,6.152,1.3910053917940075,0.518,0.4996758949559204,5.848,1.3910053917940075,0.482,0.4996758949559204,6.152,1.3910053917940075,0.497,0.507,0.503,0.493
12,0.533,0.4989098114890105,6.381,1.4750725405891063,0.467,0.4989098114890104,6.619,1.4750725405891063,0.533,0.4989098114890105,6.381,1.4750725405891063,0.467,0.4989098114890104,6.619,1.4750725405891063,0.506,0.495,0.494,0.505
13,0.553,0.4971830648765101,6.934,1.5898565973068135,0.447,0.4971830648765101,7.066,1.5898565973068135,0.553,0.4971830648765101,6.934,1.5898565973068135,0.447,0.4971830648765101,7.066,1.5898565973068135,0.493,0.492,0.507,0.508
