step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.517,0.49971091643069,2.517,0.49971091643068993,0.483,0.49971091643069,2.483,0.49971091643068993,0.517,0.49971091643069,2.517,0.49971091643068993,0.483,0.49971091643069,2.483,0.49971091643068993,0.499,0.52,0.501,0.48
5,0.479,0.4995588053472784,2.996,0.7562962382558834,0.521,0.4995588053472784,3.004,0.7562962382558834,0.479,0.4995588053472784,2.996,0.7562962382558834,0.521,0.4995588053472784,3.004,0.7562962382558834,0.52,0.509,0.48,0.491
6,0.473,0.499270467782744,3.469,0.9289989235731116,0.527,0.499270467782744,3.531,0.9289989235731116,0.473,0.499270467782744,3.469,0.9289989235731116,0.527,0.499270467782744,3.531,0.9289989235731116,0.52,0.497,0.48,0.503
7,0.517,0.49971091643068993,3.986,1.0534723536951505,0.483,0.49971091643068993,4.014,1.0534723536951505,0.517,0.49971091643068993,3.986,1.0534723536951505,0.483,0.49971091643068993,4.014,1.0534723536951505,0.498,0.505,0.502,0.495
8,0.527,0.499270467782744,4.513,1.1873630447340022,0.473,0.499270467782744,4.487,1.1873630447340022,0.527,0.499270467782744,4.513,1.1873630447340022,0.473,0.499270467782744,4.487,1.1873630447340022,0.521,0.524,0.479,0.476
9,0.529,0.4991582915268462,5.042,1.3274923728594452,0.471,0.4991582915268462,4.958,1.3274923728594452,0.529,0.4991582915268462,5.042,1.3274923728594452,0.471,0.4991582915268462,4.958,1.3274923728594452,0.52,0.507,0.48,0.493
10,0.528,0.4992153843783262,5.57,1.4363495396316315,0.472,0.4992153843783262,5.43,1.4363495396316315,0.528,0.4992153843783262,5.57,1.4363495396316315,0.472,0.4992153843783262,5.43,1.4363495396316315,0.512,0.538,0.488,0.462
11,0.546,0.49787950349457044,6.116,1.5577368198768364,0.454,0.49787950349457055,5.884,1.5577368198768364,0.546,0.49787950349457044,6.116,1.5577368198768364,0.454,0.49787950349457055,5.884,1.5577368198768364,0.541,0.517,0.459,0.483
12,0.544,0.4980602373207483,6.66,1.6451139778143034,0.456,0.4980602373207483,6.34,1.6451139778143034,0.544,0.4980602373207483,6.66,1.6451139778143034,0.456,0.4980602373207483,6.34,1.6451139778143034,0.523,0.521,0.477,0.479
13,0.528,0.4992153843783262,7.188,1.7339711646968066,0.472,0.4992153843783262,6.812,1.7339711646968066,0.528,0.4992153843783262,7.188,1.7339711646968066,0.472,0.4992153843783262,6.812,1.7339711646968066,0.52,0.516,0.48,0.484
