step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0017829314218674,0.09847581474089558,1.0017829314218674,0.09847581474089558,-0.00178293142186735,0.09847581474089559,-0.00178293142186735,0.09847581474089559,1.002969443093552,0.0988346880604326,1.002969443093552,0.0988346880604326,-0.002969443093552157,0.0988346880604326,-0.002969443093552157,0.0988346880604326,1.0,1.0,0.0,0.0
1,0.004423898558516699,0.09976396627256598,1.0062068299803841,0.13646945263017587,0.9955761014414833,0.09976396627256598,0.993793170019616,0.13646945263017587,-0.0007092188186497071,0.09869999734921954,1.0022602242749024,0.13823855674106753,1.0007092188186497,0.09869999734921954,0.9977397757250976,0.13823855674106753,1.0,0.0,0.0,1.0
2,-0.003548995066445717,0.0968547586254946,1.0026578349139383,0.16600358310919816,1.0035489950664458,0.0968547586254946,1.9973421650860617,0.16600358310919816,0.000843438726467051,0.10225162469692636,1.0031036630013694,0.17557819386589246,0.9991565612735329,0.10225162469692636,1.9968963369986303,0.17557819386589243,0.0,1.0,1.0,0.0
3,0.999425143057543,0.0997773442538719,2.0020829779714813,0.1958857429807914,0.0005748569424569661,0.0997773442538719,1.9979170220285187,0.19588574298079137,0.999115119014148,0.10350346963716642,2.0022187820155173,0.2030758747643151,0.0008848809858521351,0.10350346963716645,1.9977812179844827,0.2030758747643151,0.0,0.0,1.0,1.0
4,0.45458098073497977,0.505246956581677,2.456663958706461,0.5356656489875772,0.5454190192650201,0.505246956581677,2.543336041293539,0.5356656489875772,0.45140868704753667,0.5046481302536647,2.453627469063054,0.5412275107512503,0.5485913129524634,0.5046481302536647,2.546372530936946,0.5412275107512503,0.531,0.539,0.469,0.461
5,0.448670062085699,0.5089382560890735,2.9053340207921603,1.016855103266057,0.551329937914301,0.5089382560890734,3.0946659792078397,1.016855103266057,0.4587462753143917,0.504829010115556,2.9123737443774456,1.0156357763497654,0.5412537246856082,0.504829010115556,3.0876262556225544,1.0156357763497654,0.539,0.531,0.461,0.469
6,0.6116176805059181,0.5054198638508802,3.516951701298079,1.4184820183773814,0.388382319494082,0.5054198638508802,3.483048298701921,1.4184820183773814,0.6146288988362515,0.4984424816127778,3.527002643213697,1.4080197745286624,0.38537110116374856,0.4984424816127778,3.4729973567863026,1.4080197745286624,0.539,0.528,0.461,0.472
7,0.6114934049218075,0.4993587138067094,4.128445106219886,1.8602953001552969,0.38850659507819246,0.4993587138067094,3.871554893780114,1.8602953001552969,0.6089814646506998,0.49656257686751143,4.135984107864397,1.8459892368586377,0.39101853534930037,0.49656257686751143,3.864015892135603,1.8459892368586377,0.528,0.539,0.472,0.461
8,0.7015875329003936,0.4681043736213472,4.8300326391202795,2.221738846644749,0.2984124670996065,0.4681043736213472,4.1699673608797205,2.221738846644749,0.7100372093182343,0.46222697688917336,4.846021317182632,2.2017541938025906,0.2899627906817656,0.46222697688917336,4.153978682817368,2.2017541938025906,0.532,0.527,0.468,0.473
9,0.7080146575100417,0.4586724608853307,5.538047296630321,2.604389818792277,0.29198534248995844,0.45867246088533076,4.461952703369679,2.604389818792277,0.7094862085299819,0.4667730345006289,5.555507525712613,2.592663280124609,0.2905137914700181,0.46677303450062896,4.444492474287387,2.592663280124609,0.527,0.532,0.473,0.468
10,0.7681940101763451,0.4310743088140234,6.306241306806666,2.93209093562802,0.23180598982365477,0.4310743088140234,4.693758693193334,2.9320909356280196,0.7669503344452706,0.43226496748334126,6.322457860157884,2.922121957618016,0.2330496655547294,0.43226496748334126,4.677542139842116,2.922121957618016,0.532,0.524,0.468,0.476
11,0.763848148608476,0.4341397900165118,7.070089455415141,3.2832261320749945,0.23615185139152398,0.4341397900165118,4.929910544584859,3.2832261320749945,0.7707406302908345,0.4383921545121594,7.093198490448718,3.2759392246988868,0.22925936970916555,0.4383921545121594,4.906801509551282,3.2759392246988868,0.524,0.532,0.476,0.468
12,0.8151922486384936,0.3929195091962355,7.885281704053636,3.573194745716806,0.18480775136150634,0.3929195091962355,5.114718295946364,3.573194745716806,0.8148800971793542,0.4042598102124264,7.908078587628072,3.5746072981978365,0.18511990282064597,0.4042598102124265,5.091921412371927,3.5746072981978365,0.527,0.525,0.473,0.475
13,0.8084010912294995,0.4011207152561367,8.693682795283138,3.888157453205974,0.19159890877050048,0.4011207152561367,5.306317204716865,3.888157453205974,0.8159905765877713,0.40229606380307104,8.724069164215843,3.8859686958036637,0.18400942341222873,0.40229606380307104,5.275930835784156,3.8859686958036637,0.525,0.527,0.475,0.473
14,0.8432717350208749,0.37781678485240167,9.53695453030401,4.1638590216117874,0.15672826497912506,0.37781678485240167,5.46304546969599,4.163859021611787,0.8488138140314793,0.37092637879552737,9.572882978247323,4.155189521393303,0.1511861859685207,0.37092637879552737,5.427117021752677,4.155189521393303,0.525,0.528,0.475,0.472
15,0.8455330240484119,0.3702283933988724,10.382487554352421,4.4464947046602665,0.15446697595158804,0.3702283933988724,5.617512445647578,4.4464947046602665,0.8453714115076416,0.37441474919003637,10.418254389754965,4.440915097913407,0.15462858849235828,0.37441474919003637,5.581745610245036,4.440915097913407,0.528,0.525,0.472,0.475
16,0.8632815186664099,0.36370941177378846,11.245769073018831,4.718448150665682,0.1367184813335902,0.36370941177378846,5.754230926981169,4.718448150665682,0.8626831180952093,0.3600166300837054,11.280937507850172,4.70514173313761,0.13731688190479077,0.3600166300837054,5.719062492149826,4.70514173313761,0.52,0.53,0.48,0.47
17,0.857654510910241,0.3617697119354724,12.103423583929073,4.998239016694688,0.14234548908975891,0.3617697119354724,5.8965764160709275,4.998239016694688,0.8577981584899776,0.3570809861813554,12.138735666340152,4.978939181850597,0.1422018415100225,0.3570809861813554,5.8612643336598484,4.978939181850597,0.53,0.52,0.47,0.48
18,0.8807405578804532,0.34543288954836543,12.984164141809527,5.248186874215595,0.11925944211954681,0.34543288954836543,6.015835858190474,5.248186874215595,0.8806756001022091,0.3416592531262675,13.019411266442361,5.230952695199341,0.11932439989779087,0.3416592531262675,5.980588733557639,5.230952695199341,0.518,0.529,0.482,0.471
19,0.8798581047445473,0.33649383424111534,13.864022246554073,5.504382912243547,0.12014189525545267,0.33649383424111534,6.1359777534459266,5.504382912243547,0.8695645405239417,0.342116848801219,13.8889758069663,5.490745470927353,0.1304354594760584,0.34211684880121906,6.111024193033698,5.490745470927353,0.529,0.518,0.471,0.482
20,0.8926277190363039,0.32562409881687493,14.756649965590377,5.744125229233675,0.10737228096369608,0.32562409881687493,6.243350034409623,5.744125229233675,0.8928560483045285,0.33248386235701916,14.78183185527083,5.733647382353692,0.10714395169547143,0.33248386235701916,6.2181681447291695,5.733647382353693,0.518,0.529,0.482,0.471
21,0.8887078246242068,0.32739339757001495,15.645357790214584,5.989967199316918,0.11129217537579314,0.3273933975700149,6.354642209785416,5.989967199316918,0.8907597245770829,0.32670447777574785,15.672591579847914,5.980215151400626,0.10924027542291725,0.32670447777574785,6.3274084201520875,5.980215151400626,0.529,0.518,0.471,0.482
22,0.8996310545607762,0.3131027241696669,16.54498884477536,6.219146490881443,0.10036894543922384,0.3131027241696669,6.455011155224639,6.219146490881443,0.9010259857967043,0.3117150206429574,16.573617565644618,6.206390667398738,0.09897401420329564,0.3117150206429574,6.426382434355382,6.206390667398738,0.519,0.528,0.481,0.472
23,0.898108656574501,0.31388710585021634,17.44309750134986,6.45409897057671,0.10189134342549903,0.31388710585021634,6.556902498650138,6.454098970576709,0.9006554598491384,0.31602954183613374,17.474273025493755,6.439058585026707,0.09934454015086155,0.3160295418361338,6.525726974506243,6.439058585026707,0.528,0.519,0.472,0.481
24,0.9102767385345993,0.31018283013263537,18.353374239884463,6.678494335647552,0.08972326146540076,0.31018283013263537,6.64662576011554,6.678494335647552,0.9115651268509614,0.3082069011984226,18.385838152344718,6.665066590853281,0.08843487314903861,0.30820690119842253,6.614161847655282,6.665066590853281,0.522,0.528,0.478,0.472
25,0.9056911814751161,0.303538410232978,19.259065421359576,6.907586911412485,0.09430881852488386,0.30353841023297806,6.740934578640424,6.907586911412485,0.9055534004375378,0.30546139355387786,19.291391552782255,6.891350674441021,0.09444659956246221,0.3054613935538779,6.7086084472177445,6.891350674441021,0.528,0.522,0.472,0.478
26,0.918290224268079,0.29642852182644747,20.177355645627657,7.119774543232845,0.08170977573192093,0.29642852182644747,6.822644354372343,7.119774543232845,0.9151791963177123,0.2991694430199781,20.206570749099967,7.107763754629562,0.08482080368228784,0.29916944301997817,6.793429250900031,7.107763754629561,0.522,0.528,0.478,0.472
27,0.9116961759404515,0.2957452135331876,21.08905182156811,7.337175601496158,0.08830382405954865,0.29574521353318767,6.910948178431893,7.337175601496157,0.9119892338407258,0.3001928205294697,21.118559982940692,7.32999424901353,0.08801076615927407,0.3001928205294697,6.881440017059306,7.32999424901353,0.528,0.522,0.472,0.478
28,0.9176085540845326,0.2921292087929978,22.00666037565264,7.548334618045317,0.08239144591546747,0.2921292087929978,6.99333962434736,7.548334618045317,0.9203594181781093,0.2897473434630111,22.0389194011188,7.539062738702939,0.07964058182189075,0.2897473434630112,6.961080598881197,7.539062738702939,0.523,0.527,0.477,0.473
29,0.9209705604839429,0.28823211326899484,22.927630936136584,7.763611628369783,0.07902943951605709,0.28823211326899484,7.072369063863417,7.763611628369784,0.9153060067297552,0.29160821092238043,22.954225407848558,7.7513781786220335,0.08469399327024472,0.29160821092238043,7.045774592151441,7.751378178622033,0.527,0.523,0.473,0.477
30,0.9242458130433684,0.2796867822877415,23.85187674917995,7.964542042046788,0.07575418695663169,0.2796867822877415,7.148123250820049,7.964542042046788,0.9180705854595176,0.28228840731202653,23.87229599330808,7.955088308741732,0.08192941454048248,0.28228840731202653,7.127704006691926,7.955088308741732,0.524,0.525,0.476,0.475
31,0.9234801114883147,0.28312887521659763,24.775356860668268,8.173714566310794,0.07651988851168544,0.28312887521659763,7.224643139331734,8.173714566310794,0.9284359151018212,0.2786059400605603,24.800731908409897,8.157589427281096,0.07156408489817877,0.2786059400605603,7.1992680915901035,8.157589427281096,0.525,0.524,0.475,0.476
32,0.9280694426763014,0.27271121298181883,25.703426303344568,8.370617236001896,0.0719305573236986,0.27271121298181883,7.296573696655432,8.370617236001895,0.9266733211911233,0.2809540168626303,25.72740522960102,8.364087066187185,0.07332667880887668,0.2809540168626303,7.27259477039898,8.364087066187185,0.523,0.526,0.477,0.474
33,0.9292963346466235,0.27783848919673637,26.632722637991193,8.57760237509363,0.07070366535337658,0.2778384891967364,7.36727736200881,8.577602375093631,0.9260087023054768,0.2817452844596754,26.653413931906496,8.571506444707147,0.07399129769452312,0.2817452844596754,7.346586068093503,8.571506444707147,0.526,0.523,0.474,0.477
34,0.9293541970252773,0.2678866110559269,27.562076835016466,8.77323419122957,0.07064580297472264,0.2678866110559269,7.437923164983533,8.77323419122957,0.9289633169250092,0.2713941661398683,27.58237724883151,8.770121711763387,0.07103668307499084,0.2713941661398682,7.417622751168493,8.770121711763387,0.523,0.525,0.477,0.475
35,0.9327353033016968,0.27133842985674417,28.494812138318164,8.974657334149086,0.06726469669830314,0.27133842985674417,7.5051878616818355,8.974657334149086,0.9272092243922603,0.2700597357697718,28.509586473223766,8.969596285500145,0.07279077560773979,0.2700597357697718,7.490413526776234,8.969596285500145,0.525,0.523,0.475,0.477
36,0.9301713592472536,0.26883150196415556,29.424983497565417,9.175701540721485,0.06982864075274643,0.26883150196415556,7.575016502434583,9.175701540721485,0.9355051863212102,0.26231495717635306,29.44509165954498,9.164273549204188,0.06449481367878977,0.26231495717635306,7.554908340455023,9.164273549204188,0.524,0.525,0.476,0.475
37,0.9320775047570807,0.26738915086933374,30.357061002322503,9.375539219740437,0.06792249524291916,0.26738915086933374,7.642938997677501,9.375539219740437,0.9343460623841556,0.2730215286338768,30.379437721929136,9.36802225564804,0.06565393761584434,0.2730215286338768,7.620562278070868,9.368022255648041,0.525,0.524,0.475,0.476
38,0.9428650276038272,0.2651819968809175,31.299926029926326,9.572113432952497,0.05713497239617275,0.2651819968809175,7.700073970073674,9.572113432952497,0.9358541521369903,0.26474164667632333,31.315291874066126,9.562143104731609,0.06414584786300971,0.26474164667632333,7.684708125933877,9.562143104731609,0.523,0.525,0.477,0.475
39,0.9335820527876151,0.26360734276781816,32.23350808271394,9.76670608008708,0.06641794721238492,0.26360734276781816,7.766491917286059,9.766706080087078,0.937241214125845,0.26113790230037,32.25253308819197,9.75603309905244,0.06275878587415487,0.26113790230037004,7.747466911808032,9.75603309905244,0.525,0.523,0.475,0.477
40,0.9355478708654053,0.2665801889861558,33.169055953579345,9.96364004040952,0.06445212913459472,0.2665801889861558,7.830944046420653,9.963640040409517,0.9425384087325988,0.26232646379697616,33.19507149692457,9.951192202505549,0.05746159126740129,0.26232646379697616,7.804928503075434,9.951192202505549,0.523,0.525,0.477,0.475
41,0.9389811288500568,0.2605810552789494,34.1080370824294,10.158980813548633,0.0610188711499432,0.2605810552789494,7.891962917570596,10.158980813548634,0.9344737856594709,0.25845739806855567,34.12954528258403,10.144161898574195,0.06552621434052924,0.2584573980685556,7.870454717415964,10.144161898574195,0.525,0.523,0.475,0.477
42,0.9396962379970137,0.261889304497159,35.04773332042642,10.359529347998173,0.0603037620029862,0.261889304497159,7.952266679573582,10.359529347998173,0.9421430438892612,0.2625602576707434,35.07168832647331,10.339962619497134,0.05785695611073878,0.2625602576707434,7.928311673526701,10.339962619497134,0.523,0.525,0.477,0.475
43,0.9377233874373064,0.259133577543915,35.98545670786372,10.56068780622937,0.0622766125626935,0.259133577543915,8.014543292136276,10.56068780622937,0.9388298083484837,0.25944487791116394,36.01051813482177,10.5364903156847,0.0611701916515163,0.25944487791116394,7.989481865178217,10.5364903156847,0.525,0.523,0.475,0.477
44,0.9338951768213087,0.25069839802443955,36.919351884685035,10.748255405869964,0.06610482317869137,0.25069839802443955,8.080648115314968,10.748255405869964,0.9441993530249884,0.25650031726179573,36.95471748784677,10.725885084536618,0.05580064697501164,0.25650031726179573,8.04528251215323,10.725885084536618,0.523,0.525,0.477,0.475
45,0.9435582321840971,0.2530949161633044,37.862910116869124,10.934784483143156,0.056441767815902925,0.2530949161633044,8.137089883130871,10.934784483143156,0.9365879075252587,0.25687665988337416,37.89130539537203,10.919680461289582,0.06341209247474142,0.25687665988337416,8.10869460462797,10.91968046128958,0.525,0.523,0.475,0.477
46,0.9471024117549747,0.2473352364724961,38.81001252862411,11.116160874049015,0.052897588245025315,0.2473352364724961,8.189987471375897,11.116160874049015,0.9412251933837475,0.2505208117116624,38.83253058875578,11.108237193657049,0.05877480661625242,0.25052081171166246,8.167469411244223,11.108237193657049,0.522,0.526,0.478,0.474
47,0.9433875879162663,0.25114154744786465,39.75340011654038,11.305423245572081,0.05661241208373359,0.2511415474478646,8.246599883459629,11.305423245572081,0.9424940872599886,0.2527955648148697,39.77502467601576,11.297579027189105,0.05750591274001136,0.2527955648148697,8.224975323984236,11.297579027189105,0.526,0.522,0.474,0.478
48,0.9473233339965852,0.2451582360872043,40.700723450536955,11.48609101522168,0.05267666600341478,0.2451582360872043,8.299276549463045,11.48609101522168,0.945272095574664,0.25109949014719757,40.720296771590434,11.481110630144633,0.054727904425336066,0.2510994901471976,8.279703228409572,11.481110630144633,0.523,0.526,0.477,0.474
49,0.9461426914624622,0.24544539169919535,41.64686614199942,11.6708549241876,0.0538573085375377,0.24544539169919535,8.35313385800058,11.6708549241876,0.9475084698969717,0.24418817999138165,41.6678052414874,11.663648076536571,0.05249153010302838,0.24418817999138162,8.3321947585126,11.66364807653657,0.526,0.523,0.474,0.477
50,0.9503498614552632,0.2419440205651946,42.59721600345468,11.842171037198922,0.04965013854473682,0.2419440205651946,8.402783996545319,11.84217103719892,0.9450933281955938,0.24586057613614462,42.61289856968299,11.839863793242065,0.0549066718044062,0.2458605761361446,8.387101430317005,11.839863793242067,0.525,0.525,0.475,0.475
51,0.9519147468243785,0.24312628059707067,43.54913075027906,12.022711343244785,0.04808525317562143,0.2431262805970707,8.450869249720942,12.022711343244787,0.9502314619226389,0.24544417291484932,43.56313003160564,12.017546554365131,0.049768538077361237,0.24544417291484932,8.436869968394367,12.017546554365131,0.525,0.525,0.475,0.475
52,0.9492091768283729,0.24463534685271324,44.49833992710743,12.199140504711572,0.050790823171627066,0.24463534685271324,8.501660072892568,12.199140504711572,0.9492567198585921,0.24379033407691275,44.51238675146422,12.192176761844086,0.05074328014140795,0.24379033407691272,8.487613248535775,12.192176761844086,0.525,0.525,0.475,0.475
53,0.9536596578254875,0.24581393588044992,45.45199958493291,12.375322256499691,0.046340342174512585,0.24581393588044992,8.54800041506708,12.375322256499693,0.9500125583318668,0.23525208421873653,45.46239930979609,12.366233757426055,0.04998744166813319,0.23525208421873653,8.537600690203908,12.366233757426055,0.525,0.525,0.475,0.475
54,0.958307450963027,0.2335167656835061,46.41030703589595,12.541722637424234,0.04169254903697298,0.2335167656835061,8.589692964104053,12.541722637424234,0.9501999812936324,0.236482575944773,46.41259929108973,12.535635677153916,0.04980001870636758,0.236482575944773,8.587400708910275,12.535635677153916,0.525,0.525,0.475,0.475
55,0.9526060723079796,0.235449666581192,47.36291310820393,12.708792178960024,0.04739392769202057,0.23544966658119204,8.637086891796072,12.708792178960026,0.9531017559777452,0.23806521608895245,47.365701047067475,12.70697500617233,0.046898244022254856,0.23806521608895245,8.634298952932532,12.70697500617233,0.525,0.525,0.475,0.475
56,0.9534061855570604,0.23037538293479728,48.316319293760984,12.872742310554303,0.04659381444293962,0.23037538293479728,8.683680706239013,12.872742310554303,0.9529720654488686,0.23477930687823914,48.31867311251634,12.874702701712,0.04702793455113153,0.23477930687823914,8.681326887483662,12.874702701712,0.525,0.525,0.475,0.475
57,0.9525312412130184,0.2333392629220889,49.26885053497401,13.040416525181648,0.04746875878698175,0.23333926292208887,8.731149465025995,13.04041652518165,0.9485487698952679,0.23750819413370136,49.267221882411604,13.04364903016288,0.051451230104732015,0.23750819413370133,8.732778117588394,13.043649030162879,0.525,0.525,0.475,0.475
58,0.9588760050829106,0.22559013126979705,50.22772654005691,13.194024609215942,0.04112399491708937,0.22559013126979705,8.772273459943085,13.194024609215942,0.962893760126863,0.2270812435518678,50.23011564253847,13.196082520138532,0.0371062398731371,0.2270812435518678,8.769884357461532,13.196082520138532,0.525,0.525,0.475,0.475
59,0.9585565594003964,0.21915563486534376,51.186283099457306,13.344543344095145,0.04144344059960366,0.21915563486534376,8.813716900542687,13.344543344095147,0.9543800021888996,0.22341269690517157,51.18449564472737,13.349771870147167,0.045619997811100314,0.22341269690517157,8.815504355272632,13.349771870147167,0.525,0.525,0.475,0.475
60,0.9583643750661239,0.2229244859086799,52.14464747452344,13.499370468630032,0.041635624933876056,0.22292448590867991,8.855352525476565,13.499370468630032,0.9540600390425035,0.22049502709649718,52.138555683769866,13.501348230381772,0.04593996095749647,0.2204950270964972,8.861444316230129,13.501348230381774,0.527,0.525,0.473,0.475
61,0.9603040304966215,0.2201014134552994,53.10495150502006,13.647166992941148,0.039695969503378475,0.2201014134552994,8.895048494979942,13.64716699294115,0.9586994984537175,0.21757142277517122,53.09725518222359,13.64852219886676,0.04130050154628246,0.21757142277517125,8.902744817776409,13.648522198866758,0.525,0.527,0.475,0.473
62,0.9605149496952899,0.2206220364778345,54.06546645471535,13.79774306580793,0.03948505030471,0.2206220364778345,8.934533545284651,13.79774306580793,0.9670210797834251,0.21798482901487357,54.06427626200701,13.797041450792342,0.032978920216574975,0.21798482901487357,8.935723737992985,13.797041450792342,0.528,0.525,0.472,0.475
63,0.9658174853643235,0.21350092374098942,55.031283940079675,13.938340780632435,0.03418251463567642,0.21350092374098942,8.968716059920329,13.938340780632435,0.9618348021783455,0.21926929700649625,55.02611106418536,13.940789542535398,0.0381651978216545,0.21926929700649625,8.973888935814639,13.940789542535402,0.525,0.528,0.475,0.472
64,0.9581431067816436,0.21186293872781578,55.98942704686131,14.081540169185315,0.041856893218356346,0.21186293872781578,9.010572953138686,14.081540169185315,0.9572527530363343,0.21103540385250708,55.983363817221694,14.082165053445072,0.042747246963665726,0.21103540385250705,9.016636182778306,14.082165053445072,0.527,0.524,0.473,0.476
65,0.9653946287223096,0.21557366023022242,56.954821675583624,14.225077540485453,0.034605371277690256,0.21557366023022242,9.045178324416375,14.225077540485453,0.9620500017107751,0.21234225828230335,56.945413818932465,14.224986117324775,0.03794999828922492,0.21234225828230335,9.054586181067531,14.224986117324775,0.524,0.527,0.476,0.473
