step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.003881358194914,0.996142105133662,1.003881358194914,0.996142105133662,-0.003881358194914039,0.996142105133662,-0.003881358194914039,0.996142105133662,0.9651988281399413,1.0055426466235,0.9651988281399413,1.0055426466235,0.03480117186005873,1.0055426466235002,0.03480117186005873,1.0055426466235002,1.0,1.0,0.0,0.0
1,0.004056000646937115,1.003892924170837,1.0079373588418512,1.4211456489308107,0.9959439993530629,1.003892924170837,0.9920626411581488,1.4211456489308105,0.02526022146785059,1.0104875476134467,0.990459049607792,1.4378902930511368,0.9747397785321495,1.0104875476134467,1.0095409503922081,1.4378902930511368,1.0,0.0,0.0,1.0
2,0.017482178545312758,1.0496571502182923,1.025419537387164,1.7973497390728328,0.9825178214546872,1.0496571502182923,1.974580462612836,1.7973497390728328,0.0276279234293722,0.9838790423644406,1.018086973037164,1.7744922283991862,0.9723720765706277,0.9838790423644406,1.9819130269628358,1.774492228399186,0.0,1.0,1.0,0.0
3,0.9859444567938483,0.9818373200344267,2.011363994181012,2.0480171898168353,0.014055543206151785,0.9818373200344267,1.988636005818988,2.0480171898168353,1.0060464559203337,0.9900594946257529,2.024133428957498,1.9946722359231637,-0.006046455920333838,0.9900594946257529,1.975866571042502,1.9946722359231637,0.0,0.0,1.0,1.0
4,0.5210452349871341,1.1292257112972925,2.532409229168146,2.326592504784421,0.478954765012866,1.1292257112972925,2.4675907708318543,2.326592504784421,0.48271251610202887,1.100773344940739,2.5068459450595264,2.2414041958844653,0.5172874838979711,1.100773344940739,2.493154054940473,2.2414041958844653,0.497,0.499,0.503,0.501
5,0.6248080480770668,1.079355166838284,3.1572172772452127,2.6326321142190374,0.37519195192293325,1.079355166838284,2.8427827227547873,2.6326321142190374,0.6452277957119953,1.1216778926364595,3.152073740771522,2.531810177905307,0.35477220428800466,1.1216778926364595,2.847926259228478,2.531810177905307,0.499,0.498,0.501,0.502
6,0.6752083864791423,1.0655188192039962,3.8324256637243552,2.8329036632269213,0.32479161352085767,1.0655188192039962,3.1675743362756448,2.8329036632269213,0.7268640696021329,1.0888660187549473,3.878937810373655,2.817766928458953,0.27313593039786727,1.0888660187549473,3.121062189626345,2.817766928458953,0.505,0.493,0.495,0.507
7,0.7841753558955116,1.0676026288305296,4.616601019619866,3.1112268407183246,0.21582464410448854,1.0676026288305296,3.383398980380133,3.1112268407183246,0.7878232803061802,1.0397591055155109,4.666761090679835,3.1107598491313437,0.2121767196938198,1.0397591055155109,3.333238909320165,3.1107598491313437,0.502,0.49,0.498,0.51
8,0.8512551783044642,1.0895912478058045,5.467856197924331,3.3834619383099263,0.1487448216955358,1.0895912478058045,3.5321438020756686,3.3834619383099263,0.8224715987286074,1.0932510814947878,5.4892326894084436,3.3003062284587035,0.17752840127139252,1.0932510814947878,3.5107673105915573,3.300306228458704,0.486,0.499,0.514,0.501
9,0.8081600163367169,1.025844014768444,6.276016214261048,3.5922671672344295,0.19183998366328325,1.025844014768444,3.7239837857389526,3.5922671672344295,0.860600338552701,1.021322341189266,6.349833027961144,3.5043382472835365,0.1393996614472989,1.021322341189266,3.6501669720388565,3.5043382472835365,0.494,0.493,0.506,0.507
10,0.9163707860206607,1.0541141925811062,7.192387000281708,3.7966287666194245,0.08362921397933934,1.0541141925811062,3.8076129997182915,3.7966287666194245,0.8466718671832557,1.0824668959712271,7.1965048951443995,3.683580785474194,0.15332813281674426,1.0824668959712271,3.8034951048556005,3.6835807854741947,0.499,0.499,0.501,0.501
11,0.9264164582964481,1.0294682236739146,8.118803458578157,3.99724160372455,0.07358354170355194,1.0294682236739146,3.8811965414218434,3.99724160372455,0.8672918816887775,1.0441093038507183,8.063796776833176,3.8375687546677324,0.13270811831122242,1.0441093038507183,3.9362032231668227,3.8375687546677324,0.496,0.503,0.504,0.497
