step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.496,0.4999839997439918,2.496,0.4999839997439918,0.504,0.4999839997439918,2.504,0.4999839997439918,0.496,0.4999839997439918,2.496,0.4999839997439918,0.504,0.4999839997439918,2.504,0.4999839997439918,0.505,0.493,0.495,0.507
5,0.0,0.0,2.496,0.4999839997439918,1.0,0.0,3.504,0.4999839997439918,0.0,0.0,2.496,0.4999839997439918,1.0,0.0,3.504,0.4999839997439918,0.493,0.507,0.507,0.493
6,0.259,0.4380856080722123,2.755,0.43008720046055776,0.741,0.4380856080722123,4.245,0.43008720046055776,0.259,0.4380856080722123,2.755,0.43008720046055776,0.741,0.4380856080722123,4.245,0.43008720046055776,0.5,0.477,0.5,0.523
7,0.755,0.43008720046055776,3.51,0.8601744009211155,0.245,0.43008720046055776,4.49,0.8601744009211155,0.755,0.43008720046055776,3.51,0.8601744009211155,0.245,0.43008720046055776,4.49,0.8601744009211155,0.477,0.498,0.523,0.502
8,0.104,0.30526054445342266,3.614,0.7204193223394275,0.896,0.30526054445342266,5.386,0.7204193223394275,0.104,0.30526054445342266,3.614,0.7204193223394275,0.896,0.30526054445342266,5.386,0.7204193223394275,0.471,0.513,0.529,0.487
9,0.104,0.30526054445342266,3.718,0.696043102113655,0.896,0.30526054445342266,6.282,0.696043102113655,0.104,0.30526054445342266,3.718,0.696043102113655,0.896,0.30526054445342266,6.282,0.696043102113655,0.513,0.471,0.487,0.529
10,0.932,0.251745903640953,4.65,0.884024886527523,0.068,0.25174590364095295,6.35,0.884024886527523,0.932,0.251745903640953,4.65,0.884024886527523,0.068,0.25174590364095295,6.35,0.884024886527523,0.474,0.476,0.526,0.524
11,0.932,0.251745903640953,5.582,1.0978506273623931,0.068,0.25174590364095295,6.418,1.0978506273623931,0.932,0.251745903640953,5.582,1.0978506273623931,0.068,0.25174590364095295,6.418,1.0978506273623931,0.476,0.474,0.524,0.526
12,0.963,0.18876175460087244,6.545,1.2271817306332427,0.037,0.18876175460087244,6.455,1.2271817306332427,0.963,0.18876175460087244,6.545,1.2271817306332427,0.037,0.18876175460087244,6.455,1.2271817306332427,0.476,0.475,0.524,0.525
13,0.963,0.18876175460087244,7.508,1.3703780500285312,0.037,0.18876175460087244,6.492,1.3703780500285312,0.963,0.18876175460087244,7.508,1.3703780500285312,0.037,0.18876175460087244,6.492,1.3703780500285312,0.475,0.476,0.525,0.524
