step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.001519072351366,0.10128868910741587,1.001519072351366,0.10128868910741587,-0.0015190723513660272,0.10128868910741586,-0.0015190723513660272,0.10128868910741586,1.0023717335688092,0.10099266789140376,1.0023717335688092,0.10099266789140376,-0.0023717335688091365,0.10099266789140376,-0.0023717335688091365,0.10099266789140376,1.0,1.0,0.0,0.0
1,0.0011361512133702468,0.09712530384102787,1.0026552235647364,0.14167036806224675,0.9988638487866298,0.09712530384102787,0.9973447764352638,0.14167036806224678,0.002821908152676628,0.10045271078429929,1.005193641721486,0.13919273075559785,0.9971780918473233,0.10045271078429929,0.9948063582785143,0.13919273075559782,1.0,0.0,0.0,1.0
2,0.0018322324786881417,0.09686940321614483,1.0044874560434243,0.1725439331811881,0.998167767521312,0.09686940321614483,1.9955125439565757,0.17254393318118813,7.3248970778627685e-06,0.09664768476308086,1.0052009666185635,0.16889783057477162,0.9999926751029221,0.09664768476308086,1.9947990333814365,0.16889783057477165,0.0,1.0,1.0,0.0
3,1.0024455419113996,0.101635162513881,2.0069329979548236,0.19912020404923397,-0.002445541911399396,0.101635162513881,1.9930670020451762,0.19912020404923397,0.9981975597035571,0.09975340253679667,2.0033985263221203,0.19916869864753975,0.0018024402964430153,0.09975340253679667,1.9966014736778797,0.19916869864753972,0.0,0.0,1.0,1.0
4,0.47902696845468024,0.5106966250439375,2.485959966409504,0.5433566231277147,0.5209730315453198,0.5106966250439374,2.514040033590496,0.5433566231277147,0.48137055416533203,0.5092399901873785,2.4847690804874527,0.5456754259808445,0.518629445834668,0.5092399901873785,2.5152309195125473,0.5456754259808446,0.515,0.49,0.485,0.51
5,0.1752659556608125,0.3913354464650623,2.6612259220703165,0.793972228488019,0.8247340443391875,0.3913354464650623,3.3387740779296835,0.7939722284880191,0.1738733700070696,0.38836125899851015,2.6586424504945225,0.795798047427261,0.8261266299929305,0.3883612589985102,3.341357549505478,0.795798047427261,0.47,0.515,0.53,0.485
6,0.1969685551138599,0.4056842572269681,2.8581944771841763,0.7964877236079984,0.8030314448861401,0.40568425722696805,4.141805522815822,0.7964877236079984,0.18795083337669893,0.4057598790425634,2.8465932838712216,0.7987329432094615,0.8120491666233011,0.4057598790425634,4.153406716128779,0.7987329432094615,0.521,0.485,0.479,0.515
7,0.38887433368556434,0.4969817352986875,3.2470688108697408,0.998212486478031,0.6111256663144357,0.4969817352986875,4.752931189130258,0.998212486478031,0.3827886078653617,0.488513467526244,3.229381891736583,0.9981031099742398,0.6172113921346384,0.4885134675262441,4.770618108263418,0.9981031099742398,0.5,0.521,0.5,0.479
8,0.5296496130928019,0.5070674941822079,3.776718423962543,1.3226509337976329,0.470350386907198,0.5070674941822079,5.223281576037458,1.3226509337976329,0.5285212784941209,0.5033720070796642,3.757903170230704,1.3135539213011977,0.4714787215058791,0.5033720070796642,5.242096829769296,1.3135539213011977,0.502,0.489,0.498,0.511
9,0.49470985953755436,0.5125183779423508,4.271428283500097,1.638767244763571,0.5052901404624457,0.5125183779423508,5.728571716499903,1.638767244763571,0.493122075918358,0.5095586727789256,4.251025246149061,1.616464386946244,0.506877924081642,0.5095586727789256,5.748974753850939,1.616464386946244,0.504,0.502,0.496,0.498
