step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.475,0.4993746088859544,2.475,0.49937460888595436,0.525,0.4993746088859544,2.525,0.49937460888595436,0.475,0.4993746088859544,2.475,0.49937460888595436,0.525,0.4993746088859544,2.525,0.49937460888595436,0.494,0.493,0.506,0.507
5,0.0,0.0,2.475,0.49937460888595436,1.0,0.0,3.525,0.49937460888595436,0.0,0.0,2.475,0.49937460888595436,1.0,0.0,3.525,0.49937460888595436,0.506,0.494,0.494,0.506
6,0.249,0.4324338099640221,2.724,0.44701677820860364,0.751,0.4324338099640221,4.276,0.44701677820860364,0.249,0.4324338099640221,2.724,0.44701677820860364,0.751,0.4324338099640221,4.276,0.44701677820860364,0.501,0.498,0.499,0.502
7,0.724,0.44701677820860364,3.448,0.8940335564172073,0.276,0.44701677820860364,4.552,0.8940335564172073,0.724,0.44701677820860364,3.448,0.8940335564172073,0.276,0.44701677820860364,4.552,0.8940335564172073,0.485,0.501,0.515,0.499
8,0.146,0.3531062163145815,3.594,0.7079293750085527,0.854,0.3531062163145815,5.406,0.7079293750085526,0.146,0.3531062163145815,3.594,0.7079293750085527,0.854,0.3531062163145815,5.406,0.7079293750085526,0.506,0.502,0.494,0.498
9,0.146,0.3531062163145815,3.74,0.6726068688320095,0.854,0.3531062163145815,6.26,0.6726068688320095,0.146,0.3531062163145815,3.74,0.6726068688320095,0.854,0.3531062163145815,6.26,0.6726068688320095,0.502,0.506,0.498,0.494
10,0.927,0.2601365026289083,4.667,0.8798357801317244,0.073,0.2601365026289083,6.333,0.8798357801317244,0.927,0.2601365026289083,4.667,0.8798357801317244,0.073,0.2601365026289083,6.333,0.8798357801317244,0.498,0.491,0.502,0.509
11,0.927,0.2601365026289083,5.594,1.1095782982737181,0.073,0.2601365026289083,6.406,1.1095782982737181,0.927,0.2601365026289083,5.594,1.1095782982737181,0.073,0.2601365026289083,6.406,1.1095782982737181,0.491,0.498,0.509,0.502
12,0.963,0.18876175460087244,6.557,1.2380432141084574,0.037,0.18876175460087244,6.443,1.2380432141084574,0.963,0.18876175460087244,6.557,1.2380432141084574,0.037,0.18876175460087244,6.443,1.2380432141084574,0.488,0.493,0.512,0.507
13,0.963,0.18876175460087244,7.52,1.380434714138992,0.037,0.18876175460087244,6.48,1.380434714138992,0.963,0.18876175460087244,7.52,1.380434714138992,0.037,0.18876175460087244,6.48,1.380434714138992,0.493,0.488,0.507,0.512
