step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
4,0.497,0.4999909999189985,2.497,0.49999099991899854,0.503,0.4999909999189985,2.503,0.49999099991899854,0.497,0.4999909999189985,2.497,0.49999099991899854,0.503,0.4999909999189985,2.503,0.49999099991899854,0.486,0.477,0.514,0.523
5,0.497,0.4999909999189985,2.994,0.9999819998379972,0.503,0.4999909999189985,3.006,0.9999819998379972,0.497,0.4999909999189985,2.994,0.9999819998379972,0.503,0.4999909999189985,3.006,0.9999819998379972,0.514,0.523,0.486,0.477
6,0.505,0.4999749993749687,3.499,1.119820967833698,0.495,0.4999749993749687,3.501,1.119820967833698,0.505,0.4999749993749687,3.499,1.119820967833698,0.495,0.4999749993749687,3.501,1.119820967833698,0.509,0.534,0.491,0.466
7,0.505,0.4999749993749687,4.004,1.4170335211278524,0.495,0.4999749993749687,3.996,1.4170335211278524,0.505,0.4999749993749687,4.004,1.4170335211278524,0.495,0.4999749993749687,3.996,1.4170335211278524,0.518,0.493,0.482,0.507
8,0.609,0.48797438457361664,4.613,1.513020488955784,0.391,0.48797438457361664,4.387,1.513020488955784,0.609,0.48797438457361664,4.613,1.513020488955784,0.391,0.48797438457361664,4.387,1.513020488955784,0.476,0.483,0.524,0.517
9,0.609,0.48797438457361664,5.222,1.7454844599709276,0.391,0.48797438457361664,4.778,1.7454844599709276,0.609,0.48797438457361664,5.222,1.7454844599709276,0.391,0.48797438457361664,4.778,1.7454844599709276,0.492,0.485,0.508,0.515
10,0.518,0.4996758949559204,5.74,1.776063061943466,0.482,0.4996758949559204,5.26,1.776063061943466,0.518,0.4996758949559204,5.74,1.776063061943466,0.482,0.4996758949559204,5.26,1.776063061943466,0.517,0.499,0.483,0.501
11,0.518,0.4996758949559204,6.258,1.9394421878468044,0.482,0.4996758949559204,5.742,1.9394421878468044,0.518,0.4996758949559204,6.258,1.9394421878468044,0.482,0.4996758949559204,5.742,1.9394421878468044,0.479,0.497,0.521,0.503
12,0.606,0.48863483297857513,6.864,1.97066080287806,0.394,0.48863483297857513,6.136,1.97066080287806,0.606,0.48863483297857513,6.864,1.97066080287806,0.394,0.48863483297857513,6.136,1.97066080287806,0.487,0.485,0.513,0.515
13,0.606,0.48863483297857513,7.47,2.1173332283795103,0.394,0.48863483297857513,6.53,2.1173332283795103,0.606,0.48863483297857513,7.47,2.1173332283795103,0.394,0.48863483297857513,6.53,2.1173332283795103,0.494,0.496,0.506,0.504
