step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9989293222184068,1.0096622193902685,0.9989293222184068,1.0096622193902685,0.0010706777815930799,1.0096622193902685,0.0010706777815930799,1.0096622193902685,0.9943097015219386,0.9742676529128589,0.9943097015219386,0.9742676529128589,0.005690298478061219,0.9742676529128589,0.005690298478061219,0.9742676529128589,1.0,1.0,0.0,0.0,0.0,0.0
1,0.22123359439190823,0.987993247048711,1.2201629166103152,1.4614469215933032,0.7787664056080918,0.987993247048711,0.7798370833896849,1.4614469215933032,0.2338203452939535,0.9923608783195355,1.2281300468158924,1.3823780766183364,0.7661796547060464,0.9923608783195355,0.7718699531841077,1.3823780766183364,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.022614099715430106,0.9551319770675892,1.1975488168948851,1.7075215394634666,1.0226140997154303,0.9551319770675892,1.8024511831051149,1.7075215394634666,-0.016153850736507422,1.0304663735272248,1.211976196079385,1.7285023820954288,1.0161538507365075,1.0304663735272248,1.788023803920615,1.7285023820954288,1.0,0.0,0.0,0.0,0.0,1.0
3,0.23256744473649923,1.0064240769092199,1.430116261631384,1.9882179162331437,0.7674325552635007,1.0064240769092199,2.569883738368616,1.9882179162331437,0.23828550799457648,1.0351683572735042,1.4502617040739612,1.9817937169299862,0.7617144920054236,1.0351683572735042,2.5497382959260384,1.9817937169299862,0.0,1.0,1.0,0.0,0.0,0.0
4,0.3662100151338456,0.9973090283108945,1.79632627676523,2.283415956351384,0.6337899848661543,0.9973090283108945,3.20367372323477,2.283415956351384,0.3851879373942835,0.9688384573836738,1.8354496414682449,2.202522823762984,0.6148120626057166,0.9688384573836738,3.1645503585317547,2.202522823762984,0.0,0.0,1.0,1.0,0.0,0.0
5,0.23733798798809974,1.0016700247848986,2.0336642647533294,2.4386540183134877,0.7626620120119003,1.0016700247848986,3.96633573524667,2.4386540183134877,0.23197655963312913,0.973799437007417,2.0674262011013744,2.43494745119491,0.7680234403668708,0.9737994370074169,3.9325737988986256,2.4349474511949105,0.0,0.0,1.0,0.0,0.0,1.0
6,0.02637977784735689,0.9973345559004211,2.060044042600686,2.6578627151602134,0.973620222152643,0.9973345559004212,4.939955957399313,2.6578627151602134,-0.014497721095276483,0.9480598495549404,2.0529284800060976,2.6323912504743605,1.0144977210952764,0.9480598495549404,4.947071519993902,2.6323912504743605,0.0,1.0,0.0,0.0,1.0,0.0
7,0.2828781729838754,0.9606721929979425,2.342922215584562,2.8251580986920932,0.7171218270161246,0.9606721929979425,5.6570777844154385,2.8251580986920932,0.20859264605569777,0.9667694127275874,2.2615211260617953,2.826856633754095,0.7914073539443023,0.9667694127275874,5.738478873938205,2.826856633754095,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0016406263038378,1.0514830475640031,3.3445628418883997,3.0468507499701936,-0.0016406263038377365,1.0514830475640031,5.655437158111601,3.0468507499701936,0.9981127736657801,1.0020097904233316,3.2596338997275756,3.0316248262917465,0.0018872263342198075,1.0020097904233316,5.740366100272425,3.0316248262917465,0.0,0.0,0.0,0.0,1.0,1.0
9,0.4363235087639224,1.0459080974121848,3.780886350652322,3.261906965267502,0.5636764912360775,1.0459080974121848,6.219113649347678,3.261906965267502,0.4046191789983941,1.0885059779555988,3.6642530787259693,3.237693048899788,0.5953808210016059,1.0885059779555988,6.335746921274031,3.237693048899788,0.353,0.368,0.309,0.281,0.338,0.351
10,0.44592581344016907,1.0954558384610256,4.226812164092491,3.489446043395114,0.554074186559831,1.0954558384610258,6.773187835907509,3.489446043395114,0.43972420423405945,1.0651906749258149,4.103977282960029,3.4113833042077575,0.5602757957659406,1.0651906749258149,6.896022717039972,3.4113833042077575,0.328,0.374,0.305,0.268,0.367,0.358
11,0.5026890563155364,1.0790654323686675,4.729501220408028,3.6183449102495353,0.4973109436844636,1.0790654323686675,7.270498779591972,3.6183449102495358,0.5089921036935089,1.042000310704358,4.612969386653538,3.605512525024635,0.49100789630649117,1.042000310704358,7.387030613346462,3.605512525024635,0.353,0.379,0.3,0.262,0.347,0.359
12,0.4453958815543346,1.1192764281210494,5.174897101962363,3.8127194322044904,0.5546041184456654,1.1192764281210494,7.825102898037637,3.8127194322044904,0.5221430654659186,1.0590168575314756,5.135112452119456,3.781509577968976,0.47785693453408123,1.0590168575314758,7.864887547880544,3.781509577968976,0.35,0.346,0.269,0.282,0.381,0.372
13,0.48049919723513734,1.0756654212616583,5.655396299197499,3.974117885235488,0.5195008027648628,1.0756654212616583,8.344603700802502,3.974117885235488,0.511697845487786,1.0877226954968946,5.646810297607242,3.935212616918655,0.4883021545122141,1.0877226954968946,8.353189702392758,3.935212616918655,0.348,0.372,0.262,0.238,0.39,0.39
14,0.5025331189990883,1.0654152514462805,6.157929418196587,4.16456103261173,0.4974668810009117,1.0654152514462805,8.84207058180341,4.16456103261173,0.4441820428262321,1.0720907855922739,6.090992340433475,4.151067296848059,0.5558179571737679,1.0720907855922739,8.909007659566527,4.151067296848059,0.365,0.368,0.283,0.25,0.352,0.382
15,0.508471839168864,1.095674012971367,6.666401257365451,4.381112750752389,0.491528160831136,1.095674012971367,9.33359874263455,4.381112750752389,0.48175589630440246,1.105263563272687,6.572748236737877,4.302799137989079,0.5182441036955975,1.1052635632726868,9.427251763262124,4.302799137989079,0.363,0.366,0.275,0.242,0.362,0.392
16,0.5218185144019775,1.0356578216623007,7.188219771767429,4.515557206671388,0.4781814855980225,1.0356578216623007,9.81178022823257,4.515557206671388,0.49158715704225586,1.0559644187944104,7.064335393780133,4.490094004800058,0.5084128429577441,1.0559644187944104,9.935664606219866,4.490094004800059,0.352,0.367,0.265,0.233,0.383,0.4
17,0.4694194544515706,1.0811247468580871,7.6576392262190005,4.640684051753635,0.5305805455484294,1.0811247468580871,10.342360773781,4.640684051753635,0.5050297834422957,1.0537731783043274,7.569365177222429,4.6656561607731195,0.49497021655770435,1.0537731783043274,10.43063482277757,4.6656561607731195,0.344,0.373,0.247,0.249,0.409,0.378
18,0.5997735808784622,1.0582363150084533,8.257412807097461,4.840412020282588,0.40022641912153784,1.0582363150084533,10.742587192902539,4.840412020282587,0.5667476185817186,1.046179040255261,8.136112795804147,4.7703856803778155,0.43325238141828143,1.046179040255261,10.863887204195853,4.7703856803778155,0.349,0.355,0.262,0.245,0.389,0.4
19,0.5493469028032706,1.0716773693624824,8.806759709900733,5.0425234151415,0.45065309719672947,1.0716773693624824,11.193240290099267,5.0425234151415,0.5374993305780684,1.0764058013343454,8.673612126382215,4.980832040178472,0.46250066942193147,1.0764058013343454,11.326387873617785,4.980832040178472,0.377,0.366,0.232,0.237,0.391,0.397
20,0.5410820968644666,1.066440227106592,9.347841806765198,5.169729158419025,0.45891790313553327,1.066440227106592,11.652158193234802,5.169729158419025,0.5588531699971766,1.0589629844991801,9.232465296379392,5.20397713794523,0.44114683000282345,1.0589629844991801,11.767534703620608,5.20397713794523,0.374,0.369,0.246,0.203,0.38,0.428
21,0.5190242812570652,1.0819283627867686,9.866866088022263,5.3139965243153116,0.48097571874293477,1.0819283627867686,12.133133911977735,5.3139965243153116,0.5332647615639703,1.122638565929403,9.765730057943363,5.4105680273491314,0.4667352384360297,1.122638565929403,12.234269942056637,5.4105680273491314,0.358,0.372,0.269,0.226,0.373,0.402
22,0.5444934944002005,1.0788307325224102,10.411359582422465,5.56236839327343,0.4555065055997995,1.0788307325224102,12.588640417577535,5.56236839327343,0.5797109815343077,1.1008864513282313,10.345441039477672,5.586260878716295,0.4202890184656924,1.1008864513282313,12.654558960522328,5.586260878716295,0.371,0.387,0.236,0.223,0.393,0.39
23,0.6250242664893466,1.1083707208295148,11.036383848911811,5.762199231706902,0.3749757335106534,1.1083707208295148,12.963616151088189,5.762199231706903,0.5544071442623171,1.0857738338056637,10.899848183739987,5.762181299087009,0.445592855737683,1.0857738338056637,13.100151816260011,5.762181299087009,0.362,0.391,0.232,0.209,0.406,0.4
24,0.5416332786487869,1.0946947475353117,11.578017127560598,6.007332570049157,0.4583667213512133,1.0946947475353117,13.4219828724394,6.007332570049157,0.563842396405143,1.112969059533598,11.46369058014513,5.945326999750297,0.436157603594857,1.112969059533598,13.53630941985487,5.945326999750297,0.387,0.39,0.221,0.202,0.392,0.408
25,0.63886875862564,1.1164884599289397,12.216885886186239,6.200932212535487,0.36113124137436,1.1164884599289397,13.783114113813761,6.200932212535487,0.6456463396622448,1.04228438992772,12.109336919807376,6.098979023097945,0.35435366033775517,1.04228438992772,13.890663080192626,6.098979023097945,0.378,0.395,0.225,0.202,0.397,0.403
26,0.5985440514023141,1.0767395405911115,12.815429937588553,6.418528708716487,0.40145594859768585,1.0767395405911115,14.184570062411447,6.418528708716487,0.6306359066303456,1.1064715448030897,12.739972826437722,6.298213952681564,0.36936409336965437,1.1064715448030897,14.260027173562278,6.2982139526815635,0.37,0.389,0.234,0.199,0.396,0.412
