step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9980838261431008,0.10006274886056371,0.9980838261431008,0.10006274886056371,0.00191617385689926,0.10006274886056371,0.00191617385689926,0.10006274886056371,0.9978633494220922,0.10024974399545095,0.9978633494220922,0.10024974399545095,0.0021366505779077632,0.10024974399545095,0.0021366505779077632,0.10024974399545095,1.0,1.0,0.0,0.0,0.0,0.0
1,0.23122441763449256,0.10084512539648693,1.2293082437775933,0.14120017952281716,0.7687755823655074,0.10084512539648693,0.7706917562224066,0.14120017952281716,0.22891689989307884,0.10039550777605828,1.226780249315171,0.13944754039263302,0.7710831001069212,0.10039550777605828,0.7732197506848291,0.13944754039263302,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.003316447479576698,0.09665369511172278,1.2259917962980167,0.16900224765637975,1.0033164474795766,0.09665369511172278,1.7740082037019833,0.16900224765637975,-0.002080738433733387,0.10289684665438723,1.2246995108814376,0.17382831319777417,1.0020807384337334,0.10289684665438723,1.7753004891185624,0.17382831319777417,1.0,0.0,0.0,0.0,0.0,1.0
3,0.22681149912378332,0.09759015297987239,1.4528032954217998,0.19548238042605587,0.7731885008762167,0.09759015297987239,2.5471967045782002,0.19548238042605587,0.23104275995272017,0.10130542453794351,1.4557422708341579,0.19808723426617078,0.7689572400472798,0.10130542453794351,2.544257729165843,0.1980872342661708,0.0,1.0,1.0,0.0,0.0,0.0
4,0.38029703759734435,0.09957781890715527,1.8331003330191442,0.2179855666922141,0.6197029624026557,0.09957781890715525,3.166899666980856,0.2179855666922141,0.38224078918014776,0.10116509302807404,1.8379830600143054,0.21704069910522358,0.6177592108198521,0.10116509302807404,3.1620169399856946,0.21704069910522358,0.0,0.0,1.0,1.0,0.0,0.0
5,0.2301588909994643,0.10030607116927741,2.0632592240186085,0.24308040482663676,0.7698411090005358,0.1003060711692774,3.9367407759813915,0.24308040482663676,0.2293962306340973,0.10033196172620436,2.067379290648403,0.24696327217168465,0.7706037693659027,0.10033196172620436,3.932620709351597,0.24696327217168465,0.0,0.0,1.0,0.0,0.0,1.0
6,-8.178635918356869e-05,0.09975499058875789,2.0631774376594247,0.2649997218075801,1.0000817863591835,0.09975499058875789,4.936822562340575,0.2649997218075801,-0.0025896204573427404,0.09863930634780121,2.06478967019106,0.2699285470391212,1.0025896204573428,0.09863930634780121,4.935210329808941,0.2699285470391212,0.0,1.0,0.0,0.0,1.0,0.0
7,0.23067285025145698,0.1006272531960246,2.2938502879108817,0.2859289732321392,0.769327149748543,0.1006272531960246,5.706149712089118,0.2859289732321392,0.22581147235042995,0.09816158174415678,2.2906011425414903,0.286647055927498,0.77418852764957,0.09816158174415678,5.70939885745851,0.28664705592749795,0.0,0.0,0.0,1.0,1.0,0.0
8,0.9981141512309045,0.10144926401391294,3.2919644391417866,0.3022771980940346,0.0018858487690953743,0.10144926401391294,5.708035560858214,0.3022771980940346,1.005032555163081,0.0953950429156505,3.295633697704571,0.3015490448544576,-0.0050325551630810835,0.0953950429156505,5.704366302295429,0.30154904485445755,0.0,0.0,0.0,0.0,1.0,1.0
9,0.5021211630488599,0.502078202963946,3.7940856021906466,0.573458350747533,0.4978788369511401,0.502078202963946,6.205914397809353,0.573458350747533,0.4943585585893752,0.5101530429558653,3.7899922562939463,0.5934452897127223,0.5056414414106248,0.5101530429558653,6.210007743706053,0.5934452897127221,0.504,0.494,0.014,0.016,0.482,0.49
