step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9989898705967869,0.10456855115112401,0.9989898705967869,0.10456855115112401,0.0010101294032131437,0.10456855115112401,0.0010101294032131437,0.10456855115112401,0.9974565951064894,0.09946099432751798,0.9974565951064894,0.09946099432751798,0.002543404893510527,0.09946099432751798,0.002543404893510527,0.09946099432751798,1.0,1.0,0.0,0.0,0.0,0.0
1,0.2289066434859077,0.10050681811346207,1.2278965140826945,0.1430392535557636,0.7710933565140922,0.10050681811346207,0.7721034859173054,0.1430392535557636,0.23349083556403025,0.10018202999680195,1.2309474306705197,0.14006182919796686,0.7665091644359697,0.10018202999680195,0.7690525693294803,0.14006182919796686,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.0034085743005072967,0.0995684267500027,1.224487939782187,0.17737906476308418,1.0034085743005072,0.0995684267500027,1.775512060217813,0.17737906476308418,-0.002634779004030168,0.10051705191639787,1.2283126516664895,0.17258993581856005,1.0026347790040302,0.10051705191639787,1.7716873483335103,0.17258993581856005,1.0,0.0,0.0,0.0,0.0,1.0
3,0.22763464048798834,0.09927264669394474,1.4521225802701756,0.2057475262983725,0.7723653595120117,0.09927264669394474,2.5478774197298244,0.20574752629837254,0.2285859043179931,0.09935085965819784,1.4568985559844827,0.20021286549604153,0.7714140956820068,0.09935085965819783,2.5431014440155173,0.20021286549604153,0.0,1.0,1.0,0.0,0.0,0.0
4,0.38176721491499666,0.09952787631107637,1.8338897951851723,0.224539796921989,0.6182327850850033,0.09952787631107636,3.1661102048148275,0.224539796921989,0.37996322392184445,0.09750142029321573,1.836861779906327,0.22304507222835765,0.6200367760781555,0.09750142029321573,3.163138220093673,0.22304507222835762,0.0,0.0,1.0,1.0,0.0,0.0
5,0.22418338761453493,0.10239539642867829,2.0580731827997067,0.24355819259295014,0.7758166123854651,0.10239539642867827,3.9419268172002933,0.24355819259295014,0.22919168047356409,0.1004113089926631,2.0660534603798912,0.24028063254186738,0.7708083195264359,0.10041130899266311,3.9339465396201088,0.24028063254186738,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.002127812818962766,0.09666558355695887,2.0559453699807446,0.2582903684866498,1.0021278128189628,0.09666558355695888,4.944054630019256,0.2582903684866498,-0.0002762406587170599,0.10015242486346503,2.0657772197211743,0.26089268164586255,1.0002762406587171,0.10015242486346503,4.934222780278826,0.26089268164586255,0.0,1.0,0.0,0.0,1.0,0.0
7,0.22461305436726894,0.10451675139133751,2.2805584243480133,0.28092186248167844,0.7753869456327311,0.1045167513913375,5.719441575651986,0.28092186248167844,0.2266712239230353,0.09444262340487565,2.2924484436442087,0.2767487419185556,0.7733287760769647,0.09444262340487564,5.707551556355791,0.2767487419185556,0.0,0.0,0.0,1.0,1.0,0.0
8,1.001097417469031,0.09952022420292118,3.2816558418170443,0.29741793457662175,-0.0010974174690308864,0.09952022420292118,5.718344158182956,0.2974179345766217,1.0044865120450797,0.09864779467658116,3.296934955689289,0.29238394092949105,-0.004486512045079618,0.09864779467658116,5.703065044310711,0.29238394092949105,0.0,0.0,0.0,0.0,1.0,1.0
9,0.5177058098884295,0.506734033879422,3.799361651705474,0.5836096669613581,0.4822941901115706,0.506734033879422,6.200638348294526,0.5836096669613581,0.5085304860031703,0.5002400445143458,3.8054654416924594,0.566525502390174,0.49146951399682975,0.5002400445143458,6.1945345583075415,0.566525502390174,0.486,0.479,0.01,0.016,0.504,0.505
10,0.3386840785167599,0.46439514361677153,4.138045730222233,0.9097813018079013,0.6613159214832401,0.46439514361677153,6.861954269777766,0.9097813018079013,0.3402150535606846,0.4677345594004885,4.145680495253144,0.8928640651439242,0.6597849464393155,0.4677345594004885,6.854319504746856,0.8928640651439242,0.473,0.461,0.057,0.046,0.47,0.493
11,0.34508643471469386,0.3547825518774312,4.483132164936928,1.031769332145153,0.6549135652853061,0.35478255187743113,7.516867835063072,1.031769332145153,0.34727505619352633,0.35309248693262024,4.49295555144667,1.014587797428119,0.6527249438064737,0.35309248693262024,7.50704444855333,1.014587797428119,0.284,0.302,0.425,0.426,0.291,0.272
12,0.30395184374351925,0.35548197629094264,4.787084008680447,1.122706662541457,0.6960481562564808,0.35548197629094264,8.212915991319555,1.122706662541457,0.30080204003780164,0.36031690707178393,4.793757591484472,1.1121791493119098,0.6991979599621984,0.36031690707178393,8.206242408515529,1.11217914931191,0.335,0.318,0.335,0.339,0.33,0.343
13,0.3976483459022408,0.39932076623471024,5.184732354582687,1.2050110101216025,0.6023516540977591,0.39932076623471024,8.815267645417313,1.2050110101216025,0.4027252106445479,0.3959322414987677,5.19648280212902,1.1855747219458221,0.5972747893554521,0.39593224149876777,8.803517197870981,1.1855747219458221,0.335,0.334,0.298,0.317,0.367,0.349
14,0.44158181760002735,0.42055403448803885,5.626314172182715,1.33181036667295,0.5584181823999727,0.42055403448803885,9.373685827817285,1.33181036667295,0.44325762560501464,0.4267207967921263,5.639740427734034,1.3063644073948293,0.5567423743949853,0.4267207967921263,9.360259572265964,1.3063644073948293,0.345,0.342,0.256,0.245,0.399,0.413
15,0.4828650186707089,0.40670313077574277,6.109179190853423,1.4824683960803542,0.5171349813292911,0.40670313077574277,9.890820809146575,1.482468396080354,0.4813107654294387,0.40694519043839616,6.121051193163474,1.450461588934256,0.5186892345705614,0.4069451904383961,9.878948806836528,1.450461588934256,0.327,0.33,0.295,0.303,0.378,0.367
16,0.4870546909641457,0.4233028381265156,6.596233881817571,1.6414518712151545,0.5129453090358542,0.4233028381265156,10.403766118182432,1.6414518712151542,0.48461640864579275,0.4183477044363555,6.605667601809267,1.6111082366486231,0.5153835913542073,0.4183477044363555,10.394332398190734,1.6111082366486231,0.359,0.349,0.254,0.265,0.387,0.386
17,0.4831887165051943,0.43184457813230176,7.079422598322763,1.7960287472858607,0.5168112834948058,0.4318445781323017,10.920577401677235,1.7960287472858607,0.4806935702863532,0.4350169388416158,7.08636117209562,1.7723647511468685,0.5193064297136467,0.4350169388416158,10.91363882790438,1.7723647511468685,0.371,0.395,0.237,0.203,0.392,0.402
18,0.5229674839047099,0.43295091257714846,7.6023900822274735,1.9172782661901882,0.47703251609529,0.43295091257714846,11.397609917772526,1.9172782661901884,0.5195704525560484,0.43013137949815283,7.605931624651667,1.8982875481045194,0.48042954744395167,0.43013137949815283,11.394068375348331,1.8982875481045196,0.394,0.387,0.222,0.252,0.384,0.361
19,0.5576114886248138,0.4287018088663862,8.160001570852288,2.0290129594133175,0.4423885113751863,0.4287018088663862,11.839998429147712,2.0290129594133175,0.5606643570040128,0.4297994993141956,8.16659598165568,2.0141453518545873,0.4393356429959872,0.42979949931419564,11.83340401834432,2.0141453518545873,0.398,0.375,0.233,0.226,0.369,0.399
20,0.5853478592461044,0.4333209737977188,8.745349430098393,2.150335514821758,0.4146521407538956,0.4333209737977188,12.254650569901607,2.150335514821758,0.5822807766651621,0.43593985533577173,8.748876758320844,2.132520998712817,0.41771922333483796,0.43593985533577173,12.251123241679156,2.132520998712817,0.382,0.399,0.191,0.2,0.427,0.401
21,0.6301120259109073,0.4269224592544456,9.3754614560093,2.2832547712759577,0.3698879740890928,0.4269224592544456,12.6245385439907,2.283254771275958,0.633111611107161,0.42713447227934087,9.381988369428003,2.275399693678732,0.3668883888928391,0.42713447227934087,12.618011630571997,2.275399693678732,0.392,0.384,0.179,0.195,0.429,0.421
22,0.6536853883140001,0.42819010306916655,10.029146844323298,2.43581490708828,0.3463146116859998,0.42819010306916655,12.970853155676702,2.43581490708828,0.6550418115080979,0.4340892203996906,10.037030180936101,2.4209983092408067,0.3449581884919021,0.4340892203996906,12.962969819063899,2.4209983092408067,0.416,0.425,0.164,0.139,0.42,0.436
23,0.692783130388054,0.4201696385733358,10.721929974711355,2.5824387837862988,0.3072168696119461,0.4201696385733358,13.278070025288645,2.5824387837862988,0.7009375933840122,0.4212789673661091,10.737967774320113,2.5633273427553473,0.29906240661598776,0.4212789673661091,13.262032225679887,2.5633273427553473,0.428,0.416,0.129,0.159,0.443,0.425
24,0.6789351403438727,0.42705725863994826,11.400865115055225,2.7033088077499072,0.3210648596561274,0.42705725863994826,13.599134884944775,2.7033088077499072,0.6797424788416092,0.4297788601949035,11.417710253161724,2.687763896345111,0.32025752115839073,0.4297788601949035,13.582289746838276,2.6877638963451114,0.406,0.426,0.159,0.133,0.435,0.441
25,0.6812522956914756,0.4263928243281317,12.0821174107467,2.81799332951075,0.3187477043085242,0.42639282432813164,13.9178825892533,2.81799332951075,0.6825647842497023,0.4223338894716153,12.100275037411425,2.8049719944099665,0.3174352157502976,0.4223338894716153,13.899724962588575,2.8049719944099665,0.41,0.41,0.156,0.141,0.434,0.449
26,0.6911263405638092,0.4205742686137814,12.77324375131051,2.910455876227058,0.3088736594361908,0.4205742686137814,14.22675624868949,2.910455876227058,0.6841921099369832,0.41442741297946184,12.784467147348408,2.8947341214720494,0.31580789006301685,0.41442741297946184,14.215532852651592,2.8947341214720494,0.407,0.423,0.157,0.157,0.436,0.42
27,0.6908471718792288,0.4237164584297674,13.46409092318974,3.0044770900892566,0.3091528281207711,0.4237164584297674,14.535909076810261,3.0044770900892566,0.691149731969542,0.42661673632595226,13.47561687931795,2.981251560887391,0.308850268030458,0.42661673632595226,14.52438312068205,2.9812515608873915,0.44,0.408,0.127,0.133,0.433,0.459
28,0.7107758395964233,0.42293789411687327,14.174866762786161,3.0777956621997498,0.28922416040357674,0.42293789411687327,14.825133237213839,3.0777956621997498,0.704745089934988,0.4220596681745939,14.180361969252939,3.0445163613378345,0.295254910065012,0.4220596681745939,14.819638030747061,3.0445163613378345,0.442,0.432,0.125,0.135,0.433,0.433
29,0.7001571226666435,0.429135305542069,14.875023885452807,3.129974570844899,0.29984287733335646,0.4291353055420691,15.124976114547193,3.129974570844899,0.7033540816912026,0.42206665193259835,14.883716050944141,3.089968040914735,0.2966459183087974,0.42206665193259835,15.116283949055859,3.089968040914735,0.431,0.441,0.128,0.123,0.441,0.436
30,0.7196462556605758,0.4112647582860567,15.594670141113383,3.1798708766902273,0.2803537443394242,0.41126475828605674,15.405329858886619,3.1798708766902273,0.7259300476183295,0.41293302415290667,15.609646098562468,3.13991818404314,0.27406995238167053,0.41293302415290667,15.390353901437528,3.13991818404314,0.427,0.431,0.123,0.116,0.45,0.453
31,0.7396677074241006,0.4038898245967147,16.33433784853748,3.2512270041210614,0.26033229257589935,0.4038898245967147,15.665662151462517,3.2512270041210614,0.7404090911158633,0.40329612727413017,16.350055189678333,3.211105025960446,0.2595909088841368,0.4032961272741301,15.649944810321667,3.211105025960446,0.43,0.436,0.126,0.115,0.444,0.449
32,0.7594648131412993,0.3997507365366921,17.093802661678783,3.3264103840989283,0.24053518685870057,0.3997507365366921,15.906197338321217,3.3264103840989288,0.7562962752859714,0.4029154040940848,17.106351464964305,3.285264199214846,0.24370372471402843,0.4029154040940848,15.893648535035696,3.285264199214846,0.431,0.437,0.108,0.105,0.461,0.458
33,0.7703538954453448,0.39402124868920163,17.864156557124126,3.4037649232554377,0.2296461045546551,0.39402124868920163,16.135843442875874,3.403764923255438,0.7709401044787014,0.3955570864837593,17.877291569443006,3.360474297106131,0.22905989552129863,0.3955570864837593,16.122708430556994,3.3604742971061308,0.452,0.443,0.097,0.087,0.451,0.47
34,0.771436298098379,0.3928745974480995,18.63559285522251,3.4574246823153287,0.228563701901621,0.3928745974480995,16.364407144777495,3.457424682315329,0.7778065938405062,0.38733307555124014,18.655098163283512,3.4092851057301385,0.22219340615949368,0.38733307555124014,16.344901836716485,3.4092851057301385,0.445,0.436,0.084,0.108,0.471,0.456
35,0.7688643198287072,0.39656141102600007,19.40445717505121,3.4979108504880787,0.23113568017129285,0.3965614110260001,16.59554282494879,3.497910850488079,0.7733363543184043,0.39579886087957283,19.428434517601918,3.45553609197361,0.22666364568159553,0.39579886087957283,16.571565482398086,3.4555360919736096,0.44,0.444,0.097,0.091,0.463,0.465
36,0.7740551535707744,0.3947194181634111,20.178512328621988,3.538780236001446,0.22594484642922572,0.3947194181634111,16.821487671378016,3.5387802360014464,0.7716414776201738,0.39518310518358957,20.20007599522209,3.491236287595322,0.22835852237982623,0.39518310518358957,16.79992400477791,3.4912362875953216,0.454,0.45,0.086,0.097,0.46,0.453
37,0.7839311935950114,0.38536110370724497,20.962443522217,3.581393215870311,0.21606880640498852,0.38536110370724497,17.037556477783,3.5813932158703112,0.7861624485608428,0.38208355419742895,20.986238443782934,3.5250516067335553,0.21383755143915714,0.38208355419742895,17.013761556217066,3.5250516067335553,0.447,0.437,0.086,0.091,0.467,0.472
38,0.7641043965310852,0.39191180666478376,21.726547918748086,3.6015638870449256,0.23589560346891483,0.39191180666478376,17.273452081251914,3.6015638870449265,0.7687951300143206,0.39936440269820456,21.755033573797256,3.5459894580084015,0.23120486998567943,0.39936440269820456,17.244966426202744,3.5459894580084015,0.434,0.452,0.101,0.088,0.465,0.46
39,0.7958204616875025,0.3850617204011369,22.522368380435587,3.6288880882264927,0.20417953831249755,0.38506172040113684,17.477631619564413,3.628888088226493,0.7997887798317497,0.3832094731917399,22.554822353629007,3.578717889820389,0.20021122016825035,0.3832094731917399,17.445177646370997,3.5787178898203886,0.456,0.454,0.076,0.078,0.468,0.468
40,0.7919710707925044,0.38818805479623847,23.314339451228093,3.6572279606096796,0.2080289292074956,0.38818805479623847,17.68566054877191,3.6572279606096796,0.7881781492735845,0.3885936373156654,23.343000502902587,3.6047319508784175,0.2118218507264155,0.3885936373156654,17.656999497097413,3.6047319508784175,0.455,0.445,0.085,0.078,0.46,0.477
41,0.79104337396335,0.3800237840883123,24.105382825191437,3.665226861486081,0.20895662603665013,0.3800237840883123,17.89461717480856,3.6652268614860812,0.7957135969467779,0.3825095260319506,24.138714099849363,3.611712936648323,0.20428640305322204,0.38250952603195054,17.861285900150634,3.6117129366483227,0.457,0.463,0.086,0.079,0.457,0.458
42,0.8022872193176243,0.3818424269418072,24.907670044509064,3.6709476006126542,0.19771278068237574,0.3818424269418072,18.092329955490932,3.670947600612655,0.8046650332845426,0.38066111258857305,24.94337913313391,3.6194942419655867,0.1953349667154573,0.38066111258857305,18.05662086686609,3.6194942419655867,0.447,0.453,0.074,0.077,0.479,0.47
43,0.7991262666633685,0.38059308909784445,25.706796311172436,3.6766394885498865,0.2008737333366315,0.38059308909784445,18.293203688827564,3.6766394885498874,0.8009990055804462,0.3809649457126562,25.744378138714353,3.6255725692689342,0.19900099441955385,0.38096494571265616,18.255621861285647,3.6255725692689342,0.455,0.454,0.071,0.077,0.474,0.469
44,0.8141154912467026,0.3707858671324287,26.52091180241914,3.677832705104244,0.18588450875329743,0.3707858671324287,18.47908819758086,3.6778327051042443,0.8114624458532514,0.37006651435510485,26.555840584567605,3.628399351817624,0.1885375541467485,0.3700665143551049,18.444159415432395,3.6283993518176234,0.464,0.465,0.068,0.069,0.468,0.466
45,0.7939462867467753,0.38039316084491137,27.314858089165913,3.67038533170283,0.20605371325322472,0.38039316084491137,18.685141910834083,3.6703853317028305,0.7982059688901977,0.37998094514986286,27.354046553457806,3.623655681917767,0.2017940311098023,0.37998094514986286,18.645953446542197,3.623655681917767,0.457,0.451,0.078,0.084,0.465,0.465
46,0.823512725890348,0.36576325754514205,28.13837081505626,3.663135356121507,0.17648727410965198,0.3657632575451421,18.86162918494374,3.6631353561215074,0.8198175326130079,0.3689223834860251,28.17386408607081,3.6132364565388944,0.18018246738699195,0.3689223834860251,18.826135913929186,3.613236456538894,0.445,0.442,0.079,0.052,0.476,0.506
47,0.8226284602593118,0.3686922275822811,28.960999275315572,3.645906533721533,0.17737153974068806,0.3686922275822811,19.039000724684424,3.6459065337215333,0.8216799965306594,0.3659230892248667,28.99554408260147,3.603715082153436,0.17832000346934057,0.3659230892248667,19.00445591739853,3.6037150821534354,0.447,0.449,0.053,0.058,0.5,0.493
48,0.8248384001919276,0.35575324575832296,29.7858376755075,3.635914183084526,0.17516159980807242,0.3557532457583229,19.2141623244925,3.6359141830845263,0.8230450215142792,0.3654003608875605,29.818589104115752,3.5925041884001754,0.17695497848572087,0.36540036088756056,19.181410895884248,3.5925041884001754,0.456,0.432,0.051,0.079,0.493,0.489
49,0.8095912874693059,0.3725469440332583,30.595428962976808,3.6197336738606554,0.19040871253069416,0.37254694403325833,19.404571037023192,3.619733673860656,0.8146734437002399,0.37381756403618477,30.63326254781599,3.578160746438739,0.18532655629976016,0.37381756403618477,19.36673745218401,3.578160746438739,0.443,0.46,0.078,0.059,0.479,0.481
50,0.8136291302774032,0.3761617914671441,31.409058093254206,3.611394596260879,0.18637086972259684,0.3761617914671441,19.590941906745794,3.6113945962608796,0.8120676393434462,0.37654438058232687,31.44533018715944,3.5724900439211402,0.18793236065655378,0.37654438058232687,19.55466981284056,3.5724900439211402,0.437,0.451,0.063,0.06,0.5,0.489
51,0.8274366422832491,0.359364554207274,32.236494735537455,3.6019291397049407,0.17256335771675094,0.359364554207274,19.76350526446254,3.6019291397049416,0.832302277804798,0.35496068007914044,32.277632464964235,3.569013773594434,0.16769772219520207,0.35496068007914044,19.722367535035765,3.569013773594434,0.465,0.458,0.062,0.068,0.473,0.474
52,0.8273314822583114,0.36788674257695925,33.063826217795764,3.585566996155028,0.17266851774168862,0.36788674257695925,19.936173782204236,3.5855669961550287,0.8312424656609041,0.3654394657984392,33.10887493062514,3.5488808950796886,0.1687575343390959,0.3654394657984392,19.891125069374862,3.5488808950796886,0.459,0.476,0.052,0.052,0.489,0.472
53,0.8214467434865941,0.36490997556255317,33.88527296128236,3.5768476523725172,0.17855325651340592,0.36490997556255317,20.114727038717636,3.576847652372518,0.8166660868177383,0.36998586585018517,33.92554101744288,3.531200581901891,0.18333391318226164,0.36998586585018517,20.074458982557125,3.5312005819018903,0.462,0.454,0.075,0.059,0.463,0.487
54,0.8297223862833843,0.36273618727932605,34.714995347565754,3.565672464305047,0.17027761371661557,0.36273618727932605,20.285004652434253,3.5656724643050475,0.8268631064357791,0.36291894608310865,34.752404123878655,3.522572982120008,0.173136893564221,0.36291894608310865,20.247595876121345,3.522572982120008,0.462,0.466,0.046,0.064,0.492,0.47
55,0.8350429796192566,0.3536605255531338,35.550038327185,3.565937226442578,0.16495702038074345,0.3536605255531338,20.449961672814997,3.5659372264425784,0.835334675970998,0.3475972638981574,35.58773879984965,3.5124722479510466,0.16466532402900197,0.3475972638981574,20.412261200150347,3.5124722479510466,0.446,0.453,0.066,0.058,0.488,0.489
56,0.841564567079412,0.3519885243280522,36.39160289426441,3.5595374837402587,0.15843543292058807,0.3519885243280522,20.608397105735584,3.559537483740259,0.8418013196740227,0.3588151204336399,36.42954011952368,3.513905140460996,0.15819868032597734,0.3588151204336399,20.570459880476324,3.513905140460996,0.465,0.453,0.06,0.054,0.475,0.493
57,0.834294349916855,0.351104728373016,37.22589724418127,3.5459242123757284,0.16570565008314506,0.351104728373016,20.774102755818728,3.545924212375729,0.8374894959654529,0.3582725676663126,37.26702961548913,3.507704825098629,0.16251050403454714,0.3582725676663126,20.73297038451087,3.507704825098629,0.462,0.462,0.058,0.062,0.48,0.476
58,0.8469018822783154,0.34780321049255297,38.07279912645959,3.5597829164183814,0.15309811772168455,0.34780321049255297,20.92720087354041,3.559782916418382,0.8474989330587552,0.34376703884669363,38.11452854854788,3.516592592576391,0.15250106694124474,0.34376703884669363,20.88547145145212,3.516592592576391,0.47,0.465,0.058,0.054,0.472,0.481
59,0.8446428688326502,0.35105094127111963,38.91744199529223,3.555890623582781,0.1553571311673498,0.35105094127111963,21.082558004707767,3.5558906235827816,0.8361797098166294,0.3543202609559887,38.950708258364514,3.50316264759843,0.1638202901833707,0.3543202609559887,21.049291741635486,3.5031626475984305,0.462,0.477,0.057,0.052,0.481,0.471
60,0.854809473590956,0.33933998635156337,39.7722514688832,3.5511291924538937,0.145190526409044,0.3393399863515633,21.22774853111681,3.5511291924538946,0.8522164951014054,0.3442740231847366,39.80292475346592,3.4999248220214785,0.14778350489859465,0.3442740231847366,21.197075246534077,3.4999248220214785,0.465,0.461,0.051,0.049,0.484,0.49
