step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9949115542010727,0.09788770934122681,0.9949115542010727,0.09788770934122681,0.00508844579892729,0.0978877093412268,0.00508844579892729,0.0978877093412268,0.9990789214249862,0.10097156228321372,0.9990789214249862,0.10097156228321372,0.0009210785750137352,0.10097156228321372,0.0009210785750137352,0.10097156228321372,1.0,1.0,0.0,0.0,0.0,0.0
1,0.22689979937059035,0.09958398778502699,1.221811353571663,0.14083148935786213,0.7731002006294098,0.09958398778502699,0.7781886464283368,0.14083148935786213,0.23220227003188604,0.10124554009100067,1.2312811914568724,0.1435501966199986,0.767797729968114,0.10124554009100067,0.7687188085431277,0.1435501966199986,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.007426291853320637,0.09940943614093548,1.2143850617183425,0.17189338931815057,1.0074262918533206,0.09940943614093549,1.7856149382816575,0.17189338931815057,0.001717279685465531,0.09911921457080852,1.2329984711423378,0.17026688800757497,0.9982827203145345,0.09911921457080852,1.7670015288576622,0.17026688800757497,1.0,0.0,0.0,0.0,0.0,1.0
3,0.22348737580042455,0.09709513500270124,1.437872437518767,0.19988036603154288,0.7765126241995755,0.09709513500270125,2.5621275624812334,0.19988036603154288,0.23420899369834722,0.10245523557002215,1.4672074648406852,0.19983320156521345,0.7657910063016529,0.10245523557002215,2.5327925351593152,0.19983320156521345,0.0,1.0,1.0,0.0,0.0,0.0
4,0.38670401985597636,0.0990580676635548,1.8245764573747434,0.22362424777189607,0.6132959801440235,0.0990580676635548,3.1754235426252566,0.22362424777189607,0.38384423003050133,0.09883908740057137,1.8510516948711864,0.2232248894740928,0.6161557699694987,0.09883908740057137,3.148948305128814,0.22322488947409277,0.0,0.0,1.0,1.0,0.0,0.0
5,0.22848369123881315,0.09973928927541792,2.0530601486135565,0.24391288690147747,0.7715163087611868,0.09973928927541792,3.9469398513864435,0.24391288690147744,0.22671965227763724,0.09806636424641427,2.0777713471488233,0.2384163225677273,0.7732803477223628,0.09806636424641427,3.9222286528511763,0.23841632256772727,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.0011443336132439487,0.09888989281286951,2.0519158150003123,0.2628921934372899,1.001144333613244,0.09888989281286951,4.948084184999688,0.2628921934372899,0.001215291776726085,0.09855141583674043,2.0789866389255494,0.2588671364525271,0.9987847082232739,0.09855141583674043,4.921013361074451,0.2588671364525271,0.0,1.0,0.0,0.0,1.0,0.0
7,0.23167015089442144,0.09878322530283186,2.283585965894734,0.28598021682469904,0.7683298491055786,0.09878322530283187,5.7164140341052665,0.285980216824699,0.2251297427296765,0.0990417159725425,2.304116381655226,0.27725545334259105,0.7748702572703234,0.0990417159725425,5.695883618344775,0.27725545334259105,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0066277266806323,0.09795338521841164,3.290213692575366,0.30268998412347964,-0.00662772668063228,0.09795338521841164,5.709786307424634,0.3026899841234796,0.9995438058536379,0.09641071577641042,3.3036601875088643,0.28906384424425846,0.00045619414636204937,0.09641071577641042,5.696339812491137,0.2890638442442584,0.0,0.0,0.0,0.0,1.0,1.0
9,0.3650583526151286,0.38377587024018767,3.655272045190495,0.48588456697995397,0.6349416473848715,0.3837758702401877,6.344727954809505,0.4858845669799539,0.365633564188826,0.3851876495265565,3.66929375169769,0.48620232990940593,0.634366435811174,0.3851876495265565,6.33070624830231,0.48620232990940593,0.356,0.337,0.293,0.297,0.351,0.366
10,0.3962534261991736,0.3956991521200364,4.0515254713896685,0.6313653086400391,0.6037465738008263,0.3956991521200364,6.9484745286103315,0.6313653086400391,0.3947034635158674,0.3944570683477197,4.063997215213558,0.6108601863040056,0.6052965364841326,0.3944570683477197,6.936002784786442,0.6108601863040056,0.337,0.38,0.291,0.281,0.372,0.339
11,0.37346837915135844,0.38501531905367936,4.424993850541027,0.7367781606460905,0.6265316208486416,0.38501531905367936,7.575006149458973,0.7367781606460906,0.37475725799717235,0.38058893313772196,4.438754473210729,0.7201576477448288,0.6252427420028276,0.38058893313772196,7.5612455267892695,0.7201576477448288,0.341,0.335,0.294,0.292,0.365,0.373
