step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0032378095371803,0.10096364082278181,1.0032378095371803,0.10096364082278181,-0.0032378095371803787,0.1009636408227818,-0.0032378095371803787,0.1009636408227818,0.9976196059145248,0.09830810714029735,0.9976196059145248,0.09830810714029735,0.0023803940854752554,0.09830810714029733,0.0023803940854752554,0.09830810714029733,1.0,1.0,0.0,0.0,0.0,0.0
1,0.22940830487664582,0.10285912646522401,1.232646114413826,0.14741783080435172,0.7705916951233541,0.102859126465224,0.7673538855861739,0.14741783080435172,0.23444781706789183,0.09961010853442771,1.2320674229824167,0.14016430937471824,0.7655521829321082,0.09961010853442771,0.7679325770175834,0.14016430937471824,1.0,0.0,0.0,1.0,0.0,0.0
2,0.0014466754834872805,0.10004318776539674,1.2340927898973137,0.1770602149549687,0.9985533245165127,0.10004318776539674,1.7659072101026863,0.1770602149549687,0.0009874862842291262,0.10256392274673125,1.2330549092666456,0.17246209883564126,0.9990125137157708,0.10256392274673126,1.7669450907333544,0.17246209883564126,1.0,0.0,0.0,0.0,0.0,1.0
3,0.2354065476164327,0.10243895664973056,1.4694993375137462,0.20351781742211522,0.7645934523835674,0.10243895664973053,2.5305006624862534,0.20351781742211522,0.2294846885621522,0.10079652232557573,1.4625395978287978,0.19806980225366985,0.7705153114378478,0.10079652232557573,2.537460402171202,0.19806980225366985,0.0,1.0,1.0,0.0,0.0,0.0
4,0.38813821222295486,0.10096507039015454,1.857637549736701,0.22739131141329308,0.6118617877770453,0.10096507039015454,3.1423624502632994,0.22739131141329308,0.3868484306130829,0.09960288924162473,1.8493880284418809,0.21892617642250234,0.6131515693869172,0.09960288924162475,3.150611971558119,0.21892617642250234,0.0,0.0,1.0,1.0,0.0,0.0
5,0.23172944014309166,0.09791865239704789,2.0893669898797924,0.25329727085359394,0.7682705598569084,0.09791865239704789,3.9106330101202076,0.25329727085359394,0.2269124027478371,0.09535852227982261,2.076300431189718,0.23828286963867848,0.7730875972521629,0.09535852227982261,3.923699568810282,0.23828286963867848,0.0,0.0,1.0,0.0,0.0,1.0
6,-0.003390534702196807,0.1010687400657569,2.085976455177596,0.26963025731881596,1.0033905347021967,0.1010687400657569,4.914023544822404,0.26963025731881596,0.002316925374935476,0.09922434906828054,2.0786173565646533,0.2572419152100964,0.9976830746250646,0.09922434906828054,4.921382643435347,0.25724191521009643,0.0,1.0,0.0,0.0,1.0,0.0
7,0.2314162504338405,0.10214277486872263,2.3173927056114363,0.28568791154425255,0.7685837495661595,0.10214277486872263,5.682607294388564,0.28568791154425255,0.22500588202585675,0.09997532706594474,2.3036232385905104,0.2768240831038445,0.7749941179741433,0.09997532706594474,5.696376761409489,0.2768240831038445,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0028927254541071,0.09714909972642706,3.3202854310655434,0.2987393790937623,-0.0028927254541072493,0.09714909972642706,5.679714568934456,0.2987393790937623,1.0007986165362706,0.09965343837483612,3.3044218551267805,0.294261662219977,-0.0007986165362704772,0.09965343837483612,5.6955781448732195,0.294261662219977,0.0,0.0,0.0,0.0,1.0,1.0
9,0.43431672369525914,0.45509722635919325,3.7546021547608026,0.538961943383635,0.5656832763047408,0.4550972263591933,6.2453978452391965,0.538961943383635,0.4357534004158392,0.44850738326872563,3.7401752555426198,0.5301948710788872,0.5642465995841608,0.44850738326872563,6.259824744457381,0.5301948710788872,0.379,0.491,0.271,0.013,0.35,0.496
