step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9987420301147313,0.9940382350532285,0.9987420301147313,0.9940382350532285,0.0012579698852686505,0.9940382350532285,0.0012579698852686505,0.9940382350532285,0.9804122559585547,0.9900930810791136,0.9804122559585547,0.9900930810791136,0.01958774404144526,0.9900930810791136,0.01958774404144526,0.9900930810791136,1.0,1.0,0.0,0.0,0.0,0.0
1,0.24374167149224898,0.9890142692975787,1.2424837016069805,1.3963801467054373,0.756258328507751,0.9890142692975787,0.7575162983930197,1.3963801467054373,0.22270357766061868,1.0243539776262824,1.2031158336191734,1.4298086347818522,0.7772964223393812,1.0243539776262824,0.7968841663808266,1.429808634781852,1.0,0.0,0.0,1.0,0.0,0.0
2,0.025311069231427823,0.9944769038743756,1.267794770838408,1.6637800154113775,0.9746889307685722,0.9944769038743756,1.732205229161592,1.6637800154113775,0.025339759234169243,1.0168404631107382,1.2284555928533427,1.7979773065213733,0.9746602407658308,1.0168404631107382,1.7715444071466573,1.7979773065213733,1.0,0.0,0.0,0.0,0.0,1.0
3,0.19562470837656118,1.0344238278033482,1.4634194792149693,1.933046713893365,0.8043752916234388,1.0344238278033482,2.536580520785031,1.9330467138933647,0.2373065676594672,1.0212205626345225,1.46576216051281,2.1293635841911867,0.7626934323405328,1.0212205626345225,2.5342378394871905,2.1293635841911867,0.0,1.0,1.0,0.0,0.0,0.0
4,0.4008899985395596,1.025459506594823,1.864309477754529,2.2028761552734437,0.5991100014604404,1.025459506594823,3.135690522245471,2.2028761552734437,0.34745429595755617,0.9908082606699816,1.8132164564703661,2.3620775698537235,0.6525457040424437,0.9908082606699816,3.1867835435296343,2.3620775698537235,0.0,0.0,1.0,1.0,0.0,0.0
5,0.15101119896747175,0.9862211911397691,2.0153206767220007,2.451609946450885,0.8489888010325283,0.9862211911397691,3.9846793232779993,2.451609946450885,0.22162166314327908,0.998598521703435,2.0348381196136454,2.538184262389807,0.778378336856721,0.998598521703435,3.9651618803863546,2.538184262389807,0.0,0.0,1.0,0.0,0.0,1.0
6,0.008283961422293346,1.0130390455934175,2.023604638144294,2.707233843591376,0.9917160385777066,1.0130390455934175,4.976395361855706,2.707233843591376,0.0261350020816121,1.0090388055100088,2.060973121695257,2.661203636229497,0.9738649979183879,1.0090388055100088,4.939026878304742,2.661203636229497,0.0,1.0,0.0,0.0,1.0,0.0
7,0.21060863365546897,1.0111900488519816,2.2342132717997627,2.8731306650945037,0.789391366344531,1.0111900488519816,5.765786728200236,2.8731306650945037,0.20688588523150986,1.036300328214321,2.2678590069267672,2.9081332290970416,0.7931141147684901,1.036300328214321,5.732140993073233,2.9081332290970416,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0252725173281112,0.9618821151899781,3.259485789127875,2.995791939565886,-0.02527251732811124,0.9618821151899781,5.740514210872126,2.995791939565886,1.0102712426367133,0.9961220098893793,3.2781302495634805,3.061227471914379,-0.01027124263671337,0.9961220098893793,5.721869750436519,3.061227471914379,0.0,0.0,0.0,0.0,1.0,1.0
9,0.4023724964005514,1.0612012913981694,3.661858285528426,3.1757269356614315,0.5976275035994486,1.0612012913981694,6.338141714471575,3.1757269356614315,0.3889776253563234,1.0830318419378802,3.6671078749198043,3.295969208909471,0.6110223746436766,1.0830318419378802,6.332892125080196,3.295969208909471,0.374,0.368,0.265,0.252,0.361,0.38
