step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,0.9994392759113156,0.10052265151670706,0.9994392759113156,0.10052265151670706,0.0005607240886842657,0.10052265151670706,0.0005607240886842657,0.10052265151670706,0.9949813561809255,0.09707756004291472,0.9949813561809255,0.09707756004291472,0.005018643819074372,0.09707756004291472,0.005018643819074372,0.09707756004291472,1.0,1.0,0.0,0.0,0.0,0.0
1,0.2300192316093836,0.1004293641696612,1.2294585075206994,0.1415044103423942,0.7699807683906165,0.10042936416966118,0.7705414924793007,0.1415044103423942,0.23478685507412245,0.09768628539535036,1.2297682112550483,0.13366679296954576,0.7652131449258774,0.09768628539535038,0.7702317887449519,0.13366679296954576,1.0,0.0,0.0,1.0,0.0,0.0
2,-0.001758075078513174,0.10315043735877448,1.2277004324421859,0.17477829285610022,1.0017580750785133,0.10315043735877448,1.7722995675578141,0.17477829285610022,-0.0007546051789749051,0.09742571994830207,1.229013606076073,0.1675088804489879,1.000754605178975,0.09742571994830207,1.7709863939239268,0.16750888044898787,1.0,0.0,0.0,0.0,0.0,1.0
3,0.23399404507648164,0.09878754188271971,1.4616944775186678,0.19826127284829517,0.7660059549235184,0.09878754188271971,2.5383055224813322,0.19826127284829517,0.23771716144314797,0.10276955150121363,1.466730767519221,0.1970378302649514,0.7622828385568521,0.10276955150121363,2.533269232480779,0.1970378302649514,0.0,1.0,1.0,0.0,0.0,0.0
4,0.38195409126507035,0.09749001281630507,1.8436485687837383,0.22652009096728762,0.6180459087349297,0.09749001281630505,3.156351431216262,0.22652009096728762,0.38187487176999424,0.09867097393087941,1.8486056392892154,0.21963904858983405,0.6181251282300056,0.09867097393087941,3.1513943607107846,0.21963904858983405,0.0,0.0,1.0,1.0,0.0,0.0
5,0.22623741455410123,0.10059880669734333,2.0698859833378394,0.24713390960872095,0.7737625854458988,0.10059880669734333,3.9301140166621606,0.24713390960872095,0.22893936216108807,0.10458305492123136,2.0775450014503036,0.242072284175807,0.7710606378389118,0.10458305492123135,3.9224549985496964,0.24207228417580698,0.0,0.0,1.0,0.0,0.0,1.0
6,0.002798121290883235,0.09829015637675056,2.0726841046287228,0.2691661110267166,0.9972018787091168,0.09829015637675056,4.927315895371278,0.2691661110267166,0.0034400134955928125,0.09846310725650072,2.080985014945896,0.26229655252780454,0.9965599865044071,0.09846310725650072,4.919014985054104,0.26229655252780454,0.0,1.0,0.0,0.0,1.0,0.0
7,0.23179726843567322,0.1034286301264879,2.304481373064396,0.2890413420567506,0.7682027315643267,0.1034286301264879,5.695518626935604,0.28904134205675064,0.22687130040103073,0.09752271850508508,2.3078563153469274,0.2787064597782186,0.7731286995989692,0.09752271850508508,5.692143684653073,0.2787064597782186,0.0,0.0,0.0,1.0,1.0,0.0
8,0.9989035900855627,0.10407949691703938,3.3033849631499583,0.3098839504682035,0.0010964099144372503,0.10407949691703938,5.696615036850042,0.3098839504682035,0.9987789209448498,0.09941948107195644,3.306635236291777,0.29696848015477967,0.0012210790551502068,0.09941948107195644,5.693364763708223,0.29696848015477967,0.0,0.0,0.0,0.0,1.0,1.0
9,0.513628217744922,0.507177045547355,3.8170131808948806,0.5997998090241344,0.4863717822550781,0.507177045547355,6.18298681910512,0.5997998090241344,0.5201205680957077,0.5046232412956165,3.8267558043874845,0.5811304146620379,0.47987943190429216,0.5046232412956165,6.173244195612515,0.5811304146620379,0.486,0.52,0.012,0.014,0.502,0.466
