step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9948756815518655,1.0212413275622803,0.9948756815518655,1.0212413275622803,0.005124318448134595,1.0212413275622803,0.005124318448134595,1.0212413275622803,0.9949628814219161,1.0131477328111518,0.9949628814219161,1.0131477328111518,0.005037118578083911,1.0131477328111518,0.005037118578083911,1.0131477328111518,1.0,1.0,0.0,0.0
1,0.03386092237854498,0.9823966118869548,1.0287366039304104,1.4038727968121156,0.966139077621455,0.9823966118869548,0.9712633960695894,1.4038727968121156,-0.01176711642679701,0.9817906983478653,0.9831957649951191,1.4052146250539463,1.011767116426797,0.9817906983478653,1.016804235004881,1.4052146250539461,1.0,0.0,0.0,1.0
2,0.006312295636166933,0.9869546156381956,1.0350488995665774,1.6854490138854663,0.993687704363833,0.9869546156381956,1.9649511004334226,1.6854490138854663,0.031807912181863324,1.013269681918898,1.0150036771769826,1.7292759106172193,0.9681920878181367,1.013269681918898,1.9849963228230176,1.7292759106172193,0.0,1.0,1.0,0.0
3,0.4499242760351395,1.0437793141483518,1.4849731756017168,2.013295699833112,0.5500757239648606,1.0437793141483518,2.515026824398283,2.013295699833112,0.5102568443313644,1.0156833792110602,1.5252605215083468,2.015081906423951,0.48974315566863563,1.0156833792110602,2.4747394784916534,2.0150819064239505,0.0,0.0,1.0,1.0
4,0.4311083851898437,1.074071998596621,1.9160815607915607,2.317282892743043,0.5688916148101564,1.074071998596621,3.08391843920844,2.317282892743043,0.4335974861395129,1.1054627722930894,1.9588580076478597,2.2704601025294906,0.5664025138604871,1.1054627722930894,3.0411419923521406,2.2704601025294906,0.563,0.578,0.437,0.422
5,0.420379216858946,1.0712088811369889,2.3364607776505064,2.54913857030717,0.5796207831410539,1.0712088811369889,3.663539222349493,2.54913857030717,0.4272909692250723,1.079574048313646,2.386148976872932,2.5379349506988,0.5727090307749276,1.079574048313646,3.613851023127068,2.5379349506988,0.561,0.574,0.439,0.426
6,0.45735741826551224,1.1247549485627295,2.793818195916019,2.7773925765496363,0.5426425817344878,1.1247549485627295,4.206181804083981,2.7773925765496363,0.47252264395347615,1.06207279975539,2.858671620826408,2.7820119423266236,0.5274773560465238,1.06207279975539,4.141328379173592,2.7820119423266236,0.599,0.591,0.401,0.409
7,0.43946889914348586,1.127735783473885,3.233287095059504,2.9946747026183997,0.560531100856514,1.127735783473885,4.766712904940496,2.9946747026183997,0.43837772010755033,1.107023305554982,3.2970493409339587,3.0497592986744864,0.5616222798924497,1.107023305554982,4.702950659066041,3.0497592986744864,0.572,0.601,0.428,0.399
8,0.4731237062962662,1.0504292598978593,3.7064108013557706,3.2121011341079733,0.5268762937037338,1.0504292598978593,5.293589198644229,3.2121011341079733,0.5358651150484603,1.083728969202331,3.832914455982419,3.310459001582677,0.46413488495153965,1.083728969202331,5.167085544017581,3.310459001582677,0.61,0.599,0.39,0.401
9,0.4782106395009515,1.1459986854458653,4.184621440856722,3.4576072463367216,0.5217893604990486,1.1459986854458653,5.815378559143278,3.4576072463367216,0.48725720131062744,1.0651626835018548,4.320171657293046,3.56776553158626,0.5127427986893726,1.0651626835018548,5.679828342706955,3.56776553158626,0.613,0.623,0.387,0.377
