step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9980263244650178,0.09950233178988288,0.9980263244650178,0.09950233178988288,0.001973675534982159,0.09950233178988288,0.001973675534982159,0.09950233178988288,0.9996359034790631,0.09940912834520177,0.9996359034790631,0.09940912834520177,0.00036409652093699927,0.09940912834520177,0.00036409652093699927,0.09940912834520177,1.0,1.0,0.0,0.0
1,-0.004798565051090052,0.09753715051871781,0.9932277594139277,0.13865881230475907,1.00479856505109,0.09753715051871781,1.0067722405860722,0.13865881230475907,0.006146772193426372,0.1019782168702592,1.0057826756724892,0.14399789941001626,0.9938532278065736,0.1019782168702592,0.9942173243275108,0.14399789941001628,1.0,0.0,0.0,1.0
2,0.007315655271281173,0.10234587235382352,1.000543414685209,0.17480793192552063,0.9926843447287188,0.10234587235382353,1.999456585314791,0.17480793192552063,-0.005100910129908196,0.1011188779424707,1.0006817655425813,0.1739689985406786,1.0051009101299082,0.1011188779424707,1.9993182344574187,0.1739689985406786,0.0,1.0,1.0,0.0
3,0.498214276408661,0.102711043343823,1.49875769109387,0.2009752122877961,0.501785723591339,0.102711043343823,2.50124230890613,0.2009752122877961,0.5050905333659377,0.1001489634689419,1.5057722989085187,0.198768015767656,0.4949094666340624,0.1001489634689419,2.4942277010914813,0.198768015767656,0.0,0.0,1.0,1.0
4,0.5822960458105686,0.5017514053729408,2.0810537369044386,0.5353962452184986,0.41770395418943146,0.5017514053729408,2.9189462630955614,0.5353962452184986,0.5904691544780373,0.4978022928434677,2.096241453386556,0.5306786995475178,0.4095308455219628,0.4978022928434677,2.903758546613444,0.5306786995475178,0.583,0.993,0.417,0.007
5,0.4469297553604292,0.47214750058328964,2.527983492264868,0.8480172817049045,0.5530702446395708,0.47214750058328964,3.472016507735132,0.8480172817049045,0.45136802473188653,0.47780200155016883,2.5476094781184426,0.8546977146570452,0.5486319752681135,0.47780200155016883,3.452390521881557,0.8546977146570452,0.672,0.579,0.328,0.421
6,0.5035256669935632,0.4878865935167332,3.031509159258431,1.0121052940131412,0.49647433300643684,0.4878865935167332,3.968490840741569,1.0121052940131412,0.5050416033884113,0.48640641017844094,3.052651081506854,1.0183903463822845,0.49495839661158875,0.48640641017844094,3.947348918493146,1.0183903463822845,0.656,0.704,0.344,0.296
7,0.45351389136989395,0.48453222971926113,3.485023050628325,1.142376799308947,0.546486108630106,0.48453222971926113,4.5149769493716745,1.142376799308947,0.46308967914168453,0.4791181899595226,3.5157407606485385,1.1438754168340655,0.5369103208583155,0.4791181899595226,4.484259239351462,1.1438754168340655,0.65,0.651,0.35,0.349
8,0.5024178767131234,0.4748201027129606,3.9874409273414484,1.2478390956987528,0.4975821232868766,0.4748201027129606,5.012559072658552,1.2478390956987528,0.5031658205216927,0.48027067403516027,4.018906581170231,1.2507647663590094,0.49683417947830744,0.48027067403516027,4.981093418829769,1.2507647663590094,0.641,0.685,0.359,0.315
9,0.5357680750295599,0.4881494359652401,4.523209002371008,1.3868100449119871,0.46423192497044014,0.48814943596524013,5.476790997628992,1.3868100449119871,0.5426796974709782,0.4920785706750488,4.561586278641209,1.3882884866284075,0.4573203025290217,0.4920785706750488,5.438413721358791,1.3882884866284075,0.687,0.753,0.313,0.247
