step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0182237423808633,1.010614650426365,1.0182237423808633,1.010614650426365,-0.01822374238086356,1.010614650426365,-0.01822374238086356,1.010614650426365,1.0180424493756675,0.9945507029690956,1.0180424493756675,0.9945507029690956,-0.01804244937566746,0.9945507029690956,-0.01804244937566746,0.9945507029690956,1.0,1.0,0.0,0.0
1,-0.04527848106444817,1.0102808188292296,0.9729452613164153,1.4058871537943272,1.0452784810644482,1.0102808188292296,1.0270547386835844,1.405887153794327,-0.027867154187894094,1.0044279001011411,0.9901752951877734,1.4053381454019602,1.0278671541878939,1.0044279001011411,1.0098247048122266,1.4053381454019602,1.0,0.0,0.0,1.0
2,-0.027106504318405427,1.0428742074019166,0.94583875699801,1.7079376521884038,1.0271065043184053,1.0428742074019166,2.0541612430019898,1.7079376521884038,-0.015688935174019814,1.005941343486281,0.9744863600137535,1.730109709097012,1.01568893517402,1.005941343486281,2.0255136399862463,1.730109709097012,0.0,1.0,1.0,0.0
3,0.5172972512867341,1.0163560539524168,1.463136008284744,2.0037259948398725,0.4827027487132659,1.0163560539524168,2.536863991715256,2.0037259948398725,0.4813052945460109,0.9814558675049935,1.4557916545597644,1.9515904980443872,0.5186947054539892,0.9814558675049935,2.5442083454402353,1.9515904980443872,0.0,0.0,1.0,1.0
4,0.41906580489931267,1.0823845305131425,1.8822018131840568,2.2365999362678917,0.5809341951006873,1.0823845305131425,3.1177981868159432,2.2365999362678917,0.40492643113022997,1.1024806175907462,1.8607180856899945,2.2623765013400496,0.59507356886977,1.1024806175907462,3.1392819143100055,2.2623765013400496,0.565,0.611,0.435,0.389
5,0.4302007558364497,1.1324686987237156,2.3124025690205063,2.5089375732633266,0.5697992441635504,1.1324686987237156,3.6875974309794937,2.5089375732633266,0.49355869456735263,1.0916817129547198,2.354276780257347,2.5467952716334845,0.5064413054326473,1.09168171295472,3.645723219742653,2.5467952716334845,0.561,0.607,0.439,0.393
6,0.5055429488350235,1.1019806479392216,2.81794551785553,2.790422368290924,0.4944570511649764,1.1019806479392216,4.18205448214447,2.7904223682909244,0.4709830023105754,1.1178615445943894,2.8252597825679224,2.813367738066121,0.5290169976894247,1.1178615445943894,4.174740217432078,2.8133677380661206,0.602,0.629,0.398,0.371
7,0.5490739368395253,1.099214060593164,3.3670194546950554,3.036983929279822,0.4509260631604747,1.099214060593164,4.632980545304945,3.036983929279822,0.466585861361306,1.0733810965978046,3.2918456439292285,3.0564634439493523,0.533414138638694,1.0733810965978046,4.7081543560707715,3.0564634439493523,0.625,0.641,0.375,0.359
8,0.5583011116763614,1.1447691222927328,3.925320566371416,3.2938771077886546,0.4416988883236386,1.1447691222927328,5.074679433628583,3.293877107788655,0.48202127415306373,1.0877959238660062,3.7738669180822924,3.243205572067011,0.5179787258469364,1.0877959238660062,5.226133081917707,3.243205572067011,0.638,0.642,0.362,0.358
9,0.6017720100920356,1.1059115339573178,4.527092576463452,3.58050085463137,0.3982279899079643,1.1059115339573178,5.472907423536548,3.58050085463137,0.6035002487352258,1.083750887819362,4.377367166817518,3.468027706098349,0.3964997512647742,1.083750887819362,5.622632833182482,3.468027706098349,0.627,0.645,0.373,0.355
10,0.4957760456062678,1.0953580187383536,5.02286862206972,3.7876580891278704,0.5042239543937321,1.0953580187383536,5.97713137793028,3.78765808912787,0.48981500641136244,1.1073109959022747,4.86718217322888,3.721718280258658,0.5101849935886374,1.1073109959022747,6.13281782677112,3.721718280258658,0.642,0.668,0.358,0.332
11,0.576867132687227,1.113855410712468,5.5997357547569475,3.9844499572637857,0.4231328673127731,1.113855410712468,6.4002642452430525,3.9844499572637857,0.5381381859883742,1.0909940122622395,5.405320359217255,3.96073013318771,0.46186181401162585,1.0909940122622395,6.594679640782746,3.9607301331877096,0.65,0.67,0.35,0.33
12,0.5822077822818814,1.0851595579862157,6.181943537038829,4.247767416116578,0.41779221771811853,1.0851595579862157,6.818056462961171,4.247767416116578,0.5244586059375624,1.138269975174105,5.929778965154817,4.205253439930373,0.47554139406243745,1.1382699751741052,7.070221034845183,4.205253439930373,0.657,0.673,0.343,0.327
13,0.6138747432628726,1.1143119448619163,6.795818280301701,4.428706112043543,0.38612525673712744,1.1143119448619163,7.204181719698299,4.428706112043543,0.6271410026600932,1.1295690733847856,6.556919967814911,4.453143330822732,0.37285899733990674,1.1295690733847856,7.443080032185089,4.453143330822731,0.672,0.693,0.328,0.307
