step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.984903681952479,0.98456619356134,0.984903681952479,0.98456619356134,0.015096318047521073,0.98456619356134,0.015096318047521073,0.98456619356134,0.9359296439997961,1.0138926180509231,0.9359296439997961,1.0138926180509231,0.06407035600020387,1.0138926180509231,0.06407035600020387,1.0138926180509231,1.0,1.0,0.0,0.0
1,0.032469701358611575,0.9972838960956377,1.0173733833110905,1.3968331957461766,0.9675302986413884,0.9972838960956377,0.9826266166889095,1.3968331957461766,-0.028761172465498856,1.0237145809168564,0.9071684715342971,1.4088412907736187,1.0287611724654988,1.0237145809168564,1.0928315284657029,1.4088412907736187,1.0,0.0,0.0,1.0
2,-0.012528793191298555,0.9669254353541357,1.0048445901197918,1.7145329159588236,1.0125287931912985,0.9669254353541357,1.995155409880208,1.7145329159588236,-0.04603969516331014,1.032980781314305,0.8611287763709872,1.768180005797503,1.0460396951633102,1.032980781314305,2.138871223629013,1.768180005797503,0.0,1.0,1.0,0.0
3,0.5533761861987857,1.001265465917699,1.5582207763185774,2.0277550477672825,0.4466238138012143,1.001265465917699,2.4417792236814226,2.0277550477672825,0.49534244870798955,0.9867277365247566,1.3564712250789766,2.050340626134602,0.5046575512920104,0.9867277365247566,2.6435287749210237,2.050340626134602,0.0,0.0,1.0,1.0
4,0.3803223667361274,1.0827007630944276,1.9385431430547049,2.284646207988808,0.6196776332638726,1.0827007630944276,3.061456856945295,2.284646207988808,0.4007694796667106,1.0939494631957118,1.7572407047456873,2.33150807007578,0.5992305203332894,1.0939494631957118,3.242759295254313,2.33150807007578,0.596,0.553,0.404,0.447
5,0.425345594092685,1.0634461015650212,2.36388873714739,2.50695715980836,0.5746544059073149,1.0634461015650212,3.63611126285261,2.50695715980836,0.4763865244817223,1.065138107907973,2.2336272292274097,2.5830918624972767,0.5236134755182777,1.065138107907973,3.7663727707725903,2.5830918624972767,0.589,0.548,0.411,0.452
6,0.5278176908347386,1.1250450971901909,2.891706427982129,2.7981998610672467,0.4721823091652614,1.1250450971901909,4.108293572017872,2.7981998610672467,0.499431371444443,1.1413360912613868,2.7330586006718525,2.8800084104511665,0.500568628555557,1.1413360912613866,4.2669413993281475,2.8800084104511665,0.61,0.549,0.39,0.451
7,0.4998605753451203,1.0693829783422828,3.391567003327249,3.0172234213373588,0.5001394246548797,1.0693829783422828,4.608432996672751,3.0172234213373588,0.48654946581639513,1.1134672172659692,3.2196080664882474,3.1552250383262637,0.5134505341836048,1.1134672172659694,4.780391933511751,3.1552250383262637,0.6,0.573,0.4,0.427
8,0.5189244902291552,1.1093835649149533,3.9104914935564037,3.2409091333738127,0.48107550977084484,1.1093835649149533,5.089508506443595,3.2409091333738127,0.5194312504371746,1.0766330482753932,3.739039316925422,3.374964269501157,0.4805687495628253,1.0766330482753932,5.260960683074578,3.374964269501157,0.593,0.614,0.407,0.386
9,0.5267207345683953,1.120411296892175,4.4372122281248,3.525221309734883,0.47327926543160476,1.120411296892175,5.5627877718752,3.5252213097348837,0.6010649171251347,1.0907207491249826,4.340104234050556,3.573603430939151,0.39893508287486534,1.0907207491249826,5.659895765949442,3.573603430939151,0.619,0.598,0.381,0.402
10,0.554320101910512,1.1265190988327376,4.991532330035312,3.7095472999011525,0.4456798980894881,1.1265190988327376,6.0084676699646895,3.7095472999011525,0.5633730465920755,1.1039948345561434,4.903477280642631,3.8039110593367482,0.43662695340792446,1.1039948345561434,6.096522719357368,3.8039110593367482,0.624,0.606,0.376,0.394
