step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
3,0.5,0.0,1.5,0.0,0.5,0.0,2.5,0.0,0.5,0.0,1.5,0.0,0.5,0.0,2.5,0.0,0.0,0.0,1.0,1.0
4,1.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
5,1.0,0.0,3.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,3.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
6,1.0,0.0,4.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,4.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
7,1.0,0.0,5.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,5.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
8,1.0,0.0,6.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,6.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
9,1.0,0.0,7.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,7.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
10,1.0,0.0,8.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,8.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
11,1.0,0.0,9.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,9.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
12,1.0,0.0,10.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,10.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
13,1.0,0.0,11.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,11.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
14,1.0,0.0,12.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,12.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
15,1.0,0.0,13.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,13.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
16,1.0,0.0,14.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,14.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
17,1.0,0.0,15.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,15.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
18,1.0,0.0,16.5,0.0,0.0,0.0,2.5,0.0,1.0,0.0,16.5,0.0,0.0,0.0,2.5,0.0,1.0,1.0,0.0,0.0
