step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,1.0064290287140645,0.09828496848903834,1.0064290287140645,0.09828496848903834,-0.0064290287140643726,0.09828496848903834,-0.0064290287140643726,0.09828496848903834,1.0046942416270417,0.09960260027507603,1.0046942416270417,0.09960260027507603,-0.004694241627041782,0.09960260027507602,-0.004694241627041782,0.09960260027507602,1.0,1.0,0.0,0.0
1,-0.004681916192323989,0.09680539329327911,1.0017471125217403,0.13413342067187944,1.004681916192324,0.09680539329327911,0.9982528874782596,0.13413342067187944,0.004412238361175384,0.10138116759708654,1.0091064799882172,0.14790869522540945,0.9955877616388246,0.10138116759708654,0.9908935200117828,0.14790869522540945,1.0,0.0,0.0,1.0
2,-0.0013622091879076895,0.09988242793747,1.0003849033338326,0.16682296140969624,1.0013622091879077,0.09988242793747,1.9996150966661674,0.16682296140969624,0.0031660684430141594,0.10304014676770232,1.0122725484312314,0.18480630704830228,0.9968339315569859,0.10304014676770232,1.9877274515687688,0.18480630704830228,0.0,1.0,1.0,0.0
3,0.5042149831553436,0.10123027039481282,1.5045998864891763,0.19259262457260642,0.4957850168446564,0.10123027039481282,2.495400113510824,0.19259262457260642,0.49632118516884166,0.09887311338182446,1.508593733600073,0.20748340234652712,0.5036788148311583,0.09887311338182446,2.4914062663999266,0.20748340234652715,0.0,0.0,1.0,1.0
4,0.9918024676912089,0.1406997504009072,2.4964023541803853,0.24048670259430885,0.008197532308791161,0.1406997504009072,2.5035976458196147,0.24048670259430885,0.9934202920391059,0.13627044850594983,2.5020140256391787,0.2542620823417171,0.0065797079608940654,0.13627044850594983,2.4979859743608213,0.2542620823417171,0.995,0.996,0.005,0.004
5,0.9623591924576747,0.20464883304842796,3.45876154663806,0.33941227322183865,0.03764080754232533,0.20464883304842793,2.5412384533619403,0.33941227322183865,0.9721100932710396,0.2054966467814192,3.4741241189102188,0.35322101257271915,0.027889906728960447,0.2054966467814192,2.5258758810897812,0.35322101257271915,0.996,0.97,0.004,0.03
6,0.8678768457366753,0.3544679428662863,4.326638392374735,0.5533393488738622,0.13212315426332463,0.3544679428662863,2.6733616076252646,0.5533393488738622,0.8680395938105357,0.35220532335822086,4.342163712720754,0.5590846698824844,0.13196040618946434,0.35220532335822086,2.657836287279246,0.5590846698824844,0.971,0.894,0.029,0.106
7,0.6339354492539941,0.4899878260810044,4.9605738416287295,0.8390276978183342,0.3660645507460058,0.4899878260810044,3.0394261583712705,0.8390276978183342,0.6391567909176038,0.49576200181871144,4.981320503638358,0.8378225623978217,0.3608432090823963,0.49576200181871144,3.018679496361642,0.8378225623978217,0.894,0.74,0.106,0.26
8,0.4376866392558893,0.4971755687046444,5.398260480884619,0.9827590436548028,0.5623133607441106,0.4971755687046444,3.6017395191153816,0.9827590436548028,0.4433766086380158,0.5068266992840083,5.424697112276374,0.9803091391767077,0.5566233913619842,0.5068266992840083,3.5753028877236264,0.9803091391767077,0.74,0.698,0.26,0.302
9,0.46884582800372676,0.5084004832828191,5.867106308888346,0.9053036869323764,0.5311541719962732,0.5084004832828191,4.132893691111654,0.9053036869323765,0.46924573430556654,0.5113432014348549,5.89394284658194,0.9008764894595698,0.5307542656944334,0.5113432014348549,4.1060571534180585,0.9008764894595699,0.698,0.773,0.302,0.227
10,0.661564489516536,0.4861553694041596,6.528670798404883,0.8200941052063693,0.33843551048346404,0.4861553694041596,4.471329201595119,0.8200941052063694,0.6599381476766117,0.4879016687766193,6.553880994258552,0.8072744039778033,0.34006185232338826,0.4879016687766193,4.446119005741448,0.8072744039778034,0.773,0.89,0.227,0.11
11,0.808618766460718,0.4056919006056089,7.3372895648656,0.8429712698866472,0.19138123353928205,0.40569190060560895,4.6627104351344,0.8429712698866471,0.80087763570213,0.40782302696820655,7.354758629960682,0.8292016265830546,0.19912236429787003,0.40782302696820655,4.645241370039318,0.8292016265830546,0.89,0.917,0.11,0.083
12,0.8330961590371319,0.37841793890999864,8.170385723902731,0.9320106692088429,0.16690384096286817,0.37841793890999864,4.829614276097269,0.932010669208843,0.8396698133474058,0.38092156804671073,8.19442844330809,0.9257503187214053,0.1603301866525941,0.38092156804671073,4.805571556691912,0.9257503187214053,0.926,0.915,0.074,0.085
