step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1
0,0.9625441909005173,0.9895009339235935,0.9625441909005173,0.9895009339235935,0.03745580909948261,0.9895009339235935,0.03745580909948261,0.9895009339235935,1.021131849545944,1.014674875564717,1.021131849545944,1.014674875564717,-0.02113184954594393,1.014674875564717,-0.02113184954594393,1.014674875564717,1.0,1.0,0.0,0.0
1,0.027916573221362193,1.0369443876731124,0.9904607641218797,1.4125299511867015,0.9720834267786377,1.0369443876731124,1.0095392358781203,1.4125299511867015,0.002855639977141191,0.9791307509660914,1.0239874895230852,1.4261882257079586,0.9971443600228589,0.9791307509660914,0.9760125104769148,1.4261882257079586,1.0,0.0,0.0,1.0
2,-0.0005933411476188226,0.9539639656021974,0.9898674229742608,1.668820035199003,1.0005933411476189,0.9539639656021974,2.010132577025739,1.668820035199003,0.007944301005052485,0.9683205277087753,1.0319317905281378,1.66655066992758,0.9920556989949475,0.9683205277087753,1.9680682094718622,1.66655066992758,0.0,1.0,1.0,0.0
3,0.43524936447864326,0.9670117310928867,1.425116787452904,1.9939065370048341,0.5647506355213568,0.9670117310928867,2.574883212547096,1.993906537004834,0.48018996753049825,1.01090762052125,1.512121758058636,1.9547307835558234,0.5198100324695017,1.01090762052125,2.4878782419413645,1.9547307835558234,0.0,0.0,1.0,1.0
4,0.4465481932427443,1.1007253106706867,1.8716649806956485,2.2827319172379097,0.5534518067572556,1.1007253106706867,3.1283350193043518,2.2827319172379092,0.48764302648639224,1.1329689387135715,1.9997647845450284,2.2907159137580284,0.5123569735136078,1.1329689387135715,3.0002352154549716,2.2907159137580284,0.627,0.604,0.373,0.396
5,0.5780732618420802,1.094305715681754,2.449738242537728,2.5541098035363614,0.42192673815791976,1.094305715681754,3.550261757462272,2.5541098035363614,0.6126906582192585,1.0828388743053863,2.612455442764286,2.564483548279758,0.38730934178074156,1.0828388743053863,3.387544557235713,2.564483548279758,0.633,0.629,0.367,0.371
6,0.5502297854857607,1.0829067683168563,2.9999680280234897,2.863016952789155,0.4497702145142392,1.0829067683168563,4.000031971976511,2.863016952789155,0.5757057809662967,1.0620207653583116,3.188161223730583,2.8328092039719186,0.42429421903370335,1.0620207653583116,3.811838776269417,2.8328092039719186,0.651,0.661,0.349,0.339
7,0.5973034016965467,1.050884749694713,3.5972714297200366,3.0670393479307876,0.4026965983034532,1.050884749694713,4.4027285702799634,3.067039347930787,0.6033616745495167,1.0683454376863823,3.7915228982801,3.099699619096843,0.3966383254504832,1.0683454376863823,4.2084771017199,3.099699619096843,0.672,0.644,0.328,0.356
8,0.6664538220494054,1.081709524870493,4.263725251769442,3.3074726972553132,0.3335461779505947,1.081709524870493,4.736274748230558,3.307472697255313,0.6694421702166382,1.1247869571534848,4.460965068496738,3.3857565426078398,0.33055782978336173,1.1247869571534848,4.539034931503262,3.3857565426078398,0.683,0.687,0.317,0.313
9,0.6817500588849592,1.0748457871858437,4.945475310654401,3.5676871897196536,0.3182499411150408,1.0748457871858437,5.054524689345599,3.567687189719653,0.6317964849122528,1.0709460100918862,5.092761553408991,3.625653815512365,0.3682035150877472,1.0709460100918862,4.907238446591009,3.625653815512365,0.7,0.665,0.3,0.335
